ICD9_code	ICD9_label	ICD9_simpleLabel	phecode1.2_codeList	phecodeX_codeList
001	Cholera	cholera	['008']	['023', '089', '089.1', '526', '526.1']
001.0	Cholera due to vibrio cholerae	cholera due to vibrio cholerae	['008']	['023', '089', '089.1', '526', '526.1']
001.1	Cholera due to vibrio cholerae el tor	cholera due to vibrio cholerae el tor	['008']	['023', '089', '089.1', '526', '526.1']
001.9	Cholera, unspecified	cholera	['008']	['023', '089', '089.1', '526', '526.1']
002	Typhoid and paratyphoid fevers	typhoid and paratyphoid fevers	['008']	['001', '089', '089.1', '526', '526.1']
002.0	Typhoid fever	typhoid fever	['008', '008.5']	['001', '089', '089.1', '526', '526.1']
002.1	Paratyphoid fever A	paratyphoid fever a	['008']	['001', '089', '089.1', '526', '526.1']
002.2	Paratyphoid fever B	paratyphoid fever b	['008']	['001', '089', '089.1', '526', '526.1']
002.3	Paratyphoid fever C	paratyphoid fever c	['008']	['001', '089', '089.1', '526', '526.1']
002.9	Paratyphoid fever, unspecified	paratyphoid fever	['008']	['001', '089', '089.1', '526', '526.1']
003	Other salmonella infections	other salmonella infections	['008', '008.5']	['001', '089', '089.1']
003.0	Salmonella gastroenteritis	salmonella gastroenteritis	['008', '008.5']	['001', '089', '089.1', '526', '526.1']
003.1	Salmonella septicemia	salmonella septicemia	['038', '038.1']	['001', '089', '089.1', '092', '092.2']
003.2	Localized salmonella infections	localized salmonella infections	['008', '008.5']	['001', '089', '089.1']
003.20	Localized salmonella infection, unspecified	localized salmonella infection	['008', '008.5']	['001', '089', '089.1']
003.21	Salmonella meningitis	salmonella meningitis	['320']	['001', '089', '089.1', '320', '320.1', '320.11']
003.22	Salmonella pneumonia	salmonella pneumonia	['480', '480.1']	['001', '089', '089.1', '468', '468.2']
003.23	Salmonella arthritis	salmonella arthritis	['711']	['702', '702.1']
003.24	Salmonella osteomyelitis	salmonella osteomyelitis	['710', '710.1']	['001', '089', '089.1', '701', '701.1']
003.29	Other localized salmonella infections	other localized salmonella infections	['008', '008.5']	['001', '089', '089.1']
003.8	Other specified salmonella infections	other specified salmonella infections	['008', '008.5']	['001', '089', '089.1']
003.9	Salmonella infection, unspecified	salmonella infection	['008', '008.5']	['001', '089', '089.1']
