phecode1.2_code	phecode1.2_label	phecode1.2_category	CUI	hpo_code	hpo_label	PheMap_score
038.3	Bacteremia	infectious diseases	C0004610	HP_0031864	Bacteremia	64.01594118190121
041.11	Methicillin sensitive Staphylococcus aureus	infectious diseases	C0343401	HP_0032326	Methicillin-resistant Staphylococcus aureus infection	33.8645910588917
041.12	Methicillin resistant Staphylococcus aureus	infectious diseases	C0343401	HP_0032326	Methicillin-resistant Staphylococcus aureus infection	96.36601830107605
041.21	Rheumatic fever / chorea	infectious diseases	C0008489	HP_0002072	Chorea	36.71689080806252
041.4	E. coli	infectious diseases	C0019061	HP_0005575	Hemolytic-uremic syndrome	15.328253618245087
041.4	E. coli	infectious diseases	C0014836	HP_0002740	Recurrent E. coli infections	34.200052292963456
041.8	H. pylori	infectious diseases	C0850666	HP_0005202	Helicobacter pylori infection	35.65831020434165
041.9	Infection with drug-resistant microorganisms	infectious diseases	C0343401	HP_0032326	Methicillin-resistant Staphylococcus aureus infection	100.22949141695395
070.1	Viral hepatitis A	infectious diseases	C0019158	HP_0012115	Hepatitis	15.937024440097845
070.4	Chronic hepatitis	infectious diseases	C0023890	HP_0001394	Cirrhosis	16.10077071655737
070.9	Hepatitis NOS	infectious diseases	C0019158	HP_0012115	Hepatitis	24.08329553850245
078	Viral warts & HPV	infectious diseases	C0009663	HP_0032301	Genital warts	44.821437668653545
078	Viral warts & HPV	infectious diseases	C3665596	HP_0200043	Verrucae	96.47395006220884
078	Viral warts & HPV	infectious diseases	C0042548	HP_0033005	Plantar warts	18.27474957815848
079.2	Infectious mononucleosis	infectious diseases	C0031350	HP_0025439	Pharyngitis	22.92538225253743
1001	Foreign body injury		C2973725	HP_0002092	Pulmonary arterial hypertension	15.492967518659658
1002	Symptoms concerning nutrition, metabolism, and development		C0162429	HP_0004395	Malnutrition	34.118645090569515
1005	Other symptoms		C0020672	HP_0002045	Hypothermia	52.52043095465066
1008	Crushing or internal injury to organs		C0038000	HP_0012223	Splenic rupture	23.503405892191648
1011	Complications of surgical and medical procedures		C0013182	HP_0410323	Drug allergy	22.202870342222692
1011	Complications of surgical and medical procedures		C0024591	HP_0002047	Malignant hyperthermia	41.742596188333614
110.11	Dermatophytosis of nail	infectious diseases	C0040261	HP_0012203	Onychomycosis	102.29188677337416
1100	Family history		C0029456	HP_0000939	Osteoporosis	25.90738621694027
112	Candidiasis	infectious diseases	C0239295	HP_0033351	Candida esophagitis	24.217441857023893
112.3	Candidiasis of skin and nails	infectious diseases	C0006845	HP_0002728	Chronic mucocutaneous candidiasis	20.576562348526892
117.1	Histoplasmosis	infectious diseases	C0009186	HP_0032249	Coccidioidomycosis	29.342139773893933
117.1	Histoplasmosis	infectious diseases	C0019655	HP_0032256	Histoplasmosis	18.82101096118217
117.2	Coccidioidomycosis	infectious diseases	C0019655	HP_0032256	Histoplasmosis	18.820684106674907
117.2	Coccidioidomycosis	infectious diseases	C0009186	HP_0032249	Coccidioidomycosis	29.341630204527146
117.4	Aspergillosis	infectious diseases	C0019655	HP_0032256	Histoplasmosis	18.820978885766614
117.4	Aspergillosis	infectious diseases	C0009186	HP_0032249	Coccidioidomycosis	29.342089768008048
150	Cancer of esophagus	neoplasms	C0014859	HP_0100751	Esophageal neoplasm	61.51714068482668
150	Cancer of esophagus	neoplasms	C0004763	HP_0100580	Barrett esophagus	14.078918893537613
151	Cancer of stomach	neoplasms	C0024623	HP_0012126	Stomach cancer	22.346705998880893
153.2	Colon cancer	neoplasms	C0007095	HP_0100570	Carcinoid tumor	17.515638603100573
155	Cancer of liver and intrahepatic bile duct	neoplasms	C0206698	HP_0030153	Cholangiocarcinoma	89.07512283703595
155	Cancer of liver and intrahepatic bile duct	neoplasms	C2239176	HP_0001402	Hepatocellular carcinoma	17.144481638000514
155	Cancer of liver and intrahepatic bile duct	neoplasms	C0345904	HP_0002896	Neoplasm of the liver	22.75068509846934
155.1	Malignant neoplasm of liver, primary	neoplasms	C2239176	HP_0001402	Hepatocellular carcinoma	58.34123248821063
155.1	Malignant neoplasm of liver, primary	neoplasms	C0345904	HP_0002896	Neoplasm of the liver	20.147323601180307
155.1	Malignant neoplasm of liver, primary	neoplasms	C0206624	HP_0002884	Hepatoblastoma	21.14713672895061
159	Malignant neoplasm of other and ill-defined sites within the digestive organs and peritoneum	neoplasms	C0007095	HP_0100570	Carcinoid tumor	33.691653116939285
159.2	Malignant neoplasm of small intestine, including duodenum	neoplasms	C0031511	HP_0002666	Pheochromocytoma	52.10427659993536
159.4	Malignant neoplasm of retroperitoneum and peritoneum	neoplasms	C0345967	HP_0100001	Malignant mesothelioma	20.748380118999034
159.4	Malignant neoplasm of retroperitoneum and peritoneum	neoplasms	C0346109	HP_0100003	Peritoneal mesothelioma	36.68615279642388
159.4	Malignant neoplasm of retroperitoneum and peritoneum	neoplasms	C1514428	HP_0030406	Primary peritoneal carcinoma	40.68627634729415
164	Cancer of intrathoracic organs	neoplasms	C0031511	HP_0002666	Pheochromocytoma	60.842261932781255
165	Cancer within the respiratory system	neoplasms	C2973725	HP_0002092	Pulmonary arterial hypertension	20.368048714793048
165.1	Cancer of bronchus; lung	neoplasms	C0242379	HP_0100526	Neoplasm of the lung	26.15174973462133
165.1	Cancer of bronchus; lung	neoplasms	C0007131	HP_0030358	Non-small cell lung carcinoma	23.22782937136293
165.1	Cancer of bronchus; lung	neoplasms	C0149925	HP_0030357	Small cell lung carcinoma	19.719672169292195
170	Cancer of bone and connective tissue	neoplasms	C0008479	HP_0006765	Chondrosarcoma	19.066957813479878
170	Cancer of bone and connective tissue	neoplasms	C0029463	HP_0002669	Osteosarcoma	16.493834321057054
170	Cancer of bone and connective tissue	neoplasms	C0029440	HP_0100246	Osteoma	44.045852999448414
170.1	Bone cancer	neoplasms	C0029463	HP_0002669	Osteosarcoma	35.083009802541774
