ICD10_code	ICD10_label	ICD10_simpleLabel	hpo_code	hpo_label	SORTA_score	phecode1.2_codeList	phecodeX_codeList
A02	Other salmonella infections	other salmonella infections	HP_0005661	Salmonella osteomyelitis	87.8	['008', '008.5']	['001', '089', '089.1', '526', '526.1']
A02.24	Salmonella osteomyelitis	salmonella osteomyelitis	HP_0005661	Salmonella osteomyelitis	100.0	['710', '710.1']	['001', '089', '089.1', '701', '701.1']
A02.9	Salmonella infection, unspecified	salmonella infection	HP_0005661	Salmonella osteomyelitis	87.8	['008', '008.5']	['001', '089', '089.1']
A04.7	Enterocolitis due to Clostridium difficile	enterocolitis due to clostridium difficile	HP_0032167	Clostridium difficile enteritis	83.87	['008', '008.5', '008.52']	['015', '015.2', '089', '089.1', '526', '526.1', '526.12']
A06.4	Amebic liver abscess	amebic liver abscess	HP_0100523	Liver abscess	84.85	['008']	['084', '084.1', '546', '546.2']
A06.5	Amebic lung abscess	amebic lung abscess	HP_0025044	Lung abscess	83.87	['008']	['084', '084.1', '482', '482.1', '482.11']
A06.6	Amebic brain abscess	amebic brain abscess	HP_0030049	Brain abscess	84.85	['008']	['084', '084.1', '322', '322.4']
A31.0	Pulmonary mycobacterial infection	pulmonary mycobacterial infection	HP_0032261	Nontuberculous mycobacterial pulmonary infection	82.86	['480', '480.1']	['005', '005.2', '089', '089.1']
A31.8	Other mycobacterial infections	other mycobacterial infections	HP_0011274	Recurrent mycobacterial infections	84.44	['031']	['005', '005.2', '089', '089.1']
A31.9	Mycobacterial infection, unspecified	mycobacterial infection	HP_0011274	Recurrent mycobacterial infections	84.44	['031']	['005', '005.2', '089', '089.1']
A37	Whooping cough	whooping cough	HP_0031247	Whooping cough	100.0	['041']	['024', '089', '089.1']
A41	Other sepsis	other sepsis	HP_0100806	Sepsis	100.0		['092', '092.2']
A41.02	Sepsis due to Methicillin resistant Staphylococcus aureus	sepsis due to methicillin resistant staphylococcus aureus	HP_0032326	Methicillin-resistant Staphylococcus aureus infection	82.11	['038', '038.2']	['002', '002.1', '089', '089.1', '092', '092.2', '097', '097.1']
A46	Erysipelas	erysipelas	HP_0001055	Erysipelas	100.0	['686']	['004', '089', '089.1', '660', '660.2', '660.23']
A48.0	Gas gangrene	gas gangrene	HP_0100758	Gangrene	84.21	['041']	['015', '089', '089.1', '091']
A49.01	Methicillin susceptible Staphylococcus aureus infection, unspecified site	methicillin susceptible staphylococcus aureus infectionsite	HP_0032326	Methicillin-resistant Staphylococcus aureus infection	82.83	['041', '041.1', '041.11']	['002', '002.1', '089', '089.1']
A49.02	Methicillin resistant Staphylococcus aureus infection, unspecified site	methicillin resistant staphylococcus aureus infectionsite	HP_0032326	Methicillin-resistant Staphylococcus aureus infection	93.88	['041', '041.1', '041.12']	['002', '002.1', '089', '089.1', '097', '097.1']
A49.9	Bacterial infection, unspecified	bacterial infection	HP_0100658	Cellulitis	85.71	['041']	['089', '089.1']
A52.16	Charcôt's arthropathy (tabetic)	charcts arthropathy tabetic	HP_0002821	Neuropathic arthropathy	80.0	['090', '713', '713.5']	['019', '088', '089', '089.1', '702', '702.1']
A66.3	Hyperkeratosis of yaws	hyperkeratosis of yaws	HP_0000962	Hyperkeratosis	87.5	['130']	['019', '089', '089.1']
