phecodeX_code	phecodeX_label	phecodeX_simpleLabel	phecodeX_category	hpo_code	hpo_label	SORTA_score
008	Helicobacter [H. pylori]	helicobacter h. pylori	ID	HP_0005202	Helicobacter pylori infection	80.0
015.2	Clostridium difficile	clostridium difficile	ID	HP_0032167	Clostridium difficile enteritis	87.5
052.4	Infectious mononucleosis	infectious mononucleosis	ID	HP_0031693	Severe Epstein Barr virus infection	85.71
054.1	Hepatitis A	hepatitis a	ID	HP_0012115	Hepatitis	100.0
054.2	Hepatitis B	hepatitis b	ID	HP_0012115	Hepatitis	85.71
054.3	Hepatitis C	hepatitis c	ID	HP_0012115	Hepatitis	85.71
054.31	Chronic hepatitis C	chronic hepatitis c	ID	HP_0200123	Chronic hepatitis	93.33
054.32	Acute hepatitis C	acute hepatitis c	ID	HP_0200119	Acute hepatitis	91.67
054.5	Hepatitis E	hepatitis e	ID	HP_0012115	Hepatitis	85.71
055.1	Molluscum contagiosum	molluscum contagiosum	ID	HP_0032163	Molluscum contagiosum	100.0
056.1	Plantar wart	plantar wart	ID	HP_0033005	Plantar warts	100.0
072	Histoplasmosis	histoplasmosis	ID	HP_0032256	Histoplasmosis	100.0
079	Other fungal infections	other fungal infections	ID	HP_0020101	Invasive fungal infection	82.35
084.5	Toxoplasmosis	toxoplasmosis	ID	HP_0020105	Severe toxoplasmosis	81.25
089.1	Bacterial infections	bacterial infections	ID	HP_0100658	Cellulitis	85.71
089.2	Viral infections	viral infections	ID	HP_0031691	Severe viral infection	81.25
089.3	Fungal infections	fungal infections	ID	HP_0020101	Invasive fungal infection	82.35
091	Gangrene	gangrene	ID	HP_0100758	Gangrene	100.0
092.2	Sepsis	sepsis	ID	HP_0100806	Sepsis	100.0
092.8	Bacteremia	bacteremia	ID	HP_0031864	Bacteremia	100.0
097.1	Methicillin resistant Staphylococcus aureus	methicillin resistant staphylococcus aureus	ID	HP_0032326	Methicillin-resistant Staphylococcus aureus infection	91.76
100	Malignant neoplasm of the head and neck	malignant neoplasm of the head and neck	Neoplasms	HP_0012288	Neoplasm of head and neck	84.44
100.1	Malignant neoplasm of the oral cavity	malignant neoplasm of the oral cavity	Neoplasms	HP_0100649	Neoplasm of the oral cavity	85.71
100.13	Malignant neoplasm of the gums	malignant neoplasm of the gums	Neoplasms	HP_0100836	Malignant neoplasm of the central nervous system	82.05
100.3	Malignant neoplasm of the nasopharynx	malignant neoplasm of the nasopharynx	Neoplasms	HP_0100630	Neoplasia of the nasopharynx	85.71
100.6	Malignant neoplasm of the larynx	malignant neoplasm of the larynx	Neoplasms	HP_0100605	Neoplasm of the larynx	82.05
100.7	Malignant neoplasm of the pharynx	malignant neoplasm of the pharynx	Neoplasms	HP_0100638	Neoplasm of the pharynx	82.93
100.8	Malignant neoplasm of the lip	malignant neoplasm of the lip	Neoplasms	HP_0100836	Malignant neoplasm of the central nervous system	82.05
100.9	Malignant neoplasm of the salivary glands	malignant neoplasm of the salivary glands	Neoplasms	HP_0100684	Salivary gland neoplasm	87.27
101.2	Malignant neoplasm of stomach	malignant neoplasm of stomach	Neoplasms	HP_0006753	Neoplasm of the stomach	82.93
101.21	Malignant neoplasm of cardia	malignant neoplasm of cardia	Neoplasms	HP_0100836	Malignant neoplasm of the central nervous system	80.95
101.3	Malignant neoplasm of the small intestine	malignant neoplasm of the small intestine	Neoplasms	HP_0100833	Neoplasm of the small intestine	87.27
101.41	Malignant neoplasm of the colon	malignant neoplasm of the colon	Neoplasms	HP_0100836	Malignant neoplasm of the central nervous system	87.8
101.42	Malignant neoplasm of the rectum	malignant neoplasm of the rectum	Neoplasms	HP_0100743	Neoplasm of the rectum	82.05
101.71	Malignant neoplasm of the gallbladder	malignant neoplasm of the gallbladder	Neoplasms	HP_0100575	Neoplasm of the gallbladder	84.44
101.8	Malignant neoplasm of the pancreas	malignant neoplasm of the pancreas	Neoplasms	HP_0002894	Neoplasm of the pancreas	82.93
102.3	Malignant neoplasm of the trachea	malignant neoplasm of the trachea	Neoplasms	HP_0100551	Neoplasm of the trachea	82.93
102.54	Malignant neoplasm of the thymus	malignant neoplasm of the thymus	Neoplasms	HP_0100521	Neoplasm of the thymus	81.08
103	Malignant neoplasm of the skin	malignant neoplasm of the skin	Neoplasms	HP_0100836	Malignant neoplasm of the central nervous system	85.0
103.21	Basal cell carcinoma	basal cell carcinoma	Neoplasms	HP_0002671	Basal cell carcinoma	100.0
103.22	Squamous cell carcinoma of the skin	squamous cell carcinoma of the skin	Neoplasms	HP_0006739	Squamous cell carcinoma of the skin	100.0
104.5	Gastrointestinal stromal tumor*	gastrointestinal stromal tumor	Neoplasms	HP_0100723	Gastrointestinal stroma tumor	100.0
104.6	Kaposi's sarcoma	kaposis sarcoma	Neoplasms	HP_0100726	Kaposi's sarcoma	100.0
105	Malignant neoplasm of the breast	malignant neoplasm of the breast	Neoplasms	HP_0100013	Neoplasm of the breast	82.05
106.11	Malignant neoplasm of the vulva	malignant neoplasm of the vulva	Neoplasms	HP_0030416	Vulvar neoplasm	81.08
106.13	Malignant neoplasm of the cervix	malignant neoplasm of the cervix	Neoplasms	HP_0100836	Malignant neoplasm of the central nervous system	80.95
106.3	Malignant neoplasm of the ovary	malignant neoplasm of the ovary	Neoplasms	HP_0100615	Ovarian neoplasm	81.08
107	Malignant neoplasm of male genitalia	malignant neoplasm of male genitalia	Neoplasms	HP_0100848	Neoplasm of the male external genitalia	80.65
107.1	Malignant neoplasm of the penis	malignant neoplasm of the penis	Neoplasms	HP_0100836	Malignant neoplasm of the central nervous system	80.0
107.2	Malignant neoplasm of the prostate	malignant neoplasm of the prostate	Neoplasms	HP_0100787	Prostate neoplasm	82.93
107.32	Malignant neoplasm of the scrotum	malignant neoplasm of the scrotum	Neoplasms	HP_0100849	Neoplasm of the scrotum	82.93
108	Malignant neoplasm of the urinary tract	malignant neoplasm of the urinary tract	Neoplasms	HP_0010786	Urinary tract neoplasm	86.79
108.5	Malignant neoplasm of the bladder	malignant neoplasm of the bladder	Neoplasms	HP_0009725	Bladder neoplasm	82.93
108.6	Malignant neoplasm of urethra	malignant neoplasm of urethra	Neoplasms	HP_0100517	Neoplasm of the urethra	82.93
108.7	Malignant neoplasm of ureter	malignant neoplasm of ureter	Neoplasms	HP_0100516	Neoplasm of the ureter	80.0
109	Malignant neoplasm of the eye, brain and other parts of central nervous system	malignant neoplasm of the eye brain and other parts of central nervous system	Neoplasms	HP_0100836	Malignant neoplasm of the central nervous system	84.44
109.1	Malignant neoplasm of eye	malignant neoplasm of eye	Neoplasms	HP_0100836	Malignant neoplasm of the central nervous system	84.21
