CUI	ICD9_code	ICD9_label	hpo_code	hpo_label	phecode1.2_codeList	phecodeX_codeList	ICD9_simpleLabel	phecodeXupdated_codeList
C0000737	789.0	Abdominal pain	HP_0002027	Abdominal pain	['785']	['527']	abdominal pain	['GI_527']
C0000737	789.00	Abdominal pain, unspecified site	HP_0002027	Abdominal pain	['785']	['527']	abdominal painsite	['GI_527']
C0000832	641.2	Premature separation of placenta	HP_0011419	Placental abruption	['635', '635.2']	['907', '907.3']	premature separation of placenta	['PP_907.3']
C0000832	641.20	Premature separation of placenta, unspecified as to episode of care or not applicable	HP_0011419	Placental abruption	['635', '635.2']	['907', '907.3']	premature separation of placentaas to episode of care or not applicable	['PP_907.3']
C0001075	536.0	Achlorhydria	HP_0032448	Achlorhydria	['536']	['516', '516.6']	achlorhydria	['GI_516.6']
C0001122	276.2	Acidosis	HP_0001941	Acidosis	['276.4', '276.41']	['256', '256.3', '256.31']	acidosis	['EM_256.31']
C0001339	577.0	Acute pancreatitis	HP_0001735	Acute pancreatitis	['577', '577.1']	['554', '554.1', '554.11']	acute pancreatitis	['GI_554.11']
C0001621	255	Disorders of adrenal glands	HP_0000834	Abnormality of the adrenal glands	['255']	['211']	disorders of adrenal glands	['EM_211']
C0001621	255.9	Unspecified disorder of adrenal glands	HP_0000834	Abnormality of the adrenal glands	['255']	['211']	disorder of adrenal glands	['EM_211']
C0001860	136.0	Ainhum	HP_0031009	Ainhum	['136']	['680', '680.4']	ainhum	['DE_680.4']
C0001973	303	Alcohol dependence syndrome	HP_0030955	Alcoholism	['317']	['280', '280.1', '280.12', '281', '281.2']	alcohol dependence syndrome	['MB_280.11', 'MB_280.9']
C0002018	315.01	Alexia	HP_0010523	Alexia	['315.1']	['891', '891.2']	alexia	['MB_302.3', 'MB_303.1']
C0002063	276.3	Alkalosis	HP_0001948	Alkalosis	['276.4', '276.42']	['256', '256.3', '256.32']	alkalosis	['EM_256.32']
C0002170	704.00	Alopecia, unspecified	HP_0001596	Alopecia	['704', '704.1']	['684', '684.1']	alopecia	['DE_684.1']
C0002170	704.0	Alopecia	HP_0001596	Alopecia	['704', '704.1']	['684', '684.1']	alopecia	['DE_684.1']
C0002170	704.0	Alopecia	HP_0002293	Alopecia of scalp	['704', '704.1']	['684', '684.1']	alopecia	['DE_684.1']
C0002170	704.00	Alopecia, unspecified	HP_0002293	Alopecia of scalp	['704', '704.1']	['684', '684.1']	alopecia	['DE_684.1']
C0002171	704.01	Alopecia areata	HP_0002229	obsolete Alopecia areata	['704', '704.1', '704.11']	['684', '684.1', '684.11']	alopecia areata	['DE_684.11']
C0002390	495.9	Unspecified allergic alveolitis and pneumonitis	HP_0006516	Hypersensitivity pneumonitis	['500', '500.1']	['477', '477.2', '840', '840.8']	allergic alveolitis and pneumonitis	['RE_477.2', 'SS_840.8']
C0002390	495	Extrinsic allergic alveolitis	HP_0006516	Hypersensitivity pneumonitis	['500', '500.1']	['477', '477.2', '840', '840.8']	extrinsic allergic alveolitis	['RE_477.2', 'SS_840.8']
C0002395	331.0	Alzheimer's disease	HP_0002511	Alzheimer disease	['290', '290.1', '290.11']	['328', '328.1']	alzheimers disease	['NS_328.11']
C0002418	368.00	Amblyopia, unspecified	HP_0000646	Amblyopia	['368', '368.1']	['386', '386.1']	amblyopia	['SO_386.1']
C0002453	626.0	Absence of menstruation	HP_0000141	Amenorrhea	['626', '626.1', '626.11']	['626', '626.1', '626.11']	absence of menstruation	['GU_626.111']
C0002726	277.3	Amyloidosis	HP_0011034	Amyloidosis	['270.33']	['249']	amyloidosis	['EM_249']
C0002726	277.30	Amyloidosis, unspecified	HP_0011034	Amyloidosis	['270.33']	['249']	amyloidosis	['EM_249']
C0002736	335.20	Amyotrophic lateral sclerosis	HP_0007354	Amyotrophic lateral sclerosis	['334', '334.2', '334.21']	['323', '323.3', '323.31']	amyotrophic lateral sclerosis	['NS_323.31']
C0002871	285.9	Anemia, unspecified	HP_0001903	Anemia	['285']	['164']	anemia	['BI_164']
C0002874	284.9	Aplastic anemia, unspecified	HP_0001915	Aplastic anemia	['284']	['162', '164']	aplastic anemia	['BI_162', 'BI_164']
C0002880	283.0	Autoimmune hemolytic anemias	HP_0001890	Autoimmune hemolytic anemia	['283', '283.1']	['161', '161.2', '161.21', '164', '181']	autoimmune hemolytic anemias	['BI_161.21', 'BI_164', 'BI_181']
C0002881	282.9	Hereditary hemolytic anemia, unspecified	HP_0004804	Congenital hemolytic anemia	['282', '282.9']	['161', '161.1', '164']	hereditary hemolytic anemia	['GE_970.6']
C0002881	282	Hereditary hemolytic anemias	HP_0004804	Congenital hemolytic anemia	['282']	['161', '161.1', '164']	hereditary hemolytic anemias	['GE_970.6']
C0002896	285.0	Sideroblastic anemia	HP_0001924	Sideroblastic anemia	['285', '285.3']	['162', '162.6', '164', '164.1']	sideroblastic anemia	['BI_164.8']
C0002902	740.0	Anencephalus	HP_0002323	Anencephaly	['752', '752.1']	['750', '750.1', '750.12']	anencephalus	['CM_750.112']
C0002940	442.9	Aneurysm of unspecified site	HP_0002617	Vascular dilatation	['442']	['438']	aneurysm ofsite	['CV_438']
C0002962	413	Angina pectoris	HP_0001681	Angina pectoris	['411', '411.3']	['403']	angina pectoris	['CV_403']
C0003028	705.0	Anhidrosis	HP_0000970	Anhidrosis	['705']	['685', '685.5']	anhidrosis	['DE_685.5']
C0003076	743.45	Aniridia	HP_0000526	Aniridia	['753']	['753', '753.5', '753.51']	aniridia	['CM_751.221']
C0003079	379.41	Anisocoria	HP_0009916	Anisocoria	['379', '379.4']	['384', '384.1']	anisocoria	['SO_384.1']
C0003081	367.31	Anisometropia	HP_0012803	Anisometropia	['368', '368.3']	['387', '387.5']	anisometropia	['SO_387.5']
C0003090	718.50	Ankylosis of joint, site unspecified	HP_0031013	Ankylosis	['741', '741.1']	['712', '712.4']	ankylosis of joint site	['MS_712.4']
C0003090	718.5	Ankylosis of joint	HP_0031013	Ankylosis	['741', '741.1']	['712', '712.4']	ankylosis of joint	['MS_712.4']
C0003119	743.0	Anophthalmos	HP_0000528	Anophthalmia	['753']	['753', '753.1']	anophthalmos	['CM_751.113']
C0003119	743.00	Clinical anophthalmos, unspecified	HP_0000528	Anophthalmia	['753']	['753', '753.1']	clinical anophthalmos	['CM_751.113']
C0003123	783.0	Anorexia	HP_0002039	Anorexia	['260.6']	['230', '230.3']	anorexia	['EM_230.3']
C0003165	500	Coal workers' pneumoconiosis	HP_0033375	Anthracosis	['500', '500.2']	['477', '477.1']	coal workers pneumoconiosis	['RE_477.1']
