hpo_code	hpo_label	hpo_simpleLabel	hpo_original	ICD9_code	ICD9_label	ICD9_simpleLabel	phecode1.2_codeList	phecodeX_codeList	phecodeXupdated_codeList
HP_0000011	Neurogenic bladder	neurogenic bladder	True	596.54	Neurogenic bladder NOS	neurogenic bladder	['596', '596.5']	['596', '596.5']	['GU_596.5']
HP_0000017	Nocturia	nocturia	True	788.43	Nocturia	nocturia	['599', '599.5']	['594', '594.4', '594.41']	['GU_594.41']
HP_0000019	Urinary hesitancy	urinary hesitancy	True	788.64	Urinary hesitancy	urinary hesitancy	['599', '599.9']	['594', '594.1', '594.11']	['GU_594.1']
HP_0000020	Urinary incontinence	urinary incontinence	True	788.3	Urinary incontinence	urinary incontinence	['599', '599.4']	['594', '594.3']	['GU_594.3']
HP_0000020	Urinary incontinence	urinary incontinence	True	788.30	Urinary incontinence, unspecified	urinary incontinence	['599', '599.4']	['594', '594.3']	['GU_594.3']
HP_0000023	Inguinal hernia	inguinal hernia	True	550	Inguinal hernia	inguinal hernia	['550', '550.1']	['520', '520.1', '520.11']	['GI_520.11']
HP_0000024	Prostatitis	prostatitis	True	601.9	Prostatitis, unspecified	prostatitis	['601', '601.1']	['601', '601.1']	['GU_602.51']
HP_0000027	Azoospermia	azoospermia	True	606.0	Azoospermia	azoospermia	['609', '609.1', '609.11']	['609', '609.1']	['GU_609.1']
HP_0000028	Undescended testis	undescended testis	False	752.51	Undescended testis	undescended testis	['751', '751.1', '751.12']	['771', '771.1', '771.11']	['CM_760.211']
HP_0000039	Epispadias	epispadias	True	752.62	Epispadias	epispadias	['751', '751.1', '751.12']	['771', '771.2', '771.27']	['CM_760.227']
HP_0000047	Hypospadias	hypospadias	True	752.61	Hypospadias	hypospadias	['751', '751.1', '751.12']	['771', '771.2', '771.21']	['CM_760.221']
HP_0000054	Micropenis	micropenis	True	752.64	Micropenis	micropenis	['751', '751.1', '751.12']	['771', '771.2', '771.23']	['CM_760.223']
HP_0000072	Hydroureter	hydroureter	True	593.5	Hydroureter	hydroureter	['586', '586.4']	['581', '581.3', '581.32']	['GU_581.32']
HP_0000076	Vesicoureteral reflux	vesicoureteral reflux	True	593.7	Vesicoureteral reflux	vesicoureteral reflux	['586', '586.1', '586.12']	['581', '581.3', '581.34']	['GU_581.34']
HP_0000083	Renal failure	renal failure	False	586	Renal failure, unspecified	renal failure	['585', '585.2']	['584']	['GU_582']
HP_0000083	Renal failure	renal failure	False	586.0	Renal failure unspecified **	renal failure	['585', '585.2']		
HP_0000093	Proteinuria	proteinuria	True	791.0	Proteinuria	proteinuria	['269']	['830']	['SS_830']
HP_0000100	Nephrotic syndrome	nephrotic syndrome	True	581	Nephrotic syndrome	nephrotic syndrome	['580']	['580', '580.3']	['GU_580']
HP_0000103	Polyuria	polyuria	True	788.42	Polyuria	polyuria	['599', '599.5']	['594', '594.4']	['GU_594.4']
HP_0000110	Renal dysplasia	renal dysplasia	True	753.15	Renal dysplasia	renal dysplasia	['751', '751.2', '751.21']	['773', '773.2']	['CM_761.12']
HP_0000126	Hydronephrosis	hydronephrosis	True	591	Hydronephrosis	hydronephrosis	['595']	['581', '581.3', '581.31']	['GU_581.31']
HP_0000131	Uterine leiomyoma	uterine leiomyoma	True	218	Uterine leiomyoma	uterine leiomyoma	['218', '218.1']	['144', '144.2', '144.21']	['CA_144.21']
HP_0000133	Gonadal dysgenesis	gonadal dysgenesis	True	758.6	Gonadal dysgenesis	gonadal dysgenesis	['758', '758.1']	['797', '797.7']	['GE_960.31']
HP_0000145	Transverse vaginal septum	transverse vaginal septum	True	752.46	Transverse vaginal septum	transverse vaginal septum	['751', '751.1', '751.11']	['770', '770.5', '770.52']	['CM_760.152']
HP_0000147	Polycystic ovaries	polycystic ovaries	True	256.4	Polycystic ovaries	polycystic ovaries	['256', '256.4']	['628', '628.3']	['GU_619.23']
HP_0000154	Macrostomia	macrostomia	False	744.83	Macrostomia	macrostomia	['749']	['756', '756.4', '756.41']	['CM_754.31']
HP_0000158	Macroglossia	macroglossia	True	750.15	Macroglossia	macroglossia	['750', '750.1', '750.13']	['759', '759.1']	['CM_754.52']
HP_0000160	Microstomia	microstomia	False	744.84	Microstomia	microstomia	['749']	['756', '756.4', '756.42']	['CM_754.32']
HP_0000171	Microglossia	microglossia	True	750.16	Microglossia	microglossia	['750', '750.1', '750.13']	['759']	['CM_754.5']
HP_0000175	Cleft palate	cleft palate	True	749.0	Cleft palate	cleft palate	['749', '749.1']	['757', '757.1']	['CM_754.11']
HP_0000175	Cleft palate	cleft palate	True	749.00	Cleft palate, unspecified	cleft palate	['749', '749.1']	['757', '757.1']	['CM_754.11']
HP_0410030	Cleft lip	cleft lip	True	749.1	Cleft lip	cleft lip	['749', '749.1']	['757', '757.2']	['CM_754.12']
HP_0410030	Cleft lip	cleft lip	True	749.10	Cleft lip, unspecified	cleft lip	['749', '749.1']	['757', '757.2']	['CM_754.12']
HP_0000206	Glossitis	glossitis	True	529.0	Glossitis	glossitis	['529', '529.1']	['509', '509.1']	['GI_509.1']
HP_0000221	Plicated tongue	plicated tongue	False	529.5	Plicated tongue	plicated tongue	['529']	['509', '509.5']	['GI_509.5']
HP_0004330	Hyperostosis of skull	hyperostosis of skull	False	733.3	Hyperostosis of skull	hyperostosis of skull	['733']	['727', '727.4']	['MS_727.4']
HP_0000255	Acute sinusitis	acute sinusitis	True	461	Acute sinusitis	acute sinusitis	['464']	['462', '462.1']	['RE_462.1']
HP_0000255	Acute sinusitis	acute sinusitis	True	461.9	Acute sinusitis, unspecified	acute sinusitis	['464']	['462', '462.1']	['RE_462.1']
HP_0000265	Mastoiditis	mastoiditis	True	383.9	Unspecified mastoiditis	mastoiditis	['381', '381.3']	['393']	['SO_393']
HP_0000969	Edema	edema	True	782.3	Edema	edema	['782.3']	['812']	['SS_812']
HP_0000360	Tinnitus	tinnitus	True	388.3	Tinnitus	tinnitus	['389', '389.4']	['397', '397.1']	['SO_397.1']
HP_0000360	Tinnitus	tinnitus	True	388.30	Tinnitus, unspecified	tinnitus	['389', '389.4']	['397', '397.1']	['SO_397.1']
HP_0000362	Otosclerosis	otosclerosis	True	387	Otosclerosis	otosclerosis	['383']	['391', '391.8']	['SO_391.8']
HP_0000362	Otosclerosis	otosclerosis	True	387.9	Otosclerosis, unspecified	otosclerosis	['383']	['391', '391.8']	['SO_391.8']
HP_0000388	Otitis media	otitis media	True	382.9	Unspecified otitis media	otitis media	['381', '381.1', '381.11']	['391', '391.1']	['SO_391.1']
HP_0000400	Macrotia	macrotia	True	744.22	Macrotia	macrotia	['749']	['755', '755.2']	['CM_752.2']
HP_0000405	Conductive hearing loss	conductive hearing loss	False	389.0	Conductive hearing loss	conductive hearing loss	['389', '389.2']	['396', '396.1']	['SO_396.1']
HP_0000405	Conductive hearing loss	conductive hearing loss	False	389.00	Conductive hearing loss, unspecified	conductive hearing loss	['389', '389.2']	['396', '396.1']	['SO_396.1']
HP_0000407	Sensorineural hearing loss	sensorineural hearing loss	False	389.1	Sensorineural hearing loss	sensorineural hearing loss	['389', '389.1']	['396', '396.2']	['SO_396.2']
HP_0000407	Sensorineural hearing loss	sensorineural hearing loss	False	389.10	Sensorineural hearing loss, unspecified	sensorineural hearing loss	['389', '389.1']	['396', '396.2']	['SO_396.2']
HP_0000410	Mixed hearing loss	mixed hearing loss	False	389.20	Mixed hearing loss, unspecified	mixed hearing loss	['389']	['396', '396.3']	['SO_396.3']
HP_0000421	Epistaxis	epistaxis	True	784.7	Epistaxis	epistaxis	['477']	['487', '487.1']	['RE_487.1']
HP_0000453	Choanal atresia	choanal atresia	True	748.0	Choanal atresia	choanal atresia	['749']	['758', '758.6', '758.61']	['CM_755.61']
HP_0000470	Cervical shortening	cervical shortening	False	649.7	Cervical shortening	cervical shortening	['636', '636.8']	['906']	['PP_906']
HP_0000473	Torticollis	torticollis	True	723.5	Torticollis, unspecified	torticollis	['723', '723.1']	['324', '324.3', '324.34']	['NS_324.314']
