hpo_code	hpo_label	hpo_simpleLabel	hpo_original	phecode1.2_code	phecode1.2_label	phecode1.2_simpleLabel	phecode1.2_category
HP_0000020	Urinary incontinence	urinary incontinence	True	599.4	Urinary incontinence	urinary incontinence	genitourinary
HP_0000023	Inguinal hernia	inguinal hernia	True	550.1	Inguinal hernia	inguinal hernia	digestive
HP_0000024	Prostatitis	prostatitis	True	601.1	Prostatitis	prostatitis	genitourinary
HP_0000076	Vesicoureteral reflux	vesicoureteral reflux	True	586.12	Vesicoureteral reflux	vesicoureteral reflux	genitourinary
HP_0000083	Renal failure	renal failure	False	585	Renal failure	renal failure	genitourinary
HP_0000083	Renal failure	renal failure	False	585.2	Renal failure NOS	renal failure	genitourinary
HP_0000093	Proteinuria	proteinuria	True	269	Proteinuria	proteinuria	endocrine/metabolic
HP_0000099	Glomerulonephritis	glomerulonephritis	True	580.1	Glomerulonephritis	glomerulonephritis	genitourinary
HP_0000126	Hydronephrosis	hydronephrosis	True	595	Hydronephrosis	hydronephrosis	genitourinary
HP_0000131	Uterine leiomyoma	uterine leiomyoma	True	218.1	Uterine leiomyoma	uterine leiomyoma	neoplasms
HP_0000138	Ovarian cyst	ovarian cyst	True	628	Ovarian cyst	ovarian cyst	genitourinary
HP_0000147	Polycystic ovaries	polycystic ovaries	True	256.4	Polycystic ovaries	polycystic ovaries	endocrine/metabolic
HP_0000175	Cleft palate	cleft palate	True	749.1	Cleft palate	cleft palate	congenital anomalies
HP_0000206	Glossitis	glossitis	True	529.1	Glossitis	glossitis	digestive
HP_0000230	Gingivitis	gingivitis	True	523.1	Gingivitis	gingivitis	digestive
HP_0000238	Hydrocephalus	hydrocephalus	True	331.1	Hydrocephalus	hydrocephalus	neurological
HP_0000255	Acute sinusitis	acute sinusitis	True	464	Acute sinusitis	acute sinusitis	respiratory
HP_0000969	Edema	edema	True	782.3	Edema	edema	symptoms
HP_0000360	Tinnitus	tinnitus	True	389.4	Tinnitus	tinnitus	sense organs
HP_0000362	Otosclerosis	otosclerosis	True	383	Otosclerosis	otosclerosis	sense organs
HP_0000388	Otitis media	otitis media	True	381.1	Otitis media	otitis media	sense organs
HP_0000405	Conductive hearing loss	conductive hearing loss	False	389.2	Conductive hearing loss	conductive hearing loss	sense organs
HP_0000407	Sensorineural hearing loss	sensorineural hearing loss	False	389.1	Sensorineural hearing loss	sensorineural hearing loss	sense organs
HP_0001324	Muscle weakness	muscle weakness	True	772.3	Muscle weakness	muscle weakness	symptoms
HP_0000473	Torticollis	torticollis	True	723.1	Torticollis	torticollis	musculoskeletal
HP_0000483	Astigmatism	astigmatism	True	367.2	Astigmatism	astigmatism	sense organs
HP_0000491	Keratitis	keratitis	True	370	Keratitis	keratitis	sense organs
HP_0000498	Inflammation of eyelids	inflammation of eyelids	False	371.3	Inflammation of eyelids	inflammation of eyelids	sense organs
HP_0000501	Glaucoma	glaucoma	True	365	Glaucoma	glaucoma	sense organs
HP_0000518	Cataract	cataract	True	366	Cataract	cataract	sense organs
HP_0000520	Exophthalmos	exophthalmos	False	242.3	Exophthalmos	exophthalmos	endocrine/metabolic
HP_0000540	Hypermetropia	hypermetropia	True	367.8	Hypermetropia	hypermetropia	sense organs
HP_0000545	Myopia	myopia	True	367.1	Myopia	myopia	sense organs
HP_0007957	Corneal opacity	corneal opacity	True	364.1	Corneal opacity	corneal opacity	sense organs
HP_0000563	Keratoconus	keratoconus	True	364.41	Keratoconus	keratoconus	sense organs
HP_0001123	Visual field defects	visual field defects	False	368.4	Visual field defects	visual field defects	sense organs
HP_0000646	Amblyopia	amblyopia	True	368.1	Amblyopia	amblyopia	sense organs
HP_0000648	Optic atrophy	optic atrophy	True	377.1	Optic atrophy	optic atrophy	sense organs
HP_0000670	Dental caries	dental caries	False	521.1	Dental caries	dental caries	digestive
HP_0000709	Psychosis	psychosis	True	295.3	Psychosis	psychosis	mental disorders
HP_0000716	Depression	depression	True	296.2	Depression	depression	mental disorders
HP_0000717	Autism	autism	True	313.3	Autism	autism	mental disorders
HP_0000738	Hallucinations	hallucinations	True	292.6	Hallucinations	hallucinations	mental disorders
HP_0000767	Pectus excavatum	pectus excavatum	True	756.21	Pectus excavatum	pectus excavatum	congenital anomalies
HP_0000768	Pectus carinatum	pectus carinatum	True	756.22	Pectus carinatum	pectus carinatum	congenital anomalies
HP_0000776	Diaphragmatic hernia	diaphragmatic hernia	False	550.2	Diaphragmatic hernia	diaphragmatic hernia	digestive
HP_0000790	Hematuria	hematuria	True	593	Hematuria	hematuria	genitourinary
HP_0000819	Diabetes mellitus	diabetes mellitus	True	250	Diabetes mellitus	diabetes mellitus	endocrine/metabolic
HP_0000821	Hypothyroidism	hypothyroidism	True	244	Hypothyroidism	hypothyroidism	endocrine/metabolic
HP_0000821	Hypothyroidism	hypothyroidism	True	244.4	Hypothyroidism NOS	hypothyroidism	endocrine/metabolic
HP_0000822	Hypertension	hypertension	True	401	Hypertension	hypertension	circulatory system
HP_0001943	Hypoglycemia	hypoglycemia	True	251.1	Hypoglycemia	hypoglycemia	endocrine/metabolic
HP_0000829	Hypoparathyroidism	hypoparathyroidism	True	252.2	Hypoparathyroidism	hypoparathyroidism	endocrine/metabolic
HP_0000839	Pituitary dwarfism	pituitary dwarfism	True	253.5	Pituitary dwarfism	pituitary dwarfism	endocrine/metabolic
HP_0004322	Short stature	short stature	True	264.1	Short stature	short stature	endocrine/metabolic
HP_0000843	Hyperparathyroidism	hyperparathyroidism	True	252.1	Hyperparathyroidism	hyperparathyroidism	endocrine/metabolic
HP_0000851	Congenital hypothyroidism	congenital hypothyroidism	True	244.5	Congenital hypothyroidism	congenital hypothyroidism	endocrine/metabolic
HP_0000859	Hyperaldosteronism	hyperaldosteronism	True	255.12	Hyperaldosteronism	hyperaldosteronism	endocrine/metabolic
HP_0000873	Diabetes insipidus	diabetes insipidus	True	253.3	Diabetes insipidus	diabetes insipidus	endocrine/metabolic
HP_0000872	Chronic lymphocytic thyroiditis	chronic lymphocytic thyroiditis	False	245.21	Chronic lymphocytic thyroiditis	chronic lymphocytic thyroiditis	endocrine/metabolic
HP_0100646	Thyroiditis	thyroiditis	True	245	Thyroiditis	thyroiditis	endocrine/metabolic
HP_0000934	Chondrocalcinosis	chondrocalcinosis	True	274.21	Chondrocalcinosis	chondrocalcinosis	endocrine/metabolic
HP_0000939	Osteoporosis	osteoporosis	True	743.1	Osteoporosis	osteoporosis	musculoskeletal
HP_0000939	Osteoporosis	osteoporosis	True	743.11	Osteoporosis NOS	osteoporosis	musculoskeletal
HP_0000975	Hyperhidrosis	hyperhidrosis	True	705.8	Hyperhidrosis	hyperhidrosis	dermatologic
HP_0000999	Pyoderma	pyoderma	True	686.5	Pyoderma	pyoderma	dermatologic
HP_0001007	Hirsutism	hirsutism	True	704.2	Hirsutism	hirsutism	dermatologic
HP_0001025	Urticaria	urticaria	True	947	Urticaria	urticaria	dermatologic
