ICD10_code	ICD10_label	ICD10_simpleLabel	phecode1.2_codeList	phecodeX_codeList	hpo_code	hpo_label	hpo_simpleLabel	hpo_original	phecodeXupdated_codeList
A02.24	Salmonella osteomyelitis	salmonella osteomyelitis	['710', '710.1']	['001', '089', '089.1', '701', '701.1']	HP_0005661	Salmonella osteomyelitis	salmonella osteomyelitis	True	['ID_001', 'ID_089.1', 'MS_701.1']
A02.9	Salmonella infection, unspecified	salmonella infection	['008', '008.5']	['001', '089', '089.1']	HP_0005661	Salmonella bone infection	salmonella bone infection	False	['ID_001', 'ID_089.1']
A31.0	Pulmonary mycobacterial infection	pulmonary mycobacterial infection	['480', '480.1']	['005', '005.2', '089', '089.1']	HP_0032261	Nontuberculous mycobacterial pulmonary infection	nontuberculous mycobacterial pulmonary infection	True	['ID_005', 'ID_089.1', 'RE_468.2']
A37	Whooping cough	whooping cough	['041']	['024', '089', '089.1']	HP_0031247	Whooping cough	whooping cough	True	['ID_024', 'ID_089.1']
A46	Erysipelas	erysipelas	['686']	['004', '089', '089.1', '660', '660.2', '660.23']	HP_0001055	Erysipelas	erysipelas	True	['ID_004', 'ID_089.1', 'DE_660.23']
A49.9	Bacterial infection, unspecified	bacterial infection	['041']	['089', '089.1']	HP_0100658	Bacterial infection of skin	bacterial infection of skin	False	['ID_089.1']
A86	Unspecified viral encephalitis	viral encephalitis	['323']	['089', '089.2', '321', '321.1', '321.12']	HP_0033993	Viral encephalitis	viral encephalitis	True	['ID_089.2', 'NS_321.12']
B08.1	Molluscum contagiosum	molluscum contagiosum	['079']	['055', '055.1', '089', '089.2']	HP_0032163	Molluscum contagiosum	molluscum contagiosum	True	['ID_055.1', 'ID_089.2']
B19	Unspecified viral hepatitis	viral hepatitis	['070']	['054', '089', '089.2', '540', '540.3']	HP_0006562	Viral hepatitis	viral hepatitis	True	['ID_054', 'ID_089.2', 'GI_540.3']
B27	Infectious mononucleosis	infectious mononucleosis	['079', '079.2']	['052', '052.4', '089', '089.2']	HP_0031693	Fulminant infectious mononucleosis	fulminant infectious mononucleosis	False	['ID_052.4', 'ID_089.2']
B27.9	Infectious mononucleosis, unspecified	infectious mononucleosis	['079', '079.2']	['052', '052.4', '089', '089.2']	HP_0031693	Fulminant infectious mononucleosis	fulminant infectious mononucleosis	False	['ID_052.4', 'ID_089.2']
B34.0	Adenovirus infection, unspecified	adenovirus infection	['079']	['060', '089', '089.2']	HP_0031694	Severe adenovirus infection	severe adenovirus infection	True	['ID_060', 'ID_089.2']
B34.9	Viral infection, unspecified	viral infection	['079', '079.9']	['089', '089.2']	HP_0031691	Severe viral infection	severe viral infection	True	['ID_089.2']
B35	Dermatophytosis	dermatophytosis	['110', '110.1']	['089', '089.3', '660', '660.1', '660.12']	HP_0032515	Deep dermatophytosis	deep dermatophytosis	True	['ID_089.3', 'DE_660.12']
B35.9	Dermatophytosis, unspecified	dermatophytosis	['110', '110.1']	['089', '089.3', '660', '660.1', '660.12']	HP_0032515	Deep dermatophytosis	deep dermatophytosis	True	['ID_089.3', 'DE_660.12']
B38	Coccidioidomycosis	coccidioidomycosis	['117', '117.2']	['071', '089', '089.3']	HP_0032249	Coccidioidomycosis	coccidioidomycosis	True	['ID_071', 'ID_089.3']
B38.9	Coccidioidomycosis, unspecified	coccidioidomycosis	['117', '117.2']	['071', '089', '089.3']	HP_0032249	Coccidioidomycosis	coccidioidomycosis	True	['ID_071', 'ID_089.3']
B39	Histoplasmosis	histoplasmosis	['117', '117.1']	['072', '089', '089.3']	HP_0032256	Histoplasmosis	histoplasmosis	True	['ID_072', 'ID_089.3']
B39.9	Histoplasmosis, unspecified	histoplasmosis	['117', '117.1']	['072', '089', '089.3']	HP_0032256	Histoplasmosis	histoplasmosis	True	['ID_072', 'ID_089.3']
B44.0	Invasive pulmonary aspergillosis	invasive pulmonary aspergillosis	['117', '117.4', '480', '480.3']	['074', '089', '089.3', '468', '468.5', '468.51']	HP_0020103	Invasive pulmonary aspergillosis	invasive pulmonary aspergillosis	True	['ID_074', 'ID_089.3', 'RE_468.5']
C22.2	Hepatoblastoma	hepatoblastoma	['155', '155.1']	['101', '101.6', '101.61', '130']	HP_0002884	Hepatoblastoma	hepatoblastoma	True	['CA_101.61', 'CA_130']
C44.92	Squamous cell carcinoma of skin, unspecified	squamous cell carcinoma of skin	['172', '172.2', '172.22']	['103', '103.2', '103.22']	HP_0006739	Squamous cell carcinoma of the skin	squamous cell carcinoma of the skin	True	['CA_103.22']
C46	Kaposi's sarcoma	kaposis sarcoma	['230']	['104', '104.6']	HP_0100726	Kaposi's sarcoma	kaposis sarcoma	True	['CA_104.6']
