hpo_code	hpo_label	hpo_simpleLabel	hpo_original	ICD10_code	ICD10_label	ICD10_simpleLabel	phecode1.2_codeList	phecodeX_codeList
HP_0000012	Overactive bladder	overactive bladder	False	N32.81	Overactive bladder	overactive bladder	['596', '596.5']	['596', '596.2']
HP_0000015	Bladder diverticulum	bladder diverticulum	True	N32.3	Diverticulum of bladder	diverticulum of bladder	['596']	['596', '596.3']
HP_0000017	Nocturia	nocturia	True	R35.1	Nocturia	nocturia	['599', '599.5']	['594', '594.4', '594.41']
HP_0000020	Urinary incontinence	urinary incontinence	True	N39.492	Postural (urinary) incontinence	postural urinary incontinence	['599', '599.4']	['594', '594.3']
HP_0000020	Urinary incontinence	urinary incontinence	True	R32	Unspecified urinary incontinence	urinary incontinence	['599', '599.4']	['594', '594.3']
HP_0000023	Inguinal hernia	inguinal hernia	True	K40	Inguinal hernia	inguinal hernia	['550', '550.1']	['520', '520.1', '520.11']
HP_0000027	Azoospermia	azoospermia	True	N46.0	Azoospermia	azoospermia	['609', '609.1', '609.11']	['609', '609.1']
HP_0000031	Epididymitis	epididymitis	True	N45.1	Epididymitis	epididymitis	['601', '601.3']	['603', '603.5']
HP_0000039	Epispadias	epispadias	True	Q64.0	Epispadias	epispadias	['751', '751.1', '751.12']	['771', '771.2', '771.27']
HP_0000047	Hypospadias	hypospadias	True	Q54	Hypospadias	hypospadias	['751', '751.1', '751.12']	['771', '771.2', '771.21']
HP_0000047	Hypospadias	hypospadias	True	Q54.9	Hypospadias, unspecified	hypospadias	['751', '751.1', '751.12']	['771', '771.2', '771.21']
HP_0000051	Perineal hypospadias	perineal hypospadias	True	Q54.3	Hypospadias, perineal	hypospadias perineal	['751', '751.1', '751.12']	['771', '771.2', '771.21']
HP_0008736	Hypoplasia of penis	hypoplasia of penis	True	Q55.62	Hypoplasia of penis	hypoplasia of penis	['751', '751.1', '751.12']	['771', '771.2', '771.23']
HP_0000072	Hydroureter	hydroureter	True	N13.4	Hydroureter	hydroureter	['586', '586.4']	['581', '581.3', '581.32']
HP_0000086	Ectopic kidney	ectopic kidney	True	Q63.2	Ectopic kidney	ectopic kidney	['751', '751.2', '751.22']	['773', '773.8']
HP_0000089	Renal hypoplasia	renal hypoplasia	True	Q60.5	Renal hypoplasia, unspecified	renal hypoplasia	['751', '751.2', '751.22']	['773', '773.1', '773.12']
HP_0000093	Proteinuria	proteinuria	True	R80	Proteinuria	proteinuria	['269']	['830']
HP_0000093	Proteinuria	proteinuria	True	R80.9	Proteinuria, unspecified	proteinuria	['269']	['830']
HP_0000100	Nephrotic syndrome	nephrotic syndrome	True	N04	Nephrotic syndrome	nephrotic syndrome	['580', '580.2']	['580', '580.3']
HP_0000103	Polyuria	polyuria	True	R35	Polyuria	polyuria	['599', '599.5']	['594', '594.4']
HP_0000104	Renal agenesis	renal agenesis	True	Q60.2	Renal agenesis, unspecified	renal agenesis	['751', '751.2', '751.22']	['773', '773.1', '773.11']
HP_0000110	Renal dysplasia	renal dysplasia	True	Q61.4	Renal dysplasia	renal dysplasia	['751', '751.2', '751.21']	['773', '773.2']
HP_0000122	Unilateral renal agenesis	unilateral renal agenesis	True	Q60.0	Renal agenesis, unilateral	renal agenesis unilateral	['751', '751.2', '751.22']	['773', '773.1', '773.11']
HP_0000126	Hydronephrosis	hydronephrosis	True	N13.30	Unspecified hydronephrosis	hydronephrosis	['595']	['581', '581.3', '581.31']
HP_0000126	Hydronephrosis	hydronephrosis	True	N13.39	Other hydronephrosis	other hydronephrosis	['595']	['581', '581.3', '581.31']
HP_0000141	Amenorrhea	amenorrhea	True	N91.2	Amenorrhea, unspecified	amenorrhea	['626', '626.1', '626.11']	['626', '626.1', '626.11']
HP_0100590	Rectal fistula	rectal fistula	True	K60.4	Rectal fistula	rectal fistula	['565']	['532', '532.1']
HP_0000145	Transverse vaginal septum	transverse vaginal septum	True	Q52.11	Transverse vaginal septum	transverse vaginal septum	['751', '751.1', '751.11']	['770', '770.5', '770.52']
HP_0000154	Macrostomia	macrostomia	False	Q18.4	Macrostomia	macrostomia	['749']	['756', '756.4', '756.41']
HP_0000158	Macroglossia	macroglossia	True	Q38.2	Macroglossia	macroglossia	['750', '750.1', '750.13']	['759', '759.2']
HP_0000160	Microstomia	microstomia	False	Q18.5	Microstomia	microstomia	['749']	['756', '756.4', '756.42']
HP_0000161	Median cleft lip	median cleft lip	True	Q36.1	Cleft lip, median	cleft lip median	['749', '749.1']	['757', '757.2']
HP_0000175	Cleft palate	cleft palate	True	Q35	Cleft palate	cleft palate	['749', '749.1']	['757', '757.1']
HP_0000175	Cleft palate	cleft palate	True	Q35.1	Cleft hard palate	cleft hard palate	['749', '749.1']	['757', '757.1']
HP_0000175	Cleft palate	cleft palate	True	Q35.3	Cleft soft palate	cleft soft palate	['749', '749.1']	['757', '757.1']
HP_0000175	Cleft palate	cleft palate	True	Q35.9	Cleft palate, unspecified	cleft palate	['749', '749.1']	['757', '757.1']
HP_0000185	Cleft soft palate	cleft soft palate	True	Q35.3	Cleft soft palate	cleft soft palate	['749', '749.1']	['757', '757.1']
HP_0000193	Cleft uvula	cleft uvula	False	Q35.7	Cleft uvula	cleft uvula	['749', '749.1']	['757', '757.1', '757.11']
HP_0000347	Mandibular hypoplasia	mandibular hypoplasia	False	M26.04	Mandibular hypoplasia	mandibular hypoplasia	['526', '526.3']	['733', '733.1', '733.14']
HP_0000347	Mandibular hypoplasia	mandibular hypoplasia	False	M26.74	Alveolar mandibular hypoplasia	alveolar mandibular hypoplasia	['524']	['733', '733.1', '733.14']
HP_0410030	Cleft lip	cleft lip	True	Q36	Cleft lip	cleft lip	['749', '749.1']	['757', '757.2']
HP_0000206	Glossitis	glossitis	True	K14.0	Glossitis	glossitis	['529', '529.1']	['509', '509.1']
HP_0000212	Gingival enlargement	gingival enlargement	False	K06.1	Gingival enlargement	gingival enlargement	['523']	['504', '504.4']
HP_0000217	Dry mouth	dry mouth	False	R68.2	Dry mouth, unspecified	dry mouth	['527', '527.7']	['506', '506.5', '506.51']
HP_0000221	Plicated tongue	plicated tongue	False	K14.5	Plicated tongue	plicated tongue	['529']	['509', '509.5']
HP_0000238	Hydrocephalus	hydrocephalus	True	G91	Hydrocephalus	hydrocephalus	['331', '331.1']	['344', '344.1']
HP_0000238	Hydrocephalus	hydrocephalus	True	G91.8	Other hydrocephalus	other hydrocephalus	['331', '331.1']	['344', '344.1']
HP_0000238	Hydrocephalus	hydrocephalus	True	G91.9	Hydrocephalus, unspecified	hydrocephalus	['331', '331.1']	['344', '344.1']
HP_0004330	Hyperostosis of skull	hyperostosis of skull	False	M85.2	Hyperostosis of skull	hyperostosis of skull	['733']	['727', '727.4']
HP_0000252	Microcephaly	microcephaly	True	Q02	Microcephaly	microcephaly	['752', '752.2']	['750', '750.1', '750.11']
HP_0000255	Acute sinusitis	acute sinusitis	True	J01	Acute sinusitis	acute sinusitis	['464']	['462', '462.1']
HP_0000255	Acute sinusitis	acute sinusitis	True	J01.8	Other acute sinusitis	other acute sinusitis	['464']	['462', '462.1']
HP_0000255	Acute sinusitis	acute sinusitis	True	J01.80	Other acute sinusitis	other acute sinusitis	['464']	['462', '462.1']
HP_0000255	Acute sinusitis	acute sinusitis	True	J01.9	Acute sinusitis, unspecified	acute sinusitis	['464']	['462', '462.1']
HP_0000255	Acute sinusitis	acute sinusitis	True	J01.90	Acute sinusitis, unspecified	acute sinusitis	['464']	['462', '462.1']
HP_0000256	Macrocephaly	macrocephaly	True	Q75.3	Macrocephaly	macrocephaly	['749', '749.2']	['758', '758.4']
HP_0000265	Mastoiditis	mastoiditis	True	H70.9	Unspecified mastoiditis	mastoiditis	['381', '381.3']	['393']
HP_0000268	Dolichocephaly	dolichocephaly	True	Q67.2	Dolichocephaly	dolichocephaly	['749']	['758', '758.2', '758.21']
HP_0000969	Edema	edema	True	R60.9	Edema, unspecified	edema	['782', '782.3']	['812']
HP_0000303	Mandibular hyperplasia	mandibular hyperplasia	False	M26.03	Mandibular hyperplasia	mandibular hyperplasia	['526', '526.3']	['733', '733.1', '733.13']
HP_0000303	Mandibular hyperplasia	mandibular hyperplasia	False	M26.72	Alveolar mandibular hyperplasia	alveolar mandibular hyperplasia	['524']	['733', '733.1', '733.13']
HP_0000316	Hypertelorism	hypertelorism	True	Q75.2	Hypertelorism	hypertelorism	['749', '749.2']	['758', '758.5']
HP_0000317	Facial myokymia	facial myokymia	True	G51.4	Facial myokymia	facial myokymia	['352', '352.2']	['334', '334.2', '334.25']
HP_0000327	Maxillary hypoplasia	maxillary hypoplasia	False	M26.02	Maxillary hypoplasia	maxillary hypoplasia	['526', '526.3']	['733', '733.1', '733.12']
HP_0000327	Maxillary hypoplasia	maxillary hypoplasia	False	M26.73	Alveolar maxillary hypoplasia	alveolar maxillary hypoplasia	['524']	['733', '733.1', '733.12']
HP_0001028	Hemangioma	hemangioma	True	D18.0	Hemangioma	hemangioma	['228']	['139', '139.6', '139.61']
HP_0000360	Tinnitus	tinnitus	True	H93.1	Tinnitus	tinnitus	['389', '389.4']	['397', '397.1']
HP_0000362	Otosclerosis	otosclerosis	True	H80	Otosclerosis	otosclerosis	['383']	['391', '391.8']
HP_0000362	Otosclerosis	otosclerosis	True	H80.9	Unspecified otosclerosis	otosclerosis	['383']	['391', '391.8']
HP_0000371	Acute otitis media	acute otitis media	True	H65.0	Acute serous otitis media	acute serous otitis media	['381', '381.1']	['391', '391.1', '391.11']
HP_0000388	Otitis media	otitis media	True	H66.9	Otitis media, unspecified	otitis media	['381', '381.1', '381.11']	['391', '391.1']
HP_0000389	Chronic otitis media	chronic otitis media	True	H65.2	Chronic serous otitis media	chronic serous otitis media	['381', '381.1']	['391', '391.1', '391.12']
HP_0000389	Chronic otitis media	chronic otitis media	True	H65.3	Chronic mucoid otitis media	chronic mucoid otitis media	['381', '381.1']	['391', '391.1', '391.12']
HP_0000389	Chronic otitis media	chronic otitis media	True	H65.41	Chronic allergic otitis media	chronic allergic otitis media	['381', '381.1']	['391', '391.1', '391.12', '840', '840.8']
HP_0000389	Otitis media, chronic	otitis media chronic	False	H65.2	Chronic serous otitis media	chronic serous otitis media	['381', '381.1']	['391', '391.1', '391.12']
HP_0000389	Otitis media, chronic	otitis media chronic	False	H65.3	Chronic mucoid otitis media	chronic mucoid otitis media	['381', '381.1']	['391', '391.1', '391.12']
HP_0000389	Otitis media, chronic	otitis media chronic	False	H65.41	Chronic allergic otitis media	chronic allergic otitis media	['381', '381.1']	['391', '391.1', '391.12', '840', '840.8']
HP_0000400	Macrotia	macrotia	True	Q17.1	Macrotia	macrotia	['749']	['755', '755.2']
HP_0000405	Conductive hearing loss	conductive hearing loss	False	H90.0	Conductive hearing loss, bilateral	conductive hearing loss bilateral	['389', '389.2']	['396', '396.1', '396.11']
