hpo_code	hpo_label	hpo_simpleLabel	hpo_original	phecodeX_code	phecodeX_label	phecodeX_simpleLabel	phecodeX_category
HP_0000107	Kidney cyst	kidney cyst	False	586.2	Cyst of kidney	cyst of kidney	Genitourinary
HP_0000012	Urinary urgency	urinary urgency	True	594.6	Urinary urgency	urinary urgency	Genitourinary
HP_0000012	Overactive bladder	overactive bladder	False	596.2	Overactive bladder	overactive bladder	Genitourinary
HP_0000015	Bladder diverticulum	bladder diverticulum	True	596.3	Diverticulum of bladder	diverticulum of bladder	Genitourinary
HP_0000017	Nocturia	nocturia	True	594.41	Nocturia	nocturia	Genitourinary
HP_0000019	Urinary hesitancy	urinary hesitancy	True	594.11	Urinary hesitancy	urinary hesitancy	Genitourinary
HP_0000020	Urinary incontinence	urinary incontinence	True	594.3	Urinary incontinence	urinary incontinence	Genitourinary
HP_0000023	Inguinal hernia	inguinal hernia	True	520.11	Inguinal hernia	inguinal hernia	GI
HP_0004299	Hernia of the abdominal wall	hernia of the abdominal wall	True	520.1	Hernia of the abdominal wall	hernia of the abdominal wall	GI
HP_0000024	Prostatitis	prostatitis	True	601.1	Prostatitis	prostatitis	Genitourinary
HP_0000027	Azoospermia	azoospermia	True	609.1	Azoospermia	azoospermia	Genitourinary
HP_0000039	Epispadias	epispadias	True	771.27	Epispadias	epispadias	Cong
HP_0000047	Hypospadias	hypospadias	True	771.21	Hypospadias	hypospadias	Cong
HP_0008736	Hypoplasia of penis	hypoplasia of penis	True	771.23	Hypoplasia of penis	hypoplasia of penis	Cong
HP_0000072	Hydroureter	hydroureter	True	581.32	Hydroureter	hydroureter	Genitourinary
HP_0000076	Vesicoureteral reflux	vesicoureteral reflux	True	581.34	Vesicoureteral reflux	vesicoureteral reflux	Genitourinary
HP_0000083	Renal failure	renal failure	False	584	Renal failure	renal failure	Genitourinary
HP_0000086	Ectopic kidney	ectopic kidney	True	773.8	Ectopic kidney*	ectopic kidney	Cong
HP_0000089	Renal hypoplasia	renal hypoplasia	True	773.12	Renal hypoplasia*	renal hypoplasia	Cong
HP_0008678	Renal hypoplasia/aplasia	renal hypoplasiaaplasia	True	773.1	Renal hypoplasia/aplasia	renal hypoplasiaaplasia	Cong
HP_0000093	Proteinuria	proteinuria	True	830	Proteinuria	proteinuria	Signs/Symptoms
HP_0000100	Nephrotic syndrome	nephrotic syndrome	True	580.3	Nephrotic syndrome	nephrotic syndrome	Genitourinary
HP_0000104	Renal agenesis	renal agenesis	True	773.11	Renal agenesis*	renal agenesis	Cong
HP_0000110	Renal dysplasia	renal dysplasia	True	773.2	Renal dysplasia	renal dysplasia	Cong
HP_0000126	Hydronephrosis	hydronephrosis	True	581.31	Hydronephrosis	hydronephrosis	Genitourinary
HP_0000138	Ovarian cyst	ovarian cyst	True	628	Ovarian cyst	ovarian cyst	Genitourinary
HP_0100615	Neoplasm of the ovary	neoplasm of the ovary	False	106.3	Malignant neoplasm of the ovary	malignant neoplasm of the ovary	Neoplasms
HP_0000154	Macrostomia	macrostomia	False	756.41	Macrostomia	macrostomia	Cong
HP_0000158	Macroglossia	macroglossia	True	759.2	Macroglossia	macroglossia	Cong
HP_0000160	Microstomia	microstomia	False	756.42	Microstomia	microstomia	Cong
HP_0000704	Periodontitis	periodontitis	True	504.3	Periodontitis	periodontitis	GI
HP_0000175	Cleft palate	cleft palate	True	757.1	Cleft palate	cleft palate	Cong
HP_0000202	Oral cleft	oral cleft	True	757	Oral cleft	oral cleft	Cong
HP_0000347	Mandibular hypoplasia	mandibular hypoplasia	False	733.14	Mandibular hypoplasia	mandibular hypoplasia	Musc/Skel
HP_0410030	Cleft lip	cleft lip	True	757.2	Cleft lip	cleft lip	Cong
HP_0000206	Glossitis	glossitis	True	509.1	Glossitis	glossitis	GI
HP_0000212	Gingival enlargement	gingival enlargement	False	504.4	Gingival enlargement*	gingival enlargement	GI
HP_0000217	Dry mouth	dry mouth	False	506.51	Dry mouth*	dry mouth	GI
HP_0000221	Plicated tongue	plicated tongue	False	509.5	Plicated tongue	plicated tongue	GI
HP_0000230	Gingivitis	gingivitis	True	504.1	Gingivitis	gingivitis	GI
HP_0000238	Hydrocephalus	hydrocephalus	True	344.1	Hydrocephalus	hydrocephalus	Neuro
HP_0000246	Sinusitis	sinusitis	True	462	Sinusitis	sinusitis	Resp
HP_0004330	Hyperostosis of skull	hyperostosis of skull	False	727.4	Hyperostosis of skull	hyperostosis of skull	Musc/Skel
HP_0000252	Microcephaly	microcephaly	True	750.11	Microcephaly	microcephaly	Cong
HP_0000255	Acute sinusitis	acute sinusitis	True	462.1	Acute sinusitis	acute sinusitis	Resp
HP_0000256	Macrocephaly	macrocephaly	True	758.4	Macrocephaly*	macrocephaly	Cong
HP_0000268	Dolichocephaly	dolichocephaly	True	758.21	Dolichocephaly*	dolichocephaly	Cong
HP_0000969	Edema	edema	True	812	Edema	edema	Signs/Symptoms
HP_0000303	Mandibular hyperplasia	mandibular hyperplasia	False	733.13	Mandibular hyperplasia	mandibular hyperplasia	Musc/Skel
HP_0000316	Hypertelorism	hypertelorism	True	758.5	Hypertelorism	hypertelorism	Cong
HP_0000317	Facial myokymia	facial myokymia	True	334.25	Facial myokymia*	facial myokymia	Neuro
HP_0000327	Maxillary hypoplasia	maxillary hypoplasia	False	733.12	Maxillary hypoplasia	maxillary hypoplasia	Musc/Skel
HP_0001028	Hemangioma	hemangioma	True	139.61	Hemangioma	hemangioma	Neoplasms
HP_0000360	Tinnitus	tinnitus	True	397.1	Tinnitus	tinnitus	Hearing
HP_0000364	Hearing abnormality	hearing abnormality	True	397	Other hearing abnormality	other hearing abnormality	Hearing
HP_0000362	Otosclerosis	otosclerosis	True	391.8	Otosclerosis	otosclerosis	Hearing
HP_0000365	Hearing impairment	hearing impairment	True	396	Hearing impairment	hearing impairment	Hearing
