hpo_code	hpo_label	hpo_simpleLabel	hpo_original	phecodeXupdated_code	phecodeXupdated_label	phecodeXupdated_simpleLabel	phecodeXupdated_category
HP_0000012	Urinary urgency	urinary urgency	True	GU_594.6	Urinary urgency	urinary urgency	Genitourinary
HP_0000012	Overactive bladder	overactive bladder	False	GU_596.2	Overactive bladder	overactive bladder	Genitourinary
HP_0000017	Nocturia	nocturia	True	GU_594.41	Nocturia	nocturia	Genitourinary
HP_0000023	Inguinal hernia	inguinal hernia	True	GI_520.11	Inguinal hernia	inguinal hernia	Gastrointestinal
HP_0004299	Hernia of the abdominal wall	hernia of the abdominal wall	True	GI_520.1	Hernia of the abdominal wall	hernia of the abdominal wall	Gastrointestinal
HP_0000024	Prostatitis	prostatitis	True	GU_602.51	Prostatitis	prostatitis	Genitourinary
HP_0000027	Azoospermia	azoospermia	True	GU_609.1	Azoospermia	azoospermia	Genitourinary
HP_0000039	Epispadias	epispadias	True	CM_760.227	Epispadias	epispadias	Congenital
HP_0000047	Hypospadias	hypospadias	True	CM_760.221	Hypospadias	hypospadias	Congenital
HP_0008736	Hypoplasia of penis	hypoplasia of penis	True	CM_760.223	Hypoplasia of penis	hypoplasia of penis	Congenital
HP_0000072	Hydroureter	hydroureter	True	GU_581.32	Hydroureter	hydroureter	Genitourinary
HP_0000076	Vesicoureteral reflux	vesicoureteral reflux	True	GU_581.34	Vesicoureteral reflux	vesicoureteral reflux	Genitourinary
HP_0000083	Renal failure	renal failure	False	GU_582	Renal failure	renal failure	Genitourinary
HP_0000086	Ectopic kidney	ectopic kidney	True	CM_761.18	Ectopic kidney*	ectopic kidney	Congenital
HP_0000089	Renal hypoplasia	renal hypoplasia	True	CM_761.112	Renal hypoplasia*	renal hypoplasia	Congenital
HP_0008678	Renal hypoplasia/aplasia	renal hypoplasiaaplasia	True	CM_761.11	Renal hypoplasia/aplasia	renal hypoplasiaaplasia	Congenital
HP_0000093	Proteinuria	proteinuria	True	SS_830	Proteinuria	proteinuria	Symptoms
HP_0000099	Glomerulonephritis	glomerulonephritis	True	GU_580.58	C3 glomerulonephritis*	c3 glomerulonephritis	Genitourinary
HP_0000104	Renal agenesis	renal agenesis	True	CM_761.111	Renal agenesis*	renal agenesis	Congenital
HP_0000110	Renal dysplasia	renal dysplasia	True	CM_761.12	Renal dysplasia	renal dysplasia	Congenital
HP_0000126	Hydronephrosis	hydronephrosis	True	GU_581.31	Hydronephrosis	hydronephrosis	Genitourinary
HP_0000138	Ovarian cyst	ovarian cyst	True	GU_619.2	Ovarian cyst	ovarian cyst	Genitourinary
HP_0000141	Amenorrhea	amenorrhea	True	GU_626.111	Amenorrhea	amenorrhea	Genitourinary
HP_0100615	Neoplasm of the ovary	neoplasm of the ovary	False	CA_106.3	Malignant neoplasm of the ovary	malignant neoplasm of the ovary	Neoplasms
HP_0000154	Macrostomia	macrostomia	False	CM_754.31	Macrostomia	macrostomia	Congenital
HP_0000158	Macroglossia	macroglossia	True	CM_754.52	Macroglossia	macroglossia	Congenital
HP_0000160	Microstomia	microstomia	False	CM_754.32	Microstomia	microstomia	Congenital
HP_0000704	Periodontitis	periodontitis	True	GI_504.3	Periodontitis	periodontitis	Gastrointestinal
HP_0000175	Cleft palate	cleft palate	True	CM_754.11	Cleft palate	cleft palate	Congenital
HP_0000202	Oral cleft	oral cleft	True	CM_754.1	Oral cleft	oral cleft	Congenital
HP_0000347	Mandibular hypoplasia	mandibular hypoplasia	False	MS_733.122	Mandibular hypoplasia	mandibular hypoplasia	Muscloskeletal
HP_0000206	Glossitis	glossitis	True	GI_509.1	Glossitis	glossitis	Gastrointestinal
HP_0000212	Gingival enlargement	gingival enlargement	False	GI_504.4	Gingival enlargement*	gingival enlargement	Gastrointestinal
HP_0000217	Dry mouth	dry mouth	False	GI_506.51	Dry mouth*	dry mouth	Gastrointestinal
HP_0000221	Plicated tongue	plicated tongue	False	GI_509.5	Plicated tongue	plicated tongue	Gastrointestinal
HP_0000230	Gingivitis	gingivitis	True	GI_504.1	Gingivitis	gingivitis	Gastrointestinal
HP_0000238	Hydrocephalus	hydrocephalus	True	NS_344.1	Hydrocephalus	hydrocephalus	Neurological
HP_0004330	Hyperostosis of skull	hyperostosis of skull	False	MS_727.4	Hyperostosis of skull	hyperostosis of skull	Muscloskeletal
HP_0000252	Microcephaly	microcephaly	True	CM_750.111	Microcephaly	microcephaly	Congenital
HP_0000255	Acute sinusitis	acute sinusitis	True	RE_462.1	Acute sinusitis	acute sinusitis	Respiratory
HP_0000256	Macrocephaly	macrocephaly	True	CM_755.4	Macrocephaly*	macrocephaly	Congenital
HP_0000268	Dolichocephaly	dolichocephaly	True	CM_755.21	Dolichocephaly*	dolichocephaly	Congenital
HP_0000969	Edema	edema	True	SS_812	Edema	edema	Symptoms
HP_0000303	Mandibular hyperplasia	mandibular hyperplasia	False	MS_733.112	Mandibular hyperplasia	mandibular hyperplasia	Muscloskeletal
HP_0000316	Hypertelorism	hypertelorism	True	CM_755.5	Hypertelorism	hypertelorism	Congenital
