phecodeX_code	phecodeX_label	phecodeX_simpleLabel	phecodeX_category	hpo_code	hpo_label	hpo_simpleLabel	hpo_original
209.13	Hyperprolactinemia*	hyperprolactinemia	Endo	HP_0000870	Hyperprolactinemia	hyperprolactinemia	False
581.34	Vesicoureteral reflux	vesicoureteral reflux	Genitourinary	HP_0000076	Vesicoureteral reflux	vesicoureteral reflux	True
581.34	Vesicoureteral reflux	vesicoureteral reflux	Genitourinary	HP_0033733	Low-grade vesicoureteral reflux	low-grade vesicoureteral reflux	True
581.34	Vesicoureteral reflux	vesicoureteral reflux	Genitourinary	HP_0033735	Grade I vesicoureteral reflux	grade i vesicoureteral reflux	True
581.34	Vesicoureteral reflux	vesicoureteral reflux	Genitourinary	HP_0033736	Grade II vesicoureteral reflux	grade ii vesicoureteral reflux	True
581.34	Vesicoureteral reflux	vesicoureteral reflux	Genitourinary	HP_0033737	Grade III vesicoureteral reflux	grade iii vesicoureteral reflux	True
581.34	Vesicoureteral reflux	vesicoureteral reflux	Genitourinary	HP_0033738	Primary vesicoureteral reflux	primary vesicoureteral reflux	True
581.34	Vesicoureteral reflux	vesicoureteral reflux	Genitourinary	HP_0033739	Secondary vesicoureteral reflux	secondary vesicoureteral reflux	True
581.34	Vesicoureteral reflux	vesicoureteral reflux	Genitourinary	HP_0033740	Grade V vesicoureteral reflux	grade v vesicoureteral reflux	True
581.34	Vesicoureteral reflux	vesicoureteral reflux	Genitourinary	HP_0033741	Grade IV vesicoureteral reflux	grade iv vesicoureteral reflux	True
162.6	Sideroblastic anemia	sideroblastic anemia	Blood	HP_0001924	Sideroblastic anemia	sideroblastic anemia	True
162.6	Sideroblastic anemia	sideroblastic anemia	Blood	HP_0001924	Sideroblastic anaemia	sideroblastic anemia	False
208.22	Secondary hyperparathyroidism	secondary hyperparathyroidism	Endo	HP_0000867	Secondary hyperparathyroidism	secondary hyperparathyroidism	True
802	Throat pain	throat pain	Signs/Symptoms	HP_0033050	Throat pain	throat pain	False
249	Amyloidosis	amyloidosis	Metab	HP_0011034	Amyloidosis	amyloidosis	True
249	Amyloidosis	amyloidosis	Metab	HP_4000041	AA amyloidosis	aa amyloidosis	True
177	Abnormality of the lymph nodes	abnormality of the lymph nodes	Blood	HP_0002733	Abnormality of the lymph nodes	abnormality of the lymph nodes	True
331	Headache	headache	Neuro	HP_0002315	Headache	headache	True
325.11	Abnormal head movements*	abnormal head movements	Neuro	HP_0002457	Abnormal head movements	abnormal head movements	True
320	Meningitis	meningitis	Neuro	HP_0001287	Meningitis	meningitis	True
320	Meningitis	meningitis	Neuro	HP_0033508	EBV meningitis	ebv meningitis	True
333.7	Narcolepsy	narcolepsy	Neuro	HP_0030050	Narcolepsy	narcolepsy	True
345	Encephalopathy	encephalopathy	Neuro	HP_0001298	Encephalopathy	encephalopathy	True
345	Encephalopathy	encephalopathy	Neuro	HP_0006846	Acute encephalopathy	acute encephalopathy	True
375	Abnormal intraocular pressure	abnormal intraocular pressure	Eye	HP_0012632	Abnormal intraocular pressure	abnormal intraocular pressure	True
371	Cataract	cataract	Eye	HP_0000518	Cataract	cataract	True
360	Inflammation of eyelids	inflammation of eyelids	Eye	HP_0000498	Inflammation of eyelids	inflammation of eyelids	False
380.3	Optic atrophy	optic atrophy	Eye	HP_0000648	Optic atrophy	optic atrophy	True
380.3	Optic atrophy	optic atrophy	Eye	HP_0000648	Optic nerve atrophy	optic nerve atrophy	False
380.3	Optic atrophy	optic atrophy	Eye	HP_0001112	Leber optic atrophy	leber optic atrophy	True
381	Strabismus	strabismus	Eye	HP_0000486	Strabismus	strabismus	True
401	Hypertension	hypertension	Cardio	HP_0000822	Hypertension	hypertension	True
414	Cardiomyopathy	cardiomyopathy	Cardio	HP_0001638	Cardiomyopathy	cardiomyopathy	True
