hpo_code	hpo_label	hpo_simpleLabel	hpo_original	ICD10_code	ICD10_label	ICD10_simpleLabel	phecode1.2_codeList	phecodeX_codeList	phecodeXupdated_codeList
HP_0000003	Multicystic dysplastic kidney	multicystic dysplastic kidney	False	Q61.4	Renal dysplasia	renal dysplasia	['751', '751.2', '751.21']	['773', '773.2']	['CM_761.12']
HP_0000110	Renal dysplasia	renal dysplasia	True	Q61.4	Renal dysplasia	renal dysplasia	['751', '751.2', '751.21']	['773', '773.2']	['CM_761.12']
HP_0000107	Renal cyst	renal cyst	True	N28	Other disorders of kidney and ureter, not elsewhere classified	other disorders of kidney and ureter not elsewhere classified		['586']	['GU_586']
HP_0000107	Kidney cyst	kidney cyst	False	N28	Other disorders of kidney and ureter, not elsewhere classified	other disorders of kidney and ureter not elsewhere classified		['586']	['GU_586']
HP_0000010	Urinary tract infections	urinary tract infections	False	N39.0	Urinary tract infection, site not specified	urinary tract infection site not specified	['591']	['591']	['GU_591']
HP_0000011	Neurogenic bladder	neurogenic bladder	True	N31.9	Neuromuscular dysfunction of bladder, unspecified	neuromuscular dysfunction of bladder	['596', '596.5']	['596', '596.5']	['GU_596.5']
HP_0000012	Overactive bladder	overactive bladder	False	N32.8	Other specified disorders of bladder	other specified disorders of bladder	['596']	['596']	['GU_596']
HP_0000012	Overactive bladder	overactive bladder	False	N39.4	Other specified urinary incontinence	other specified urinary incontinence	['599', '599.4']	['594', '594.3']	['GU_594.3']
HP_0000020	Urinary incontinence	urinary incontinence	True	N39.4	Other specified urinary incontinence	other specified urinary incontinence	['599', '599.4']	['594', '594.3']	['GU_594.3']
HP_0000020	Bladder incontinence	bladder incontinence	False	N39.4	Other specified urinary incontinence	other specified urinary incontinence	['599', '599.4']	['594', '594.3']	['GU_594.3']
HP_0000013	Rudimentary uterus	rudimentary uterus	False	Q51	Congenital malformations of uterus and cervix	congenital malformations of uterus and cervix	['751', '751.1', '751.11']	['770']	['CM_760.13']
HP_0001153	Septate vagina	septate vagina	True	Q51	Congenital malformations of uterus and cervix	congenital malformations of uterus and cervix	['751', '751.1', '751.11']	['770']	['CM_760.13']
HP_0000016	Urinary retention	urinary retention	True	R33	Retention of urine	retention of urine	['599', '599.2']	['594', '594.1']	['GU_594.1']
HP_0000019	Urinary hesitancy	urinary hesitancy	True	R33	Retention of urine	retention of urine	['599', '599.2']	['594', '594.1']	['GU_594.1']
HP_0000017	Nocturia	nocturia	True	R35	Polyuria	polyuria	['599', '599.5']	['594', '594.4']	['GU_594.4']
HP_0000017	Nycturia	nycturia	False	R35	Polyuria	polyuria	['599', '599.5']	['594', '594.4']	['GU_594.4']
HP_0000103	Polyuria	polyuria	True	R35	Polyuria	polyuria	['599', '599.5']	['594', '594.4']	['GU_594.4']
HP_0000020	Urinary incontinence	urinary incontinence	True	N39.3	Stress incontinence (female) (male)	stress incontinence female male	['624', '624.9']	['594', '594.3', '594.32']	['GU_594.32']
HP_0000020	Bladder incontinence	bladder incontinence	False	N39.3	Stress incontinence (female) (male)	stress incontinence female male	['624', '624.9']	['594', '594.3', '594.32']	['GU_594.32']
HP_0000020	Urinary incontinence	urinary incontinence	True	R32	Unspecified urinary incontinence	urinary incontinence	['599', '599.4']	['594', '594.3']	['GU_594.3']
HP_0000020	Bladder incontinence	bladder incontinence	False	R32	Unspecified urinary incontinence	urinary incontinence	['599', '599.4']	['594', '594.3']	['GU_594.3']
HP_0000023	Inguinal hernia	inguinal hernia	True	K40	Inguinal hernia	inguinal hernia	['550', '550.1']	['520', '520.1', '520.11']	['GI_520.11']
HP_0000024	Prostatitis	prostatitis	True	N41	Inflammatory diseases of prostate	inflammatory diseases of prostate	['601', '601.1']	['601']	['GU_602.5']
HP_0000026	Male hypogonadism	male hypogonadism	True	E23.0	Hypopituitarism	hypopituitarism	['253', '253.2']	['209', '209.2', '209.22']	['EM_209.2']
HP_0000135	Hypogonadism	hypogonadism	True	E23.0	Hypopituitarism	hypopituitarism	['253', '253.2']	['209', '209.2', '209.22']	['EM_209.2']
HP_0003241	Hypogenitalism	hypogenitalism	False	E23.0	Hypopituitarism	hypopituitarism	['253', '253.2']	['209', '209.2', '209.22']	['EM_209.2']
HP_0000026	Male hypogonadism	male hypogonadism	True	E28.3	Primary ovarian failure	primary ovarian failure	['627', '627.5']	['214', '214.1']	['EM_214.1']
HP_0000135	Hypogonadism	hypogonadism	True	E28.3	Primary ovarian failure	primary ovarian failure	['627', '627.5']	['214', '214.1']	['EM_214.1']
HP_0003241	Hypogenitalism	hypogenitalism	False	E28.3	Primary ovarian failure	primary ovarian failure	['627', '627.5']	['214', '214.1']	['EM_214.1']
HP_0000026	Male hypogonadism	male hypogonadism	True	E29.1	Testicular hypofunction	testicular hypofunction	['257', '257.1']	['215', '215.1']	['EM_215.1']
HP_0000135	Hypogonadism	hypogonadism	True	E29.1	Testicular hypofunction	testicular hypofunction	['257', '257.1']	['215', '215.1']	['EM_215.1']
HP_0003241	Hypogenitalism	hypogenitalism	False	E29.1	Testicular hypofunction	testicular hypofunction	['257', '257.1']	['215', '215.1']	['EM_215.1']
HP_0000027	Azoospermia	azoospermia	True	N46	Male infertility	male infertility	['609', '609.1']	['609']	['GU_609']
HP_0008669	Impaired spermatogenesis	impaired spermatogenesis	False	N46	Male infertility	male infertility	['609', '609.1']	['609']	['GU_609']
HP_0000028	Cryptorchidism	cryptorchidism	True	Q53	Undescended and ectopic testicle	undescended and ectopic testicle	['751', '751.1', '751.12']	['771', '771.1']	['CM_760.21']
HP_0000028	Cryptorchism	cryptorchism	False	Q53	Undescended and ectopic testicle	undescended and ectopic testicle	['751', '751.1', '751.12']	['771', '771.1']	['CM_760.21']
HP_0000028	Undescended testes	undescended testes	False	Q53	Undescended and ectopic testicle	undescended and ectopic testicle	['751', '751.1', '751.12']	['771', '771.1']	['CM_760.21']
HP_0000028	Undescended testis	undescended testis	False	Q53	Undescended and ectopic testicle	undescended and ectopic testicle	['751', '751.1', '751.12']	['771', '771.1']	['CM_760.21']
HP_0010788	Testicular tumor	testicular tumor	False	C62	Malignant neoplasm of testis	malignant neoplasm of testis	['187', '187.2']	['107', '107.3', '130']	['CA_107.3', 'CA_130']
HP_0010788	Testicular tumour	testicular tumor	False	C62	Malignant neoplasm of testis	malignant neoplasm of testis	['187', '187.2']	['107', '107.3', '130']	['CA_107.3', 'CA_130']
HP_0000034	Hydrocele testis	hydrocele testis	True	N43.0	Encysted hydrocele	encysted hydrocele	['603', '603.1']	['603', '603.1']	['GU_603.1']
HP_0000034	Hydrocele testis	hydrocele testis	True	N43.3	Hydrocele, unspecified	hydrocele	['603', '603.1']	['603', '603.1']	['GU_603.1']
HP_0000037	Male pseudohermaphroditism	male pseudohermaphroditism	True	Q56.1	Male pseudohermaphroditism, not elsewhere classified	male pseudohermaphroditism not elsewhere classified	['751', '751.1']	['772', '772.2']	['CM_760.3']
HP_0000037	Male pseudohermaphroditism	male pseudohermaphroditism	True	Q56.3	Pseudohermaphroditism, unspecified	pseudohermaphroditism	['751', '751.1']	['772', '772.2']	['CM_760.3']
HP_0000039	Epispadias	epispadias	True	Q64.0	Epispadias	epispadias	['751', '751.1', '751.12']	['771', '771.2', '771.27']	['CM_760.227']
HP_0000041	Chordee	chordee	True	N48.8	Other specified disorders of penis	other specified disorders of penis	['604']	['604']	['GU_604']
HP_0000041	Chordee	chordee	True	Q54.4	Congenital chordee	congenital chordee	['751', '751.1', '751.12']	['771', '771.2', '771.22']	['CM_760.222']
HP_0000044	Hypogonadotropic hypogonadism	hypogonadotropic hypogonadism	True	N91.1	Secondary amenorrhea	secondary amenorrhea	['626', '626.1', '626.11']	['626', '626.1', '626.11']	['GU_626.111']
HP_0000044	Hypogonadotrophic hypogonadism	hypogonadotrophic hypogonadism	False	N91.1	Secondary amenorrhea	secondary amenorrhea	['626', '626.1', '626.11']	['626', '626.1', '626.11']	['GU_626.111']
HP_0000047	Hypospadias	hypospadias	True	Q54	Hypospadias	hypospadias	['751', '751.1', '751.12']	['771', '771.2', '771.21']	['CM_760.221']
HP_0000047	Hypospadia	hypospadia	False	Q54	Hypospadias	hypospadias	['751', '751.1', '751.12']	['771', '771.2', '771.21']	['CM_760.221']
HP_0000051	Perineal hypospadias	perineal hypospadias	True	Q54	Hypospadias	hypospadias	['751', '751.1', '751.12']	['771', '771.2', '771.21']	['CM_760.221']
HP_0000070	Ureterocele	ureterocele	True	N28.8	Other specified disorders of kidney and ureter	other specified disorders of kidney and ureter	['586']	['586']	['GU_586']
HP_0000072	Megaureter	megaureter	False	N28.8	Other specified disorders of kidney and ureter	other specified disorders of kidney and ureter	['586']	['586']	['GU_586']
HP_0000072	Megaureter	megaureter	False	Q62.2	Congenital megaureter	congenital megaureter	['751', '751.3']	['774', '774.3']	['CM_761.23']
HP_0000076	Vesicoureteral reflux	vesicoureteral reflux	True	N13.7	Vesicoureteral-reflux	vesicoureteral-reflux	['586', '586.1', '586.12']	['581', '581.3', '581.34']	['GU_581.34']
HP_0000076	Vesico-ureteral reflux	vesico-ureteral reflux	False	N13.7	Vesicoureteral-reflux	vesicoureteral-reflux	['586', '586.1', '586.12']	['581', '581.3', '581.34']	['GU_581.34']
HP_0000076	Vesicoureteric reflux	vesicoureteric reflux	False	N13.7	Vesicoureteral-reflux	vesicoureteral-reflux	['586', '586.1', '586.12']	['581', '581.3', '581.34']	['GU_581.34']
HP_0000083	Renal insufficiency	renal insufficiency	True	N18	Chronic kidney disease (CKD)	chronic kidney disease ckd	['585', '585.3']	['583']	['GU_582.2']
HP_0000083	Renal failure	renal failure	False	N17	Acute kidney failure	acute kidney failure	['585', '585.1']	['582']	['GU_582.1']
HP_0000083	Renal failure	renal failure	False	N19	Unspecified kidney failure	kidney failure	['585', '585.2']	['584']	['GU_582']
HP_0000085	Horseshoe kidney	horseshoe kidney	True	Q63.1	Lobulated, fused and horseshoe kidney	lobulated fused and horseshoe kidney	['751', '751.2', '751.22']	['773', '773.7']	['CM_761.17']
HP_0000085	Horseshoe kidneys	horseshoe kidneys	False	Q63.1	Lobulated, fused and horseshoe kidney	lobulated fused and horseshoe kidney	['751', '751.2', '751.22']	['773', '773.7']	['CM_761.17']
HP_0000086	Ectopic kidney	ectopic kidney	True	Q63.2	Ectopic kidney	ectopic kidney	['751', '751.2', '751.22']	['773', '773.8']	['CM_761.18']
HP_0000086	Renal ectopia	renal ectopia	False	Q63.2	Ectopic kidney	ectopic kidney	['751', '751.2', '751.22']	['773', '773.8']	['CM_761.18']
HP_0000090	Nephronophthisis	nephronophthisis	True	Q61.8	Other cystic kidney diseases	other cystic kidney diseases	['751', '751.2', '751.21']	['773', '773.3']	['CM_761.13']
HP_0000093	Proteinuria	proteinuria	True	R80	Proteinuria	proteinuria	['269']	['830']	['SS_830']
HP_0000093	Protein in urine	protein in urine	False	R80	Proteinuria	proteinuria	['269']	['830']	['SS_830']
HP_0000096	Glomerular sclerosis	glomerular sclerosis	True	N26	Unspecified contracted kidney	contracted kidney	['586', '586.1', '586.11']	['586', '586.5']	['GU_586.5']
HP_0000096	Glomerulosclerosis	glomerulosclerosis	False	N26	Unspecified contracted kidney	contracted kidney	['586', '586.1', '586.11']	['586', '586.5']	['GU_586.5']
HP_0000097	Focal segmental glomerulosclerosis	focal segmental glomerulosclerosis	True	N00	Acute nephritic syndrome	acute nephritic syndrome	['580', '580.1', '580.13']	['580', '580.1']	['GU_580.1']
HP_0000112	Nephropathy	nephropathy	True	N00	Acute nephritic syndrome	acute nephritic syndrome	['580', '580.1', '580.13']	['580', '580.1']	['GU_580.1']
HP_0000097	Focal segmental glomerulosclerosis	focal segmental glomerulosclerosis	True	N08	Glomerular disorders in diseases classified elsewhere	glomerular disorders in diseases classified elsewhere	['580', '580.3', '580.31']	['580', '580.4']	['GU_580']
HP_0000100	Nephrotic syndrome	nephrotic syndrome	True	N04	Nephrotic syndrome	nephrotic syndrome	['580', '580.2']	['580', '580.3']	['GU_580']
HP_0000104	Renal agenesis	renal agenesis	True	Q60.0	Renal agenesis, unilateral	renal agenesis unilateral	['751', '751.2', '751.22']	['773', '773.1', '773.11']	['CM_761.111']
HP_0000104	Renal agenesis	renal agenesis	True	Q60.2	Renal agenesis, unspecified	renal agenesis	['751', '751.2', '751.22']	['773', '773.1', '773.11']	['CM_761.111']
HP_0000112	Nephropathy	nephropathy	True	N29	Other disorders of kidney and ureter in diseases classified elsewhere	other disorders of kidney and ureter in diseases classified elsewhere	['586']	['586']	['GU_586']
HP_0000113	Polycystic kidneys	polycystic kidneys	False	Q61	Cystic kidney disease	cystic kidney disease	['751', '751.2', '751.21']	['773', '773.3']	['CM_761.13']
HP_0000121	Nephrocalcinosis	nephrocalcinosis	True	E83.5	Disorders of calcium metabolism	disorders of calcium metabolism	['275', '275.5']	['247', '247.5']	['EM_247.5']
HP_0000131	Uterine leiomyoma	uterine leiomyoma	True	D25	Leiomyoma of uterus	leiomyoma of uterus	['218', '218.1']	['144', '144.2', '144.21']	['CA_144.21']
HP_0000131	Uterine fibroid	uterine fibroid	False	D25	Leiomyoma of uterus	leiomyoma of uterus	['218', '218.1']	['144', '144.2', '144.21']	['CA_144.21']
HP_0000132	Menorrhagia	menorrhagia	True	N92.0	Excessive and frequent menstruation with regular cycle	excessive and frequent menstruation with regular cycle	['626', '626.1', '626.12']	['626', '626.4']	['GU_626.16']
HP_0000132	Hypermenorrhea	hypermenorrhea	False	N92.0	Excessive and frequent menstruation with regular cycle	excessive and frequent menstruation with regular cycle	['626', '626.1', '626.12']	['626', '626.4']	['GU_626.16']
HP_0001892	Bleeding diathesis	bleeding diathesis	False	D69.9	Hemorrhagic condition, unspecified	hemorrhagic condition	['287']	['168', '168.1']	['BI_168.1']
HP_0001892	Bleeding tendency	bleeding tendency	False	D69.9	Hemorrhagic condition, unspecified	hemorrhagic condition	['287']	['168', '168.1']	['BI_168.1']
HP_0001892	Hemorrhagic diathesis	hemorrhagic diathesis	False	D69.9	Hemorrhagic condition, unspecified	hemorrhagic condition	['287']	['168', '168.1']	['BI_168.1']
HP_0000133	Gonadal dysgenesis	gonadal dysgenesis	True	Q99.1	46, XX true hermaphrodite	46 xx true hermaphrodite	['758', '758.1']	['772', '772.1']	['GE_960.36']
HP_0000133	Pure gonadal dysgenesis	pure gonadal dysgenesis	False	Q99.1	46, XX true hermaphrodite	46 xx true hermaphrodite	['758', '758.1']	['772', '772.1']	['GE_960.36']
HP_0000133	Mixed gonadal dysgenesis	mixed gonadal dysgenesis	False	Q96.3	Mosaicism, 45, X/46, XX or XY	mosaicism 45 x46 xx or xy	['758', '758.1']	['797', '797.7']	['GE_960.31']
HP_0000138	Ovarian cyst	ovarian cyst	True	N83.0	Follicular cyst of ovary	follicular cyst of ovary	['628']	['628', '628.1']	['GU_619.21']
HP_0000138	Ovarian cyst	ovarian cyst	True	N83.2	Other and unspecified ovarian cysts	other andovarian cysts	['628']	['628', '628.2']	['GU_619.22']
HP_0000139	Uterine prolapse	uterine prolapse	True	N81.4	Uterovaginal prolapse, unspecified	uterovaginal prolapse	['618', '618.2']	['618', '618.2']	['GU_623.1']
HP_0000141	Amenorrhea	amenorrhea	True	N91.0	Primary amenorrhea	primary amenorrhea	['626', '626.1', '626.11']	['626', '626.1', '626.11']	['GU_626.111']
HP_0000141	Amenorrhea	amenorrhea	True	N91.2	Amenorrhea, unspecified	amenorrhea	['626', '626.1', '626.11']	['626', '626.1', '626.11']	['GU_626.111']
HP_0000143	Rectovaginal fistula	rectovaginal fistula	True	N82.3	Fistula of vagina to large intestine	fistula of vagina to large intestine	['617']	['617']	['GU_623.8']
HP_0000143	Rectovaginal fistula	rectovaginal fistula	True	Q52.2	Congenital rectovaginal fistula	congenital rectovaginal fistula	['751', '751.1', '751.11']	['770']	['CM_760.15']
HP_0100590	Rectal fistula	rectal fistula	True	K60.3	Anal fistula	anal fistula	['565']	['532', '532.1']	['GI_532.1']
HP_0000145	Transverse vaginal septum	transverse vaginal septum	True	Q52.1	Doubling of vagina	doubling of vagina	['751', '751.1', '751.11']	['770', '770.5']	['CM_760.152']
HP_0001153	Double vagina	double vagina	False	Q52.1	Doubling of vagina	doubling of vagina	['751', '751.1', '751.11']	['770', '770.5']	['CM_760.152']
HP_0000147	Polycystic ovaries	polycystic ovaries	True	E28.2	Polycystic ovarian syndrome	polycystic ovarian syndrome	['256', '256.4']	['628', '628.3']	['GU_619.23']
HP_0000147	Polycystic ovary	polycystic ovary	False	E28.2	Polycystic ovarian syndrome	polycystic ovarian syndrome	['256', '256.4']	['628', '628.3']	['GU_619.23']
HP_0000154	Macrostomia	macrostomia	False	Q18.4	Macrostomia	macrostomia	['749']	['756', '756.4', '756.41']	['CM_754.31']
HP_0000155	Oral ulcer	oral ulcer	True	K12	Stomatitis and related lesions	stomatitis and related lesions		['507']	['GI_507']
HP_0000155	Mouth ulcer	mouth ulcer	False	K12	Stomatitis and related lesions	stomatitis and related lesions		['507']	['GI_507']
HP_0000158	Macroglossia	macroglossia	True	K14.8	Other diseases of tongue	other diseases of tongue	['529']	['509']	['GI_509']
HP_0000158	Macroglossia	macroglossia	True	Q38.2	Macroglossia	macroglossia	['750', '750.1', '750.13']	['759', '759.2']	['CM_754.52']
HP_0000160	Microstomia	microstomia	False	Q18.5	Microstomia	microstomia	['749']	['756', '756.4', '756.42']	['CM_754.32']
HP_0000160	Small mouth	small mouth	False	Q18.5	Microstomia	microstomia	['749']	['756', '756.4', '756.42']	['CM_754.32']
HP_0000204	Harelip	harelip	False	Q35	Cleft palate	cleft palate	['749', '749.1']	['757', '757.1']	['CM_754.11']
HP_0000175	Cleft palate	cleft palate	True	Q35	Cleft palate	cleft palate	['749', '749.1']	['757', '757.1']	['CM_754.11']
