phecode1.2_code	phecode1.2_label	phecode1.2_category	hpo_code	hpo_label	stringMatch_hpo-phecode1.2	subStringMatch_hpo-to-phecode1.2	subStringMatch_phecode1.2-to-hpo	stringMatch_hpo-ICD9	subStringMatch_hpo-to-ICD9	subStringMatch_ICD9-to-hpo	stringMatch_hpo-ICD10	subStringMatch_hpo-to-ICD10	subStringMatch_ICD10-to-hpo	SORTA_phecode1.2-to-hpo	SORTA_ICD9-to-hpo	SORTA_ICD10-to-hpo	PheMap_phecode1.2-hpo	sharedUMLSCUI_ICD9-hpo	sharedUMLSCUIplusRel_ICD9-hpo	sharedUMLSCUI_ICD10-hpo	sharedUMLSCUIplusRel_ICD10-hpo	wikiMedMap_hpo-to-ICD9	wikiMedMap_hpo-to-ICD10	StrongEvidenceSpecific	StrongEvidenceBroad	AnyEvidence
008	Intestinal infection	infectious diseases	HP_0005661	Salmonella osteomyelitis						True			True		87.8	87.8										True
008	Intestinal infection	infectious diseases	HP_0100523	Liver abscess											84.85	84.85										True
008	Intestinal infection	infectious diseases	HP_0032167	Clostridium difficile enteritis												83.87										True
008	Intestinal infection	infectious diseases	HP_0200042	Skin ulcer											81.48											True
008	Intestinal infection	infectious diseases	HP_0002028	Chronic diarrhea																			True			True
008	Intestinal infection	infectious diseases	HP_0011024	Abnormality of the gastrointestinal tract																	True					True
008	Intestinal infection	infectious diseases	HP_0030049	Brain abscess											84.85	84.85										True
008	Intestinal infection	infectious diseases	HP_0005208	Secretory diarrhea																			True			True
008	Intestinal infection	infectious diseases	HP_0004798	Recurrent infection of the gastrointestinal tract															True							True
008	Intestinal infection	infectious diseases	HP_0032168	Clostridium difficile colitis																	True	True	True			True
008	Intestinal infection	infectious diseases	HP_0004387	Enterocolitis																			True			True
008	Intestinal infection	infectious diseases	HP_0033143	Jejunitis																		True	True			True
008	Intestinal infection	infectious diseases	HP_0025085	Bloody diarrhea																		True	True			True
008	Intestinal infection	infectious diseases	HP_0002014	Diarrhea															True				True			True
008	Intestinal infection	infectious diseases	HP_0025044	Lung abscess											83.87	83.87										True
008.5	Bacterial enteritis	infectious diseases	HP_0004387	Enterocolitis																			True			True
008.5	Bacterial enteritis	infectious diseases	HP_0032168	Clostridium difficile colitis																	True	True	True			True
008.5	Bacterial enteritis	infectious diseases	HP_0025085	Bloody diarrhea																		True	True			True
008.5	Bacterial enteritis	infectious diseases	HP_0005661	Salmonella osteomyelitis						True			True		87.8	87.8										True
008.5	Bacterial enteritis	infectious diseases	HP_0032167	Clostridium difficile enteritis												83.87										True
008.5	Bacterial enteritis	infectious diseases	HP_0033143	Jejunitis																		True	True			True
