phecodeXupdated_code	phecodeXupdated_label	phecodeXupdated_category	hpo_code	hpo_label	stringMatch_hpo-phecodeXupdated	subStringMatch_hpo-to-phecodeXupdated	subStringMatch_phecodeXupdated-to-hpo	stringMatch_hpo-ICD9	subStringMatch_hpo-to-ICD9	subStringMatch_ICD9-to-hpo	stringMatch_hpo-ICD10	subStringMatch_hpo-to-ICD10	subStringMatch_ICD10-to-hpo	SORTA_phecodeXupdated-to-hpo	SORTA_ICD9-to-hpo	SORTA_ICD10-to-hpo	sharedUMLSCUI_ICD9-hpo	sharedUMLSCUIplusRel_ICD9-hpo	sharedUMLSCUI_ICD10-hpo	sharedUMLSCUIplusRel_ICD10-hpo	wikiMedMap_hpo-to-ICD9	wikiMedMap_hpo-to-ICD10	StrongEvidenceSpecific	StrongEvidenceBroad	AnyEvidence
BI_160	Deficiency anemias	Blood/Immune	HP_0001871	Abnormality of blood and blood-forming tissues													True	True						True	True
BI_160	Deficiency anemias	Blood/Immune	HP_0001889	Megaloblastic anemia																	True				True
BI_160	Deficiency anemias	Blood/Immune	HP_0001891	Iron deficiency anemia						True				84.85	84.85										True
BI_160.1	Iron deficiency anemia	Blood/Immune	HP_0001871	Abnormality of blood and blood-forming tissues													True	True						True	True
BI_160.1	Iron deficiency anemia	Blood/Immune	HP_0001891	Iron deficiency anemia	True	True	True	True	True	True	True	True	True	100.0	100.0	100.0	True	True	True	True	True	True	True	True	True
BI_160.1	Iron deficiency anemia	Blood/Immune	HP_0001903	Anemia																	True	True			True
BI_160.1	Iron deficiency anemia	Blood/Immune	HP_0001931	Hypochromic anemia															True	True				True	True
BI_160.1	Iron deficiency anemia	Blood/Immune	HP_0001935	Microcytic anemia																		True			True
BI_160.1	Iron deficiency anemia	Blood/Immune	HP_0005505	Refractory anemia																	True	True			True
BI_160.1	Iron deficiency anemia	Blood/Immune	HP_0005511	Heinz body anemia																	True	True			True
BI_160.11	Iron deficiency anemia secondary to blood loss	Blood/Immune	HP_0001871	Abnormality of blood and blood-forming tissues													True	True						True	True
BI_160.2	Megaloblastic anemia	Blood/Immune	HP_0001889	Megaloblastic anemia	True	True	True							100.0					True	True		True	True	True	True
BI_160.2	Megaloblastic anemia	Blood/Immune	HP_0100502	Vitamin B12 deficiency								True				84.44									True
BI_160.2	Megaloblastic anemia	Blood/Immune	HP_0001871	Abnormality of blood and blood-forming tissues													True	True						True	True
BI_160.21	Vitamin B12 deficiency anemia due to intrinsic factor deficiency [Pernicious anemia]	Blood/Immune	HP_0001871	Abnormality of blood and blood-forming tissues													True	True						True	True
BI_160.21	Vitamin B12 deficiency anemia due to intrinsic factor deficiency [Pernicious anemia]	Blood/Immune	HP_0100502	Vitamin B12 deficiency											84.44										True
BI_160.22	Folate-deficiency anemia	Blood/Immune	HP_0001871	Abnormality of blood and blood-forming tissues													True	True						True	True
BI_160.22	Folate-deficiency anemia	Blood/Immune	HP_0001889	Megaloblastic anemia																		True			True
BI_160.22	Folate-deficiency anemia	Blood/Immune	HP_0001972	Macrocytic anemia																		True			True
BI_160.22	Folate-deficiency anemia	Blood/Immune	HP_0100507	Reduced blood folate concentration								True										True			True
BI_160.3	Protein-deficiency anemia	Blood/Immune	HP_0001871	Abnormality of blood and blood-forming tissues													True	True						True	True
BI_161.2	Extrinsic (acquired) hemolytic anemias	Blood/Immune	HP_0004818	Paroxysmal nocturnal hemoglobinuria																	True				True
BI_161.2	Extrinsic (acquired) hemolytic anemias	Blood/Immune	HP_0001871	Abnormality of blood and blood-forming tissues													True	True						True	True
BI_161.2	Extrinsic (acquired) hemolytic anemias	Blood/Immune	HP_0001878	Hemolytic anemia											81.08	81.08			True	True	True	True		True	True
BI_161.2	Extrinsic (acquired) hemolytic anemias	Blood/Immune	HP_0001890	Autoimmune hemolytic anemia											92.59	90.57									True
BI_161.2	Extrinsic (acquired) hemolytic anemias	Blood/Immune	HP_0001937	Microangiopathic hemolytic anemia															True	True	True	True		True	True
BI_161.2	Extrinsic (acquired) hemolytic anemias	Blood/Immune	HP_0003641	Hemoglobinuria																	True				True
BI_161.21	Autoimmune hemolytic anemias [AIHA]	Blood/Immune	HP_0001890	Autoimmune hemolytic anemia							True	True	True	90.91	100.0	100.0	True	True			True	True		True	True
BI_161.21	Autoimmune hemolytic anemias [AIHA]	Blood/Immune	HP_0001871	Abnormality of blood and blood-forming tissues													True	True						True	True
BI_161.21	Autoimmune hemolytic anemias [AIHA]	Blood/Immune	HP_0001878	Hemolytic anemia															True	True				True	True
BI_161.22	Hemolytic-uremic syndrome	Blood/Immune	HP_0001871	Abnormality of blood and blood-forming tissues													True	True						True	True
BI_161.22	Hemolytic-uremic syndrome	Blood/Immune	HP_0001878	Hemolytic anemia															True	True				True	True
BI_161.22	Hemolytic-uremic syndrome	Blood/Immune	HP_0005575	Hemolytic-uremic syndrome	True	True	True	True	True	True	True	True	True	100.0	100.0	100.0	True	True	True	True	True	True	True	True	True
BI_161.23	Drug-induced hemolytic anemia*	Blood/Immune	HP_0001878	Hemolytic anemia															True	True				True	True
BI_162	Aplastic anemia	Blood/Immune	HP_0012410	Pure red cell aplasia																	True				True
BI_162	Aplastic anemia	Blood/Immune	HP_0001871	Abnormality of blood and blood-forming tissues													True	True						True	True
BI_162	Aplastic anemia	Blood/Immune	HP_0001876	Pancytopenia																		True			True
BI_162	Aplastic anemia	Blood/Immune	HP_0001908	Hypoplastic anemia															True	True				True	True
BI_162	Aplastic anemia	Blood/Immune	HP_0001915	Aplastic anemia	True	True	True	True	True	True	True	True	True	100.0	100.0	100.0	True	True	True	True	True	True	True	True	True
BI_162	Aplastic anemia	Blood/Immune	HP_0012133	Erythroid hypoplasia															True	True				True	True
BI_162.1	Constitutional (hereditary) aplastic anemia	Blood/Immune	HP_0001871	Abnormality of blood and blood-forming tissues													True	True						True	True
BI_162.1	Constitutional (hereditary) aplastic anemia	Blood/Immune	HP_0004810	Congenital hypoplastic anemia															True	True	True	True		True	True
BI_162.2	Acquired pure red cell aplasia [erythroblastopenia]	Blood/Immune	HP_0012410	Pure red cell aplasia								True				86.27						True			True
BI_162.2	Acquired pure red cell aplasia [erythroblastopenia]	Blood/Immune	HP_0001871	Abnormality of blood and blood-forming tissues													True	True						True	True
BI_162.2	Acquired pure red cell aplasia [erythroblastopenia]	Blood/Immune	HP_0001915	Aplastic anemia																		True			True
BI_162.8	Pancytopenia	Blood/Immune	HP_0001871	Abnormality of blood and blood-forming tissues													True	True						True	True
BI_162.8	Pancytopenia	Blood/Immune	HP_0001876	Pancytopenia	True	True	True	True	True	True	True	True	True	100.0	100.0	100.0	True	True	True	True	True		True	True	True
BI_162.81	Drug-induced pancytopenia	Blood/Immune	HP_0001871	Abnormality of blood and blood-forming tissues													True	True						True	True
BI_164	Anemia	Blood/Immune	HP_0004810	Congenital hypoplastic anemia							True	True	True			100.0			True	True	True	True		True	True
BI_164	Anemia	Blood/Immune	HP_0004804	Congenital hemolytic anemia											80.0							True			True
BI_164	Anemia	Blood/Immune	HP_0005505	Refractory anemia																	True	True			True
BI_164	Anemia	Blood/Immune	HP_0001937	Microangiopathic hemolytic anemia															True	True	True	True		True	True
BI_164	Anemia	Blood/Immune	HP_0010972	Anemia of inadequate production								True													True
BI_164	Anemia	Blood/Immune	HP_0012133	Erythroid hypoplasia															True	True				True	True
BI_164	Anemia	Blood/Immune	HP_0005511	Heinz body anemia																	True	True			True
BI_164	Anemia	Blood/Immune	HP_0001915	Aplastic anemia				True	True	True	True	True	True		100.0	100.0	True	True	True	True	True	True		True	True
BI_164	Anemia	Blood/Immune	HP_0012410	Pure red cell aplasia																	True				True
BI_164	Anemia	Blood/Immune	HP_0001903	Anemia	True	True	True	True	True	True	True	True	True	100.0	100.0	100.0	True	True	True	True	True	True	True	True	True
BI_164	Anemia	Blood/Immune	HP_0001891	Iron deficiency anemia											84.85										True
BI_164	Anemia	Blood/Immune	HP_0001890	Autoimmune hemolytic anemia							True	True	True		100.0	100.0	True	True			True	True		True	True
BI_164	Anemia	Blood/Immune	HP_0001889	Megaloblastic anemia																	True				True
BI_164	Anemia	Blood/Immune	HP_0001878	Hemolytic anemia											81.08	81.08			True	True	True	True		True	True
BI_164	Anemia	Blood/Immune	HP_0001876	Pancytopenia																		True			True
BI_164	Anemia	Blood/Immune	HP_0001871	Abnormality of blood and blood-forming tissues													True	True						True	True
BI_164	Anemia	Blood/Immune	HP_0001908	Hypoplastic anemia															True	True				True	True
BI_164.1	Microcytic anemia	Blood/Immune	HP_0005511	Heinz body anemia																	True	True			True
BI_164.1	Microcytic anemia	Blood/Immune	HP_0005505	Refractory anemia																	True	True			True
BI_164.1	Microcytic anemia	Blood/Immune	HP_0001935	Microcytic anemia	True	True	True							100.0								True	True	True	True
BI_164.1	Microcytic anemia	Blood/Immune	HP_0001871	Abnormality of blood and blood-forming tissues													True	True						True	True
BI_164.1	Microcytic anemia	Blood/Immune	HP_0001903	Anemia																	True	True			True
BI_164.1	Microcytic anemia	Blood/Immune	HP_0001891	Iron deficiency anemia				True	True	True	True	True	True		100.0	100.0	True	True	True	True	True	True		True	True
BI_164.1	Microcytic anemia	Blood/Immune	HP_0001931	Hypochromic anemia															True	True				True	True
BI_164.2	Macrocytic anemia	Blood/Immune	HP_0100507	Reduced blood folate concentration								True										True			True
BI_164.2	Macrocytic anemia	Blood/Immune	HP_0001972	Macrocytic anemia	True	True	True							100.0								True	True	True	True
BI_164.2	Macrocytic anemia	Blood/Immune	HP_0100502	Vitamin B12 deficiency								True			84.44	84.44									True
BI_164.2	Macrocytic anemia	Blood/Immune	HP_0001889	Megaloblastic anemia															True	True		True		True	True
BI_164.2	Macrocytic anemia	Blood/Immune	HP_0001871	Abnormality of blood and blood-forming tissues													True	True						True	True
BI_164.2	Macrocytic anemia	Blood/Immune	HP_0001891	Iron deficiency anemia						True					84.85										True
BI_164.3	Acute posthemorrhagic anemia	Blood/Immune	HP_0001871	Abnormality of blood and blood-forming tissues													True	True						True	True
BI_164.6	Anemia secondary to chronic diseases and conditions	Blood/Immune	HP_0001871	Abnormality of blood and blood-forming tissues													True	True						True	True
BI_164.6	Anemia secondary to chronic diseases and conditions	Blood/Immune	HP_0012622	Chronic kidney disease					True			True			86.27	86.27									True
BI_164.7	Myelophthisis	Blood/Immune	HP_0001871	Abnormality of blood and blood-forming tissues													True	True						True	True
BI_164.8	Sideroblastic anemia	Blood/Immune	HP_0001871	Abnormality of blood and blood-forming tissues													True	True						True	True
BI_164.8	Sideroblastic anemia	Blood/Immune	HP_0001924	Sideroblastic anemia	True	True	True	True	True	True				100.0	100.0	100.0	True	True	True	True	True	True	True	True	True
BI_164.8	Sideroblastic anemia	Blood/Immune	HP_0004864	Refractory sideroblastic anemia														True		True					True
