phecode1.2_code	phecode1.2_label	phecode1.2_category	hpo_code	hpo_label	stringMatch_hpo-phecode1.2	subStringMatch_hpo-to-phecode1.2	subStringMatch_phecode1.2-to-hpo	stringMatch_hpo-ICD9	subStringMatch_hpo-to-ICD9	subStringMatch_ICD9-to-hpo	stringMatch_hpo-ICD10	subStringMatch_hpo-to-ICD10	subStringMatch_ICD10-to-hpo	SORTA_phecode1.2-to-hpo	SORTA_ICD9-to-hpo	SORTA_ICD10-to-hpo	PheMap_phecode1.2-hpo	sharedUMLSCUI_ICD9-hpo	sharedUMLSCUIplusRel_ICD9-hpo	sharedUMLSCUI_ICD10-hpo	sharedUMLSCUIplusRel_ICD10-hpo	wikiMedMap_hpo-to-ICD9	wikiMedMap_hpo-to-ICD10	StrongEvidenceSpecific	StrongEvidenceBroad	AnyEvidence
038.3	Bacteremia	infectious diseases	HP_0031864	Bacteremia	True	True	True	True	True	True	True	True	True	100.0	100.0	100.0	64.01594118190121	True	True	True	True	True		True	True	True
041	Bacterial infection NOS	infectious diseases	HP_0100658	Cellulitis			True						True	85.71		85.71								True	True	True
041.12	Methicillin resistant Staphylococcus aureus	infectious diseases	HP_0032326	Methicillin-resistant Staphylococcus aureus infection										91.76		93.88	96.36601830107605			True	True			True	True	True
041.9	Infection with drug-resistant microorganisms	infectious diseases	HP_0032326	Methicillin-resistant Staphylococcus aureus infection													100.22949141695395							True	True	True
070	Viral hepatitis	infectious diseases	HP_0006562	Viral hepatitis	True	True	True	True	True	True	True	True	True	100.0	100.0	100.0		True	True	True	True	True	True	True	True	True
070.1	Viral hepatitis A	infectious diseases	HP_0006562	Viral hepatitis		True								100.0						True	True			True	True	True
070.2	Viral hepatitis B	infectious diseases	HP_0006562	Viral hepatitis		True						True		92.31		92.31				True	True			True	True	True
070.3	Viral hepatitis C	infectious diseases	HP_0006562	Viral hepatitis		True			True			True		92.31	92.31	92.31				True	True			True	True	True
070.4	Chronic hepatitis	infectious diseases	HP_0200120	Chronic active hepatitis			True			True			True						True					True	True	True
070.4	Chronic hepatitis	infectious diseases	HP_0200123	Chronic hepatitis	True	True	True	True	True	True	True	True	True	100.0	100.0	100.0		True	True	True	True			True	True	True
070.9	Hepatitis NOS	infectious diseases	HP_0012115	Hepatitis	True	True	True	True	True	True				100.0	100.0		24.08329553850245	True	True	True	True	True	True	True	True	True
078	Viral warts & HPV	infectious diseases	HP_0032301	Genital warts													44.821437668653545	True	True	True	True	True	True	True	True	True
078	Viral warts & HPV	infectious diseases	HP_0200043	Verrucae													96.47395006220884	True	True	True	True	True	True	True	True	True
079	Viral infection	infectious diseases	HP_0031691	Severe viral infection			True			True			True	81.25	81.25	81.25								True	True	True
079.2	Infectious mononucleosis	infectious diseases	HP_0031693	Severe Epstein Barr virus infection			True			True			True	85.71	85.71	85.71								True	True	True
079.9	Viremia, NOS	infectious diseases	HP_0020071	Viremia	True	True	True	True	True	True				100.0	100.0			True	True	True	True	True	True	True	True	True
1003	Sudden death		HP_0001699	Sudden death	True	True	True							100.0										True	True	True
1005	Other symptoms		HP_0002045	Hypothermia													52.52043095465066							True	True	True
110.1	Dermatophytosis	infectious diseases	HP_0032515	Deep dermatophytosis			True		True				True	85.71	88.89	85.71		True	True					True	True	True
110.11	Dermatophytosis of nail	infectious diseases	HP_0012203	Onychomycosis													102.29188677337416		True	True	True	True	True	True	True	True
1100	Family history		HP_0032316	Family history	True	True	True							100.0										True	True	True
117.1	Histoplasmosis	infectious diseases	HP_0032256	Histoplasmosis	True	True	True	True	True	True	True	True	True	100.0	100.0	100.0	18.82101096118217	True	True	True	True	True	True	True	True	True
117.2	Coccidioidomycosis	infectious diseases	HP_0032249	Coccidioidomycosis	True	True	True	True	True	True	True	True	True	100.0	100.0	100.0	29.341630204527146	True	True	True	True	True	True	True	True	True
131	Protozoan infection	infectious diseases	HP_0020104	Unusual protozoan infection			True							85.0										True	True	True
149.4	Cancer of larynx	neoplasms	HP_0012118	Laryngeal carcinoma			True							100.0								True	True	True	True	True
150	Cancer of esophagus	neoplasms	HP_0100751	Esophageal neoplasm													61.51714068482668					True	True	True	True	True
151	Cancer of stomach	neoplasms	HP_0012126	Stomach cancer		True								100.0			22.346705998880893	True	True	True	True	True	True	True	True	True
153.2	Colon cancer	neoplasms	HP_0003003	Colon cancer	True	True	True							100.0				True	True	True	True	True	True	True	True	True
155	Cancer of liver and intrahepatic bile duct	neoplasms	HP_0030153	Cholangiocarcinoma													89.07512283703596			True	True	True	True	True	True	True
