phecodeX_code	phecodeX_label	phecodeX_category	hpo_code	hpo_label	stringMatch_hpo-phecodeX	subStringMatch_hpo-to-phecodeX	subStringMatch_phecodeX-to-hpo	stringMatch_hpo-ICD9	subStringMatch_hpo-to-ICD9	subStringMatch_ICD9-to-hpo	stringMatch_hpo-ICD10	subStringMatch_hpo-to-ICD10	subStringMatch_ICD10-to-hpo	SORTA_phecodeX-to-hpo	SORTA_ICD9-to-hpo	SORTA_ICD10-to-hpo	sharedUMLSCUI_ICD9-hpo	sharedUMLSCUIplusRel_ICD9-hpo	sharedUMLSCUI_ICD10-hpo	sharedUMLSCUIplusRel_ICD10-hpo	wikiMedMap_hpo-to-ICD9	wikiMedMap_hpo-to-ICD10	StrongEvidenceSpecific	StrongEvidenceBroad	AnyEvidence
001	Salmonella	ID	HP_0005661	Salmonella osteomyelitis				True	True	True	True	True	True		100.0	100.0	True	True	True	True				True	True
002	Staphylococcus	ID	HP_0032326	Methicillin-resistant Staphylococcus aureus infection											81.25	93.88			True	True				True	True
002.1	Staphylococcus aureus	ID	HP_0032326	Methicillin-resistant Staphylococcus aureus infection											81.25	93.88			True	True				True	True
003	Escherichia coli	ID	HP_0002740	Recurrent E. coli infections													True	True	True	True				True	True
004	Streptococcus	ID	HP_0011024	Abnormality of the gastrointestinal tract													True	True						True	True
004	Streptococcus	ID	HP_0001055	Erysipelas				True	True	True	True	True	True		100.0	100.0	True	True	True	True	True			True	True
004.1	Streptococcus pneumoniae	ID	HP_0011024	Abnormality of the gastrointestinal tract													True	True						True	True
005	Mycobacteria	ID	HP_0032262	Pulmonary tuberculosis				True	True	True					100.0		True	True	True	True	True			True	True
005.1	Mycobacterium tuberculosis	ID	HP_0032262	Pulmonary tuberculosis				True	True	True					100.0		True	True	True	True	True			True	True
015.2	Clostridium difficile	ID	HP_0032168	Clostridium difficile colitis			True													True	True	True	True	True	True
015.2	Clostridium difficile	ID	HP_0032167	Clostridium difficile enteritis			True							87.5		83.87							True	True	True
020	Borrelia	ID	HP_0001954	Recurrent fever														True	True	True				True	True
020	Borrelia	ID	HP_0001271	Polyneuropathy															True	True				True	True
020.1	Lyme disease	ID	HP_0001271	Polyneuropathy															True	True				True	True
024	Pertussis	ID	HP_0031247	Whooping cough				True	True	True	True	True	True		100.0	100.0	True	True	True	True	True	True		True	True
038	Erysipelothrix	ID	HP_0031180	Erythema migrans															True	True				True	True
042	Tropheryma	ID	HP_0011024	Abnormality of the gastrointestinal tract															True	True				True	True
052	Herpesvirus	ID	HP_0012302	Herpes simplex encephalitis															True	True	True	True		True	True
052	Herpesvirus	ID	HP_0020098	obsolete Herpes encephalitis															True	True				True	True
052.1	Herpes simplex	ID	HP_0012302	Herpes simplex encephalitis															True	True	True	True		True	True
052.1	Herpes simplex	ID	HP_0020098	obsolete Herpes encephalitis															True	True				True	True
052.4	Infectious mononucleosis	ID	HP_0031693	Severe Epstein Barr virus infection			True			True			True	85.71	85.71	85.71							True	True	True
054	Hepatovirus	ID	HP_0011024	Abnormality of the gastrointestinal tract													True	True						True	True
054	Hepatovirus	ID	HP_0200119	Acute hepatitis								True				100.0			True	True				True	True
054	Hepatovirus	ID	HP_0006562	Viral hepatitis				True	True	True	True	True	True		100.0	100.0	True	True	True	True	True	True		True	True
054.1	Hepatitis A	ID	HP_0012115	Hepatitis		True								100.0						True			True	True	True
054.1	Hepatitis A	ID	HP_0006562	Viral hepatitis															True	True		True		True	True
054.1	Hepatitis A	ID	HP_0200119	Acute hepatitis								True				100.0								True	True
054.2	Hepatitis B	ID	HP_0012115	Hepatitis		True								85.71						True			True	True	True
054.2	Hepatitis B	ID	HP_0006562	Viral hepatitis								True				92.31			True	True				True	True
054.21	Hepatitis delta	ID	HP_0006562	Viral hepatitis															True	True				True	True
054.3	Hepatitis C	ID	HP_0006562	Viral hepatitis					True			True			92.31	92.31			True	True				True	True
054.3	Hepatitis C	ID	HP_0012115	Hepatitis		True								85.71						True			True	True	True
054.31	Chronic hepatitis C	ID	HP_0006562	Viral hepatitis															True	True				True	True
054.31	Chronic hepatitis C	ID	HP_0200123	Chronic hepatitis		True						True		93.33									True	True	True
054.32	Acute hepatitis C	ID	HP_0200119	Acute hepatitis		True						True		91.67		91.67							True	True	True
054.32	Acute hepatitis C	ID	HP_0006562	Viral hepatitis															True	True				True	True
054.5	Hepatitis E	ID	HP_0006562	Viral hepatitis															True	True				True	True
054.5	Hepatitis E	ID	HP_0012115	Hepatitis		True								85.71						True			True	True	True
055	Poxvirus	ID	HP_0032163	Molluscum contagiosum				True	True	True	True	True	True		100.0	100.0	True	True	True	True	True	True		True	True
055.1	Molluscum contagiosum	ID	HP_0032163	Molluscum contagiosum	True	True	True	True	True	True	True	True	True	100.0	100.0	100.0	True	True	True	True	True	True	True	True	True
056	Human papillomavirus	ID	HP_0550004	Verruca plana															True	True	True	True		True	True
056	Human papillomavirus	ID	HP_0200043	Verrucae													True	True	True	True	True	True		True	True
056	Human papillomavirus	ID	HP_0033005	Plantar warts											100.0	100.0	True	True	True	True	True			True	True
056	Human papillomavirus	ID	HP_0032301	Genital warts													True	True	True	True	True	True		True	True
056.1	Plantar wart	ID	HP_0033005	Plantar warts										100.0	100.0	100.0	True	True	True	True	True		True	True	True
056.2	Anogenital (venereal) warts	ID	HP_0032301	Genital warts													True	True	True	True	True	True		True	True
070	Candidiasis	ID	HP_0033351	Candida esophagitis											90.32	90.32	True	True	True	True	True			True	True
071	Coccidioides	ID	HP_0032161	Coccidioidal meningitis				True	True	True					100.0		True	True	True	True				True	True
071	Coccidioides	ID	HP_0032249	Coccidioidomycosis				True	True	True	True	True	True		100.0	100.0	True	True	True	True	True	True		True	True
072	Histoplasmosis	ID	HP_0032256	Histoplasmosis	True	True	True	True	True	True	True	True	True	100.0	100.0	100.0	True	True	True	True	True	True	True	True	True
072	Histoplasmosis	ID	HP_0032257	Disseminated histoplasmosis								True				82.14			True	True				True	True
074	Aspergillosis	ID	HP_0020103	Invasive pulmonary aspergillosis							True	True	True			100.0			True	True				True	True
075	Cryptococcosis	ID	HP_0032160	Cryptococcal meningitis				True	True	True					100.0		True	True	True	True	True	True		True	True
076	Pneumocystosis	ID	HP_0020102	Pneumocystis jirovecii pneumonia													True	True	True	True	True	True		True	True
088	Sexually transmitted disease	ID	HP_0033782	Semilunar tooth															True	True				True	True
088	Sexually transmitted disease	ID	HP_0032301	Genital warts															True	True		True		True	True
089	Infections	ID	HP_0033005	Plantar warts											100.0	100.0	True	True	True	True	True			True	True
089	Infections	ID	HP_0012302	Herpes simplex encephalitis															True	True	True	True		True	True
089	Infections	ID	HP_0550004	Verruca plana															True	True	True	True		True	True
089	Infections	ID	HP_0032163	Molluscum contagiosum				True	True	True	True	True	True		100.0	100.0	True	True	True	True	True	True		True	True
089	Infections	ID	HP_0005661	Salmonella osteomyelitis				True	True	True	True	True	True		100.0	100.0	True	True	True	True				True	True
089	Infections	ID	HP_0020071	Viremia															True	True		True		True	True
089	Infections	ID	HP_0001954	Recurrent fever														True	True	True				True	True
089	Infections	ID	HP_0002740	Recurrent E. coli infections													True	True	True	True				True	True
089	Infections	ID	HP_0031247	Whooping cough				True	True	True	True	True	True		100.0	100.0	True	True	True	True	True	True		True	True
089	Infections	ID	HP_0031180	Erythema migrans															True	True	True	True		True	True
089	Infections	ID	HP_0032518	Disseminated dermatophytosis															True	True	True	True		True	True
089	Infections	ID	HP_0012203	Onychomycosis														True	True	True	True	True		True	True
089	Infections	ID	HP_0032515	Deep dermatophytosis					True	True			True		88.89	85.71	True	True						True	True
089	Infections	ID	HP_0032301	Genital warts													True	True	True	True	True	True		True	True
089	Infections	ID	HP_0033993	Viral encephalitis							True	True	True						True	True	True	True		True	True
089	Infections	ID	HP_0200043	Verrucae													True	True	True	True	True	True		True	True
089	Infections	ID	HP_0006562	Viral hepatitis				True	True	True	True	True	True		100.0	100.0	True	True	True	True	True	True		True	True
089	Infections	ID	HP_0032257	Disseminated histoplasmosis								True				82.14			True	True				True	True
089	Infections	ID	HP_0020103	Invasive pulmonary aspergillosis							True	True	True			100.0			True	True				True	True
089	Infections	ID	HP_0011024	Abnormality of the gastrointestinal tract													True	True	True	True				True	True
089	Infections	ID	HP_0032160	Cryptococcal meningitis				True	True	True					100.0		True	True	True	True	True	True		True	True
089	Infections	ID	HP_0032249	Coccidioidomycosis				True	True	True	True	True	True		100.0	100.0	True	True	True	True	True	True		True	True
089	Infections	ID	HP_0200119	Acute hepatitis								True				100.0			True	True				True	True
089	Infections	ID	HP_0033351	Candida esophagitis											90.32	90.32	True	True	True	True	True			True	True
089	Infections	ID	HP_0032161	Coccidioidal meningitis				True	True	True					100.0		True	True	True	True				True	True
089	Infections	ID	HP_0100806	Sepsis													True	True				True		True	True
089	Infections	ID	HP_0032326	Methicillin-resistant Staphylococcus aureus infection											81.25	93.88			True	True				True	True
089	Infections	ID	HP_0001271	Polyneuropathy					True			True			85.71	85.71			True	True				True	True
089	Infections	ID	HP_0032256	Histoplasmosis				True	True	True	True	True	True		100.0	100.0	True	True	True	True	True	True		True	True
089	Infections	ID	HP_0032262	Pulmonary tuberculosis				True	True	True					100.0		True	True	True	True	True			True	True
089	Infections	ID	HP_0020102	Pneumocystis jirovecii pneumonia													True	True	True	True	True	True		True	True
089	Infections	ID	HP_0001055	Erysipelas				True	True	True	True	True	True		100.0	100.0	True	True	True	True	True			True	True
089	Infections	ID	HP_0020098	obsolete Herpes encephalitis															True	True				True	True
089.1	Bacterial infections	ID	HP_0001055	Erysipelas				True	True	True	True	True	True		100.0	100.0	True	True	True	True	True			True	True
089.1	Bacterial infections	ID	HP_0031247	Whooping cough				True	True	True	True	True	True		100.0	100.0	True	True	True	True	True	True		True	True
089.1	Bacterial infections	ID	HP_0002718	Recurrent bacterial infections			True																True	True	True
089.1	Bacterial infections	ID	HP_0100806	Sepsis													True	True				True		True	True
089.1	Bacterial infections	ID	HP_0031180	Erythema migrans															True	True	True	True		True	True
089.1	Bacterial infections	ID	HP_0032326	Methicillin-resistant Staphylococcus aureus infection											81.25	93.88			True	True				True	True
089.1	Bacterial infections	ID	HP_0011024	Abnormality of the gastrointestinal tract													True	True	True	True				True	True
089.1	Bacterial infections	ID	HP_0002740	Recurrent E. coli infections													True	True	True	True				True	True
089.1	Bacterial infections	ID	HP_0001954	Recurrent fever														True	True	True				True	True
089.1	Bacterial infections	ID	HP_0001271	Polyneuropathy															True	True				True	True
089.1	Bacterial infections	ID	HP_0032262	Pulmonary tuberculosis				True	True	True					100.0		True	True	True	True	True			True	True
089.1	Bacterial infections	ID	HP_0005661	Salmonella osteomyelitis				True	True	True	True	True	True		100.0	100.0	True	True	True	True				True	True
089.2	Viral infections	ID	HP_0033005	Plantar warts											100.0	100.0	True	True	True	True	True			True	True
089.2	Viral infections	ID	HP_0550004	Verruca plana															True	True	True	True		True	True
089.2	Viral infections	ID	HP_0011024	Abnormality of the gastrointestinal tract													True	True						True	True
089.2	Viral infections	ID	HP_0032301	Genital warts													True	True	True	True	True	True		True	True
089.2	Viral infections	ID	HP_0200119	Acute hepatitis								True				100.0			True	True				True	True
089.2	Viral infections	ID	HP_0012302	Herpes simplex encephalitis															True	True	True	True		True	True
089.2	Viral infections	ID	HP_0200043	Verrucae													True	True	True	True	True	True		True	True
089.2	Viral infections	ID	HP_0020071	Viremia															True	True		True		True	True
089.2	Viral infections	ID	HP_0033993	Viral encephalitis							True	True	True						True	True	True	True		True	True
089.2	Viral infections	ID	HP_0006562	Viral hepatitis				True	True	True	True	True	True		100.0	100.0	True	True	True	True	True	True		True	True
089.2	Viral infections	ID	HP_0032163	Molluscum contagiosum				True	True	True	True	True	True		100.0	100.0	True	True	True	True	True	True		True	True
089.2	Viral infections	ID	HP_0020098	obsolete Herpes encephalitis															True	True				True	True
089.3	Fungal infections	ID	HP_0032161	Coccidioidal meningitis				True	True	True					100.0		True	True	True	True				True	True
089.3	Fungal infections	ID	HP_0032257	Disseminated histoplasmosis								True				82.14			True	True				True	True
089.3	Fungal infections	ID	HP_0032256	Histoplasmosis				True	True	True	True	True	True		100.0	100.0	True	True	True	True	True	True		True	True
089.3	Fungal infections	ID	HP_0020103	Invasive pulmonary aspergillosis							True	True	True			100.0			True	True				True	True
089.3	Fungal infections	ID	HP_0020102	Pneumocystis jirovecii pneumonia													True	True	True	True	True	True		True	True
089.3	Fungal infections	ID	HP_0032160	Cryptococcal meningitis				True	True	True					100.0		True	True	True	True	True	True		True	True
089.3	Fungal infections	ID	HP_0032249	Coccidioidomycosis				True	True	True	True	True	True		100.0	100.0	True	True	True	True	True	True		True	True
089.3	Fungal infections	ID	HP_0033351	Candida esophagitis											90.32	90.32	True	True	True	True	True			True	True
089.3	Fungal infections	ID	HP_0032518	Disseminated dermatophytosis															True	True	True	True		True	True
089.3	Fungal infections	ID	HP_0012203	Onychomycosis														True	True	True	True	True		True	True
089.3	Fungal infections	ID	HP_0032515	Deep dermatophytosis					True	True			True		88.89	85.71	True	True						True	True
091	Gangrene	ID	HP_0100758	Gangrene	True	True	True	True	True	True				100.0	100.0	84.21	True	True			True		True	True	True
091	Gangrene	ID	HP_0000119	Abnormality of the genitourinary system															True	True				True	True
091	Gangrene	ID	HP_0011024	Abnormality of the gastrointestinal tract													True	True	True	True				True	True
091	Gangrene	ID	HP_0000819	Diabetes mellitus															True	True				True	True
091	Gangrene	ID	HP_0100790	Hernia														True	True	True				True	True
092	Bacteremia, Sepsis, and SIRS	ID	HP_0100806	Sepsis				True	True	True					100.0	100.0	True	True	True	True	True	True		True	True
092	Bacteremia, Sepsis, and SIRS	ID	HP_0031864	Bacteremia				True	True	True	True	True	True		100.0	100.0	True	True	True	True	True			True	True
092.2	Sepsis	ID	HP_0100806	Sepsis	True	True	True	True	True	True				100.0	100.0	100.0	True	True	True	True	True	True	True	True	True
092.8	Bacteremia	ID	HP_0031864	Bacteremia	True	True	True	True	True	True	True	True	True	100.0	100.0	100.0	True	True	True	True	True		True	True	True
095	Sequela of infection	ID	HP_0000119	Abnormality of the genitourinary system															True	True				True	True
095	Sequela of infection	ID	HP_0000820	Abnormality of the thyroid gland															True	True				True	True
095	Sequela of infection	ID	HP_0002664	Neoplasm															True	True				True	True
097	Drug resistant microorganisms	ID	HP_0032326	Methicillin-resistant Staphylococcus aureus infection											81.25	93.88			True	True				True	True
097	Drug resistant microorganisms	ID	HP_0020174	Refractory drug response															True	True				True	True
097.1	Methicillin resistant Staphylococcus aureus	ID	HP_0032326	Methicillin-resistant Staphylococcus aureus infection										91.76	81.25	93.88			True	True				True	True
099	Lab findings related to infections	ID	HP_0012461	Bacteriuria							True	True	True			100.0			True	True				True	True
099	Lab findings related to infections	ID	HP_0020071	Viremia				True	True	True					100.0		True	True			True			True	True
100	Malignant neoplasm of the head and neck	Neoplasms	HP_0100684	Salivary gland neoplasm											87.27		True	True		True	True	True		True	True
100	Malignant neoplasm of the head and neck	Neoplasms	HP_0002664	Neoplasm													True	True	True	True	True	True		True	True
100.1	Malignant neoplasm of the oral cavity	Neoplasms	HP_0002664	Neoplasm													True	True	True	True				True	True
100.1	Malignant neoplasm of the oral cavity	Neoplasms	HP_0100649	Neoplasm of the oral cavity		True								85.71									True	True	True
100.12	Malignant neoplasm of the tongue	Neoplasms	HP_0002664	Neoplasm													True	True	True	True				True	True
100.12	Malignant neoplasm of the tongue	Neoplasms	HP_0100648	Neoplasm of the tongue		True																	True	True	True
100.13	Malignant neoplasm of the gums	Neoplasms	HP_0002664	Neoplasm													True	True	True	True				True	True
100.14	Malignant neoplasm of the floor of mouth	Neoplasms	HP_0002664	Neoplasm													True	True	True	True				True	True
100.15	Malignant neoplasm of the palate	Neoplasms	HP_0002664	Neoplasm													True	True	True	True				True	True
100.2	Malignant neoplasm of the oropharynx	Neoplasms	HP_0002664	Neoplasm													True	True	True	True				True	True
100.3	Malignant neoplasm of the nasopharynx	Neoplasms	HP_0100630	Neoplasia of the nasopharynx		True								85.71	85.71	85.71							True	True	True
100.3	Malignant neoplasm of the nasopharynx	Neoplasms	HP_0002664	Neoplasm													True	True	True	True				True	True
100.4	Malignant neoplasm of the hypopharynx	Neoplasms	HP_0002664	Neoplasm													True	True	True	True				True	True
100.5	Malignant neoplasm of nasal cavities, middle ear, and accessory sinuses	Neoplasms	HP_0002664	Neoplasm													True	True	True	True				True	True
100.6	Malignant neoplasm of the larynx	Neoplasms	HP_0002664	Neoplasm													True	True	True	True				True	True
100.6	Malignant neoplasm of the larynx	Neoplasms	HP_0100605	Neoplasm of the larynx		True								82.05	82.05	82.05							True	True	True
100.7	Malignant neoplasm of the pharynx	Neoplasms	HP_0100638	Neoplasm of the pharynx		True								82.93	82.93	82.93							True	True	True
100.7	Malignant neoplasm of the pharynx	Neoplasms	HP_0002664	Neoplasm													True	True	True	True				True	True
100.8	Malignant neoplasm of the lip	Neoplasms	HP_0002664	Neoplasm													True	True	True	True	True	True		True	True
100.9	Malignant neoplasm of the salivary glands	Neoplasms	HP_0002664	Neoplasm													True	True	True	True				True	True
100.9	Malignant neoplasm of the salivary glands	Neoplasms	HP_0100684	Salivary gland neoplasm										87.27	87.27		True	True		True	True	True		True	True
101	Malignant neoplasm of the digestive organs	Neoplasms	HP_0002896	Neoplasm of the liver														True	True	True	True	True		True	True
101	Malignant neoplasm of the digestive organs	Neoplasms	HP_0012126	Stomach cancer													True	True	True	True	True	True		True	True
101	Malignant neoplasm of the digestive organs	Neoplasms	HP_0030153	Cholangiocarcinoma															True	True	True	True		True	True
101	Malignant neoplasm of the digestive organs	Neoplasms	HP_0003003	Colon cancer													True	True	True	True	True	True		True	True
101	Malignant neoplasm of the digestive organs	Neoplasms	HP_0002664	Neoplasm													True	True	True	True				True	True
101	Malignant neoplasm of the digestive organs	Neoplasms	HP_0006749	Malignant gastrointestinal tract tumors															True	True				True	True
101	Malignant neoplasm of the digestive organs	Neoplasms	HP_0002884	Hepatoblastoma							True	True	True			100.0		True	True	True		True		True	True
101	Malignant neoplasm of the digestive organs	Neoplasms	HP_0002894	Neoplasm of the pancreas											82.93	82.93	True	True	True	True				True	True
101	Malignant neoplasm of the digestive organs	Neoplasms	HP_0001402	Hepatocellular carcinoma														True	True	True	True	True		True	True
101.1	Malignant neoplasm of the esophagus	Neoplasms	HP_0002664	Neoplasm													True	True	True	True				True	True
101.2	Malignant neoplasm of stomach	Neoplasms	HP_0002664	Neoplasm													True	True	True	True				True	True
101.2	Malignant neoplasm of stomach	Neoplasms	HP_0012126	Stomach cancer													True	True	True	True	True	True		True	True
101.21	Malignant neoplasm of cardia	Neoplasms	HP_0002664	Neoplasm													True	True	True	True				True	True
101.3	Malignant neoplasm of the small intestine	Neoplasms	HP_0100833	Neoplasm of the small intestine		True								87.27	81.36	87.27					True	True	True	True	True
101.3	Malignant neoplasm of the small intestine	Neoplasms	HP_0002664	Neoplasm													True	True	True	True				True	True
101.4	Malignant neoplasm of the colon and rectum	Neoplasms	HP_0003003	Colon cancer													True	True	True	True	True	True		True	True
101.4	Malignant neoplasm of the colon and rectum	Neoplasms	HP_0002664	Neoplasm													True	True	True	True				True	True
101.41	Malignant neoplasm of the colon	Neoplasms	HP_0100273	Neoplasm of the colon		True																	True	True	True
101.41	Malignant neoplasm of the colon	Neoplasms	HP_0002664	Neoplasm													True	True	True	True				True	True
101.41	Malignant neoplasm of the colon	Neoplasms	HP_0003003	Colon cancer													True	True	True	True	True	True		True	True
101.42	Malignant neoplasm of the rectum	Neoplasms	HP_0100743	Neoplasm of the rectum		True								82.05	82.05	82.05							True	True	True
101.42	Malignant neoplasm of the rectum	Neoplasms	HP_0002664	Neoplasm													True	True	True	True				True	True
101.5	Malignant neoplasm of the anus and anal canal	Neoplasms	HP_0002664	Neoplasm													True	True	True	True				True	True
101.6	Malignant neoplasm of the liver and intrahepatic bile ducts	Neoplasms	HP_0030153	Cholangiocarcinoma															True	True	True	True		True	True
101.6	Malignant neoplasm of the liver and intrahepatic bile ducts	Neoplasms	HP_0002884	Hepatoblastoma							True	True	True			100.0		True	True	True		True		True	True
101.6	Malignant neoplasm of the liver and intrahepatic bile ducts	Neoplasms	HP_0002664	Neoplasm													True	True	True	True				True	True
101.6	Malignant neoplasm of the liver and intrahepatic bile ducts	Neoplasms	HP_0001402	Hepatocellular carcinoma														True	True	True	True	True		True	True
101.6	Malignant neoplasm of the liver and intrahepatic bile ducts	Neoplasms	HP_0002896	Neoplasm of the liver														True	True	True	True	True		True	True
101.61	Malignant neoplasm of the liver	Neoplasms	HP_0002884	Hepatoblastoma							True	True	True			100.0		True	True	True		True		True	True
101.61	Malignant neoplasm of the liver	Neoplasms	HP_0002664	Neoplasm													True	True	True	True				True	True
101.61	Malignant neoplasm of the liver	Neoplasms	HP_0001402	Hepatocellular carcinoma														True	True	True		True		True	True
101.61	Malignant neoplasm of the liver	Neoplasms	HP_0002896	Neoplasm of the liver		True												True	True	True			True	True	True
