phecodeX_code	phecodeX_label	phecodeX_category	hpo_code	hpo_label	stringMatch_hpo-phecodeX	subStringMatch_hpo-to-phecodeX	subStringMatch_phecodeX-to-hpo	stringMatch_hpo-ICD9	subStringMatch_hpo-to-ICD9	subStringMatch_ICD9-to-hpo	stringMatch_hpo-ICD10	subStringMatch_hpo-to-ICD10	subStringMatch_ICD10-to-hpo	SORTA_phecodeX-to-hpo	SORTA_ICD9-to-hpo	SORTA_ICD10-to-hpo	sharedUMLSCUI_ICD9-hpo	sharedUMLSCUIplusRel_ICD9-hpo	sharedUMLSCUI_ICD10-hpo	sharedUMLSCUIplusRel_ICD10-hpo	wikiMedMap_hpo-to-ICD9	wikiMedMap_hpo-to-ICD10	StrongEvidenceSpecific	StrongEvidenceBroad	AnyEvidence
015.2	Clostridium difficile	ID	HP_0032168	Clostridium difficile colitis			True													True	True	True	True	True	True
015.2	Clostridium difficile	ID	HP_0032167	Clostridium difficile enteritis			True							87.5		83.87							True	True	True
052.4	Infectious mononucleosis	ID	HP_0031693	Severe Epstein Barr virus infection			True			True			True	85.71	85.71	85.71							True	True	True
054.1	Hepatitis A	ID	HP_0012115	Hepatitis		True								100.0						True			True	True	True
054.2	Hepatitis B	ID	HP_0012115	Hepatitis		True								85.71						True			True	True	True
054.3	Hepatitis C	ID	HP_0012115	Hepatitis		True								85.71						True			True	True	True
054.31	Chronic hepatitis C	ID	HP_0200123	Chronic hepatitis		True						True		93.33									True	True	True
054.32	Acute hepatitis C	ID	HP_0200119	Acute hepatitis		True						True		91.67		91.67							True	True	True
054.5	Hepatitis E	ID	HP_0012115	Hepatitis		True								85.71						True			True	True	True
055.1	Molluscum contagiosum	ID	HP_0032163	Molluscum contagiosum	True	True	True	True	True	True	True	True	True	100.0	100.0	100.0	True	True	True	True	True	True	True	True	True
056.1	Plantar wart	ID	HP_0033005	Plantar warts										100.0	100.0	100.0	True	True	True	True	True		True	True	True
072	Histoplasmosis	ID	HP_0032256	Histoplasmosis	True	True	True	True	True	True	True	True	True	100.0	100.0	100.0	True	True	True	True	True	True	True	True	True
089.1	Bacterial infections	ID	HP_0002718	Recurrent bacterial infections			True																True	True	True
091	Gangrene	ID	HP_0100758	Gangrene	True	True	True	True	True	True				100.0	100.0	84.21	True	True			True		True	True	True
092.2	Sepsis	ID	HP_0100806	Sepsis	True	True	True	True	True	True				100.0	100.0	100.0	True	True	True	True	True	True	True	True	True
092.8	Bacteremia	ID	HP_0031864	Bacteremia	True	True	True	True	True	True	True	True	True	100.0	100.0	100.0	True	True	True	True	True		True	True	True
100.1	Malignant neoplasm of the oral cavity	Neoplasms	HP_0100649	Neoplasm of the oral cavity		True								85.71									True	True	True
100.12	Malignant neoplasm of the tongue	Neoplasms	HP_0100648	Neoplasm of the tongue		True																	True	True	True
100.3	Malignant neoplasm of the nasopharynx	Neoplasms	HP_0100630	Neoplasia of the nasopharynx		True								85.71	85.71	85.71							True	True	True
100.6	Malignant neoplasm of the larynx	Neoplasms	HP_0100605	Neoplasm of the larynx		True								82.05	82.05	82.05							True	True	True
100.7	Malignant neoplasm of the pharynx	Neoplasms	HP_0100638	Neoplasm of the pharynx		True								82.93	82.93	82.93							True	True	True
101.3	Malignant neoplasm of the small intestine	Neoplasms	HP_0100833	Neoplasm of the small intestine		True								87.27	81.36	87.27					True	True	True	True	True
101.41	Malignant neoplasm of the colon	Neoplasms	HP_0100273	Neoplasm of the colon		True																	True	True	True
101.42	Malignant neoplasm of the rectum	Neoplasms	HP_0100743	Neoplasm of the rectum		True								82.05	82.05	82.05							True	True	True
101.61	Malignant neoplasm of the liver	Neoplasms	HP_0002896	Neoplasm of the liver		True												True	True	True			True	True	True
101.71	Malignant neoplasm of the gallbladder	Neoplasms	HP_0100575	Neoplasm of the gallbladder		True								84.44	84.44	84.44							True	True	True
101.8	Malignant neoplasm of the pancreas	Neoplasms	HP_0002894	Neoplasm of the pancreas		True								82.93	82.93	82.93	True	True	True	True			True	True	True
102.3	Malignant neoplasm of the trachea	Neoplasms	HP_0100551	Neoplasm of the trachea		True								82.93	82.93	82.93							True	True	True
