phecodeX_code	phecodeX_label	phecodeX_category	hpo_code	hpo_label	hpo_child	stringMatch_hpo-phecodeX	subStringMatch_hpo-to-phecodeX	subStringMatch_phecodeX-to-hpo	stringMatch_hpo-ICD9	subStringMatch_hpo-to-ICD9	subStringMatch_ICD9-to-hpo	stringMatch_hpo-ICD10	subStringMatch_hpo-to-ICD10	subStringMatch_ICD10-to-hpo	SORTA_phecodeX-to-hpo	SORTA_ICD9-to-hpo	SORTA_ICD10-to-hpo	sharedUMLSCUI_ICD9-hpo	sharedUMLSCUIplusRel_ICD9-hpo	sharedUMLSCUI_ICD10-hpo	sharedUMLSCUIplusRel_ICD10-hpo	wikiMedMap_hpo-to-ICD9	wikiMedMap_hpo-to-ICD10	StrongEvidenceSpecific	StrongEvidenceBroad	AnyEvidence
001	Salmonella	ID	HP_0005661	Salmonella osteomyelitis	False				True	True	True	True	True	True		100.0	100.0	True	True	True	True				True	True
089	Infections	ID	HP_0005661	Salmonella osteomyelitis	False				True	True	True	True	True	True		100.0	100.0	True	True	True	True				True	True
089	Infections	ID	HP_0032326	Methicillin-resistant Staphylococcus aureus infection	False											81.25	93.88			True	True				True	True
089	Infections	ID	HP_0002740	Recurrent E. coli infections	False													True	True	True	True				True	True
089	Infections	ID	HP_0001055	Erysipelas	False				True	True	True	True	True	True		100.0	100.0	True	True	True	True	True			True	True
089	Infections	ID	HP_0011024	Abnormality of the gastrointestinal tract	False													True	True	True	True				True	True
089	Infections	ID	HP_0040187	Neonatal sepsis	True													True	True				True		True	True
089	Infections	ID	HP_0100806	Sepsis	False													True	True				True		True	True
089	Infections	ID	HP_0032262	Pulmonary tuberculosis	False				True	True	True					100.0		True	True	True	True	True			True	True
089	Infections	ID	HP_0001271	Polyneuropathy	True					True			True			85.71	85.71			True	True				True	True
089	Infections	ID	HP_0001954	Recurrent fever	True											85.71	85.71		True	True	True				True	True
089	Infections	ID	HP_0031180	Erythema migrans	False															True	True	True	True		True	True
089	Infections	ID	HP_0032323	Periodic fever	True											85.71	85.71		True	True	True				True	True
089	Infections	ID	HP_0032324	Non-periodic recurrent fever	True											85.71	85.71		True	True	True				True	True
089	Infections	ID	HP_0033087	Quotidian fever	True											85.71	85.71		True	True	True				True	True
089	Infections	ID	HP_0031247	Whooping cough	False				True	True	True	True	True	True		100.0	100.0	True	True	True	True	True	True		True	True
089	Infections	ID	HP_0012302	Herpes simplex encephalitis	True							True	True	True		85.29	90.62			True	True	True	True		True	True
089	Infections	ID	HP_0020098	obsolete Herpes encephalitis	False															True	True				True	True
089	Infections	ID	HP_0001412	Enteroviral hepatitis	True				True	True	True	True	True	True		100.0	100.0	True	True	True	True	True	True		True	True
089	Infections	ID	HP_0006562	Viral hepatitis	True				True	True	True	True	True	True		100.0	100.0	True	True	True	True	True	True		True	True
089	Infections	ID	HP_0006572	Subacute progressive viral hepatitis	True				True	True	True	True	True	True		100.0	100.0	True	True	True	True	True	True		True	True
089	Infections	ID	HP_0200119	Acute hepatitis	True								True				100.0		True	True	True				True	True
089	Infections	ID	HP_0032163	Molluscum contagiosum	False				True	True	True	True	True	True		100.0	100.0	True	True	True	True	True	True		True	True
089	Infections	ID	HP_0032185	Disseminated molluscum contagiosum	True				True	True	True	True	True	True		100.0	100.0	True	True	True	True	True	True		True	True
089	Infections	ID	HP_0032215	Disseminated cutaneous warts	True													True	True	True	True	True	True		True	True
089	Infections	ID	HP_0032301	Genital warts	True													True	True	True	True	True	True		True	True
089	Infections	ID	HP_0033005	Plantar warts	False											100.0	100.0	True	True	True	True	True			True	True
089	Infections	ID	HP_0200043	Verrucae	False													True	True	True	True	True	True		True	True
089	Infections	ID	HP_0550004	Verruca plana	True													True	True	True	True	True	True		True	True
089	Infections	ID	HP_0032249	Coccidioidomycosis	False				True	True	True	True	True	True		100.0	100.0	True	True	True	True	True	True		True	True
