phecodeXupdated_code	phecodeXupdated_label	phecodeXupdated_category	hpo_code	hpo_label	hpo_child	stringMatch_hpo-phecodeXupdated	subStringMatch_hpo-to-phecodeXupdated	subStringMatch_phecodeXupdated-to-hpo	stringMatch_hpo-ICD9	subStringMatch_hpo-to-ICD9	subStringMatch_ICD9-to-hpo	stringMatch_hpo-ICD10	subStringMatch_hpo-to-ICD10	subStringMatch_ICD10-to-hpo	SORTA_phecodeXupdated-to-hpo	SORTA_ICD9-to-hpo	SORTA_ICD10-to-hpo	sharedUMLSCUI_ICD9-hpo	sharedUMLSCUIplusRel_ICD9-hpo	sharedUMLSCUI_ICD10-hpo	sharedUMLSCUIplusRel_ICD10-hpo	wikiMedMap_hpo-to-ICD9	wikiMedMap_hpo-to-ICD10	StrongEvidenceSpecific	StrongEvidenceBroad	AnyEvidence
BI_160	Deficiency anemias	Blood/Immune	HP_0001871	Abnormality of blood and blood-forming tissues	False													True	True						True	True
BI_160.1	Iron deficiency anemia	Blood/Immune	HP_0001871	Abnormality of blood and blood-forming tissues	False													True	True						True	True
BI_160.1	Iron deficiency anemia	Blood/Immune	HP_0001891	Iron deficiency anemia	True	True	True	True	True	True	True	True	True	True	100.0	100.0	100.0	True	True	True	True	True	True	True	True	True
BI_160.1	Iron deficiency anemia	Blood/Immune	HP_0001931	Hypochromic anemia	True															True	True	True	True		True	True
BI_160.1	Iron deficiency anemia	Blood/Immune	HP_0004840	Hypochromic microcytic anemia	True															True	True	True	True		True	True
BI_160.11	Iron deficiency anemia secondary to blood loss	Blood/Immune	HP_0001871	Abnormality of blood and blood-forming tissues	False													True	True						True	True
BI_160.2	Megaloblastic anemia	Blood/Immune	HP_0001871	Abnormality of blood and blood-forming tissues	False													True	True						True	True
BI_160.2	Megaloblastic anemia	Blood/Immune	HP_0001889	Megaloblastic anemia	False	True	True	True							100.0					True	True		True	True	True	True
BI_160.2	Megaloblastic anemia	Blood/Immune	HP_0003339	Pyrimidine-responsive megaloblastic anemia	True	True	True	True							100.0					True	True		True	True	True	True
BI_160.2	Megaloblastic anemia	Blood/Immune	HP_0004826	Folate-unresponsive megaloblastic anemia	True	True	True	True							100.0					True	True		True	True	True	True
BI_160.2	Megaloblastic anemia	Blood/Immune	HP_0004851	Folate-responsive megaloblastic anemia	True	True	True	True							100.0					True	True		True	True	True	True
BI_160.2	Megaloblastic anemia	Blood/Immune	HP_0004860	Thiamine-responsive megaloblastic anemia	True	True	True	True							100.0					True	True		True	True	True	True
BI_160.21	Vitamin B12 deficiency anemia due to intrinsic factor deficiency [Pernicious anemia]	Blood/Immune	HP_0001871	Abnormality of blood and blood-forming tissues	False													True	True						True	True
BI_160.22	Folate-deficiency anemia	Blood/Immune	HP_0001871	Abnormality of blood and blood-forming tissues	False													True	True						True	True
BI_160.3	Protein-deficiency anemia	Blood/Immune	HP_0001871	Abnormality of blood and blood-forming tissues	False													True	True						True	True
BI_161.2	Extrinsic (acquired) hemolytic anemias	Blood/Immune	HP_0001871	Abnormality of blood and blood-forming tissues	False													True	True						True	True
BI_161.2	Extrinsic (acquired) hemolytic anemias	Blood/Immune	HP_0001878	Hemolytic anemia	False											81.08	81.08			True	True	True	True		True	True
BI_161.2	Extrinsic (acquired) hemolytic anemias	Blood/Immune	HP_0001890	Autoimmune hemolytic anemia	True											92.59	90.57			True	True	True	True		True	True
BI_161.2	Extrinsic (acquired) hemolytic anemias	Blood/Immune	HP_0001930	Nonspherocytic hemolytic anemia	True											81.08	81.08			True	True	True	True		True	True
BI_161.2	Extrinsic (acquired) hemolytic anemias	Blood/Immune	HP_0001937	Microangiopathic hemolytic anemia	True											81.08	81.08			True	True	True	True		True	True
BI_161.2	Extrinsic (acquired) hemolytic anemias	Blood/Immune	HP_0004802	Episodic hemolytic anemia	True											81.08	81.08			True	True	True	True		True	True
BI_161.2	Extrinsic (acquired) hemolytic anemias	Blood/Immune	HP_0004804	Congenital hemolytic anemia	True											81.08	81.08			True	True	True	True		True	True
BI_161.2	Extrinsic (acquired) hemolytic anemias	Blood/Immune	HP_0004814	Fava bean-induced hemolytic anemia	True											81.08	81.08			True	True	True	True		True	True
BI_161.2	Extrinsic (acquired) hemolytic anemias	Blood/Immune	HP_0004817	Drug-sensitive hemolytic anemia	True											81.08	81.08			True	True	True	True		True	True
BI_161.2	Extrinsic (acquired) hemolytic anemias	Blood/Immune	HP_0004844	Coombs-positive hemolytic anemia	True											81.08	81.08			True	True	True	True		True	True
BI_161.2	Extrinsic (acquired) hemolytic anemias	Blood/Immune	HP_0004863	Compensated hemolytic anemia	True											81.08	81.08			True	True	True	True		True	True
BI_161.2	Extrinsic (acquired) hemolytic anemias	Blood/Immune	HP_0004870	Chronic hemolytic anemia	True											81.08	81.08			True	True	True	True		True	True
BI_161.2	Extrinsic (acquired) hemolytic anemias	Blood/Immune	HP_0005511	Heinz body anemia	True											81.08	81.08			True	True	True	True		True	True
BI_161.2	Extrinsic (acquired) hemolytic anemias	Blood/Immune	HP_0005524	Macrocytic hemolytic disease	True											81.08	81.08			True	True	True	True		True	True
BI_161.2	Extrinsic (acquired) hemolytic anemias	Blood/Immune	HP_0005525	Spontaneous hemolytic crises	True											81.08	81.08			True	True	True	True		True	True
BI_161.2	Extrinsic (acquired) hemolytic anemias	Blood/Immune	HP_0005535	Exercise-induced hemolysis	True											81.08	81.08			True	True	True	True		True	True
BI_161.2	Extrinsic (acquired) hemolytic anemias	Blood/Immune	HP_0008269	Increased red cell hemolysis by shear stress	True											81.08	81.08			True	True	True	True		True	True
BI_161.2	Extrinsic (acquired) hemolytic anemias	Blood/Immune	HP_0031484	Cold-induced hemolysis	True											81.08	81.08			True	True	True	True		True	True
BI_161.21	Autoimmune hemolytic anemias [AIHA]	Blood/Immune	HP_0001871	Abnormality of blood and blood-forming tissues	False													True	True						True	True
BI_161.21	Autoimmune hemolytic anemias [AIHA]	Blood/Immune	HP_0001878	Hemolytic anemia	False															True	True				True	True
BI_161.21	Autoimmune hemolytic anemias [AIHA]	Blood/Immune	HP_0001890	Autoimmune hemolytic anemia	True							True	True	True	90.91	100.0	100.0	True	True	True	True	True	True		True	True
BI_161.21	Autoimmune hemolytic anemias [AIHA]	Blood/Immune	HP_0001930	Nonspherocytic hemolytic anemia	True															True	True				True	True
BI_161.21	Autoimmune hemolytic anemias [AIHA]	Blood/Immune	HP_0001937	Microangiopathic hemolytic anemia	True															True	True				True	True
BI_161.21	Autoimmune hemolytic anemias [AIHA]	Blood/Immune	HP_0004802	Episodic hemolytic anemia	True															True	True				True	True
BI_161.21	Autoimmune hemolytic anemias [AIHA]	Blood/Immune	HP_0004804	Congenital hemolytic anemia	True															True	True				True	True
BI_161.21	Autoimmune hemolytic anemias [AIHA]	Blood/Immune	HP_0004814	Fava bean-induced hemolytic anemia	True															True	True				True	True
BI_161.21	Autoimmune hemolytic anemias [AIHA]	Blood/Immune	HP_0004817	Drug-sensitive hemolytic anemia	True															True	True				True	True
BI_161.21	Autoimmune hemolytic anemias [AIHA]	Blood/Immune	HP_0004844	Coombs-positive hemolytic anemia	True															True	True				True	True
BI_161.21	Autoimmune hemolytic anemias [AIHA]	Blood/Immune	HP_0004863	Compensated hemolytic anemia	True															True	True				True	True
BI_161.21	Autoimmune hemolytic anemias [AIHA]	Blood/Immune	HP_0004870	Chronic hemolytic anemia	True															True	True				True	True
BI_161.21	Autoimmune hemolytic anemias [AIHA]	Blood/Immune	HP_0005511	Heinz body anemia	True															True	True				True	True
BI_161.21	Autoimmune hemolytic anemias [AIHA]	Blood/Immune	HP_0005524	Macrocytic hemolytic disease	True															True	True				True	True
BI_161.21	Autoimmune hemolytic anemias [AIHA]	Blood/Immune	HP_0005525	Spontaneous hemolytic crises	True															True	True				True	True
BI_161.21	Autoimmune hemolytic anemias [AIHA]	Blood/Immune	HP_0005535	Exercise-induced hemolysis	True															True	True				True	True
BI_161.21	Autoimmune hemolytic anemias [AIHA]	Blood/Immune	HP_0008269	Increased red cell hemolysis by shear stress	True															True	True				True	True
BI_161.21	Autoimmune hemolytic anemias [AIHA]	Blood/Immune	HP_0031484	Cold-induced hemolysis	True															True	True				True	True
BI_161.22	Hemolytic-uremic syndrome	Blood/Immune	HP_0001871	Abnormality of blood and blood-forming tissues	False													True	True						True	True
BI_161.22	Hemolytic-uremic syndrome	Blood/Immune	HP_0001878	Hemolytic anemia	False															True	True				True	True
BI_161.22	Hemolytic-uremic syndrome	Blood/Immune	HP_0001890	Autoimmune hemolytic anemia	True															True	True				True	True
BI_161.22	Hemolytic-uremic syndrome	Blood/Immune	HP_0001930	Nonspherocytic hemolytic anemia	True															True	True				True	True
BI_161.22	Hemolytic-uremic syndrome	Blood/Immune	HP_0001937	Microangiopathic hemolytic anemia	True															True	True				True	True
BI_161.22	Hemolytic-uremic syndrome	Blood/Immune	HP_0004802	Episodic hemolytic anemia	True															True	True				True	True
BI_161.22	Hemolytic-uremic syndrome	Blood/Immune	HP_0004804	Congenital hemolytic anemia	True															True	True				True	True
BI_161.22	Hemolytic-uremic syndrome	Blood/Immune	HP_0004814	Fava bean-induced hemolytic anemia	True															True	True				True	True
BI_161.22	Hemolytic-uremic syndrome	Blood/Immune	HP_0004817	Drug-sensitive hemolytic anemia	True															True	True				True	True
BI_161.22	Hemolytic-uremic syndrome	Blood/Immune	HP_0004844	Coombs-positive hemolytic anemia	True															True	True				True	True
BI_161.22	Hemolytic-uremic syndrome	Blood/Immune	HP_0004863	Compensated hemolytic anemia	True															True	True				True	True
BI_161.22	Hemolytic-uremic syndrome	Blood/Immune	HP_0004870	Chronic hemolytic anemia	True															True	True				True	True
BI_161.22	Hemolytic-uremic syndrome	Blood/Immune	HP_0005511	Heinz body anemia	True															True	True				True	True
BI_161.22	Hemolytic-uremic syndrome	Blood/Immune	HP_0005524	Macrocytic hemolytic disease	True															True	True				True	True
BI_161.22	Hemolytic-uremic syndrome	Blood/Immune	HP_0005525	Spontaneous hemolytic crises	True															True	True				True	True
BI_161.22	Hemolytic-uremic syndrome	Blood/Immune	HP_0005535	Exercise-induced hemolysis	True															True	True				True	True
BI_161.22	Hemolytic-uremic syndrome	Blood/Immune	HP_0005575	Hemolytic-uremic syndrome	False	True	True	True	True	True	True	True	True	True	100.0	100.0	100.0	True	True	True	True	True	True	True	True	True
BI_161.22	Hemolytic-uremic syndrome	Blood/Immune	HP_0008269	Increased red cell hemolysis by shear stress	True															True	True				True	True
BI_161.22	Hemolytic-uremic syndrome	Blood/Immune	HP_0031484	Cold-induced hemolysis	True															True	True				True	True
