phecodeXupdated_code	phecodeXupdated_label	phecodeXupdated_category	hpo_code	hpo_label	hpo_child	stringMatch_hpo-phecodeXupdated	subStringMatch_hpo-to-phecodeXupdated	subStringMatch_phecodeXupdated-to-hpo	stringMatch_hpo-ICD9	subStringMatch_hpo-to-ICD9	subStringMatch_ICD9-to-hpo	stringMatch_hpo-ICD10	subStringMatch_hpo-to-ICD10	subStringMatch_ICD10-to-hpo	SORTA_phecodeXupdated-to-hpo	SORTA_ICD9-to-hpo	SORTA_ICD10-to-hpo	sharedUMLSCUI_ICD9-hpo	sharedUMLSCUIplusRel_ICD9-hpo	sharedUMLSCUI_ICD10-hpo	sharedUMLSCUIplusRel_ICD10-hpo	wikiMedMap_hpo-to-ICD9	wikiMedMap_hpo-to-ICD10	StrongEvidenceSpecific	StrongEvidenceBroad	AnyEvidence
BI_160.1	Iron deficiency anemia	Blood/Immune	HP_0001891	Iron deficiency anemia	True	True	True	True	True	True	True	True	True	True	100.0	100.0	100.0	True	True	True	True	True	True	True	True	True
BI_160.2	Megaloblastic anemia	Blood/Immune	HP_0001889	Megaloblastic anemia	False	True	True	True							100.0					True	True		True	True	True	True
BI_160.2	Megaloblastic anemia	Blood/Immune	HP_0003339	Pyrimidine-responsive megaloblastic anemia	True	True	True	True							100.0					True	True		True	True	True	True
BI_160.2	Megaloblastic anemia	Blood/Immune	HP_0004826	Folate-unresponsive megaloblastic anemia	True	True	True	True							100.0					True	True		True	True	True	True
BI_160.2	Megaloblastic anemia	Blood/Immune	HP_0004851	Folate-responsive megaloblastic anemia	True	True	True	True							100.0					True	True		True	True	True	True
BI_160.2	Megaloblastic anemia	Blood/Immune	HP_0004860	Thiamine-responsive megaloblastic anemia	True	True	True	True							100.0					True	True		True	True	True	True
BI_161.22	Hemolytic-uremic syndrome	Blood/Immune	HP_0005575	Hemolytic-uremic syndrome	False	True	True	True	True	True	True	True	True	True	100.0	100.0	100.0	True	True	True	True	True	True	True	True	True
BI_162	Aplastic anemia	Blood/Immune	HP_0001915	Aplastic anemia	True	True	True	True	True	True	True	True	True	True	100.0	100.0	100.0	True	True	True	True	True	True	True	True	True
BI_162.8	Pancytopenia	Blood/Immune	HP_0001876	Pancytopenia	False	True	True	True	True	True	True	True	True	True	100.0	100.0	100.0	True	True	True	True	True		True	True	True
BI_162.8	Pancytopenia	Blood/Immune	HP_0001915	Aplastic anemia	True	True	True	True	True	True	True	True	True	True	100.0	100.0	100.0	True	True	True	True	True		True	True	True
BI_164	Anemia	Blood/Immune	HP_0001878	Hemolytic anemia	True	True	True	True	True	True	True	True	True	True	100.0	100.0	100.0	True	True	True	True	True	True	True	True	True
BI_164	Anemia	Blood/Immune	HP_0001889	Megaloblastic anemia	True	True	True	True	True	True	True	True	True	True	100.0	100.0	100.0	True	True	True	True	True	True	True	True	True
BI_164	Anemia	Blood/Immune	HP_0001890	Autoimmune hemolytic anemia	True	True	True	True	True	True	True	True	True	True	100.0	100.0	100.0	True	True	True	True	True	True	True	True	True
BI_164	Anemia	Blood/Immune	HP_0001891	Iron deficiency anemia	True	True	True	True	True	True	True	True	True	True	100.0	100.0	100.0	True	True	True	True	True	True	True	True	True
BI_164	Anemia	Blood/Immune	HP_0001895	Normochromic anemia	True	True	True	True	True	True	True	True	True	True	100.0	100.0	100.0	True	True	True	True	True	True	True	True	True
BI_164	Anemia	Blood/Immune	HP_0001897	Normocytic anemia	True	True	True	True	True	True	True	True	True	True	100.0	100.0	100.0	True	True	True	True	True	True	True	True	True
BI_164	Anemia	Blood/Immune	HP_0001903	Anemia	False	True	True	True	True	True	True	True	True	True	100.0	100.0	100.0	True	True	True	True	True	True	True	True	True
BI_164	Anemia	Blood/Immune	HP_0001908	Hypoplastic anemia	True	True	True	True	True	True	True	True	True	True	100.0	100.0	100.0	True	True	True	True	True	True	True	True	True
BI_164	Anemia	Blood/Immune	HP_0001924	Sideroblastic anemia	True	True	True	True	True	True	True	True	True	True	100.0	100.0	100.0	True	True	True	True	True	True	True	True	True
BI_164	Anemia	Blood/Immune	HP_0001930	Nonspherocytic hemolytic anemia	True	True	True	True	True	True	True	True	True	True	100.0	100.0	100.0	True	True	True	True	True	True	True	True	True
BI_164	Anemia	Blood/Immune	HP_0001931	Hypochromic anemia	True	True	True	True	True	True	True	True	True	True	100.0	100.0	100.0	True	True	True	True	True	True	True	True	True
