hpo_term_id	hpo_term_name	phecode	phecode_name
HP:0005661	Salmonella osteomyelitis	008	Intestinal infection
HP:0100523	Liver abscess	008	Intestinal infection
HP:0032167	Clostridium difficile enteritis	008	Intestinal infection
HP:0200042	Skin ulcer	008	Intestinal infection
HP:0002028	Chronic diarrhea	008	Intestinal infection
HP:0011024	Abnormality of the gastrointestinal tract	008	Intestinal infection
HP:0030049	Brain abscess	008	Intestinal infection
HP:0005208	Secretory diarrhea	008	Intestinal infection
HP:0004798	Recurrent infection of the gastrointestinal tract	008	Intestinal infection
HP:0032168	Clostridium difficile colitis	008	Intestinal infection
HP:0004387	Enterocolitis	008	Intestinal infection
HP:0033143	Jejunitis	008	Intestinal infection
HP:0025085	Bloody diarrhea	008	Intestinal infection
HP:0002014	Diarrhea	008	Intestinal infection
HP:0025044	Lung abscess	008	Intestinal infection
HP:0004387	Enterocolitis	008.5	Bacterial enteritis
HP:0032168	Clostridium difficile colitis	008.5	Bacterial enteritis
HP:0025085	Bloody diarrhea	008.5	Bacterial enteritis
HP:0005661	Salmonella osteomyelitis	008.5	Bacterial enteritis
HP:0032167	Clostridium difficile enteritis	008.5	Bacterial enteritis
HP:0033143	Jejunitis	008.5	Bacterial enteritis
HP:0032168	Clostridium difficile colitis	008.52	Intestinal infection due to C. difficile
HP:0032167	Clostridium difficile enteritis	008.52	Intestinal infection due to C. difficile
HP:0004387	Enterocolitis	008.52	Intestinal infection due to C. difficile
HP:0031353	Otitis media with effusion	010	Tuberculosis
HP:0040262	Glue ear	010	Tuberculosis
HP:0012219	Erythema nodosum	010	Tuberculosis
HP:0000388	Otitis media	010	Tuberculosis
HP:0000371	Acute otitis media	010	Tuberculosis
HP:0032262	Pulmonary tuberculosis	010	Tuberculosis
HP:0011274	Recurrent mycobacterial infections	031	Diseases due to other mycobacteria
HP:0100806	Sepsis	038	Septicemia
HP:0032326	Methicillin-resistant Staphylococcus aureus infection	038	Septicemia
HP:0031864	Bacteremia	038	Septicemia
HP:0100806	Sepsis	038.1	Gram negative septicemia
HP:0032326	Methicillin-resistant Staphylococcus aureus infection	038.2	Gram positive septicemia
HP:0031864	Bacteremia	038.3	Bacteremia
HP:0032326	Methicillin-resistant Staphylococcus aureus infection	041	Bacterial infection NOS
HP:0011024	Abnormality of the gastrointestinal tract	041	Bacterial infection NOS
HP:0002740	Recurrent E. coli infections	041	Bacterial infection NOS
HP:0005202	Helicobacter pylori infection	041	Bacterial infection NOS
HP:0031247	Whooping cough	041	Bacterial infection NOS
HP:0020174	Refractory drug response	041	Bacterial infection NOS
HP:0100758	Gangrene	041	Bacterial infection NOS
HP:0001367	Abnormal joint morphology	041	Bacterial infection NOS
HP:0030683	Vaginitis	041	Bacterial infection NOS
HP:0100658	Cellulitis	041	Bacterial infection NOS
HP:0031180	Erythema migrans	041	Bacterial infection NOS
HP:0031864	Bacteremia	041	Bacterial infection NOS
HP:0003040	Arthropathy	041	Bacterial infection NOS
HP:4000054	Exanthem	041	Bacterial infection NOS
HP:0032326	Methicillin-resistant Staphylococcus aureus infection	041.1	Staphylococcus infections
HP:0001367	Abnormal joint morphology	041.1	Staphylococcus infections
HP:0003040	Arthropathy	041.1	Staphylococcus infections
HP:0032326	Methicillin-resistant Staphylococcus aureus infection	041.11	Methicillin sensitive Staphylococcus aureus
HP:0032326	Methicillin-resistant Staphylococcus aureus infection	041.12	Methicillin resistant Staphylococcus aureus
HP:0020096	Recurrent streptococcal infections	041.2	Streptococcus infection
HP:4000054	Exanthem	041.2	Streptococcus infection
HP:0002072	Chorea	041.21	Rheumatic fever / chorea
HP:0002740	Recurrent E. coli infections	041.4	E. coli
HP:0005575	Hemolytic-uremic syndrome	041.4	E. coli
HP:0005202	Helicobacter pylori infection	041.8	H. pylori
HP:0020174	Refractory drug response	041.9	Infection with drug-resistant microorganisms
HP:0032326	Methicillin-resistant Staphylococcus aureus infection	041.9	Infection with drug-resistant microorganisms
HP:0410017	Otitis externa	053	Herpes zoster
HP:0410017	Otitis externa	054	Herpes simplex
HP:0006562	Viral hepatitis	070	Viral hepatitis
HP:0001396	Cholestasis	070	Viral hepatitis
HP:0200119	Acute hepatitis	070	Viral hepatitis
HP:0001394	Cirrhosis	070	Viral hepatitis
HP:0012115	Hepatitis	070	Viral hepatitis
HP:0001395	Hepatic fibrosis	070	Viral hepatitis
HP:0200120	Chronic active hepatitis	070	Viral hepatitis
HP:0001410	Decreased liver function	070	Viral hepatitis
HP:0001406	Intrahepatic cholestasis	070	Viral hepatitis
HP:0001392	Abnormality of the liver	070	Viral hepatitis
HP:0011024	Abnormality of the gastrointestinal tract	070	Viral hepatitis
HP:0004787	Fulminant hepatitis	070	Viral hepatitis
HP:0100626	Chronic hepatic failure	070	Viral hepatitis
HP:0200123	Chronic hepatitis	070	Viral hepatitis
HP:0012115	Hepatitis	070.1	Viral hepatitis A
HP:0006562	Viral hepatitis	070.1	Viral hepatitis A
HP:0200119	Acute hepatitis	070.2	Viral hepatitis B
HP:0006562	Viral hepatitis	070.2	Viral hepatitis B
HP:0012115	Hepatitis	070.2	Viral hepatitis B
HP:0200119	Acute hepatitis	070.3	Viral hepatitis C
HP:0006562	Viral hepatitis	070.3	Viral hepatitis C
HP:0012115	Hepatitis	070.3	Viral hepatitis C
HP:0200123	Chronic hepatitis	070.3	Viral hepatitis C
HP:0001410	Decreased liver function	070.4	Chronic hepatitis
HP:0200120	Chronic active hepatitis	070.4	Chronic hepatitis
HP:0001394	Cirrhosis	070.4	Chronic hepatitis
HP:0001392	Abnormality of the liver	070.4	Chronic hepatitis
HP:0011024	Abnormality of the gastrointestinal tract	070.4	Chronic hepatitis
HP:0200123	Chronic hepatitis	070.4	Chronic hepatitis
HP:0006562	Viral hepatitis	070.9	Hepatitis NOS
HP:0001410	Decreased liver function	070.9	Hepatitis NOS
HP:0200123	Chronic hepatitis	070.9	Hepatitis NOS
HP:0001392	Abnormality of the liver	070.9	Hepatitis NOS
HP:0100626	Chronic hepatic failure	070.9	Hepatitis NOS
HP:0200119	Acute hepatitis	070.9	Hepatitis NOS
HP:0001406	Intrahepatic cholestasis	070.9	Hepatitis NOS
HP:0011024	Abnormality of the gastrointestinal tract	070.9	Hepatitis NOS
HP:0004787	Fulminant hepatitis	070.9	Hepatitis NOS
HP:0001395	Hepatic fibrosis	070.9	Hepatitis NOS
HP:0001394	Cirrhosis	070.9	Hepatitis NOS
HP:0001396	Cholestasis	070.9	Hepatitis NOS
HP:0200120	Chronic active hepatitis	070.9	Hepatitis NOS
HP:0012115	Hepatitis	070.9	Hepatitis NOS
HP:0550004	Verruca plana	078	Viral warts & HPV
HP:0033005	Plantar warts	078	Viral warts & HPV
HP:0032301	Genital warts	078	Viral warts & HPV
HP:0200043	Verrucae	078	Viral warts & HPV
HP:0032249	Coccidioidomycosis	079	Viral infection
HP:0031693	Severe Epstein Barr virus infection	079	Viral infection
HP:0001271	Polyneuropathy	079	Viral infection
HP:0032163	Molluscum contagiosum	079	Viral infection
HP:0031691	Severe viral infection	079	Viral infection
HP:0031694	Severe adenovirus infection	079	Viral infection
HP:0020071	Viremia	079	Viral infection
HP:0030249	Enanthema	079	Viral infection
HP:4000054	Exanthem	079	Viral infection
HP:0011850	Parotitis	079	Viral infection
HP:0001638	Cardiomyopathy	079	Viral infection
HP:0000951	Abnormality of the skin	079	Viral infection
HP:0025439	Pharyngitis	079.2	Infectious mononucleosis
HP:0031693	Severe Epstein Barr virus infection	079.2	Infectious mononucleosis
HP:0031691	Severe viral infection	079.9	Viremia, NOS
HP:0020071	Viremia	079.9	Viremia, NOS
HP:0100806	Sepsis	080	Postoperative infection
HP:0000119	Abnormality of the genitourinary system	080	Postoperative infection
HP:0011024	Abnormality of the gastrointestinal tract	080	Postoperative infection
HP:0004431	Complement deficiency	081	Infection/inflammation of internal prosthetic device; implant; and graft
HP:0004431	Complement deficiency	081.1	Graft-versus-host disease
HP:0004431	Complement deficiency	081.11	Acute graft-versus-host disease
HP:0004431	Complement deficiency	081.12	Chronic graft-versus-host disease
HP:0011120	Concave nasal ridge	090	Sexually transmitted infections (not HIV or hepatitis)
HP:0500006	Urethritis	090	Sexually transmitted infections (not HIV or hepatitis)
HP:0100654	Retrobulbar optic neuritis	090	Sexually transmitted infections (not HIV or hepatitis)
HP:0033782	Semilunar tooth	090	Sexually transmitted infections (not HIV or hepatitis)
HP:0001269	Hemiparesis	090	Sexually transmitted infections (not HIV or hepatitis)
HP:0002301	Hemiplegia	090	Sexually transmitted infections (not HIV or hepatitis)
HP:0000119	Abnormality of the genitourinary system	090	Sexually transmitted infections (not HIV or hepatitis)
HP:0030160	Cervicitis	090	Sexually transmitted infections (not HIV or hepatitis)
HP:0002821	Neuropathic arthropathy	090	Sexually transmitted infections (not HIV or hepatitis)
HP:0030160	Cervicitis	090.2	Gonococcal infections
HP:0030160	Cervicitis	090.3	Venereal diseases due to Chlamydia trachomatis
HP:0041082	Fractured skull	1001	Foreign body injury
HP:0002092	Pulmonary arterial hypertension	1001	Foreign body injury
HP:0004395	Malnutrition	1002	Symptoms concerning nutrition, metabolism, and development
HP:0011968	Feeding difficulties	1002	Symptoms concerning nutrition, metabolism, and development
HP:0004325	Decreased body weight	1002	Symptoms concerning nutrition, metabolism, and development
HP:0001824	Weight loss	1002	Symptoms concerning nutrition, metabolism, and development
HP:0001699	Sudden death	1003	Sudden death
HP:0000720	Mood swings	1004	Other signs and symptoms involving emotional state
HP:0000712	Emotional lability	1004	Other signs and symptoms involving emotional state
HP:0000737	Irritability	1004	Other signs and symptoms involving emotional state
HP:0100710	Impulsivity	1004	Other signs and symptoms involving emotional state
HP:0001575	obsolete Mood changes	1004	Other signs and symptoms involving emotional state
HP:0031589	Suicidal ideation	1004	Other signs and symptoms involving emotional state
