hpo_term_id	hpo_term_name	phecode	phecode_name
HP:0032262	Pulmonary tuberculosis	010	Tuberculosis
HP:0100806	Sepsis	038	Septicemia
HP:0031864	Bacteremia	038	Septicemia
HP:0031864	Bacteremia	038.3	Bacteremia
HP:0032326	Methicillin-resistant Staphylococcus aureus infection	041	Bacterial infection NOS
HP:0011024	Abnormality of the gastrointestinal tract	041	Bacterial infection NOS
HP:0002740	Recurrent E. coli infections	041	Bacterial infection NOS
HP:0031247	Whooping cough	041	Bacterial infection NOS
HP:0020174	Refractory drug response	041	Bacterial infection NOS
HP:0001367	Abnormal joint morphology	041	Bacterial infection NOS
HP:0100658	Cellulitis	041	Bacterial infection NOS
HP:0031180	Erythema migrans	041	Bacterial infection NOS
HP:0003040	Arthropathy	041	Bacterial infection NOS
HP:0032326	Methicillin-resistant Staphylococcus aureus infection	041.1	Staphylococcus infections
HP:0001367	Abnormal joint morphology	041.1	Staphylococcus infections
HP:0003040	Arthropathy	041.1	Staphylococcus infections
HP:0032326	Methicillin-resistant Staphylococcus aureus infection	041.12	Methicillin resistant Staphylococcus aureus
HP:0002740	Recurrent E. coli infections	041.4	E. coli
HP:0020174	Refractory drug response	041.9	Infection with drug-resistant microorganisms
HP:0032326	Methicillin-resistant Staphylococcus aureus infection	041.9	Infection with drug-resistant microorganisms
HP:0006562	Viral hepatitis	070	Viral hepatitis
HP:0200119	Acute hepatitis	070	Viral hepatitis
HP:0012115	Hepatitis	070	Viral hepatitis
HP:0001410	Decreased liver function	070	Viral hepatitis
HP:0001392	Abnormality of the liver	070	Viral hepatitis
HP:0011024	Abnormality of the gastrointestinal tract	070	Viral hepatitis
HP:0200123	Chronic hepatitis	070	Viral hepatitis
HP:0006562	Viral hepatitis	070.1	Viral hepatitis A
HP:0006562	Viral hepatitis	070.2	Viral hepatitis B
HP:0006562	Viral hepatitis	070.3	Viral hepatitis C
HP:0001410	Decreased liver function	070.4	Chronic hepatitis
HP:0200120	Chronic active hepatitis	070.4	Chronic hepatitis
HP:0001392	Abnormality of the liver	070.4	Chronic hepatitis
HP:0011024	Abnormality of the gastrointestinal tract	070.4	Chronic hepatitis
HP:0200123	Chronic hepatitis	070.4	Chronic hepatitis
