hpo_term_id	hpo_term_name	phecode	phecode_name
HP:0031864	Bacteremia	038.3	Bacteremia
HP:0100658	Cellulitis	041	Bacterial infection NOS
HP:0032326	Methicillin-resistant Staphylococcus aureus infection	041.12	Methicillin resistant Staphylococcus aureus
HP:0032326	Methicillin-resistant Staphylococcus aureus infection	041.9	Infection with drug-resistant microorganisms
HP:0006562	Viral hepatitis	070	Viral hepatitis
HP:0006562	Viral hepatitis	070.1	Viral hepatitis A
HP:0006562	Viral hepatitis	070.2	Viral hepatitis B
HP:0006562	Viral hepatitis	070.3	Viral hepatitis C
HP:0200120	Chronic active hepatitis	070.4	Chronic hepatitis
HP:0200123	Chronic hepatitis	070.4	Chronic hepatitis
HP:0012115	Hepatitis	070.9	Hepatitis NOS
HP:0032301	Genital warts	078	Viral warts & HPV
HP:0200043	Verrucae	078	Viral warts & HPV
HP:0031691	Severe viral infection	079	Viral infection
HP:0031693	Severe Epstein Barr virus infection	079.2	Infectious mononucleosis
HP:0020071	Viremia	079.9	Viremia, NOS
HP:0001699	Sudden death	1003	Sudden death
HP:0002045	Hypothermia	1005	Other symptoms
HP:0032515	Deep dermatophytosis	110.1	Dermatophytosis
HP:0012203	Onychomycosis	110.11	Dermatophytosis of nail
HP:0032316	Family history	1100	Family history
HP:0032256	Histoplasmosis	117.1	Histoplasmosis
HP:0032249	Coccidioidomycosis	117.2	Coccidioidomycosis
HP:0020104	Unusual protozoan infection	131	Protozoan infection
HP:0012118	Laryngeal carcinoma	149.4	Cancer of larynx
HP:0100751	Esophageal neoplasm	150	Cancer of esophagus
HP:0012126	Stomach cancer	151	Cancer of stomach
HP:0003003	Colon cancer	153.2	Colon cancer
HP:0030153	Cholangiocarcinoma	155	Cancer of liver and intrahepatic bile duct
HP:0001402	Hepatocellular carcinoma	155.1	Malignant neoplasm of liver, primary
HP:0002666	Pheochromocytoma	159.2	Malignant neoplasm of small intestine, including duodenum
HP:0002666	Pheochromocytoma	164	Cancer of intrathoracic organs
HP:0100246	Osteoma	170	Cancer of bone and connective tissue
HP:0100242	Sarcoma	170	Cancer of bone and connective tissue
HP:0002669	Osteosarcoma	170.1	Bone cancer
HP:0100242	Sarcoma	170.2	Cancer of connective tissue
HP:0002861	Melanoma	172.1	Melanomas of skin, dx or hx
HP:0002861	Melanoma	172.11	Melanomas of skin
HP:0002671	Basal cell carcinoma	172.21	Basal cell carcinoma
HP:0030417	Squamous cell carcinoma of the vulva	172.22	Squamous cell carcinoma
HP:0030359	Squamous cell lung carcinoma	172.22	Squamous cell carcinoma
HP:0002860	Squamous cell carcinoma	172.22	Squamous cell carcinoma
HP:0012142	Pancreatic squamous cell carcinoma	172.22	Squamous cell carcinoma
HP:0030438	Anal canal squamous cell carcinoma	172.22	Squamous cell carcinoma
HP:0003002	Breast carcinoma	174	Breast cancer
HP:0030075	Ductal carcinoma in situ	174.1	Breast cancer [female]
HP:0030076	Lobular carcinoma in situ	174.1	Breast cancer [female]
HP:0003002	Breast carcinoma	174.11	Malignant neoplasm of female breast
HP:0003002	Breast carcinoma	174.2	Breast cancer [male]
HP:0012114	Endometrial carcinoma	182	Malignant neoplasm of uterus
HP:0012125	Prostate cancer	185	Cancer of prostate
HP:0010788	Testicular neoplasm	187.2	Malignant neoplasm of testis
HP:0009726	Renal neoplasm	189.1	Cancer of kidney and renal pelvis
HP:0009726	Renal neoplasm	189.12	Malignant neoplasm of renal pelvis
HP:0009725	Bladder neoplasm	189.2	Cancer of bladder
HP:0009725	Bladder neoplasm	189.21	Malignant neoplasm of bladder
HP:0030692	Brain neoplasm	191	Manlignant and unknown neoplasms of brain and nervous system
