hpo_term_id	hpo_term_name	phecode	phecode_name
HP:0025452	Pyoderma gangrenosum	686.5	Pyoderma
HP:0000999	Pyoderma	686.5	Pyoderma
HP:0012399	Pressure ulcer	707.1	Decubitus ulcer
HP:0002014	Diarrhea	561.1	Diarrhea
HP:0002028	Chronic diarrhea	561.1	Diarrhea
HP:0002041	Intractable diarrhea	561.1	Diarrhea
HP:0002249	Melena	561.1	Diarrhea
HP:0002254	Intermittent diarrhea	561.1	Diarrhea
HP:0002573	Hematochezia	561.1	Diarrhea
HP:0004385	Protracted diarrhea	561.1	Diarrhea
HP:0005208	Secretory diarrhea	561.1	Diarrhea
HP:0025085	Bloody diarrhea	561.1	Diarrhea
HP:0025086	Bloody mucoid diarrhea	561.1	Diarrhea
HP:0033310	Osmotic diarrhea	561.1	Diarrhea
HP:0033343	Mucoid diarrhea	561.1	Diarrhea
HP:0002249	Melena	459.1	Hemorrhage NOS
HP:0002573	Hematochezia	459.1	Hemorrhage NOS
HP:0002239	Gastrointestinal hemorrhage	459.1	Hemorrhage NOS
HP:0002248	Hematemesis	459.1	Hemorrhage NOS
HP:0002584	Intestinal bleeding	459.1	Hemorrhage NOS
HP:0012849	Small intestinal bleeding	459.1	Hemorrhage NOS
HP:0032144	Coffee ground vomitus	459.1	Hemorrhage NOS
HP:0002249	Melena	531.1	Hemorrhage from gastrointestinal ulcer
HP:0002573	Hematochezia	531.1	Hemorrhage from gastrointestinal ulcer
HP:0002239	Gastrointestinal hemorrhage	531.1	Hemorrhage from gastrointestinal ulcer
HP:0002248	Hematemesis	531.1	Hemorrhage from gastrointestinal ulcer
HP:0002584	Intestinal bleeding	531.1	Hemorrhage from gastrointestinal ulcer
HP:0012849	Small intestinal bleeding	531.1	Hemorrhage from gastrointestinal ulcer
HP:0032144	Coffee ground vomitus	531.1	Hemorrhage from gastrointestinal ulcer
HP:0002249	Melena	556.11	Angiodysplasia of intestine (without mention of hemorrhage)
HP:0002573	Hematochezia	556.11	Angiodysplasia of intestine (without mention of hemorrhage)
HP:0002239	Gastrointestinal hemorrhage	556.11	Angiodysplasia of intestine (without mention of hemorrhage)
HP:0002248	Hematemesis	556.11	Angiodysplasia of intestine (without mention of hemorrhage)
HP:0002584	Intestinal bleeding	556.11	Angiodysplasia of intestine (without mention of hemorrhage)
HP:0012849	Small intestinal bleeding	556.11	Angiodysplasia of intestine (without mention of hemorrhage)
HP:0032144	Coffee ground vomitus	556.11	Angiodysplasia of intestine (without mention of hemorrhage)
HP:0002249	Melena	578	Gastrointestinal hemorrhage
HP:0002573	Hematochezia	578	Gastrointestinal hemorrhage
HP:0002239	Gastrointestinal hemorrhage	578	Gastrointestinal hemorrhage
HP:0002248	Hematemesis	578	Gastrointestinal hemorrhage
HP:0002584	Intestinal bleeding	578	Gastrointestinal hemorrhage
HP:0012849	Small intestinal bleeding	578	Gastrointestinal hemorrhage
HP:0032144	Coffee ground vomitus	578	Gastrointestinal hemorrhage
HP:0002573	Hematochezia	578.2	Blood in stool
HP:0002249	Melena	578.9	Hemorrhage of gastrointestinal tract
HP:0002573	Hematochezia	578.9	Hemorrhage of gastrointestinal tract
HP:0002239	Gastrointestinal hemorrhage	578.9	Hemorrhage of gastrointestinal tract
HP:0002248	Hematemesis	578.9	Hemorrhage of gastrointestinal tract
HP:0002584	Intestinal bleeding	578.9	Hemorrhage of gastrointestinal tract
HP:0012849	Small intestinal bleeding	578.9	Hemorrhage of gastrointestinal tract
HP:0032144	Coffee ground vomitus	578.9	Hemorrhage of gastrointestinal tract
HP:0030746	Intraventricular hemorrhage	656.4	Hemorrhage of fetus or newborn
HP:0030747	Preterm intraventricular hemorrhage	656.4	Hemorrhage of fetus or newborn
HP:0030748	Grade I preterm intraventricular hemorrhage	656.4	Hemorrhage of fetus or newborn
HP:0030749	Grade II preterm intraventricular hemorrhage	656.4	Hemorrhage of fetus or newborn
HP:0030750	Grade III preterm intraventricular hemorrhage	656.4	Hemorrhage of fetus or newborn
HP:0030751	Grade IV preterm intraventricular hemorrhage	656.4	Hemorrhage of fetus or newborn
HP:0000980	Pallor	782.6	Pallor and flushing
HP:0001017	Anemic pallor	782.6	Pallor and flushing
HP:0002573	Hematochezia	578.8	Hemorrhage of rectum and anus
HP:0100280	Crohn's disease	555.1	Regional enteritis
HP:0100279	Ulcerative colitis	555.2	Ulcerative colitis
HP:0100279	Ulcerative colitis	555.21	Ulcerative colitis (chronic)
HP:0100658	Cellulitis	041	Bacterial infection NOS
HP:0005661	Salmonella osteomyelitis	710	Osteomyelitis, periostitis, and other infections involving bone
HP:0001886	Foot osteomyelitis	710	Osteomyelitis, periostitis, and other infections involving bone
HP:0002754	Osteomyelitis	710	Osteomyelitis, periostitis, and other infections involving bone
HP:0005010	Osteomyelitis leading to amputation due to slow healing fractures	710	Osteomyelitis, periostitis, and other infections involving bone
HP:0007626	Mandibular osteomyelitis	710	Osteomyelitis, periostitis, and other infections involving bone
HP:0005661	Salmonella osteomyelitis	710.1	Osteomyelitis
HP:0001886	Foot osteomyelitis	710.1	Osteomyelitis
HP:0002754	Osteomyelitis	710.1	Osteomyelitis
HP:0005010	Osteomyelitis leading to amputation due to slow healing fractures	710.1	Osteomyelitis
HP:0007626	Mandibular osteomyelitis	710.1	Osteomyelitis
HP:0005661	Salmonella osteomyelitis	710.11	Acute osteomyelitis
HP:0001886	Foot osteomyelitis	710.11	Acute osteomyelitis
HP:0002754	Osteomyelitis	710.11	Acute osteomyelitis
HP:0005010	Osteomyelitis leading to amputation due to slow healing fractures	710.11	Acute osteomyelitis
HP:0007626	Mandibular osteomyelitis	710.11	Acute osteomyelitis
HP:0005661	Salmonella osteomyelitis	710.19	Unspecified osteomyelitis
HP:0001886	Foot osteomyelitis	710.19	Unspecified osteomyelitis
HP:0002754	Osteomyelitis	710.19	Unspecified osteomyelitis
HP:0005010	Osteomyelitis leading to amputation due to slow healing fractures	710.19	Unspecified osteomyelitis
HP:0007626	Mandibular osteomyelitis	710.19	Unspecified osteomyelitis
HP:0002833	Cystic angiomatosis of bone	743.21	Pathologic fracture of vertebrae
HP:0012062	Bone cyst	743.21	Pathologic fracture of vertebrae
HP:0012063	Aneurysmal bone cyst	743.21	Pathologic fracture of vertebrae
HP:0012064	Unicameral bone cyst	743.21	Pathologic fracture of vertebrae
HP:0012065	Multiple bony cystic lesions	743.21	Pathologic fracture of vertebrae
HP:0002756	Pathologic fracture	743.21	Pathologic fracture of vertebrae
HP:0001412	Enteroviral hepatitis	070	Viral hepatitis
HP:0006562	Viral hepatitis	070	Viral hepatitis
HP:0006572	Subacute progressive viral hepatitis	070	Viral hepatitis
HP:0200120	Chronic active hepatitis	070.4	Chronic hepatitis
HP:0200123	Chronic hepatitis	070.4	Chronic hepatitis
HP:0200124	Chronic hepatitis due to cryptosporidium infection	070.4	Chronic hepatitis
HP:0001412	Enteroviral hepatitis	070.9	Hepatitis NOS
HP:0004787	Fulminant hepatitis	070.9	Hepatitis NOS
HP:0006562	Viral hepatitis	070.9	Hepatitis NOS
HP:0006572	Subacute progressive viral hepatitis	070.9	Hepatitis NOS
HP:0012115	Hepatitis	070.9	Hepatitis NOS
HP:0032220	Interface hepatitis	070.9	Hepatitis NOS
HP:0200084	Giant cell hepatitis	070.9	Hepatitis NOS
HP:0200119	Acute hepatitis	070.9	Hepatitis NOS
HP:0200120	Chronic active hepatitis	070.9	Hepatitis NOS
HP:0200122	Atypical or prolonged hepatitis	070.9	Hepatitis NOS
HP:0200123	Chronic hepatitis	070.9	Hepatitis NOS
HP:0200124	Chronic hepatitis due to cryptosporidium infection	070.9	Hepatitis NOS
HP:0030955	Alcoholism	317.1	Alcoholism
HP:0032551	Hemorrhoids	455	Hemorrhoids
HP:0000705	Amelogenesis imperfecta	520.1	Hereditary disturbances in tooth structure
HP:0006332	Supernumerary maxillary incisor	520.1	Hereditary disturbances in tooth structure
HP:0011067	Mesiodens	520.1	Hereditary disturbances in tooth structure
HP:0011069	Supernumerary tooth	520.1	Hereditary disturbances in tooth structure
HP:0000695	Natal tooth	520.2	Disturbances in tooth eruption
HP:0001571	Multiple impacted teeth	520.2	Disturbances in tooth eruption
HP:0011079	Impacted tooth	520.2	Disturbances in tooth eruption
HP:0000670	Carious teeth	521.1	Dental caries
HP:0030758	Periapical tooth abscess	522.5	Periapical abscess
HP:0000230	Gingivitis	523.1	Gingivitis
HP:0000166	Severe periodontitis	523.3	Periodontitis (acute or chronic)
HP:0000704	Periodontitis	523.3	Periodontitis (acute or chronic)
HP:0011058	Generalized periodontitis	523.3	Periodontitis (acute or chronic)
HP:0011059	Localized periodontitis	523.3	Periodontitis (acute or chronic)
HP:0000166	Severe periodontitis	523.31	Acute periodontitis
HP:0000704	Periodontitis	523.31	Acute periodontitis
HP:0011058	Generalized periodontitis	523.31	Acute periodontitis
HP:0011059	Localized periodontitis	523.31	Acute periodontitis
HP:0000166	Severe periodontitis	523.32	Chronic periodontitis
HP:0000704	Periodontitis	523.32	Chronic periodontitis
HP:0011058	Generalized periodontitis	523.32	Chronic periodontitis
HP:0011059	Localized periodontitis	523.32	Chronic periodontitis
HP:0001571	Multiple impacted teeth	524.3	Anomalies of tooth position/malocclusion
HP:0011079	Impacted tooth	524.3	Anomalies of tooth position/malocclusion
HP:0012318	Occipital neuralgia	526	Diseases of the jaws
HP:0012228	Tension-type headache	526	Diseases of the jaws
HP:0002076	Migraine	526	Diseases of the jaws
HP:0002077	Migraine with aura	526	Diseases of the jaws
HP:0002083	Migraine without aura	526	Diseases of the jaws
