hpo_term_id	hpo_term_name	phecode	phecode_name
HP:0005661	Salmonella osteomyelitis	001	Salmonella
HP:0005661	Salmonella osteomyelitis	089	Infections
HP:0032326	Methicillin-resistant Staphylococcus aureus infection	089	Infections
HP:0002740	Recurrent E. coli infections	089	Infections
HP:0001055	Erysipelas	089	Infections
HP:0011024	Abnormality of the gastrointestinal tract	089	Infections
HP:0040187	Neonatal sepsis	089	Infections
HP:0100806	Sepsis	089	Infections
HP:0032262	Pulmonary tuberculosis	089	Infections
HP:0001271	Polyneuropathy	089	Infections
HP:0001954	Recurrent fever	089	Infections
HP:0031180	Erythema migrans	089	Infections
HP:0032323	Periodic fever	089	Infections
HP:0032324	Non-periodic recurrent fever	089	Infections
HP:0033087	Quotidian fever	089	Infections
HP:0031247	Whooping cough	089	Infections
HP:0012302	Herpes simplex encephalitis	089	Infections
HP:0020098	obsolete Herpes encephalitis	089	Infections
HP:0001412	Enteroviral hepatitis	089	Infections
HP:0006562	Viral hepatitis	089	Infections
HP:0006572	Subacute progressive viral hepatitis	089	Infections
HP:0200119	Acute hepatitis	089	Infections
HP:0032163	Molluscum contagiosum	089	Infections
HP:0032185	Disseminated molluscum contagiosum	089	Infections
HP:0032215	Disseminated cutaneous warts	089	Infections
HP:0032301	Genital warts	089	Infections
HP:0033005	Plantar warts	089	Infections
HP:0200043	Verrucae	089	Infections
HP:0550004	Verruca plana	089	Infections
HP:0032249	Coccidioidomycosis	089	Infections
HP:0033509	EBV encephalitis	089	Infections
HP:0033993	Viral encephalitis	089	Infections
HP:0033351	Candida esophagitis	089	Infections
HP:0032161	Coccidioidal meningitis	089	Infections
HP:0032256	Histoplasmosis	089	Infections
HP:0032257	Disseminated histoplasmosis	089	Infections
HP:0032258	Pulmonary histoplasmosis	089	Infections
HP:0020103	Invasive pulmonary aspergillosis	089	Infections
HP:0032160	Cryptococcal meningitis	089	Infections
HP:0020102	Pneumocystis jirovecii pneumonia	089	Infections
HP:0012203	Onychomycosis	089	Infections
HP:0020071	Viremia	089	Infections
HP:0020072	Persistent EBV viremia	089	Infections
HP:0032247	Persistent CMV viremia	089	Infections
HP:0032248	Persistent viremia	089	Infections
HP:0032515	Deep dermatophytosis	089	Infections
HP:0032518	Disseminated dermatophytosis	089	Infections
HP:0005661	Salmonella osteomyelitis	089.1	Bacterial infections
HP:0032326	Methicillin-resistant Staphylococcus aureus infection	089.1	Bacterial infections
HP:0002740	Recurrent E. coli infections	089.1	Bacterial infections
HP:0001055	Erysipelas	089.1	Bacterial infections
HP:0011024	Abnormality of the gastrointestinal tract	089.1	Bacterial infections
