hpo_term_id	hpo_term_name	phecode	phecode_name
HP:0001871	Abnormality of blood and blood-forming tissues	BI_160	Deficiency anemias
HP:0001889	Megaloblastic anemia	BI_160	Deficiency anemias
HP:0001891	Iron deficiency anemia	BI_160	Deficiency anemias
HP:0001871	Abnormality of blood and blood-forming tissues	BI_160.1	Iron deficiency anemia
HP:0001891	Iron deficiency anemia	BI_160.1	Iron deficiency anemia
HP:0001903	Anemia	BI_160.1	Iron deficiency anemia
HP:0001931	Hypochromic anemia	BI_160.1	Iron deficiency anemia
HP:0001935	Microcytic anemia	BI_160.1	Iron deficiency anemia
HP:0005505	Refractory anemia	BI_160.1	Iron deficiency anemia
HP:0005511	Heinz body anemia	BI_160.1	Iron deficiency anemia
HP:0001871	Abnormality of blood and blood-forming tissues	BI_160.11	Iron deficiency anemia secondary to blood loss
HP:0001889	Megaloblastic anemia	BI_160.2	Megaloblastic anemia
HP:0100502	Vitamin B12 deficiency	BI_160.2	Megaloblastic anemia
HP:0001871	Abnormality of blood and blood-forming tissues	BI_160.2	Megaloblastic anemia
HP:0001871	Abnormality of blood and blood-forming tissues	BI_160.21	Vitamin B12 deficiency anemia due to intrinsic factor deficiency [Pernicious anemia]
HP:0100502	Vitamin B12 deficiency	BI_160.21	Vitamin B12 deficiency anemia due to intrinsic factor deficiency [Pernicious anemia]
HP:0001871	Abnormality of blood and blood-forming tissues	BI_160.22	Folate-deficiency anemia
HP:0001889	Megaloblastic anemia	BI_160.22	Folate-deficiency anemia
HP:0001972	Macrocytic anemia	BI_160.22	Folate-deficiency anemia
HP:0100507	Reduced blood folate concentration	BI_160.22	Folate-deficiency anemia
HP:0001871	Abnormality of blood and blood-forming tissues	BI_160.3	Protein-deficiency anemia
HP:0004818	Paroxysmal nocturnal hemoglobinuria	BI_161.2	Extrinsic (acquired) hemolytic anemias
HP:0001871	Abnormality of blood and blood-forming tissues	BI_161.2	Extrinsic (acquired) hemolytic anemias
HP:0001878	Hemolytic anemia	BI_161.2	Extrinsic (acquired) hemolytic anemias
HP:0001890	Autoimmune hemolytic anemia	BI_161.2	Extrinsic (acquired) hemolytic anemias
HP:0001937	Microangiopathic hemolytic anemia	BI_161.2	Extrinsic (acquired) hemolytic anemias
HP:0003641	Hemoglobinuria	BI_161.2	Extrinsic (acquired) hemolytic anemias
HP:0001890	Autoimmune hemolytic anemia	BI_161.21	Autoimmune hemolytic anemias [AIHA]
HP:0001871	Abnormality of blood and blood-forming tissues	BI_161.21	Autoimmune hemolytic anemias [AIHA]
HP:0001878	Hemolytic anemia	BI_161.21	Autoimmune hemolytic anemias [AIHA]
HP:0001871	Abnormality of blood and blood-forming tissues	BI_161.22	Hemolytic-uremic syndrome
HP:0001878	Hemolytic anemia	BI_161.22	Hemolytic-uremic syndrome
HP:0005575	Hemolytic-uremic syndrome	BI_161.22	Hemolytic-uremic syndrome
HP:0001878	Hemolytic anemia	BI_161.23	Drug-induced hemolytic anemia*
HP:0012410	Pure red cell aplasia	BI_162	Aplastic anemia
HP:0001871	Abnormality of blood and blood-forming tissues	BI_162	Aplastic anemia
HP:0001876	Pancytopenia	BI_162	Aplastic anemia
HP:0001908	Hypoplastic anemia	BI_162	Aplastic anemia
HP:0001915	Aplastic anemia	BI_162	Aplastic anemia
HP:0012133	Erythroid hypoplasia	BI_162	Aplastic anemia
HP:0001871	Abnormality of blood and blood-forming tissues	BI_162.1	Constitutional (hereditary) aplastic anemia
HP:0004810	Congenital hypoplastic anemia	BI_162.1	Constitutional (hereditary) aplastic anemia
HP:0012410	Pure red cell aplasia	BI_162.2	Acquired pure red cell aplasia [erythroblastopenia]
HP:0001871	Abnormality of blood and blood-forming tissues	BI_162.2	Acquired pure red cell aplasia [erythroblastopenia]
HP:0001915	Aplastic anemia	BI_162.2	Acquired pure red cell aplasia [erythroblastopenia]
HP:0001871	Abnormality of blood and blood-forming tissues	BI_162.8	Pancytopenia
HP:0001876	Pancytopenia	BI_162.8	Pancytopenia
HP:0001871	Abnormality of blood and blood-forming tissues	BI_162.81	Drug-induced pancytopenia
HP:0004810	Congenital hypoplastic anemia	BI_164	Anemia
HP:0004804	Congenital hemolytic anemia	BI_164	Anemia
HP:0005505	Refractory anemia	BI_164	Anemia
HP:0001937	Microangiopathic hemolytic anemia	BI_164	Anemia
HP:0010972	Anemia of inadequate production	BI_164	Anemia
HP:0012133	Erythroid hypoplasia	BI_164	Anemia
HP:0005511	Heinz body anemia	BI_164	Anemia
HP:0001915	Aplastic anemia	BI_164	Anemia
HP:0012410	Pure red cell aplasia	BI_164	Anemia
HP:0001903	Anemia	BI_164	Anemia
HP:0001891	Iron deficiency anemia	BI_164	Anemia
HP:0001890	Autoimmune hemolytic anemia	BI_164	Anemia
HP:0001889	Megaloblastic anemia	BI_164	Anemia
HP:0001878	Hemolytic anemia	BI_164	Anemia
HP:0001876	Pancytopenia	BI_164	Anemia
HP:0001871	Abnormality of blood and blood-forming tissues	BI_164	Anemia
HP:0001908	Hypoplastic anemia	BI_164	Anemia
HP:0005511	Heinz body anemia	BI_164.1	Microcytic anemia
HP:0005505	Refractory anemia	BI_164.1	Microcytic anemia
HP:0001935	Microcytic anemia	BI_164.1	Microcytic anemia
HP:0001871	Abnormality of blood and blood-forming tissues	BI_164.1	Microcytic anemia
HP:0001903	Anemia	BI_164.1	Microcytic anemia
HP:0001891	Iron deficiency anemia	BI_164.1	Microcytic anemia
HP:0001931	Hypochromic anemia	BI_164.1	Microcytic anemia
HP:0100507	Reduced blood folate concentration	BI_164.2	Macrocytic anemia
HP:0001972	Macrocytic anemia	BI_164.2	Macrocytic anemia
HP:0100502	Vitamin B12 deficiency	BI_164.2	Macrocytic anemia
HP:0001889	Megaloblastic anemia	BI_164.2	Macrocytic anemia
HP:0001871	Abnormality of blood and blood-forming tissues	BI_164.2	Macrocytic anemia
HP:0001891	Iron deficiency anemia	BI_164.2	Macrocytic anemia
HP:0001871	Abnormality of blood and blood-forming tissues	BI_164.3	Acute posthemorrhagic anemia
HP:0001871	Abnormality of blood and blood-forming tissues	BI_164.6	Anemia secondary to chronic diseases and conditions
HP:0012622	Chronic kidney disease	BI_164.6	Anemia secondary to chronic diseases and conditions
HP:0001871	Abnormality of blood and blood-forming tissues	BI_164.7	Myelophthisis
HP:0001871	Abnormality of blood and blood-forming tissues	BI_164.8	Sideroblastic anemia
HP:0001924	Sideroblastic anemia	BI_164.8	Sideroblastic anemia
HP:0004864	Refractory sideroblastic anemia	BI_164.8	Sideroblastic anemia
HP:0100724	Hypercoagulability	BI_168	Coagulation defects, purpura and other hemorrhagic conditions
HP:0003256	Abnormality of the coagulation cascade	BI_168	Coagulation defects, purpura and other hemorrhagic conditions
HP:0001976	Reduced antithrombin III activity	BI_168	Coagulation defects, purpura and other hemorrhagic conditions
HP:0001871	Abnormality of blood and blood-forming tissues	BI_168	Coagulation defects, purpura and other hemorrhagic conditions
HP:0001892	Abnormal bleeding	BI_168	Coagulation defects, purpura and other hemorrhagic conditions
HP:0001928	Abnormality of coagulation	BI_168	Coagulation defects, purpura and other hemorrhagic conditions
HP:0008169	Reduced factor VII activity	BI_168.1	Hypo-coagulability
HP:0011901	Dysfibrinogenemia	BI_168.1	Hypo-coagulability
HP:0011900	Hypofibrinogenemia	BI_168.1	Hypo-coagulability
HP:0031365	Macular purpura	BI_168.1	Hypo-coagulability
HP:0003225	Reduced coagulation factor V activity	BI_168.1	Hypo-coagulability
HP:0001892	Abnormal bleeding	BI_168.1	Hypo-coagulability
HP:0001929	Reduced factor XI activity	BI_168.1	Hypo-coagulability
HP:0001928	Abnormality of coagulation	BI_168.1	Hypo-coagulability
HP:0001871	Abnormality of blood and blood-forming tissues	BI_168.1	Hypo-coagulability
HP:0000979	Purpura	BI_168.1	Hypo-coagulability
HP:0003125	Reduced factor VIII activity	BI_168.1	Hypo-coagulability
HP:0001871	Abnormality of blood and blood-forming tissues	BI_168.12	Hemorrhagic disorder due to intrinsic circulating anticoagulants
HP:0001871	Abnormality of blood and blood-forming tissues	BI_168.15	Acquired coagulation factor deficiency
HP:0000979	Purpura	BI_168.18	Other nonthrombocytopenic purpura
HP:0001871	Abnormality of blood and blood-forming tissues	BI_168.18	Other nonthrombocytopenic purpura
HP:0001871	Abnormality of blood and blood-forming tissues	BI_168.2	Hyper-coagulability
HP:0003613	Antiphospholipid antibody positivity	BI_168.2	Hyper-coagulability
HP:0100724	Hypercoagulability	BI_168.2	Hyper-coagulability
HP:0100724	Hypercoagulability	BI_168.21	Primary thrombophilia
HP:0005543	Reduced protein C activity	BI_168.21	Primary thrombophilia
HP:0025343	Lupus anticoagulant	BI_168.21	Primary thrombophilia
HP:0001976	Reduced antithrombin III activity	BI_168.21	Primary thrombophilia
HP:0001871	Abnormality of blood and blood-forming tissues	BI_168.21	Primary thrombophilia
HP:0004855	Reduced protein S activity	BI_168.21	Primary thrombophilia
HP:0012175	Resistance to activated protein C	BI_168.211	Activated protein C resistance*
HP:0025343	Lupus anticoagulant	BI_168.213	Lupus anticoagulant syndrome*
HP:0001871	Abnormality of blood and blood-forming tissues	BI_168.22	Disseminated intravascular coagulation [Defibrination syndrome]
HP:0003256	Abnormality of the coagulation cascade	BI_168.22	Disseminated intravascular coagulation [Defibrination syndrome]
HP:0005521	Disseminated intravascular coagulation	BI_168.22	Disseminated intravascular coagulation [Defibrination syndrome]
HP:0000967	Petechiae	BI_168.3	Spontaneous ecchymoses
HP:0001928	Abnormality of coagulation	BI_168.4	Abnormal coagulation profile
HP:0003010	Prolonged bleeding time	BI_168.4	Abnormal coagulation profile
HP:0005542	Prolonged whole-blood clotting time	BI_168.4	Abnormal coagulation profile
HP:0001871	Abnormality of blood and blood-forming tissues	BI_169.1	Thrombocytopenia
HP:0001873	Thrombocytopenia	BI_169.1	Thrombocytopenia
HP:0001973	Autoimmune thrombocytopenia	BI_169.1	Thrombocytopenia
HP:0004809	Neonatal alloimmune thrombocytopenia	BI_169.1	Thrombocytopenia
HP:0001871	Abnormality of blood and blood-forming tissues	BI_169.11	Immune thrombocytopenic purpura [ITP]
HP:0001973	Autoimmune thrombocytopenia	BI_169.11	Immune thrombocytopenic purpura [ITP]
