hpo_term_id	hpo_term_name	phecode	phecode_name
HP:0001871	Abnormality of blood and blood-forming tissues	BI_160	Deficiency anemias
HP:0001871	Abnormality of blood and blood-forming tissues	BI_160.1	Iron deficiency anemia
HP:0001891	Iron deficiency anemia	BI_160.1	Iron deficiency anemia
HP:0001931	Hypochromic anemia	BI_160.1	Iron deficiency anemia
HP:0001871	Abnormality of blood and blood-forming tissues	BI_160.11	Iron deficiency anemia secondary to blood loss
HP:0001889	Megaloblastic anemia	BI_160.2	Megaloblastic anemia
HP:0001871	Abnormality of blood and blood-forming tissues	BI_160.2	Megaloblastic anemia
HP:0001871	Abnormality of blood and blood-forming tissues	BI_160.21	Vitamin B12 deficiency anemia due to intrinsic factor deficiency [Pernicious anemia]
HP:0001871	Abnormality of blood and blood-forming tissues	BI_160.22	Folate-deficiency anemia
HP:0001871	Abnormality of blood and blood-forming tissues	BI_160.3	Protein-deficiency anemia
HP:0001871	Abnormality of blood and blood-forming tissues	BI_161.2	Extrinsic (acquired) hemolytic anemias
HP:0001878	Hemolytic anemia	BI_161.2	Extrinsic (acquired) hemolytic anemias
HP:0001937	Microangiopathic hemolytic anemia	BI_161.2	Extrinsic (acquired) hemolytic anemias
HP:0001890	Autoimmune hemolytic anemia	BI_161.21	Autoimmune hemolytic anemias [AIHA]
HP:0001871	Abnormality of blood and blood-forming tissues	BI_161.21	Autoimmune hemolytic anemias [AIHA]
HP:0001878	Hemolytic anemia	BI_161.21	Autoimmune hemolytic anemias [AIHA]
HP:0001871	Abnormality of blood and blood-forming tissues	BI_161.22	Hemolytic-uremic syndrome
HP:0001878	Hemolytic anemia	BI_161.22	Hemolytic-uremic syndrome
HP:0005575	Hemolytic-uremic syndrome	BI_161.22	Hemolytic-uremic syndrome
HP:0001878	Hemolytic anemia	BI_161.23	Drug-induced hemolytic anemia*
HP:0001871	Abnormality of blood and blood-forming tissues	BI_162	Aplastic anemia
HP:0001908	Hypoplastic anemia	BI_162	Aplastic anemia
HP:0001915	Aplastic anemia	BI_162	Aplastic anemia
HP:0012133	Erythroid hypoplasia	BI_162	Aplastic anemia
HP:0001871	Abnormality of blood and blood-forming tissues	BI_162.1	Constitutional (hereditary) aplastic anemia
HP:0004810	Congenital hypoplastic anemia	BI_162.1	Constitutional (hereditary) aplastic anemia
HP:0001871	Abnormality of blood and blood-forming tissues	BI_162.2	Acquired pure red cell aplasia [erythroblastopenia]
HP:0001871	Abnormality of blood and blood-forming tissues	BI_162.8	Pancytopenia
HP:0001876	Pancytopenia	BI_162.8	Pancytopenia
HP:0001871	Abnormality of blood and blood-forming tissues	BI_162.81	Drug-induced pancytopenia
HP:0004810	Congenital hypoplastic anemia	BI_164	Anemia
