hpo_term_id	hpo_term_name	phecode	phecode_name
HP:0001891	Iron deficiency anemia	BI_160.1	Iron deficiency anemia
HP:0001889	Megaloblastic anemia	BI_160.2	Megaloblastic anemia
HP:0005575	Hemolytic-uremic syndrome	BI_161.22	Hemolytic-uremic syndrome
HP:0001915	Aplastic anemia	BI_162	Aplastic anemia
HP:0001876	Pancytopenia	BI_162.8	Pancytopenia
HP:0001903	Anemia	BI_164	Anemia
HP:0001935	Microcytic anemia	BI_164.1	Microcytic anemia
HP:0001972	Macrocytic anemia	BI_164.2	Macrocytic anemia
HP:0001924	Sideroblastic anemia	BI_164.8	Sideroblastic anemia
HP:0012175	Resistance to activated protein C	BI_168.211	Activated protein C resistance*
HP:0025343	Lupus anticoagulant	BI_168.213	Lupus anticoagulant syndrome*
HP:0001873	Thrombocytopenia	BI_169.1	Thrombocytopenia
HP:0001973	Autoimmune thrombocytopenia	BI_169.1	Thrombocytopenia
HP:0011874	Heparin-induced thrombocytopenia	BI_169.15	Heparin-induced thrombocytopenia [HIT]
HP:0001875	Neutropenia	BI_170.1	Neutropenia
HP:0040289	Cyclic neutropenia	BI_170.14	Cyclic neutropenia
HP:0010976	B lymphocytopenia	BI_170.2	Lymphocytopenia
HP:0001888	Lymphopenia	BI_170.2	Lymphocytopenia
HP:0005403	T lymphocytopenia	BI_170.2	Lymphocytopenia
HP:0030150	Plasmacytosis	BI_171.3	Plasmacytosis
HP:0031807	Increased basophil count	BI_171.5	Basophilia
HP:0032064	Gastrointestinal eosinophilia	BI_171.7	Eosinophilia
HP:0001880	Eosinophilia	BI_171.7	Eosinophilia
HP:0001744	Splenomegaly	BI_174.2	Splenomegaly
HP:0001971	Hypersplenism	BI_174.21	Hypersplenism
HP:0030423	Splenic cyst	BI_174.6	Cyst of spleen*
HP:0001901	Polycythemia	BI_175	Polycythemias
HP:0001894	Thrombocytosis	BI_176.1	Thrombocytosis*
HP:0002733	Abnormality of the lymph nodes	BI_177	Abnormality of the lymph nodes
HP:0002840	Lymphadenitis	BI_177.1	Lymphadenitis
HP:0002840	Lymphadenitis	BI_177.13	Acute lymphadenitis
HP:0001004	Lymphedema	BI_177.4	Lymphedema
HP:0002721	Immunodeficiency	BI_179	Immunodeficiencies
HP:0004313	Decreased circulating antibody level	BI_179.1	Hypogammaglobulinemia NOS
HP:0002721	Immunodeficiency	BI_179.9	Immunodeficiency NOS
HP:0031047	Paraproteinemia	BI_180.3	Paraproteinemias
HP:0100778	Cryoglobulinemia	BI_180.4	Cryoglobulinemia*
HP:0002960	Autoimmunity	BI_181	Autoimmune disease
HP:0100649	Neoplasm of the oral cavity	CA_100.1	Malignant neoplasm of the oral cavity
HP:0100648	Neoplasm of the tongue	CA_100.12	Malignant neoplasm of the tongue
HP:0100630	Neoplasia of the nasopharynx	CA_100.3	Malignant neoplasm of the nasopharynx
HP:0100605	Neoplasm of the larynx	CA_100.6	Malignant neoplasm of the larynx
HP:0100638	Neoplasm of the pharynx	CA_100.7	Malignant neoplasm of the pharynx
HP:0100833	Neoplasm of the small intestine	CA_101.3	Malignant neoplasm of the small intestine
HP:0002896	Neoplasm of the liver	CA_101.61	Malignant neoplasm of the liver
HP:0100575	Neoplasm of the gallbladder	CA_101.71	Malignant neoplasm of the gallbladder
HP:0002894	Neoplasm of the pancreas	CA_101.8	Malignant neoplasm of the pancreas
HP:0100551	Neoplasm of the trachea	CA_102.3	Malignant neoplasm of the trachea
HP:0100544	Neoplasm of the heart	CA_102.51	Malignant neoplasm of the heart
HP:0100521	Neoplasm of the thymus	CA_102.54	Malignant neoplasm of the thymus
HP:0002671	Basal cell carcinoma	CA_103.21	Basal cell carcinoma
HP:0006739	Squamous cell carcinoma of the skin	CA_103.22	Squamous cell carcinoma of the skin
HP:0100723	Gastrointestinal stroma tumor	CA_104.5	Gastrointestinal stromal tumor*
HP:0100726	Kaposi's sarcoma	CA_104.6	Kaposi's sarcoma
HP:0100013	Neoplasm of the breast	CA_105	Malignant neoplasm of the breast
HP:0030416	Vulvar neoplasm	CA_106.11	Malignant neoplasm of the vulva
HP:0100615	Ovarian neoplasm	CA_106.3	Malignant neoplasm of the ovary
HP:0100850	Neoplasm of the penis	CA_107.1	Malignant neoplasm of the penis
HP:0100849	Neoplasm of the scrotum	CA_107.6	Malignant neoplasm of the scrotum
HP:0100733	Neoplasm of the parathyroid gland	CA_110.3	Malignant neoplasm of the parathyroid gland
HP:0100570	Carcinoid tumor	CA_114.4	Carcinoid tumors
HP:0006723	Intestinal carcinoid	CA_114.41	Intestinal carcinoid
HP:0002668	Paraganglioma	CA_114.5	Paraganglioma
HP:0002886	Vagal paraganglioma	CA_114.5	Paraganglioma
HP:0002666	Pheochromocytoma	CA_114.6	Pheochromocytoma
HP:0001909	Leukemia	CA_121	Leukemia
HP:0002488	Acute leukemia	CA_121.1	Acute leukemia
HP:0006721	Acute lymphoblastic leukemia	CA_121.11	Acute lymphoid leukemia
HP:0005526	Lymphoid leukemia	CA_121.11	Acute lymphoid leukemia
HP:0004808	Acute myeloid leukemia	CA_121.12	Acute myeloid leukemia
HP:0012324	Myeloid leukemia	CA_121.12	Acute myeloid leukemia
