hpo_term_id	hpo_term_name	phecode	phecode_name
HP:0001871	Abnormality of blood and blood-forming tissues	BI_160	Deficiency anemias
HP:0001889	Megaloblastic anemia	BI_160	Deficiency anemias
HP:0001891	Iron deficiency anemia	BI_160	Deficiency anemias
HP:0003339	Pyrimidine-responsive megaloblastic anemia	BI_160	Deficiency anemias
HP:0004826	Folate-unresponsive megaloblastic anemia	BI_160	Deficiency anemias
HP:0004851	Folate-responsive megaloblastic anemia	BI_160	Deficiency anemias
HP:0004860	Thiamine-responsive megaloblastic anemia	BI_160	Deficiency anemias
HP:0001871	Abnormality of blood and blood-forming tissues	BI_160.1	Iron deficiency anemia
HP:0001878	Hemolytic anemia	BI_160.1	Iron deficiency anemia
HP:0001889	Megaloblastic anemia	BI_160.1	Iron deficiency anemia
HP:0001890	Autoimmune hemolytic anemia	BI_160.1	Iron deficiency anemia
HP:0001891	Iron deficiency anemia	BI_160.1	Iron deficiency anemia
HP:0001895	Normochromic anemia	BI_160.1	Iron deficiency anemia
HP:0001897	Normocytic anemia	BI_160.1	Iron deficiency anemia
HP:0001903	Anemia	BI_160.1	Iron deficiency anemia
HP:0001908	Hypoplastic anemia	BI_160.1	Iron deficiency anemia
HP:0001924	Sideroblastic anemia	BI_160.1	Iron deficiency anemia
HP:0001930	Nonspherocytic hemolytic anemia	BI_160.1	Iron deficiency anemia
HP:0001931	Hypochromic anemia	BI_160.1	Iron deficiency anemia
HP:0001935	Microcytic anemia	BI_160.1	Iron deficiency anemia
HP:0001937	Microangiopathic hemolytic anemia	BI_160.1	Iron deficiency anemia
HP:0001972	Macrocytic anemia	BI_160.1	Iron deficiency anemia
HP:0003339	Pyrimidine-responsive megaloblastic anemia	BI_160.1	Iron deficiency anemia
HP:0004802	Episodic hemolytic anemia	BI_160.1	Iron deficiency anemia
HP:0004804	Congenital hemolytic anemia	BI_160.1	Iron deficiency anemia
HP:0004810	Congenital hypoplastic anemia	BI_160.1	Iron deficiency anemia
HP:0004814	Fava bean-induced hemolytic anemia	BI_160.1	Iron deficiency anemia
HP:0004817	Drug-sensitive hemolytic anemia	BI_160.1	Iron deficiency anemia
HP:0004819	Normocytic hypoplastic anemia	BI_160.1	Iron deficiency anemia
HP:0004826	Folate-unresponsive megaloblastic anemia	BI_160.1	Iron deficiency anemia
HP:0004840	Hypochromic microcytic anemia	BI_160.1	Iron deficiency anemia
HP:0004844	Coombs-positive hemolytic anemia	BI_160.1	Iron deficiency anemia
HP:0004851	Folate-responsive megaloblastic anemia	BI_160.1	Iron deficiency anemia
HP:0004856	Normochromic microcytic anemia	BI_160.1	Iron deficiency anemia
HP:0004857	Hyperchromic macrocytic anemia	BI_160.1	Iron deficiency anemia
HP:0004860	Thiamine-responsive megaloblastic anemia	BI_160.1	Iron deficiency anemia
HP:0004861	Refractory macrocytic anemia	BI_160.1	Iron deficiency anemia
HP:0004863	Compensated hemolytic anemia	BI_160.1	Iron deficiency anemia
HP:0004870	Chronic hemolytic anemia	BI_160.1	Iron deficiency anemia
HP:0005505	Refractory anemia	BI_160.1	Iron deficiency anemia
HP:0005510	Transient erythroblastopenia	BI_160.1	Iron deficiency anemia
HP:0005511	Heinz body anemia	BI_160.1	Iron deficiency anemia
HP:0005522	Pyridoxine-responsive sideroblastic anemia	BI_160.1	Iron deficiency anemia
HP:0005524	Macrocytic hemolytic disease	BI_160.1	Iron deficiency anemia
HP:0005525	Spontaneous hemolytic crises	BI_160.1	Iron deficiency anemia
HP:0005532	Macrocytic dyserythropoietic anemia	BI_160.1	Iron deficiency anemia
HP:0005535	Exercise-induced hemolysis	BI_160.1	Iron deficiency anemia
HP:0008269	Increased red cell hemolysis by shear stress	BI_160.1	Iron deficiency anemia
HP:0008346	Increased red cell sickling tendency	BI_160.1	Iron deficiency anemia
HP:0010972	Anemia of inadequate production	BI_160.1	Iron deficiency anemia
HP:0011895	Anemia due to reduced life span of red cells	BI_160.1	Iron deficiency anemia
HP:0031484	Cold-induced hemolysis	BI_160.1	Iron deficiency anemia
HP:0032231	Hypochromia	BI_160.1	Iron deficiency anemia
HP:0033074	Steroid-responsive anemia	BI_160.1	Iron deficiency anemia
HP:0001871	Abnormality of blood and blood-forming tissues	BI_160.11	Iron deficiency anemia secondary to blood loss
HP:0001871	Abnormality of blood and blood-forming tissues	BI_160.2	Megaloblastic anemia
HP:0001889	Megaloblastic anemia	BI_160.2	Megaloblastic anemia
HP:0003339	Pyrimidine-responsive megaloblastic anemia	BI_160.2	Megaloblastic anemia
HP:0004826	Folate-unresponsive megaloblastic anemia	BI_160.2	Megaloblastic anemia
HP:0004851	Folate-responsive megaloblastic anemia	BI_160.2	Megaloblastic anemia
HP:0004860	Thiamine-responsive megaloblastic anemia	BI_160.2	Megaloblastic anemia
HP:0100502	Vitamin B12 deficiency	BI_160.2	Megaloblastic anemia
HP:0001871	Abnormality of blood and blood-forming tissues	BI_160.21	Vitamin B12 deficiency anemia due to intrinsic factor deficiency [Pernicious anemia]
HP:0100502	Vitamin B12 deficiency	BI_160.21	Vitamin B12 deficiency anemia due to intrinsic factor deficiency [Pernicious anemia]
HP:0001871	Abnormality of blood and blood-forming tissues	BI_160.22	Folate-deficiency anemia
HP:0001889	Megaloblastic anemia	BI_160.22	Folate-deficiency anemia
HP:0001972	Macrocytic anemia	BI_160.22	Folate-deficiency anemia
HP:0003339	Pyrimidine-responsive megaloblastic anemia	BI_160.22	Folate-deficiency anemia
HP:0004826	Folate-unresponsive megaloblastic anemia	BI_160.22	Folate-deficiency anemia
HP:0004851	Folate-responsive megaloblastic anemia	BI_160.22	Folate-deficiency anemia
HP:0004857	Hyperchromic macrocytic anemia	BI_160.22	Folate-deficiency anemia
HP:0004860	Thiamine-responsive megaloblastic anemia	BI_160.22	Folate-deficiency anemia
HP:0004861	Refractory macrocytic anemia	BI_160.22	Folate-deficiency anemia
HP:0005532	Macrocytic dyserythropoietic anemia	BI_160.22	Folate-deficiency anemia
HP:0100507	Reduced blood folate concentration	BI_160.22	Folate-deficiency anemia
HP:0001871	Abnormality of blood and blood-forming tissues	BI_160.3	Protein-deficiency anemia
HP:0001871	Abnormality of blood and blood-forming tissues	BI_161.2	Extrinsic (acquired) hemolytic anemias
HP:0001878	Hemolytic anemia	BI_161.2	Extrinsic (acquired) hemolytic anemias
HP:0001890	Autoimmune hemolytic anemia	BI_161.2	Extrinsic (acquired) hemolytic anemias
HP:0001930	Nonspherocytic hemolytic anemia	BI_161.2	Extrinsic (acquired) hemolytic anemias
HP:0001937	Microangiopathic hemolytic anemia	BI_161.2	Extrinsic (acquired) hemolytic anemias
HP:0003641	Hemoglobinuria	BI_161.2	Extrinsic (acquired) hemolytic anemias
HP:0004802	Episodic hemolytic anemia	BI_161.2	Extrinsic (acquired) hemolytic anemias
HP:0004804	Congenital hemolytic anemia	BI_161.2	Extrinsic (acquired) hemolytic anemias
HP:0004814	Fava bean-induced hemolytic anemia	BI_161.2	Extrinsic (acquired) hemolytic anemias
HP:0004817	Drug-sensitive hemolytic anemia	BI_161.2	Extrinsic (acquired) hemolytic anemias
HP:0004818	Paroxysmal nocturnal hemoglobinuria	BI_161.2	Extrinsic (acquired) hemolytic anemias
HP:0004844	Coombs-positive hemolytic anemia	BI_161.2	Extrinsic (acquired) hemolytic anemias
HP:0004863	Compensated hemolytic anemia	BI_161.2	Extrinsic (acquired) hemolytic anemias
HP:0004870	Chronic hemolytic anemia	BI_161.2	Extrinsic (acquired) hemolytic anemias
HP:0005511	Heinz body anemia	BI_161.2	Extrinsic (acquired) hemolytic anemias
HP:0005524	Macrocytic hemolytic disease	BI_161.2	Extrinsic (acquired) hemolytic anemias
HP:0005525	Spontaneous hemolytic crises	BI_161.2	Extrinsic (acquired) hemolytic anemias
HP:0005535	Exercise-induced hemolysis	BI_161.2	Extrinsic (acquired) hemolytic anemias
HP:0008269	Increased red cell hemolysis by shear stress	BI_161.2	Extrinsic (acquired) hemolytic anemias
HP:0031484	Cold-induced hemolysis	BI_161.2	Extrinsic (acquired) hemolytic anemias
HP:0001871	Abnormality of blood and blood-forming tissues	BI_161.21	Autoimmune hemolytic anemias [AIHA]
HP:0001878	Hemolytic anemia	BI_161.21	Autoimmune hemolytic anemias [AIHA]
HP:0001890	Autoimmune hemolytic anemia	BI_161.21	Autoimmune hemolytic anemias [AIHA]
HP:0001930	Nonspherocytic hemolytic anemia	BI_161.21	Autoimmune hemolytic anemias [AIHA]
HP:0001937	Microangiopathic hemolytic anemia	BI_161.21	Autoimmune hemolytic anemias [AIHA]
HP:0004802	Episodic hemolytic anemia	BI_161.21	Autoimmune hemolytic anemias [AIHA]
HP:0004804	Congenital hemolytic anemia	BI_161.21	Autoimmune hemolytic anemias [AIHA]
HP:0004814	Fava bean-induced hemolytic anemia	BI_161.21	Autoimmune hemolytic anemias [AIHA]
HP:0004817	Drug-sensitive hemolytic anemia	BI_161.21	Autoimmune hemolytic anemias [AIHA]
HP:0004844	Coombs-positive hemolytic anemia	BI_161.21	Autoimmune hemolytic anemias [AIHA]
HP:0004863	Compensated hemolytic anemia	BI_161.21	Autoimmune hemolytic anemias [AIHA]
HP:0004870	Chronic hemolytic anemia	BI_161.21	Autoimmune hemolytic anemias [AIHA]
HP:0005511	Heinz body anemia	BI_161.21	Autoimmune hemolytic anemias [AIHA]
HP:0005524	Macrocytic hemolytic disease	BI_161.21	Autoimmune hemolytic anemias [AIHA]
HP:0005525	Spontaneous hemolytic crises	BI_161.21	Autoimmune hemolytic anemias [AIHA]
HP:0005535	Exercise-induced hemolysis	BI_161.21	Autoimmune hemolytic anemias [AIHA]
HP:0008269	Increased red cell hemolysis by shear stress	BI_161.21	Autoimmune hemolytic anemias [AIHA]
HP:0031484	Cold-induced hemolysis	BI_161.21	Autoimmune hemolytic anemias [AIHA]
HP:0001871	Abnormality of blood and blood-forming tissues	BI_161.22	Hemolytic-uremic syndrome
HP:0001878	Hemolytic anemia	BI_161.22	Hemolytic-uremic syndrome
HP:0001890	Autoimmune hemolytic anemia	BI_161.22	Hemolytic-uremic syndrome
HP:0001930	Nonspherocytic hemolytic anemia	BI_161.22	Hemolytic-uremic syndrome
