hpo_term_id	hpo_term_name	phecode	phecode_name
HP:0001891	Iron deficiency anemia	BI_160.1	Iron deficiency anemia
HP:0001889	Megaloblastic anemia	BI_160.2	Megaloblastic anemia
HP:0003339	Pyrimidine-responsive megaloblastic anemia	BI_160.2	Megaloblastic anemia
HP:0004826	Folate-unresponsive megaloblastic anemia	BI_160.2	Megaloblastic anemia
HP:0004851	Folate-responsive megaloblastic anemia	BI_160.2	Megaloblastic anemia
HP:0004860	Thiamine-responsive megaloblastic anemia	BI_160.2	Megaloblastic anemia
HP:0005575	Hemolytic-uremic syndrome	BI_161.22	Hemolytic-uremic syndrome
HP:0001915	Aplastic anemia	BI_162	Aplastic anemia
HP:0001876	Pancytopenia	BI_162.8	Pancytopenia
HP:0001915	Aplastic anemia	BI_162.8	Pancytopenia
HP:0001878	Hemolytic anemia	BI_164	Anemia
HP:0001889	Megaloblastic anemia	BI_164	Anemia
HP:0001890	Autoimmune hemolytic anemia	BI_164	Anemia
HP:0001891	Iron deficiency anemia	BI_164	Anemia
HP:0001895	Normochromic anemia	BI_164	Anemia
HP:0001897	Normocytic anemia	BI_164	Anemia
HP:0001903	Anemia	BI_164	Anemia
HP:0001908	Hypoplastic anemia	BI_164	Anemia
HP:0001924	Sideroblastic anemia	BI_164	Anemia
HP:0001930	Nonspherocytic hemolytic anemia	BI_164	Anemia
HP:0001931	Hypochromic anemia	BI_164	Anemia
HP:0001935	Microcytic anemia	BI_164	Anemia
HP:0001937	Microangiopathic hemolytic anemia	BI_164	Anemia
HP:0001972	Macrocytic anemia	BI_164	Anemia
HP:0003339	Pyrimidine-responsive megaloblastic anemia	BI_164	Anemia
HP:0004802	Episodic hemolytic anemia	BI_164	Anemia
HP:0004804	Congenital hemolytic anemia	BI_164	Anemia
HP:0004810	Congenital hypoplastic anemia	BI_164	Anemia
HP:0004814	Fava bean-induced hemolytic anemia	BI_164	Anemia
HP:0004817	Drug-sensitive hemolytic anemia	BI_164	Anemia
HP:0004819	Normocytic hypoplastic anemia	BI_164	Anemia
HP:0004826	Folate-unresponsive megaloblastic anemia	BI_164	Anemia
HP:0004840	Hypochromic microcytic anemia	BI_164	Anemia
HP:0004844	Coombs-positive hemolytic anemia	BI_164	Anemia
HP:0004851	Folate-responsive megaloblastic anemia	BI_164	Anemia
HP:0004856	Normochromic microcytic anemia	BI_164	Anemia
HP:0004857	Hyperchromic macrocytic anemia	BI_164	Anemia
HP:0004860	Thiamine-responsive megaloblastic anemia	BI_164	Anemia
HP:0004861	Refractory macrocytic anemia	BI_164	Anemia
HP:0004863	Compensated hemolytic anemia	BI_164	Anemia
HP:0004870	Chronic hemolytic anemia	BI_164	Anemia
HP:0005505	Refractory anemia	BI_164	Anemia
HP:0005510	Transient erythroblastopenia	BI_164	Anemia
HP:0005511	Heinz body anemia	BI_164	Anemia
HP:0005522	Pyridoxine-responsive sideroblastic anemia	BI_164	Anemia
HP:0005524	Macrocytic hemolytic disease	BI_164	Anemia
HP:0005525	Spontaneous hemolytic crises	BI_164	Anemia
HP:0005532	Macrocytic dyserythropoietic anemia	BI_164	Anemia
HP:0005535	Exercise-induced hemolysis	BI_164	Anemia
HP:0008269	Increased red cell hemolysis by shear stress	BI_164	Anemia
HP:0008346	Increased red cell sickling tendency	BI_164	Anemia
HP:0010972	Anemia of inadequate production	BI_164	Anemia
HP:0011895	Anemia due to reduced life span of red cells	BI_164	Anemia
HP:0031484	Cold-induced hemolysis	BI_164	Anemia
HP:0032231	Hypochromia	BI_164	Anemia
HP:0033074	Steroid-responsive anemia	BI_164	Anemia
HP:0001935	Microcytic anemia	BI_164.1	Microcytic anemia
HP:0004840	Hypochromic microcytic anemia	BI_164.1	Microcytic anemia
HP:0004856	Normochromic microcytic anemia	BI_164.1	Microcytic anemia
HP:0001889	Megaloblastic anemia	BI_164.2	Macrocytic anemia
HP:0001972	Macrocytic anemia	BI_164.2	Macrocytic anemia
HP:0003339	Pyrimidine-responsive megaloblastic anemia	BI_164.2	Macrocytic anemia
HP:0004826	Folate-unresponsive megaloblastic anemia	BI_164.2	Macrocytic anemia
HP:0004851	Folate-responsive megaloblastic anemia	BI_164.2	Macrocytic anemia
HP:0004857	Hyperchromic macrocytic anemia	BI_164.2	Macrocytic anemia
HP:0004860	Thiamine-responsive megaloblastic anemia	BI_164.2	Macrocytic anemia
HP:0004861	Refractory macrocytic anemia	BI_164.2	Macrocytic anemia
HP:0005532	Macrocytic dyserythropoietic anemia	BI_164.2	Macrocytic anemia
HP:0001924	Sideroblastic anemia	BI_164.8	Sideroblastic anemia
HP:0005522	Pyridoxine-responsive sideroblastic anemia	BI_164.8	Sideroblastic anemia
HP:0012175	Resistance to activated protein C	BI_168.211	Activated protein C resistance*
HP:0025343	Lupus anticoagulant	BI_168.213	Lupus anticoagulant syndrome*
HP:0001873	Thrombocytopenia	BI_169.1	Thrombocytopenia
HP:0001905	Congenital thrombocytopenia	BI_169.1	Thrombocytopenia
HP:0001973	Autoimmune thrombocytopenia	BI_169.1	Thrombocytopenia
HP:0004809	Neonatal alloimmune thrombocytopenia	BI_169.1	Thrombocytopenia
