phecode1.2_code	phecode1.2_label	phecode1.2_category	hpo_code	hpo_label	hpo_child	stringMatch_hpo-phecode1.2	subStringMatch_hpo-to-phecode1.2	subStringMatch_phecode1.2-to-hpo	stringMatch_hpo-ICD9	subStringMatch_hpo-to-ICD9	subStringMatch_ICD9-to-hpo	stringMatch_hpo-ICD10	subStringMatch_hpo-to-ICD10	subStringMatch_ICD10-to-hpo	SORTA_phecode1.2-to-hpo	SORTA_ICD9-to-hpo	SORTA_ICD10-to-hpo	PheMap_phecode1.2-hpo	sharedUMLSCUI_ICD9-hpo	sharedUMLSCUIplusRel_ICD9-hpo	sharedUMLSCUI_ICD10-hpo	sharedUMLSCUIplusRel_ICD10-hpo	wikiMedMap_hpo-to-ICD9	wikiMedMap_hpo-to-ICD10	StrongEvidenceSpecific	StrongEvidenceBroad	AnyEvidence
008	Intestinal infection	infectious diseases	HP_0002014	Diarrhea	False															True				True			True
008	Intestinal infection	infectious diseases	HP_0002028	Chronic diarrhea	True															True				True			True
008	Intestinal infection	infectious diseases	HP_0002041	Intractable diarrhea	True															True				True			True
008	Intestinal infection	infectious diseases	HP_0002249	Melena	True															True			True	True			True
008	Intestinal infection	infectious diseases	HP_0002254	Intermittent diarrhea	True															True				True			True
008	Intestinal infection	infectious diseases	HP_0002573	Hematochezia	True															True			True	True			True
008	Intestinal infection	infectious diseases	HP_0004385	Protracted diarrhea	True															True				True			True
008	Intestinal infection	infectious diseases	HP_0004387	Enterocolitis	False																			True			True
008	Intestinal infection	infectious diseases	HP_0004798	Recurrent infection of the gastrointestinal tract	False															True							True
008	Intestinal infection	infectious diseases	HP_0005208	Secretory diarrhea	True															True				True			True
008	Intestinal infection	infectious diseases	HP_0005661	Salmonella osteomyelitis	False											87.8	87.8										True
008	Intestinal infection	infectious diseases	HP_0011024	Abnormality of the gastrointestinal tract	False																	True					True
008	Intestinal infection	infectious diseases	HP_0025044	Lung abscess	False											83.87	83.87										True
008	Intestinal infection	infectious diseases	HP_0025085	Bloody diarrhea	True															True			True	True			True
