phecode1.2_code	phecode1.2_label	phecode1.2_category	hpo_code	hpo_label	hpo_child	stringMatch_hpo-phecode1.2	subStringMatch_hpo-to-phecode1.2	subStringMatch_phecode1.2-to-hpo	stringMatch_hpo-ICD9	subStringMatch_hpo-to-ICD9	subStringMatch_ICD9-to-hpo	stringMatch_hpo-ICD10	subStringMatch_hpo-to-ICD10	subStringMatch_ICD10-to-hpo	SORTA_phecode1.2-to-hpo	SORTA_ICD9-to-hpo	SORTA_ICD10-to-hpo	PheMap_phecode1.2-hpo	sharedUMLSCUI_ICD9-hpo	sharedUMLSCUIplusRel_ICD9-hpo	sharedUMLSCUI_ICD10-hpo	sharedUMLSCUIplusRel_ICD10-hpo	wikiMedMap_hpo-to-ICD9	wikiMedMap_hpo-to-ICD10	StrongEvidenceSpecific	StrongEvidenceBroad	AnyEvidence
686	Other local infections of skin and subcutaneous tissue	dermatologic	HP_0001055	Erysipelas	False				True	True	True	True	True	True		100.0	100.0	25.61390504776866	True	True	True	True	True			True	True
686.5	Pyoderma	dermatologic	HP_0000999	Pyoderma	False	True	True	True	True	True	True	True	True	True	100.0	100.0	100.0		True	True	True	True	True		True	True	True
707.1	Decubitus ulcer	dermatologic	HP_0012399	Pressure ulcer	True	True	True	True	True	True	True	True	True	True	100.0	100.0	100.0	88.02513755331628	True	True	True	True	True	True	True	True	True
561	Symptoms involving digestive system	digestive	HP_0002607	Bowel incontinence	False							True	True	True		82.76	100.0	20.135506764129115	True	True	True	True	True	True		True	True
561.1	Diarrhea	digestive	HP_0002014	Diarrhea	False	True	True	True	True	True	True	True	True	True	100.0	100.0	100.0	37.79506133856636	True	True	True	True	True		True	True	True
561.1	Diarrhea	digestive	HP_0002028	Chronic diarrhea	True	True	True	True	True	True	True	True	True	True	100.0	100.0	100.0	37.79506133856636	True	True	True	True	True		True	True	True
561.1	Diarrhea	digestive	HP_0002041	Intractable diarrhea	True	True	True	True	True	True	True	True	True	True	100.0	100.0	100.0	37.79506133856636	True	True	True	True	True		True	True	True
561.1	Diarrhea	digestive	HP_0002249	Melena	True	True	True	True	True	True	True	True	True	True	100.0	100.0	100.0	37.79506133856636	True	True	True	True	True		True	True	True
561.1	Diarrhea	digestive	HP_0002254	Intermittent diarrhea	True	True	True	True	True	True	True	True	True	True	100.0	100.0	100.0	37.79506133856636	True	True	True	True	True		True	True	True
561.1	Diarrhea	digestive	HP_0002573	Hematochezia	True	True	True	True	True	True	True	True	True	True	100.0	100.0	100.0	37.79506133856636	True	True	True	True	True		True	True	True
561.1	Diarrhea	digestive	HP_0004385	Protracted diarrhea	True	True	True	True	True	True	True	True	True	True	100.0	100.0	100.0	37.79506133856636	True	True	True	True	True		True	True	True
561.1	Diarrhea	digestive	HP_0005208	Secretory diarrhea	True	True	True	True	True	True	True	True	True	True	100.0	100.0	100.0	37.79506133856636	True	True	True	True	True		True	True	True
561.1	Diarrhea	digestive	HP_0025085	Bloody diarrhea	True	True	True	True	True	True	True	True	True	True	100.0	100.0	100.0	37.79506133856636	True	True	True	True	True		True	True	True
561.1	Diarrhea	digestive	HP_0025086	Bloody mucoid diarrhea	True	True	True	True	True	True	True	True	True	True	100.0	100.0	100.0	37.79506133856636	True	True	True	True	True		True	True	True
