phecodeX_code	phecodeX_label	phecodeX_category	hpo_code	hpo_label	hpo_child	stringMatch_hpo-phecodeX	subStringMatch_hpo-to-phecodeX	subStringMatch_phecodeX-to-hpo	stringMatch_hpo-ICD9	subStringMatch_hpo-to-ICD9	subStringMatch_ICD9-to-hpo	stringMatch_hpo-ICD10	subStringMatch_hpo-to-ICD10	subStringMatch_ICD10-to-hpo	SORTA_phecodeX-to-hpo	SORTA_ICD9-to-hpo	SORTA_ICD10-to-hpo	sharedUMLSCUI_ICD9-hpo	sharedUMLSCUIplusRel_ICD9-hpo	sharedUMLSCUI_ICD10-hpo	sharedUMLSCUIplusRel_ICD10-hpo	wikiMedMap_hpo-to-ICD9	wikiMedMap_hpo-to-ICD10	StrongEvidenceSpecific	StrongEvidenceBroad	AnyEvidence
089.1	Bacterial infections	ID	HP_0100658	Cellulitis	False									True	85.71		85.71				True					True
089.1	Bacterial infections	ID	HP_0002718	Recurrent bacterial infections	False			True																True	True	True
701.1	Osteomyelitis	Musc/Skel	HP_0002754	Osteomyelitis	False	True	True	True	True	True	True	True	True	True	100.0	100.0	100.0	True	True	True	True		True	True	True	True
181	Autoimmune disease	Blood	HP_0002960	Autoimmunity	False	True	True	True							100.0					True	True	True		True	True	True
522	Gastrointestinal inflammation	GI	HP_0004386	Gastrointestinal inflammation	False	True	True	True							100.0									True	True	True
522.11	Crohn's disease	GI	HP_0100280	Crohn's disease	False	True	True	True				True	True	True	100.0		100.0		True	True	True	True	True	True	True	True
177	Abnormality of the lymph nodes	Blood	HP_0002733	Abnormality of the lymph nodes	False	True	True	True							100.0									True	True	True
177.1	Lymphadenitis	Blood	HP_0002840	Lymphadenitis	False	True	True	True		True			True		100.0	80.0	80.0			True	True	True	True	True	True	True
177.13	Acute lymphadenitis	Blood	HP_0002840	Lymphadenitis	False		True			True			True		80.0	80.0	80.0					True	True	True	True	True
247.53	Calcinosis cutis*	Metab	HP_0025520	Calcinosis cutis	False	True	True	True				True	True	True	100.0		100.0			True	True		True	True	True	True
660	Infection of the skin	Derm	HP_0100658	Cellulitis	False							True	True	True	100.0		100.0		True	True	True	True	True	True	True	True
660.2	Bacterial infection of the skin	Derm	HP_0100658	Cellulitis	False		True								100.0				True		True			True	True	True
660.7	Pilonidal cyst	Derm	HP_0010769	Pilonidal sinus	False	True	True	True	True	True	True				100.0	100.0	83.87	True	True	True	True	True	True	True	True	True
664.3	Parapsoriasis	Derm	HP_0003765	Psoriasiform dermatitis	False										81.82	81.82	81.82									True
665	Psoriasis	Derm	HP_0003765	Psoriasiform dermatitis	False	True	True	True				True	True	True	100.0	100.0	100.0			True	True		True	True	True	True
665.3	Other psoriasis	Derm	HP_0003765	Psoriasiform dermatitis	False										100.0	100.0								True	True	True
666	Urticaria	Derm	HP_0001025	Urticaria	False	True	True	True	True	True	True	True	True	True	100.0	100.0	100.0	True	True	True	True	True	True	True	True	True
666.2	Idiopathic urticaria	Derm	HP_0410133	Chronic idiopathic urticaria	False			True			True			True	82.61	82.61	82.61							True	True	True
666.5	Vibratory urticaria	Derm	HP_0410138	Vibratory urticaria	False	True	True	True	True	True	True	True	True	True	100.0	100.0	100.0	True	True	True	True			True	True	True
667.3	Erythema nodosum	Derm	HP_0012219	Erythema nodosum	False	True	True	True	True	True	True	True	True	True	100.0	100.0	100.0	True	True	True	True	True	True	True	True	True
668.2	Seborrheic dermatitis	Derm	HP_0001051	Seborrheic dermatitis	False	True	True	True	True	True	True	True	True	True	100.0	100.0	100.0	True	True	True	True	True	True	True	True	True
670	Seborrheic keratosis	Derm	HP_0031287	Seborrheic keratosis	False	True	True	True	True	True	True	True	True	True	100.0	100.0	100.0	True	True	True	True	True	True	True	True	True
673.1	Actinic keratosis	Derm	HP_0025127	Actinic keratosis	False	True	True	True	True	True	True	True	True	True	100.0	100.0	100.0	True	True	True	True	True	True	True	True	True
674.1	Hypopigmentation	Derm	HP_0001010	Hypopigmentation of the skin	False	True	True	True							100.0									True	True	True
