hpo_term_id	hpo_term_name	phecode	phecode_name
HP:0002014	Diarrhea	008	Intestinal infection
HP:0004387	Enterocolitis	008	Intestinal infection
HP:0005661	Salmonella osteomyelitis	008	Intestinal infection
HP:0032168	Clostridium difficile colitis	008	Intestinal infection
HP:0033143	Jejunitis	008	Intestinal infection
HP:0025452	Pyoderma gangrenosum	686	Other local infections of skin and subcutaneous tissue
HP:0200042	Skin ulcer	686	Other local infections of skin and subcutaneous tissue
HP:0010771	Pilonidal abscess	686	Other local infections of skin and subcutaneous tissue
HP:0030318	Angular cheilitis	686	Other local infections of skin and subcutaneous tissue
HP:0000999	Pyoderma	686	Other local infections of skin and subcutaneous tissue
HP:0001055	Erysipelas	686	Other local infections of skin and subcutaneous tissue
HP:0010769	Pilonidal sinus	686	Other local infections of skin and subcutaneous tissue
HP:0020083	Furuncle	686	Other local infections of skin and subcutaneous tissue
HP:0020084	Carbuncle	686	Other local infections of skin and subcutaneous tissue
HP:0025452	Pyoderma gangrenosum	686.5	Pyoderma
HP:0200042	Skin ulcer	686.5	Pyoderma
HP:0000999	Pyoderma	686.5	Pyoderma
HP:0012399	Pressure ulcer	707	Chronic ulcer of skin
HP:0200042	Skin ulcer	707	Chronic ulcer of skin
HP:0012399	Pressure ulcer	707.1	Decubitus ulcer
HP:0200042	Skin ulcer	707.1	Decubitus ulcer
HP:0002014	Diarrhea	561	Symptoms involving digestive system
HP:0002028	Chronic diarrhea	561	Symptoms involving digestive system
HP:0002041	Intractable diarrhea	561	Symptoms involving digestive system
HP:0002249	Melena	561	Symptoms involving digestive system
HP:0002254	Intermittent diarrhea	561	Symptoms involving digestive system
HP:0002573	Hematochezia	561	Symptoms involving digestive system
HP:0004385	Protracted diarrhea	561	Symptoms involving digestive system
HP:0005208	Secretory diarrhea	561	Symptoms involving digestive system
HP:0025085	Bloody diarrhea	561	Symptoms involving digestive system
HP:0025086	Bloody mucoid diarrhea	561	Symptoms involving digestive system
HP:0033310	Osmotic diarrhea	561	Symptoms involving digestive system
HP:0033343	Mucoid diarrhea	561	Symptoms involving digestive system
HP:0002607	Bowel incontinence	561	Symptoms involving digestive system
HP:0040183	Encopresis	561	Symptoms involving digestive system
HP:0001538	Protuberant abdomen	561	Symptoms involving digestive system
HP:0003270	Abdominal distention	561	Symptoms involving digestive system
HP:0012701	Bowel urgency	561	Symptoms involving digestive system
HP:0030142	Abnormal bowel sounds	561	Symptoms involving digestive system
HP:0030143	Hyperactive bowel sounds	561	Symptoms involving digestive system
HP:0030144	Hypoactive bowel sounds	561	Symptoms involving digestive system
HP:0030145	Lack of bowel sounds	561	Symptoms involving digestive system
HP:0033589	Flatulence	561	Symptoms involving digestive system
HP:0002014	Diarrhea	561.1	Diarrhea
HP:0002028	Chronic diarrhea	561.1	Diarrhea
HP:0002041	Intractable diarrhea	561.1	Diarrhea
HP:0002249	Melena	561.1	Diarrhea
HP:0002254	Intermittent diarrhea	561.1	Diarrhea
HP:0002573	Hematochezia	561.1	Diarrhea
HP:0004385	Protracted diarrhea	561.1	Diarrhea
HP:0005208	Secretory diarrhea	561.1	Diarrhea
HP:0025085	Bloody diarrhea	561.1	Diarrhea
HP:0025086	Bloody mucoid diarrhea	561.1	Diarrhea
HP:0033310	Osmotic diarrhea	561.1	Diarrhea
HP:0033343	Mucoid diarrhea	561.1	Diarrhea
HP:0002014	Diarrhea	564	Functional digestive disorders
HP:0002251	Aganglionic megacolon	564	Functional digestive disorders
HP:0011284	Short-segment aganglionic megacolon	564	Functional digestive disorders
