hpo_term_id	hpo_term_name	phecode	phecode_name
HP:0005661	Salmonella osteomyelitis	001	Salmonella
HP:0033143	Jejunitis	001	Salmonella
HP:0005661	Salmonella osteomyelitis	089	Infections
HP:0033143	Jejunitis	089	Infections
HP:0032326	Methicillin-resistant Staphylococcus aureus infection	089	Infections
HP:0100658	Cellulitis	089	Infections
HP:0001055	Erysipelas	089	Infections
HP:0002090	Pneumonia	089	Infections
HP:0002100	Recurrent aspiration pneumonia	089	Infections
HP:0006532	Recurrent pneumonia	089	Infections
HP:0011949	Acute infectious pneumonia	089	Infections
HP:0011951	Aspiration pneumonia	089	Infections
HP:0011952	Acute aspiration pneumonia	089	Infections
HP:0012282	Morbilliform rash	089	Infections
HP:0033214	Recurrent viral pneumonia	089	Infections
HP:0040186	Maculopapular exanthema	089	Infections
HP:0040187	Neonatal sepsis	089	Infections
HP:0100806	Sepsis	089	Infections
HP:4000054	Exanthem	089	Infections
HP:0000371	Acute otitis media	089	Infections
HP:0000388	Otitis media	089	Infections
HP:0000389	Chronic otitis media	089	Infections
HP:0000403	Recurrent otitis media	089	Infections
HP:0011274	Recurrent mycobacterial infections	089	Infections
HP:0011275	Recurrent mycobacterium avium complex infections	089	Infections
HP:0012219	Erythema nodosum	089	Infections
HP:0031353	Otitis media with effusion	089	Infections
HP:0032261	Nontuberculous mycobacterial pulmonary infection	089	Infections
HP:0032262	Pulmonary tuberculosis	089	Infections
HP:0040262	Glue ear	089	Infections
HP:0030160	Cervicitis	089	Infections
HP:0030683	Vaginitis	089	Infections
HP:0005202	Helicobacter pylori infection	089	Infections
HP:0004387	Enterocolitis	089	Infections
HP:0032167	Clostridium difficile enteritis	089	Infections
HP:0032168	Clostridium difficile colitis	089	Infections
HP:0033165	Necrotizing enterocolitis	089	Infections
HP:0100758	Gangrene	089	Infections
HP:0000222	Gingival hyperkeratosis	089	Infections
HP:0000962	Hyperkeratosis	089	Infections
HP:0000972	Palmoplantar hyperkeratosis	089	Infections
HP:0000982	Palmoplantar keratoderma	089	Infections
HP:0001269	Hemiparesis	089	Infections
HP:0002301	Hemiplegia	089	Infections
HP:0002821	Neuropathic arthropathy	089	Infections
HP:0005588	Patchy palmoplantar hyperkeratosis	089	Infections
HP:0005595	Generalized hyperkeratosis	089	Infections
HP:0007390	Hyperkeratosis with erythema	089	Infections
HP:0007404	Nonepidermolytic palmoplantar hyperkeratosis	089	Infections
HP:0007447	Diffuse palmoplantar hyperkeratosis	089	Infections
HP:0007448	Hyperkeratosis over edematous areas	089	Infections
HP:0007465	Honeycomb palmoplantar hyperkeratosis	089	Infections
HP:0007468	Perifollicular hyperkeratosis	089	Infections
HP:0007490	Linear arrays of macular hyperkeratoses in flexural areas	089	Infections
HP:0007497	Focal friction-related palmoplantar hyperkeratosis	089	Infections
HP:0007501	Streaks of hyperkeratosis along each finger onto the palm	089	Infections
HP:0007502	Follicular hyperkeratosis	089	Infections
HP:0007508	Punctate palmar hyperkeratosis	089	Infections
HP:0007530	Punctate palmoplantar hyperkeratosis	089	Infections
HP:0007543	Epidermal hyperkeratosis	089	Infections
HP:0007545	Congenital palmoplantar hyperkeratosis	089	Infections
HP:0007548	Palmoplantar keratosis with erythema and scale	089	Infections
HP:0007553	Congenital symmetrical palmoplantar keratosis	089	Infections
HP:0007556	Plantar hyperkeratosis	089	Infections
HP:0007570	Hyperkeratosis lenticularis perstans	089	Infections
HP:0007613	Spinous keratoses of palms and soles	089	Infections
HP:0008392	Subungual hyperkeratosis	089	Infections
HP:0008399	Circumungual hyperkeratosis	089	Infections
HP:0008410	Subungual hyperkeratotic fragments	089	Infections
HP:0010765	Palmar hyperkeratosis	089	Infections
HP:0011099	Spastic hemiparesis	089	Infections
HP:0012194	Episodic hemiplegia	089	Infections
HP:0025080	Orthokeratotic hyperkeratosis	089	Infections
HP:0031288	Cobblestone-like hyperkeratosis	089	Infections
HP:0033707	Perioral hyperkeratosis	089	Infections
HP:0040009	Hyperparakeratosis	089	Infections
HP:0040292	Left hemiplegia	089	Infections
HP:0040293	Right hemiplegia	089	Infections
HP:0045059	Hyperkeratotic papule	089	Infections
HP:0100654	Retrobulbar optic neuritis	089	Infections
HP:0001271	Polyneuropathy	089	Infections
HP:0001954	Recurrent fever	089	Infections
HP:0031180	Erythema migrans	089	Infections
HP:0032323	Periodic fever	089	Infections
HP:0032324	Non-periodic recurrent fever	089	Infections
HP:0033087	Quotidian fever	089	Infections
HP:0031247	Whooping cough	089	Infections
HP:0002249	Melena	089	Infections
HP:0002573	Hematochezia	089	Infections
HP:0025085	Bloody diarrhea	089	Infections
HP:0025086	Bloody mucoid diarrhea	089	Infections
HP:0001945	Fever	089	Infections
HP:0001955	Unexplained fevers	089	Infections
HP:0011134	Low-grade fever	089	Infections
HP:0030244	Maternal fever in pregnancy	089	Infections
HP:0030245	Intrapartum fever	089	Infections
HP:0030246	Maternal first trimester fever	089	Infections
HP:0033031	Hyperpyrexia	089	Infections
HP:0033399	Persistent fever	089	Infections
HP:0012302	Herpes simplex encephalitis	089	Infections
HP:0031693	Severe Epstein Barr virus infection	089	Infections
HP:0410017	Otitis externa	089	Infections
HP:0001412	Enteroviral hepatitis	089	Infections
HP:0006562	Viral hepatitis	089	Infections
HP:0006572	Subacute progressive viral hepatitis	089	Infections
HP:0200119	Acute hepatitis	089	Infections
HP:0032163	Molluscum contagiosum	089	Infections
HP:0032185	Disseminated molluscum contagiosum	089	Infections
HP:0032215	Disseminated cutaneous warts	089	Infections
HP:0032301	Genital warts	089	Infections
HP:0033005	Plantar warts	089	Infections
HP:0200043	Verrucae	089	Infections
HP:0550004	Verruca plana	089	Infections
HP:0001096	Keratoconjunctivitis	089	Infections
HP:0001097	Keratoconjunctivitis sicca	089	Infections
HP:0031694	Severe adenovirus infection	089	Infections
HP:0011850	Parotitis	089	Infections
HP:0006980	Progressive leukoencephalopathy	089	Infections
HP:0032249	Coccidioidomycosis	089	Infections
HP:0033509	EBV encephalitis	089	Infections
HP:0033993	Viral encephalitis	089	Infections
HP:0002728	Chronic mucocutaneous candidiasis	089	Infections
HP:0005411	Chronic intestinal candidiasis	089	Infections
HP:0009098	Chronic oral candidiasis	089	Infections
HP:0012204	Recurrent vulvovaginal candidiasis	089	Infections
HP:0033351	Candida esophagitis	089	Infections
HP:0032161	Coccidioidal meningitis	089	Infections
HP:0032256	Histoplasmosis	089	Infections
HP:0032257	Disseminated histoplasmosis	089	Infections
HP:0032258	Pulmonary histoplasmosis	089	Infections
HP:0020103	Invasive pulmonary aspergillosis	089	Infections
HP:0032160	Cryptococcal meningitis	089	Infections
HP:0020102	Pneumocystis jirovecii pneumonia	089	Infections
HP:0030049	Brain abscess	089	Infections
HP:0000509	Conjunctivitis	089	Infections
HP:0001287	Meningitis	089	Infections
HP:0001638	Cardiomyopathy	089	Infections
HP:0001639	Hypertrophic cardiomyopathy	089	Infections
HP:0001644	Dilated cardiomyopathy	089	Infections
HP:0001670	Asymmetric septal hypertrophy	089	Infections
HP:0001723	Restrictive cardiomyopathy	089	Infections
HP:0002383	Infectious encephalitis	089	Infections
HP:0005152	Histiocytoid cardiomyopathy	089	Infections
HP:0005157	Concentric hypertrophic cardiomyopathy	089	Infections
HP:0006689	Bacterial endocarditis	089	Infections
HP:0006946	Recurrent meningitis	089	Infections
HP:0007041	Chronic lymphocytic meningitis	089	Infections
HP:0007274	Recurrent bacterial meningitis	089	Infections
HP:0007812	Herpetiform corneal ulceration	089	Infections
HP:0011450	Unusual CNS infection	089	Infections
HP:0011663	Right ventricular cardiomyopathy	089	Infections
HP:0011664	Left ventricular noncompaction cardiomyopathy	089	Infections
HP:0011665	Takotsubo cardiomyopathy	089	Infections
HP:0012203	Onychomycosis	089	Infections
HP:0012804	Corneal ulceration	089	Infections
HP:0012816	Right ventricular noncompaction cardiomyopathy	089	Infections
HP:0012817	Noncompaction cardiomyopathy	089	Infections
HP:0012818	Biventricular noncompaction cardiomyopathy	089	Infections
HP:0020071	Viremia	089	Infections
HP:0020072	Persistent EBV viremia	089	Infections
HP:0030249	Enanthema	089	Infections
HP:0031691	Severe viral infection	089	Infections
HP:0031692	Severe cytomegalovirus infection	089	Infections
HP:0031695	Severe parainfluenza infection	089	Infections
HP:0031864	Bacteremia	089	Infections
HP:0031992	Apical hypertrophic cardiomyopathy	089	Infections
HP:0032159	Fungal meningitis	089	Infections
HP:0032170	Severe varicella zoster infection	089	Infections
HP:0032247	Persistent CMV viremia	089	Infections
HP:0032248	Persistent viremia	089	Infections
HP:0032515	Deep dermatophytosis	089	Infections
HP:0032518	Disseminated dermatophytosis	089	Infections
HP:0033141	Severe SARS-CoV-2 infection	089	Infections
HP:0033431	Cytomegalovirus colitis	089	Infections
HP:0033508	EBV meningitis	089	Infections
HP:0034249	Severe influenza infection	089	Infections
HP:0200127	Atrial cardiomyopathy	089	Infections
HP:0005661	Salmonella osteomyelitis	089.1	Bacterial infections
HP:0033143	Jejunitis	089.1	Bacterial infections
HP:0032326	Methicillin-resistant Staphylococcus aureus infection	089.1	Bacterial infections
HP:0100658	Cellulitis	089.1	Bacterial infections
HP:0001055	Erysipelas	089.1	Bacterial infections
HP:0002090	Pneumonia	089.1	Bacterial infections
HP:0002100	Recurrent aspiration pneumonia	089.1	Bacterial infections
HP:0006532	Recurrent pneumonia	089.1	Bacterial infections
HP:0011949	Acute infectious pneumonia	089.1	Bacterial infections
HP:0011951	Aspiration pneumonia	089.1	Bacterial infections
HP:0011952	Acute aspiration pneumonia	089.1	Bacterial infections
HP:0012282	Morbilliform rash	089.1	Bacterial infections
HP:0033214	Recurrent viral pneumonia	089.1	Bacterial infections
HP:0040186	Maculopapular exanthema	089.1	Bacterial infections
HP:0040187	Neonatal sepsis	089.1	Bacterial infections
HP:0100806	Sepsis	089.1	Bacterial infections
HP:4000054	Exanthem	089.1	Bacterial infections
HP:0000371	Acute otitis media	089.1	Bacterial infections
HP:0000388	Otitis media	089.1	Bacterial infections
HP:0000389	Chronic otitis media	089.1	Bacterial infections
HP:0000403	Recurrent otitis media	089.1	Bacterial infections
HP:0011274	Recurrent mycobacterial infections	089.1	Bacterial infections
HP:0011275	Recurrent mycobacterium avium complex infections	089.1	Bacterial infections
HP:0012219	Erythema nodosum	089.1	Bacterial infections
HP:0031353	Otitis media with effusion	089.1	Bacterial infections
HP:0032261	Nontuberculous mycobacterial pulmonary infection	089.1	Bacterial infections
HP:0032262	Pulmonary tuberculosis	089.1	Bacterial infections
HP:0040262	Glue ear	089.1	Bacterial infections
HP:0030160	Cervicitis	089.1	Bacterial infections
HP:0030683	Vaginitis	089.1	Bacterial infections
HP:0005202	Helicobacter pylori infection	089.1	Bacterial infections
HP:0004387	Enterocolitis	089.1	Bacterial infections
HP:0032167	Clostridium difficile enteritis	089.1	Bacterial infections
HP:0032168	Clostridium difficile colitis	089.1	Bacterial infections
HP:0033165	Necrotizing enterocolitis	089.1	Bacterial infections
HP:0100758	Gangrene	089.1	Bacterial infections
HP:0000222	Gingival hyperkeratosis	089.1	Bacterial infections
HP:0000962	Hyperkeratosis	089.1	Bacterial infections
HP:0000972	Palmoplantar hyperkeratosis	089.1	Bacterial infections
HP:0000982	Palmoplantar keratoderma	089.1	Bacterial infections
HP:0001269	Hemiparesis	089.1	Bacterial infections
HP:0002301	Hemiplegia	089.1	Bacterial infections
