hpo_term_id	hpo_term_name	phecode	phecode_name
HP:0100658	Cellulitis	089.1	Bacterial infections
HP:0002718	Recurrent bacterial infections	089.1	Bacterial infections
HP:0002754	Osteomyelitis	701.1	Osteomyelitis
HP:0002960	Autoimmunity	181	Autoimmune disease
HP:0004386	Gastrointestinal inflammation	522	Gastrointestinal inflammation
HP:0100280	Crohn's disease	522.11	Crohn's disease
HP:0002733	Abnormality of the lymph nodes	177	Abnormality of the lymph nodes
HP:0002840	Lymphadenitis	177.1	Lymphadenitis
HP:0002840	Lymphadenitis	177.13	Acute lymphadenitis
HP:0025520	Calcinosis cutis	247.53	Calcinosis cutis*
HP:0100658	Cellulitis	660	Infection of the skin
HP:0100658	Cellulitis	660.2	Bacterial infection of the skin
HP:0010769	Pilonidal sinus	660.7	Pilonidal cyst
HP:0003765	Psoriasiform dermatitis	664.3	Parapsoriasis
HP:0003765	Psoriasiform dermatitis	665	Psoriasis
HP:0003765	Psoriasiform dermatitis	665.3	Other psoriasis
HP:0001025	Urticaria	666	Urticaria
HP:0410133	Chronic idiopathic urticaria	666.2	Idiopathic urticaria
HP:0410138	Vibratory urticaria	666.5	Vibratory urticaria
HP:0012219	Erythema nodosum	667.3	Erythema nodosum
HP:0001051	Seborrheic dermatitis	668.2	Seborrheic dermatitis
HP:0031287	Seborrheic keratosis	670	Seborrheic keratosis
HP:0025127	Actinic keratosis	673.1	Actinic keratosis
HP:0001010	Hypopigmentation of the skin	674.1	Hypopigmentation
HP:0005599	Hypopigmentation of hair	674.1	Hypopigmentation
HP:0007730	Iris hypopigmentation	674.1	Hypopigmentation
HP:0007894	Hypopigmentation of the fundus	674.1	Hypopigmentation
HP:0012643	Foveal hypopigmentation	674.1	Hypopigmentation
HP:0001045	Vitiligo	674.11	Vitiligo
HP:0001010	Hypopigmentation of the skin	674.2	Hypepigmentation
HP:0000957	Cafe-au-lait spot	674.21	Cafe au lait spots*
HP:0001480	Freckling	674.22	Freckles*
HP:0000956	Acanthosis nigricans	674.23	Acanthosis nigricans
HP:0001065	Striae distensae	675.2	Striae atrophicae
HP:0000989	Pruritus	679.4	Pruritus
HP:0000999	Pyoderma	679.5	Pyoderma
HP:0011368	Epidermal thickening	680	Epidermal thickening
HP:0031009	Ainhum	680.4	Ainhum
HP:0025245	Cutaneous cyst	682.1	Cutaneous cyst
HP:0200040	Epidermoid cyst	682.11	Sebaceous cyst [Epidermal cyst]
HP:0040154	Acne inversa	682.3	Hidradenitis suppurativa
HP:0001061	Acne	682.4	Acne
HP:0012710	Ingrown nail	683.1	Ingrowing nail
HP:0008404	Nail dystrophy	683.2	Nail dystrophy*
HP:0001806	Onycholysis	683.4	Onycholysis*
HP:0001596	Alopecia	684.1	Alopecia
HP:0002232	Patchy alopecia	684.11	Alopecia Areata
HP:0025470	Telogen effluvium	684.12	Telogen effluvium
HP:0002293	Alopecia of scalp	684.13	Scarring hair loss*
HP:0000998	Hypertrichosis	684.2	Hypertrichosis and hirsutism
HP:0001595	Abnormal hair morphology	684.8	Abnormalities of the hair
HP:0000970	Anhidrosis	685.5	Anhidrosis
HP:0000975	Hyperhidrosis	685.8	Hyperhidrosis
HP:0002149	Hyperuricemia	703.1	Hyperuricemia
HP:0001997	Gout	703.11	Gout
HP:0003040	Arthropathy	707	Other arthropathies
HP:0012393	Allergy	840	Allergy
HP:0500093	Food allergy	840.1	Food allergy
HP:0100806	Sepsis	092.2	Sepsis
HP:0032326	Methicillin-resistant Staphylococcus aureus infection	097.1	Methicillin resistant Staphylococcus aureus
HP:0031691	Severe viral infection	089.2	Viral infections
HP:0011947	Respiratory tract infection	460	Acute respiratory infection
HP:0002090	Pneumonia	468	Pneumonia
HP:0006516	Hypersensitivity pneumonitis	477.2	Hypersensitivity pneumonitis
HP:0011951	Aspiration pneumonia	478	Aspiration pneumonia
HP:0002783	Recurrent lower respiratory tract infections	460.2	Acute lower respiratory infection
HP:0100758	Gangrene	091	Gangrene
HP:0006753	Neoplasm of the stomach	136.2	Benign neoplasm of stomach
HP:0100273	Neoplasm of the colon	136.41	Benign neoplasm of the colon
HP:0100835	Benign neoplasm of the central nervous system	136.41	Benign neoplasm of the colon
HP:0001332	Dystonia	324.3	Dystonia
HP:0032551	Hemorrhoids	439	Hemorrhoids
HP:0001907	Thromboembolism	440	Embolism and thrombosis
HP:0001907	Thromboembolism	440.1	Venous thromboembolism
HP:0002575	Tracheoesophageal fistula	492	Tracheoesophageal fistula
HP:0011069	Supernumerary tooth	500.3	Supernumerary teeth
HP:0000670	Carious teeth	501	Dental caries
HP:0033788	Cementum overgrowth	502.5	Hypercementosis
HP:0006308	Atrophy of alveolar ridges	502.7	Atrophy of edentulous alveolar ridge
