hpo_term_id	hpo_term_name	phecode	phecode_name
HP:0002014	Diarrhea	008	Intestinal infection
HP:0004387	Enterocolitis	008	Intestinal infection
HP:0032168	Clostridium difficile colitis	008	Intestinal infection
HP:0033143	Jejunitis	008	Intestinal infection
HP:0200042	Skin ulcer	686	Other local infections of skin and subcutaneous tissue
HP:0010771	Pilonidal abscess	686	Other local infections of skin and subcutaneous tissue
HP:0030318	Angular cheilitis	686	Other local infections of skin and subcutaneous tissue
HP:0000999	Pyoderma	686	Other local infections of skin and subcutaneous tissue
HP:0001055	Erysipelas	686	Other local infections of skin and subcutaneous tissue
HP:0010769	Pilonidal sinus	686	Other local infections of skin and subcutaneous tissue
HP:0020083	Furuncle	686	Other local infections of skin and subcutaneous tissue
HP:0020084	Carbuncle	686	Other local infections of skin and subcutaneous tissue
HP:0025452	Pyoderma gangrenosum	686.5	Pyoderma
HP:0200042	Skin ulcer	686.5	Pyoderma
HP:0000999	Pyoderma	686.5	Pyoderma
HP:0200042	Skin ulcer	707	Chronic ulcer of skin
HP:0012399	Pressure ulcer	707.1	Decubitus ulcer
HP:0200042	Skin ulcer	707.1	Decubitus ulcer
HP:0002014	Diarrhea	561	Symptoms involving digestive system
HP:0002607	Bowel incontinence	561	Symptoms involving digestive system
HP:0003270	Abdominal distention	561	Symptoms involving digestive system
HP:0012701	Bowel urgency	561	Symptoms involving digestive system
HP:0030142	Abnormal bowel sounds	561	Symptoms involving digestive system
HP:0033589	Flatulence	561	Symptoms involving digestive system
HP:0002014	Diarrhea	561.1	Diarrhea
HP:0002028	Chronic diarrhea	561.1	Diarrhea
HP:0002041	Intractable diarrhea	561.1	Diarrhea
HP:0002249	Melena	561.1	Diarrhea
HP:0002254	Intermittent diarrhea	561.1	Diarrhea
HP:0002573	Hematochezia	561.1	Diarrhea
HP:0004385	Protracted diarrhea	561.1	Diarrhea
HP:0005208	Secretory diarrhea	561.1	Diarrhea
HP:0025085	Bloody diarrhea	561.1	Diarrhea
HP:0025086	Bloody mucoid diarrhea	561.1	Diarrhea
HP:0033310	Osmotic diarrhea	561.1	Diarrhea
HP:0033343	Mucoid diarrhea	561.1	Diarrhea
HP:0002014	Diarrhea	564	Functional digestive disorders
HP:0002251	Aganglionic megacolon	564	Functional digestive disorders
HP:0004387	Enterocolitis	008.5	Bacterial enteritis
HP:0025085	Bloody diarrhea	008.5	Bacterial enteritis
HP:0032168	Clostridium difficile colitis	008.5	Bacterial enteritis
HP:0033143	Jejunitis	008.5	Bacterial enteritis
HP:0005521	Disseminated intravascular coagulation	286	Coagulation defects
HP:0025343	Lupus anticoagulant	286	Coagulation defects
HP:0001892	Abnormal bleeding	287	Purpura and other hemorrhagic conditions
HP:0031041	Obstruction of the superior vena cava	459	Other disorders of circulatory system
HP:0002239	Gastrointestinal hemorrhage	531.1	Hemorrhage from gastrointestinal ulcer
HP:0002249	Melena	556.11	Angiodysplasia of intestine (without mention of hemorrhage)
HP:0002573	Hematochezia	556.11	Angiodysplasia of intestine (without mention of hemorrhage)
HP:0002239	Gastrointestinal hemorrhage	556.11	Angiodysplasia of intestine (without mention of hemorrhage)
HP:0002248	Hematemesis	556.11	Angiodysplasia of intestine (without mention of hemorrhage)
HP:0002584	Intestinal bleeding	556.11	Angiodysplasia of intestine (without mention of hemorrhage)
HP:0012849	Small intestinal bleeding	556.11	Angiodysplasia of intestine (without mention of hemorrhage)
HP:0032144	Coffee ground vomitus	556.11	Angiodysplasia of intestine (without mention of hemorrhage)
HP:0002249	Melena	578	Gastrointestinal hemorrhage
