hpo_term_id	hpo_term_name	phecode	phecode_name
HP:0100658	Cellulitis	089.1	Bacterial infections
HP:0002718	Recurrent bacterial infections	089.1	Bacterial infections
HP:0005661	Salmonella osteomyelitis	701.1	Osteomyelitis
HP:0001886	Foot osteomyelitis	701.1	Osteomyelitis
HP:0002754	Osteomyelitis	701.1	Osteomyelitis
HP:0005010	Osteomyelitis leading to amputation due to slow healing fractures	701.1	Osteomyelitis
HP:0007626	Mandibular osteomyelitis	701.1	Osteomyelitis
HP:0002960	Autoimmunity	181	Autoimmune disease
HP:0004387	Enterocolitis	522	Gastrointestinal inflammation
HP:0033165	Necrotizing enterocolitis	522	Gastrointestinal inflammation
HP:0031813	Colonic eosinophilia	522	Gastrointestinal inflammation
HP:0410151	Eosinophilic infiltration of the esophagus	522	Gastrointestinal inflammation
HP:0002583	Colitis	522	Gastrointestinal inflammation
HP:0033164	Focal active colitis	522	Gastrointestinal inflammation
HP:0033256	Pancolitis	522	Gastrointestinal inflammation
HP:0100279	Ulcerative colitis	522	Gastrointestinal inflammation
HP:0100280	Crohn's disease	522	Gastrointestinal inflammation
HP:0100281	Chronic colitis	522	Gastrointestinal inflammation
HP:0100282	Acute colitis	522	Gastrointestinal inflammation
HP:0100633	Esophagitis	522	Gastrointestinal inflammation
HP:0410152	Eosinophilic microabscess formation in the esophagus	522	Gastrointestinal inflammation
HP:0002037	Inflammation of the large intestine	522	Gastrointestinal inflammation
HP:0004386	Gastrointestinal inflammation	522	Gastrointestinal inflammation
HP:4000055	Intestinal inflammation	522	Gastrointestinal inflammation
HP:0100280	Crohn's disease	522.11	Crohn's disease
HP:0002716	Lymphadenopathy	177	Abnormality of the lymph nodes
HP:0002729	Follicular hyperplasia	177	Abnormality of the lymph nodes
HP:0002730	Chronic noninfectious lymphadenopathy	177	Abnormality of the lymph nodes
HP:0002732	Lymph node hypoplasia	177	Abnormality of the lymph nodes
HP:0002733	Abnormality of the lymph nodes	177	Abnormality of the lymph nodes
HP:0002840	Lymphadenitis	177	Abnormality of the lymph nodes
HP:0002849	Absence of lymph node germinal center	177	Abnormality of the lymph nodes
HP:0008940	Generalized lymphadenopathy	177	Abnormality of the lymph nodes
HP:0025042	Abnormality of mesenteric lymph nodes	177	Abnormality of the lymph nodes
HP:0025043	Enlarged mesenteric lymph node	177	Abnormality of the lymph nodes
HP:0025289	Cervical lymphadenopathy	177	Abnormality of the lymph nodes
HP:0032536	Increased number of lymph nodes	177	Abnormality of the lymph nodes
HP:0033136	Lymph node abscess	177	Abnormality of the lymph nodes
HP:0033176	Submandibular lymph node enlargement	177	Abnormality of the lymph nodes
HP:0033280	Paratracheal lymphadenopathy	177	Abnormality of the lymph nodes
HP:0033581	Absent peripheral lymph nodes in presence of infection	177	Abnormality of the lymph nodes
HP:0100721	Mediastinal lymphadenopathy	177	Abnormality of the lymph nodes
HP:0002840	Lymphadenitis	177.1	Lymphadenitis
HP:0002840	Lymphadenitis	177.13	Acute lymphadenitis
HP:0025520	Calcinosis cutis	247.53	Calcinosis cutis*
HP:0100658	Cellulitis	660	Infection of the skin
HP:0100658	Cellulitis	660.2	Bacterial infection of the skin
HP:0010769	Pilonidal sinus	660.7	Pilonidal cyst
HP:0003765	Psoriasiform dermatitis	664.3	Parapsoriasis
HP:0003765	Psoriasiform dermatitis	665	Psoriasis
HP:0003765	Psoriasiform dermatitis	665.3	Other psoriasis
HP:0001025	Urticaria	666	Urticaria
HP:0011971	Dermatographic urticaria	666	Urticaria
HP:0025081	Darier's sign	666	Urticaria
HP:0033167	Neutrophilic urticarial dermatosis	666	Urticaria
HP:0410133	Chronic idiopathic urticaria	666	Urticaria
HP:0410134	Physical urticaria	666	Urticaria
HP:0410135	Cold urticaria	666	Urticaria
HP:0410136	Aquagenic urticaria	666	Urticaria
HP:0410137	Solar urticaria	666	Urticaria
HP:0410138	Vibratory urticaria	666	Urticaria
HP:0410133	Chronic idiopathic urticaria	666.2	Idiopathic urticaria
HP:0011971	Dermatographic urticaria	666.4	Dermatographic urticaria
HP:0410138	Vibratory urticaria	666.5	Vibratory urticaria
HP:0012219	Erythema nodosum	667.3	Erythema nodosum
HP:0000976	Eczematoid dermatitis	668	Dermatitis [eczema]
HP:0001047	Atopic dermatitis	668.1	Atopic dermatitis
HP:0007573	Late onset atopic dermatitis	668.1	Atopic dermatitis
HP:0001051	Seborrheic dermatitis	668.2	Seborrheic dermatitis
HP:0007569	Generalized seborrheic dermatitis	668.2	Seborrheic dermatitis
HP:0032282	Contact dermatitis	668.3	Contact dermatitis
HP:0025452	Pyoderma gangrenosum	669.1	Pyoderma gangrenosum
HP:0031287	Seborrheic keratosis	670	Seborrheic keratosis
HP:0025127	Actinic keratosis	673.1	Actinic keratosis
