hpo_term_id	hpo_term_name	phecode	phecode_name
HP:0005661	Salmonella osteomyelitis	001	Salmonella
HP:0032326	Methicillin-resistant Staphylococcus aureus infection	002	Staphylococcus
HP:0032326	Methicillin-resistant Staphylococcus aureus infection	002.1	Staphylococcus aureus
HP:0002740	Recurrent E. coli infections	003	Escherichia coli
HP:0001055	Erysipelas	004	Streptococcus
HP:0011024	Abnormality of the gastrointestinal tract	004	Streptococcus
HP:0011024	Abnormality of the gastrointestinal tract	004.1	Streptococcus pneumoniae
HP:0032262	Pulmonary tuberculosis	005	Mycobacteria
HP:0032262	Pulmonary tuberculosis	005.1	Mycobacterium tuberculosis
HP:0032167	Clostridium difficile enteritis	015.2	Clostridium difficile
HP:0032168	Clostridium difficile colitis	015.2	Clostridium difficile
HP:0001271	Polyneuropathy	020	Borrelia
HP:0001954	Recurrent fever	020	Borrelia
HP:0001271	Polyneuropathy	020.1	Lyme disease
HP:0031247	Whooping cough	024	Pertussis
HP:0031180	Erythema migrans	038	Erysipelothrix
HP:0011024	Abnormality of the gastrointestinal tract	042	Tropheryma
HP:0020098	obsolete Herpes encephalitis	052	Herpesvirus
HP:0012302	Herpes simplex encephalitis	052	Herpesvirus
HP:0012302	Herpes simplex encephalitis	052.1	Herpes simplex
HP:0020098	obsolete Herpes encephalitis	052.1	Herpes simplex
HP:0031693	Severe Epstein Barr virus infection	052.4	Infectious mononucleosis
HP:0006562	Viral hepatitis	054	Hepatovirus
HP:0200119	Acute hepatitis	054	Hepatovirus
HP:0011024	Abnormality of the gastrointestinal tract	054	Hepatovirus
HP:0012115	Hepatitis	054.1	Hepatitis A
HP:0200119	Acute hepatitis	054.1	Hepatitis A
HP:0006562	Viral hepatitis	054.1	Hepatitis A
HP:0012115	Hepatitis	054.2	Hepatitis B
HP:0006562	Viral hepatitis	054.2	Hepatitis B
HP:0006562	Viral hepatitis	054.21	Hepatitis delta
HP:0006562	Viral hepatitis	054.3	Hepatitis C
HP:0012115	Hepatitis	054.3	Hepatitis C
HP:0200123	Chronic hepatitis	054.31	Chronic hepatitis C
HP:0006562	Viral hepatitis	054.31	Chronic hepatitis C
HP:0200119	Acute hepatitis	054.32	Acute hepatitis C
HP:0006562	Viral hepatitis	054.32	Acute hepatitis C
HP:0012115	Hepatitis	054.5	Hepatitis E
HP:0006562	Viral hepatitis	054.5	Hepatitis E
HP:0032163	Molluscum contagiosum	055	Poxvirus
HP:0032163	Molluscum contagiosum	055.1	Molluscum contagiosum
HP:0033005	Plantar warts	056	Human papillomavirus
HP:0032301	Genital warts	056	Human papillomavirus
HP:0550004	Verruca plana	056	Human papillomavirus
HP:0200043	Verrucae	056	Human papillomavirus
HP:0033005	Plantar warts	056.1	Plantar wart
HP:0032301	Genital warts	056.2	Anogenital (venereal) warts
HP:0033351	Candida esophagitis	070	Candidiasis
HP:0032249	Coccidioidomycosis	071	Coccidioides
HP:0032161	Coccidioidal meningitis	071	Coccidioides
HP:0032257	Disseminated histoplasmosis	072	Histoplasmosis
HP:0032256	Histoplasmosis	072	Histoplasmosis
HP:0020103	Invasive pulmonary aspergillosis	074	Aspergillosis
HP:0032160	Cryptococcal meningitis	075	Cryptococcosis
HP:0020102	Pneumocystis jirovecii pneumonia	076	Pneumocystosis
HP:0033782	Semilunar tooth	088	Sexually transmitted disease
HP:0032301	Genital warts	088	Sexually transmitted disease
HP:0200119	Acute hepatitis	089	Infections
HP:0020103	Invasive pulmonary aspergillosis	089	Infections
HP:0550004	Verruca plana	089	Infections
HP:0032163	Molluscum contagiosum	089	Infections
HP:0005661	Salmonella osteomyelitis	089	Infections
HP:0032249	Coccidioidomycosis	089	Infections
HP:0200043	Verrucae	089	Infections
HP:0033993	Viral encephalitis	089	Infections
HP:0006562	Viral hepatitis	089	Infections
HP:0011024	Abnormality of the gastrointestinal tract	089	Infections
HP:0020102	Pneumocystis jirovecii pneumonia	089	Infections
HP:0032262	Pulmonary tuberculosis	089	Infections
HP:0032301	Genital warts	089	Infections
HP:0033005	Plantar warts	089	Infections
HP:0032160	Cryptococcal meningitis	089	Infections
HP:0032257	Disseminated histoplasmosis	089	Infections
HP:0031180	Erythema migrans	089	Infections
HP:0032161	Coccidioidal meningitis	089	Infections
HP:0031247	Whooping cough	089	Infections
HP:0032326	Methicillin-resistant Staphylococcus aureus infection	089	Infections
HP:0100806	Sepsis	089	Infections
HP:0020098	obsolete Herpes encephalitis	089	Infections
HP:0002740	Recurrent E. coli infections	089	Infections
HP:0033351	Candida esophagitis	089	Infections
HP:0020071	Viremia	089	Infections
HP:0001055	Erysipelas	089	Infections
HP:0001954	Recurrent fever	089	Infections
HP:0001271	Polyneuropathy	089	Infections
HP:0032515	Deep dermatophytosis	089	Infections
HP:0032256	Histoplasmosis	089	Infections
HP:0012203	Onychomycosis	089	Infections
HP:0032518	Disseminated dermatophytosis	089	Infections
HP:0012302	Herpes simplex encephalitis	089	Infections
HP:0032326	Methicillin-resistant Staphylococcus aureus infection	089.1	Bacterial infections
HP:0100806	Sepsis	089.1	Bacterial infections
HP:0002740	Recurrent E. coli infections	089.1	Bacterial infections
HP:0001954	Recurrent fever	089.1	Bacterial infections
HP:0001271	Polyneuropathy	089.1	Bacterial infections
HP:0031180	Erythema migrans	089.1	Bacterial infections
HP:0011024	Abnormality of the gastrointestinal tract	089.1	Bacterial infections
HP:0001055	Erysipelas	089.1	Bacterial infections
HP:0005661	Salmonella osteomyelitis	089.1	Bacterial infections
HP:0032262	Pulmonary tuberculosis	089.1	Bacterial infections
HP:0031247	Whooping cough	089.1	Bacterial infections
HP:0002718	Recurrent bacterial infections	089.1	Bacterial infections
HP:0200043	Verrucae	089.2	Viral infections
HP:0032301	Genital warts	089.2	Viral infections
HP:0011024	Abnormality of the gastrointestinal tract	089.2	Viral infections
HP:0033005	Plantar warts	089.2	Viral infections
HP:0006562	Viral hepatitis	089.2	Viral infections
HP:0020071	Viremia	089.2	Viral infections
HP:0550004	Verruca plana	089.2	Viral infections
