hpo_code	hpo_label	hpo_simpleLabel	hpo_original
HP_0000002	Abnormality of body height	abnormality of body height	True
HP_0001507	Growth abnormality	growth abnormality	True
HP_0001507	Abnormal growth	abnormal growth	False
HP_0001507	Growth issue	growth issue	False
HP_0000003	Multicystic kidney dysplasia	multicystic kidney dysplasia	True
HP_0000003	Multicystic dysplastic kidney	multicystic dysplastic kidney	False
HP_0000003	Multicystic kidneys	multicystic kidneys	False
HP_0000003	Multicystic renal dysplasia	multicystic renal dysplasia	False
HP_0000107	Renal cyst	renal cyst	True
HP_0000107	Kidney cyst	kidney cyst	False
HP_0000008	Abnormal morphology of female internal genitalia	abnormal morphology of female internal genitalia	True
HP_0000008	Abnormality of female internal genitalia	abnormality of female internal genitalia	False
HP_0000812	Abnormal internal genitalia	abnormal internal genitalia	True
HP_0010460	Abnormality of the female genitalia	abnormality of the female genitalia	True
HP_0000009	Functional abnormality of the bladder	functional abnormality of the bladder	True
HP_0000009	Poor bladder function	poor bladder function	False
HP_0000014	Abnormality of the bladder	abnormality of the bladder	True
HP_0000010	Recurrent urinary tract infections	recurrent urinary tract infections	True
HP_0000010	Frequent urinary tract infections	frequent urinary tract infections	False
HP_0000010	Recurrent UTIs	recurrent utis	False
HP_0000010	Repeated bladder infections	repeated bladder infections	False
HP_0000010	Repeated urinary tract infections	repeated urinary tract infections	False
HP_0000010	Urinary tract infections	urinary tract infections	False
HP_0000010	Urinary tract infections, recurrent	urinary tract infections recurrent	False
HP_0002719	Recurrent infections	recurrent infections	True
HP_0002719	Frequent infections	frequent infections	False
HP_0002719	Frequent, severe infections	frequent severe infections	False
HP_0002719	Increased frequency of infection	increased frequency of infection	False
HP_0002719	Predisposition to infections	predisposition to infections	False
HP_0002719	Susceptibility to infection	susceptibility to infection	False
HP_0002719	infections, recurrent	infections recurrent	False
HP_0011277	Abnormality of the urinary system physiology	abnormality of the urinary system physiology	True
HP_0000011	Neurogenic bladder	neurogenic bladder	True
HP_0000011	Lack of bladder control due to nervous system injury	lack of bladder control due to nervous system injury	False
HP_0000012	Urinary urgency	urinary urgency	True
HP_0000012	Overactive bladder	overactive bladder	False
HP_0000013	Hypoplasia of the uterus	hypoplasia of the uterus	True
HP_0000013	Hypoplastic uterus	hypoplastic uterus	False
HP_0000013	Rudimentary uterus	rudimentary uterus	False
HP_0000013	Small uterus	small uterus	False
HP_0000013	Underdeveloped uterus	underdeveloped uterus	False
HP_0008684	Aplasia/hypoplasia of the uterus	aplasiahypoplasia of the uterus	True
HP_0008684	Absent/small uterus	absentsmall uterus	False
HP_0008684	Absent/underdeveloped uterus	absentunderdeveloped uterus	False
HP_0010936	Abnormality of the lower urinary tract	abnormality of the lower urinary tract	True
HP_0000015	Bladder diverticulum	bladder diverticulum	True
HP_0000015	Bladder diverticula	bladder diverticula	False
HP_0025487	Abnormality of bladder morphology	abnormality of bladder morphology	True
HP_0000016	Urinary retention	urinary retention	True
HP_0000016	Increased post-void residual urine volume	increased post-void residual urine volume	False
HP_0000017	Nocturia	nocturia	True
HP_0000017	Nycturia	nycturia	False
HP_0000019	Urinary hesitancy	urinary hesitancy	True
HP_0000019	Difficulty with flow	difficulty with flow	False
HP_0000020	Urinary incontinence	urinary incontinence	True
HP_0000020	Bladder incontinence	bladder incontinence	False
HP_0000020	Loss of bladder control	loss of bladder control	False
HP_0031064	Impaired continence	impaired continence	True
HP_0000021	Megacystis	megacystis	True
HP_0010955	Dilatation of the bladder	dilatation of the bladder	True
HP_0000022	Abnormality of male internal genitalia	abnormality of male internal genitalia	True
HP_0010461	Abnormality of the male genitalia	abnormality of the male genitalia	True
HP_0010461	Abnormal male genitals	abnormal male genitals	False
HP_0000023	Inguinal hernia	inguinal hernia	True
HP_0004299	Hernia of the abdominal wall	hernia of the abdominal wall	True
HP_0004299	Herniated abdominal wall	herniated abdominal wall	False
HP_0000024	Prostatitis	prostatitis	True
