phecode1.2_label	hpo_label	phecode1.2_code	hpo_code
Benign neoplasm of other parts of digestive system	Benign gastrointestinal tract tumors	211	HP_0006719
Other disorders of eye	Posterior synechiae of the anterior chamber	379	HP_0011484
Abdominal aortic aneurysm	Saccular abdominal aortic aneurysm	442.11	HP_0031645
Abnormal movement	Involuntary movements	350	HP_0004305
Congenital anomalies of limbs	Radioulnar synostosis	755	HP_0002974
Cerebral degeneration, unspecified	Communicating hydrocephalus	331.9	HP_0001334
Cardiac congenital anomalies	Congenital mitral stenosis	747.1	HP_0011570
Gastritis and duodenitis	Gastric hypertrophy	535	HP_0005207
Anomalies of respiratory system, congenital	Bronchomalacia	748	HP_0002780
Atrophic gastritis	Abnormality of the gastrointestinal tract	535.2	HP_0011024
Urinary calculus	Xanthogranulomatous pyelonephritis	594	HP_0033761
Allergic reaction to food	Gastrointestinal eosinophilia	930	HP_0032064
Fracture of ankle and foot	Fractured lower leg	801	HP_0041081
Sleep disorders	Sleep terror	327	HP_0030765
Mitral valve disease	P mitrale	394.2	HP_0031599
Acute, but ill-defined cerebrovascular disease	Ischemic stroke	433.6	HP_0002140
Abnormal involuntary movements	Muscle fibrillation	350.1	HP_0010546
Strabismus and other disorders of binocular eye movements	Neurogenic strabismus	378	HP_0031775
Chronic liver disease and cirrhosis	Biliary cirrhosis	571	HP_0002613
Cardiac and circulatory congenital anomalies	Pulmonic stenosis	747	HP_0001642
Other disorders of eyelids	Ptosis	374	HP_0000508
Cancer of bone and connective tissue	Gastrointestinal stroma tumor	170	HP_0100723
Other specified congenital anomalies of nervous system	Hydranencephaly	752.2	HP_0002324
Chronic thyroiditis	Hashimoto thyroiditis	245.2	HP_0000872
Strabismus and other disorders of binocular eye movements	Vertical incomitant strabismus	378	HP_0020043
Diseases due to other mycobacteria	Recurrent mycobacterial infections	031	HP_0011274
Disorders of iris and ciliary body	Persistent pupillary membrane	379.5	HP_0009917
Diseases and other conditions of the tongue	Erythema migrans	529	HP_0031180
Other disorders of eye	Scleritis	379	HP_0100532
Endocarditis	Endocarditis	420.3	HP_0100584
Cardiac and circulatory congenital anomalies	Levotransposition of the great arteries	747	HP_0031349
Other diseases of lung	Abnormal lung morphology	510	HP_0002088
Other congenital anomalies of lower limb, including pelvic girdle	Split foot	755.6	HP_0001839
Other chronic ischemic heart disease, unspecified	Cardiomyopathy	411.8	HP_0001638
Substance addiction and disorders	Polyneuropathy	316	HP_0001271
Benign neoplasm of thyroid glands	Neoplasm	226	HP_0002664
Hearing loss	Bilateral conductive hearing impairment	389	HP_0008513
Breast conditions, congenital or relating to hormones	Breast hypertrophy	612	HP_0010313
Polyp of female genital organs	Cervical polyp	622	HP_0030159
Symptoms and disorders of the joints	Migratory arthritis	741	HP_0033037
Pernicious anemia	Vitamin B12 deficiency	281.11	HP_0100502
Congenital anomalies of skin	Cutaneous mastocytosis	691	HP_0200151
Cardiac and circulatory congenital anomalies	Absent pulmonary artery	747	HP_0004960
Cancer of brain and nervous system	Schwannoma	191.1	HP_0100008
Congenital anomalies of breast	Supernumerary nipple	612.3	HP_0002558
Fracture of ankle and foot	Fractured epiphysis of second metatarsal bone	801	HP_0041194
Other specified congenital anomalies of nervous system	Aqueductal stenosis	752.2	HP_0002410
