hpo_code	phecode1.2_code
HP_0001374	755.61
HP_0001762	755.1
HP_0002023	750.21
HP_0010957	751.2
HP_0000072	586.4
HP_0005199	756.1
HP_0004392	756.1
HP_0010481	751.2
HP_0000767	756.21
HP_0000217	527.7
HP_0000766	756.2
HP_0001627	747.1
HP_0000768	756.22
HP_0001643	747.13
HP_0000028	751.12
HP_0000126	595
HP_0000951	691
HP_0001650	394.1
HP_0001770	755.3
HP_0001156	755.3
HP_0001596	704.1
HP_0001250	345
HP_0001252	772.3
HP_0030011	751.11
HP_0004383	747.12
HP_0001290	772.3
HP_0002084	752.1
HP_0001629	747.11
HP_0002539	752.2
HP_0001647	747.12
HP_0006970	656
HP_0002119	348.9
HP_0001302	752.2
HP_0007589	757
HP_0002558	612.3
HP_0001642	395.4
HP_0004415	747.13
HP_0001249	315.3
HP_0000252	752.2
HP_0000175	749.1
HP_0002079	752.2
HP_0001362	749.2
HP_0001263	315
HP_0002092	415.2
HP_0007590	757
HP_0001636	747.11
HP_0000965	782.6
HP_0000822	401
HP_0000568	753
HP_0000565	378.1
HP_0001631	747.11
HP_0002126	752.2
HP_0000204	749.1
HP_0005733	720
HP_0008947	772.3
HP_0001355	752.2
HP_0001377	741.2
HP_0002761	728.2
HP_0002781	519.8
HP_0001270	315
HP_0003093	741.2
HP_0004060	736.1
HP_0002938	737.2
HP_0002979	736.4
HP_0000238	331.1
HP_0008414	737.1
HP_0002512	348.2
HP_0002970	736.4
HP_0000403	381.1
HP_0000405	389.2
HP_0008921	264.1
HP_0007935	366.1
HP_0000365	389
HP_0002321	386.2
HP_0000360	389.4
HP_0001251	334.1
HP_0100014	362.26
HP_0009590	225.1
HP_0009593	225.1
HP_0009592	191.11
HP_0009595	199.4
HP_0000957	694.2
HP_0100019	366
HP_0002858	225.1
HP_0009830	356
HP_0009589	225.1
HP_0002315	339
HP_0002888	191.11
HP_0009737	379.5
HP_0001177	755.3
HP_0000244	749.2
HP_0000486	378
HP_0000684	520.2
HP_0004487	749.2
HP_0002021	537
HP_0004440	749.2
HP_0000316	376
HP_0004635	754
HP_0000453	749
HP_0000452	749
HP_0002032	750.11
HP_0003041	756.5
HP_0010554	755.3
HP_0001061	706.1
HP_0000689	524.3
HP_0002623	747.1
HP_0004468	748
HP_0001274	752.2
HP_0100702	348.4
HP_0005048	756.5
HP_0001162	755.3
HP_0004397	750.2
HP_0007291	348.4
HP_0000389	381.1
HP_0000303	526.3
HP_0000148	751.11
HP_0002342	315.3
HP_0004322	264.1
HP_0004443	749.2
HP_0000557	753
HP_0002974	755.4
HP_0003002	174
HP_0000327	526.3
HP_0004209	755.3
HP_0000248	749.2
HP_0000263	749.2
HP_0010104	755.1
HP_0008551	749
HP_0001822	735.3
HP_0030680	747
HP_0002678	749.2
HP_0009968	755.3
HP_0000508	374.3
HP_0009951	755.3
HP_0001159	755.3
HP_0001357	749
HP_0002780	748
HP_0003070	741.1
HP_0000678	524.3
HP_0000218	750.13
HP_0002676	749.2
HP_0005347	748
HP_0006101	755.3
HP_0001530	264.2
HP_0000122	751.22
HP_0011342	315
HP_0000995	216
HP_0003165	252
HP_0004490	733
HP_0003083	830
HP_0002905	275.53
HP_0000648	377.1
HP_0000858	626.1
HP_0008873	264.1
HP_0003528	246
HP_0000851	244.5
HP_0000135	257.1
HP_0002650	737.3
HP_0010655	756.5
HP_0000668	520.1
HP_0002925	246.7
HP_0003416	720
HP_0005756	756.5
HP_0200016	691
HP_0025092	701.2
HP_0100792	702
HP_0000962	701.1
HP_0002893	227.3
HP_0000870	253.4
HP_0040278	253.1
HP_0011760	227.3
HP_0001712	416
HP_0100829	612.1
HP_0001638	425
HP_0000845	253.11
HP_0006767	227.3
HP_0003510	264.1
HP_0010579	755.3
HP_0001609	473.4
HP_0002857	736.4
HP_0001007	704.2
HP_0001842	733
HP_0002751	737.3
HP_0001388	728.2
HP_0006180	755.3
HP_0001537	550.4
HP_0000047	751.12
HP_0001671	747.11
HP_0000023	550.1
HP_0000939	743.1
HP_0001508	264.2
HP_0000938	743
HP_0002953	805
HP_0002756	743.2
HP_0006480	525.1
HP_0008462	742.9
HP_0000506	374
HP_0000107	586.2
HP_0002645	749.2
HP_0000347	526.3
HP_0001799	703
HP_0002566	750.21
HP_0005359	759.1
HP_0003212	288
HP_0001890	283.1
HP_0002240	573.3
HP_0002718	041
HP_0001888	288.1
HP_0012191	202.2
HP_0001967	580.4
HP_0001744	579.2
HP_0002014	561.1
HP_0002850	279.11
HP_0001880	288.3
HP_0002099	495
HP_0004430	279.1
HP_0005365	288.1
HP_0002090	480
HP_0010976	288.1
HP_0000907	756.2
HP_0000926	754
HP_0004429	079
HP_0000246	475
HP_0001973	287.31
HP_0008348	279.1
HP_0002841	117
HP_0002720	279.11
HP_0002540	741.3
HP_0001272	334.1
HP_0002066	334.1
HP_0000639	378.2
HP_0000718	312
HP_0000717	313.3
HP_0000752	313.1
HP_0001348	350.5
HP_0000154	749
HP_0002179	350.1
HP_0003202	772.1
HP_0002059	331
HP_0000750	315.2
HP_0011344	315
HP_0001257	350.1
HP_0001510	264
HP_0001336	333.2
HP_0002561	612.3
