narrower,phecode1.2_label,hpo_label,phecode1.2_code,hpo_code
M,Benign neoplasm of other parts of digestive system,Benign gastrointestinal tract tumors,211,HP_0006719
H,Other disorders of eye,Posterior synechiae of the anterior chamber,379,HP_0011484
H,Abdominal aortic aneurysm,Saccular abdominal aortic aneurysm,442.11,HP_0031645
M,Abnormal movement,Involuntary movements,350,HP_0004305
H,Congenital anomalies of limbs,Radioulnar synostosis,755,HP_0002974
0,"Cerebral degeneration, unspecified",Communicating hydrocephalus,331.9,HP_0001334
H,Cardiac congenital anomalies,Congenital mitral stenosis,747.1,HP_0011570
0,Gastritis and duodenitis,Gastric hypertrophy,535,HP_0005207
H,"Anomalies of respiratory system, congenital",Bronchomalacia,748,HP_0002780
P,Atrophic gastritis,Abnormality of the gastrointestinal tract,535.2,HP_0011024
0,Urinary calculus,Xanthogranulomatous pyelonephritis,594,HP_0033761
0,Allergic reaction to food,Gastrointestinal eosinophilia,930,HP_0032064
H,Fracture of ankle and foot,Fractured lower leg,801,HP_0041081
H,Sleep disorders,Sleep terror,327,HP_0030765
H,Mitral valve disease,P mitrale,394.2,HP_0031599
H,"Acute, but ill-defined cerebrovascular disease",Ischemic stroke,433.6,HP_0002140
0,Abnormal involuntary movements,Muscle fibrillation,350.1,HP_0010546
M,Strabismus and other disorders of binocular eye movements,Neurogenic strabismus,378,HP_0031775
H,Chronic liver disease and cirrhosis,Biliary cirrhosis,571,HP_0002613
H,Cardiac and circulatory congenital anomalies,Pulmonic stenosis,747,HP_0001642
H,Other disorders of eyelids,Ptosis,374,HP_0000508
H,Cancer of bone and connective tissue,Gastrointestinal stroma tumor,170,HP_0100723
H,Other specified congenital anomalies of nervous system,Hydranencephaly,752.2,HP_0002324
M,Chronic thyroiditis,Hashimoto thyroiditis,245.2,HP_0000872
H,Strabismus and other disorders of binocular eye movements,Vertical incomitant strabismus,378,HP_0020043
M,Diseases due to other mycobacteria,Recurrent mycobacterial infections,031,HP_0011274
H,Disorders of iris and ciliary body,Persistent pupillary membrane,379.5,HP_0009917
0,Diseases and other conditions of the tongue,Erythema migrans,529,HP_0031180
H,Other disorders of eye,Scleritis,379,HP_0100532
M,Endocarditis,Endocarditis,420.3,HP_0100584
H,Cardiac and circulatory congenital anomalies,Levotransposition of the great arteries,747,HP_0031349
H,Other diseases of lung,Abnormal lung morphology,510,HP_0002088
H,"Other congenital anomalies of lower limb, including pelvic girdle",Split foot,755.6,HP_0001839
P,"Other chronic ischemic heart disease, unspecified",Cardiomyopathy,411.8,HP_0001638
0,Substance addiction and disorders,Polyneuropathy,316,HP_0001271
P,Benign neoplasm of thyroid glands,Neoplasm,226,HP_0002664
H,Hearing loss,Bilateral conductive hearing impairment,389,HP_0008513
H,"Breast conditions, congenital or relating to hormones",Breast hypertrophy,612,HP_0010313
H,Polyp of female genital organs,Cervical polyp,622,HP_0030159
H,Symptoms and disorders of the joints,Migratory arthritis,741,HP_0033037
M,Pernicious anemia,Vitamin B12 deficiency,281.11,HP_0100502
0,Congenital anomalies of skin,Cutaneous mastocytosis,691,HP_0200151
H,Cardiac and circulatory congenital anomalies,Absent pulmonary artery,747,HP_0004960
H,Cancer of brain and nervous system,Schwannoma,191.1,HP_0100008
H,Congenital anomalies of breast,Supernumerary nipple,612.3,HP_0002558
H,Fracture of ankle and foot,Fractured epiphysis of second metatarsal bone,801,HP_0041194
H,Other specified congenital anomalies of nervous system,Aqueductal stenosis,752.2,HP_0002410
H,Disorders of amino-acid metabolism,Methylmalonic acidemia,270.2,HP_0002912
H,Diverticulosis and diverticulitis,Small bowel diverticula,562,HP_0002256
M,Disorders of sweat glands,Hyperhidrosis,705,HP_0000975
H,Genitourinary congenital anomalies,Renal duplication,751,HP_0000075
H,Pain in joint,Elbow pain,745,HP_0030835
H,Other specified gastritis,Gastric hypertrophy,535.8,HP_0005207
0,Nephritis and nephropathy without mention of glomerulonephritis,Abnormal tubulointerstitial morphology,580.3,HP_0001969
H,Strabismus and other disorders of binocular eye movements,Oculomotor nerve palsy,378,HP_0012246
0,Thyrotoxicosis with or without goiter,Uninodular goiter,242,HP_0011773
H,Diseases of esophagus,Esophageal diverticulum,530,HP_0100628
H,Other retinal disorders,Macular edema,362,HP_0040049
0,Other diseases of lung,Autoimmunity,510,HP_0002960
H,Acquired hemolytic anemias,Microangiopathic hemolytic anemia,283,HP_0001937
H,Osteoarthrosis,Hip osteoarthritis,740,HP_0008843
H,Cancer of other female genital organs,Ovarian carcinoma,184,HP_0025318
H,Hereditary disturbances in tooth structure,Fused teeth,520.1,HP_0011090
M,Subdural hemorrhage,Subdural hemorrhage,430.3,HP_0100309
M,Hypertensive heart disease,Increased blood pressure,401.21,HP_0032263
H,Phlebitis and thrombophlebitis,Deep venous thrombosis,451,HP_0002625
H,Congenital anomalies of the eye,Blue sclerae,753,HP_0000592
H,Retinopathy of prematurity,Retinopathy of prematurity stage 5b,362.1,HP_0500058
H,Corneal opacity and other disorders of cornea,Corneal degeneration,364,HP_0007705
P,Diabetes or abnormal glucose tolerance complicating pregnancy,Diabetes mellitus,649.1,HP_0000819
0,Symptoms involving skin and other integumentary tissue,Hot flashes,782,HP_0031217
H,Other upper respiratory disease,Nasal ulcer,479,HP_0033361
M,Hypertensive chronic kidney disease,Nephrosclerosis,401.22,HP_0009741
P,Liver abscess and sequelae of chronic liver disease,Hepatic failure,571.8,HP_0001399
H,Choroidal degenerations,obsolete Choroidal sclerosis,363.4,HP_0001150
0,Disorders of phosphorus metabolism,Hypercalciuria,275.53,HP_0002150
M,Enthesopathy,Arthropathy,726.1,HP_0003040
H,Other disorders of carbohydrate transport and metabolism,Hyperoxaluria,271.9,HP_0003159
P,Perinatal jaundice,Jaundice,656.8,HP_0000952
M,Cancer of larynx,Neoplasm of the larynx,149.4,HP_0100605
H,Abnormal movement,Gait disturbance,350,HP_0001288
P,Barrett's esophagus,Abnormality of the gastrointestinal tract,530.13,HP_0011024
H,"Disorders of fluid, electrolyte, and acid-base balance",Metabolic alkalosis,276,HP_0200114
H,Diseases of hair and hair follicles,Poliosis,704,HP_0002290
H,Congenital anomalies of skull and face bones,Cyclopia,749.2,HP_0009914
M,Purpura and other hemorrhagic conditions,Abnormality of coagulation,287,HP_0001928
H,Viral infection,Parotitis,079,HP_0011850
0,Disorders of protein plasma/amino-acid transport and metabolism,Intervertebral disk calcification,270,HP_0005645
H,Disorders of phosphorus metabolism,Hyperphosphaturia,275.53,HP_0003109
H,Symptoms and disorders of the joints,Elbow ankylosis,741,HP_0003070
P,Acute gastritis,Gastritis,535.1,HP_0005263
P,Postmenopausal bleeding,Abnormality of the genitourinary system,627.1,HP_0000119
H,Congenital anomalies of skin,Palmoplantar hyperkeratosis,691,HP_0000972
H,Anomalies of jaw size/symmetry,Retrognathia,526.3,HP_0000278
0,Cardiac dysrhythmias,Fourth heart sound,427,HP_0031659
M,Acute upper respiratory infections of multiple or unspecified sites,Rhinitis,465,HP_0012384
H,Vertiginous syndromes and other disorders of vestibular system,Nystagmus,386,HP_0000639
M,Purpura and other hemorrhagic conditions,Abnormality of blood and blood-forming tissues,287,HP_0001871
H,"Epilepsy, recurrent seizures, convulsions",Generalized myoclonic-atonic seizure,345,HP_0011170
0,Cerebrovascular disease,Dysphasia,433,HP_0002357
H,Myoneural disorders,Rigidity,358,HP_0002063
M,Other disorders of eye,Abnormality of the eye,379,HP_0000478
H,Hematological disorders of newborn,Neonatal alloimmune thrombocytopenia,656.5,HP_0004809
H,Fracture of upper limb,Fractured radius,803,HP_0003978
H,Menopausal and postmenopausal disorders,Hot flashes,627,HP_0031217
H,"Epilepsy, recurrent seizures, convulsions",Generalized non-motor (absence) seizure,345,HP_0002121
H,Bundle branch block,Left anterior fascicular block,426.3,HP_0011711
H,Other specified congenital anomalies of kidney,Renal malrotation,751.22,HP_0004712
H,Symptoms involving nervous and musculoskeletal systems,Falls,781,HP_0002527
M,"Infertility, male",Male infertility,609.1,HP_0003251
H,Abnormal heart sounds,Third heart sound,396,HP_0031658
0,Vitamin B-complex deficiencies,Complement deficiency,261.2,HP_0004431
H,Disorders of lacrimal system,Punctal stenosis,375,HP_0025572
H,Other specified congenital anomalies of nervous system,Schizencephaly,752.2,HP_0010636
M,Fracture of neck of femur,Fractured head of femur,800.1,HP_0041221
M,Muscle weakness,Generalized muscle weakness,772.3,HP_0003324
H,Lower gastrointestinal congenital anomalies,Biliary atresia,750.2,HP_0005912
M,Obesity,Obesity,278.1,HP_0001513
H,Congenital anomalies of face and neck,Hypertelorism,749,HP_0000316
0,Ptosis of eyelid,Dermatochalasis,374.3,HP_0010750
H,Congenital anomalies of limbs,Accessory carpal bones,755,HP_0004232
P,Paralysis/spasm of vocal cords or larynx,Vocal cord dysfunction,473.3,HP_0031801
H,Abnormal involuntary movements,Pill-rolling tremor,350.1,HP_0025387
M,Vesicoureteral reflux,Vesicoureteral reflux,586.12,HP_0000076
H,"Injury, NOS",Shoulder pain,1009,HP_0030834
0,Aneurysm of other specified artery,Carotid artery dissection,442.8,HP_0012158
H,Disorders of protein plasma/amino-acid transport and metabolism,Hyperlysinemia,270,HP_0002161
H,Cardiac congenital anomalies,Hypoplastic right heart,747.1,HP_0010954
H,Disorders of tooth development,Talon cusp,520,HP_0011087
H,Hearing loss,Moderate conductive hearing impairment,389,HP_0012716
H,Abdominal hernia,Hiatus hernia,550,HP_0002036
H,Other disorders of eyelids,Sparse eyelashes,374,HP_0000653
P,Folate-deficiency anemia,Macrocytic anemia,281.13,HP_0001972
0,Other CNS infection and poliomyelitis,Cutaneous abscess,324,HP_0031292
M,Skull and face fracture and other intercranial injury,Fractured facial bone,819,HP_0041220
M,Ingrowing nail,Ingrown nail,703.1,HP_0012710
H,Psychogenic and somatoform disorders,Psychogenic non-epileptic seizure,303,HP_0033052
0,Intestinal infection,Bloody diarrhea,008,HP_0025085
H,Disorders of amino-acid metabolism,Glutaric aciduria,270.2,HP_0003150
0,Contracture of tendon (sheath),Myopathy,727.7,HP_0003198
H,"Overweight, obesity and other hyperalimentation",Abdominal obesity,278,HP_0012743
H,Congenital anomalies of esophagus,Esophageal diverticulum,750.14,HP_0100628
H,Vesicoureteral reflux,Grade V vesicoureteral reflux,586.12,HP_0033740
0,Other arthropathies,Diabetes mellitus,716,HP_0000819
H,Corneal dystrophy,Central corneal dystrophy,364.5,HP_0007881
