phecode1.2_label	hpo_label	phecode1.2_code	hpo_code
Genitourinary congenital anomalies	Ureterovesical junction obstruction	751	HP_0030735
Epilepsy, recurrent seizures, convulsions	Focal sexual automatism seizure	345	HP_0032905
Cardiac shunt/ heart septal defect	Dextrotransposition of the great arteries	747.11	HP_0031348
Other aneurysm	Descending thoracic aorta aneurysm	442	HP_0004959
Pain, swelling or discharge of eye	Exercise-induced myalgia	379.9	HP_0003738
Cervicitis and endocervicitis	Abnormality of the genitourinary system	614.51	HP_0000119
Hallux valgus (Bunion)	Neuropathic arthropathy	735.3	HP_0002821
Other and unspecified coagulation defects	Subconjunctival hemorrhage	286.7	HP_0011896
Pituitary hyperfunction	Thyroid macrofollicular adenoma	253.1	HP_0011775
Hypovolemia	Hypercalcemia	276.5	HP_0003072
Secondary hypothyroidism	Abnormal circulating free T4 level	244.1	HP_0033076
Cardiac conduction disorders	Ventricular flutter	426	HP_0011841
Fracture of vertebral column without mention of spinal cord injury	Laryngotracheomalacia	805	HP_0008755
Other deficiency anemia	Folate-responsive megaloblastic anemia	281	HP_0004851
Corneal opacity and other disorders of cornea	Posterior crocodile shagreen of the cornea	364	HP_0032935
Other disorders of synovium, tendon, and bursa	Contractures of the large joints	727	HP_0005781
Pseudoexfoliation glaucoma	Open angle glaucoma	365.5	HP_0012108
Substance addiction and disorders	Sensory neuropathy	316	HP_0000763
Disorders of plasma protein metabolism	T cell chronic lymphocytic lymphoma/leukemia	270.3	HP_0005539
Congenital anomalies of limbs	Partial duplication of the proximal phalanx of the 3rd finger	755	HP_0009970
Nervous system congenital anomalies	Bilateral perisylvian polymicrogyria	752	HP_0032407
Other immunological findings	Whole-immunoglobulin paraproteinemia	279.7	HP_0031050
Abnormal results of function study of thyroid	Increased radioactive iodine uptake	246.7	HP_0031220
Primary/intrinsic cardiomyopathies	Apical hypertrophic cardiomyopathy	425.1	HP_0031992
Abnormal movement	Cold-induced muscle cramps	350	HP_0003449
Hemangioma of skin and subcutaneous tissue	Benign neoplasm of the central nervous system	228.1	HP_0100835
Other congenital musculoskeletal anomalies	Agenesis of the diaphragm	756	HP_0008986
Failure to thrive (childhood)	Proportionate short stature	264.2	HP_0003508
Neoplasm of uncertain behavior	Pleural mesothelioma	199	HP_0100002
Diseases of the salivary glands	Abnormality of the submandibular glands	527	HP_0010287
Other endocrine disorders	Secretory adrenocortical adenoma	259	HP_0011746
Other diseases of respiratory system, not elsewhere classified	Anterior mediastinal mass	519	HP_0033827
Symptoms of the muscles	Exercise-induced muscle cramps	772	HP_0003710
Sickle cell anemia	Heinz body anemia	282.5	HP_0005511
Contracture of joint	Decreased cervical spine flexion due to contractures of posterior cervical muscles	739	HP_0004631
Hypovolemia	Hypermanganesemia	276.5	HP_0032097
Other conditions of brain	Central nervous system cyst	348	HP_0030724
Swelling, mass, or lump in head and neck [Space-occupying lesion, intracranial NOS]	Thyroid microfollicular adenoma	293.1	HP_0011776
Disorders of the pituitary gland and its hypothalamic control	Prolactinoma	253	HP_0040278
Amyloidosis	Renal interstitial amyloid deposits	270.33	HP_0032613
Anatomical abnormatilies of kidney and ureters	Unilateral renal hypoplasia	586.1	HP_0012583
Intestinal obstruction without mention of hernia	Functional intestinal obstruction	560	HP_0005249
Nerve root and plexus disorders	Neuroma	353	HP_0030430
Disturbances of sulphur-bearing amino-acid metabolism	Mild myopia	270.11	HP_0025573
Fracture of unspecified bones	Paradoxical respiration	809	HP_0030207
Other non-epithelial cancer of skin	Cutaneous angiolipomas	172.2	HP_0006773
Other anemias	Stage 4 chronic kidney disease	285	HP_0012626
Lymphoid leukemia, acute	Multiple myeloma	204.11	HP_0006775
Other disorders of arteries and arterioles	Arteriovenous fistulas of celiac and mesenteric vessels	447	HP_0002642
Retinal detachments and defects	Retinal perforation	361	HP_0011958
Muscular dystrophies and other myopathies	Proximal lower limb amyotrophy	359	HP_0008956
Gout	Gout	274.1	HP_0001997
Simple and unspecified goiter	Abnormal TSH response to thyrotrophin-releasing hormone stimulation test	240	HP_0033080
Coagulation defects	Fetal intraventricular hemorrhage with periventricular hemorrhage	286	HP_0034219
Other non-epithelial cancer of skin	Facial papilloma	172.2	HP_0040167
Other derangement of joint	Posterior radial head dislocation	742.9	HP_0005798
Claw toe (acquired)	Polyarticular arthropathy	735.22	HP_0005195
Congenital anomalies of limbs	Ectopic accessory finger-like appendage	755	HP_0010441
