phecodeX_label	hpo_label	phecodeX_code	hpo_code
Hepatitis	Fulminant hepatitis	540	HP_0004787
Signs and symptoms involving emotional state	Suicidal ideation	308	HP_0031589
Acute nephritic syndrome	Glomerulonephritis	580.1	HP_0000099
Traumatic fracture of upper limb	Fractured forearm bones	T822	HP_0003961
Nonspecific symptoms peculiar to infancy	Abdominal colic	889	HP_0011848
Anemia secondary to chronic diseases and conditions	Chronic kidney disease	164.6	HP_0012622
Other disorders and symptoms of the musculoskeletal system	Arachnodactyly	730	HP_0001166
Lipoprotein deficiencies	Hypolipidemia	244.1	HP_0045014
Congenital malformations of brain	Septo-optic dysplasia	750	HP_0100842
Anemia	Iron deficiency anemia	164	HP_0001891
Other congenital malformations	Dextrocardia	796	HP_0001651
Chondromalacia	Bronchomalacia	728.1	HP_0002780
Behavioral and emotional disorders with onset usually occurring in childhood and adolescence	Enuresis nocturna	893	HP_0010677
Urticaria due to cold and heat	Cold urticaria	666.3	HP_0410135
Thrombosis of cerebral or precerebral arteries	Cerebral venous thrombosis	440.22	HP_0005305
Congenital malformation of the skin	Blue nevus	790	HP_0100814
Hypopituitarism NOS	Hypopituitarism	209.22	HP_0040075
Phlebitis and thrombophlebitis	Abnormality of the liver	440.13	HP_0001392
Orchitis and epididymitis	Abnormality of the genitourinary system	603.5	HP_0000119
Hyperparathyroidism	Secondary hyperparathyroidism	208.2	HP_0000867
Congenital malformations of female genitalia	Streak ovary	770	HP_0010464
Congenital deformities of feet	Pes cavus	784	HP_0001761
Nontraumatic Intracranial hemorrhage	Subdural hemorrhage	430	HP_0100309
Osteoporosis and low bone density	Vertebral compression fracture	726	HP_0002953
Adhesions and ankylosis of temporomandibular joint	Abnormality of the gastrointestinal tract	733.61	HP_0011024
Pulmonary valve atresia	Pulmonary valve atresia	779.11	HP_0010882
Congenital malformation of kidney	Renal hypoplasia	773	HP_0000089
Sexually transmitted disease	Cervicitis	088	HP_0030160
Symbolic dysfunction	Anomic aphasia	894	HP_0030784
Obstructive sleep apnea	Obstructive sleep apnea	333.11	HP_0002870
Dislocation	Patellar dislocation	T830	HP_0002999
Hydronephrosis	Pyelonephritis	581.31	HP_0012330
Myalgia	Myositis	724.1	HP_0100614
Gastrointestinal inflammation	Inflammatory cap polyp	522	HP_0025198
Congenital malformations of intestine	Megaduodenum	765	HP_0030996
Traumatic fracture of vertebrae	Compression-fractured thoracic vertebra	T818	HP_0041084
Hypercholesterolemia	Xanthelasma	239.1	HP_0001114
Myeloid	Myelodysplasia	120.1	HP_0002863
Bradycardia*	Sinus bradycardia	417.3	HP_0001688
Complications of trauma	Flexion contracture	T900	HP_0001371
Congenital hypoplasia and dysplasia of lung	Pulmonary sequestration	777.33	HP_0100632
Symptoms related to joints	Ankle joint effusion	713	HP_0032063
Congenital malformations of vagina	Imperforate hymen	770.5	HP_0030011
Arterial dissection	obsolete Dissecting aortic dilatation	438.4	HP_0002622
