hpo_code	phecodeX_code
HP_0001562	920.2
HP_0001374	783.1
HP_0001762	710.42
HP_0002023	765.8
HP_0010957	775.2
HP_0000072	581.32
HP_0005199	789
HP_0004392	789.3
HP_0010481	775.2
HP_0000767	786.1
HP_0000217	506.5
HP_0000766	786
HP_0001627	780
HP_0000768	786.2
HP_0001643	778.3
HP_0000028	771.11
HP_0000126	581.31
HP_0001650	413.21
HP_0001770	785.12
HP_0001596	684.1
HP_0001250	330
HP_0001252	807.2
HP_0030011	770.53
HP_0004383	780.52
HP_0001290	807.2
HP_0002084	751.3
HP_0001629	780.41
HP_0002539	750
HP_0001647	413.22
HP_0006970	870.4
HP_0002119	750
HP_0001302	750.13
HP_0007589	790
HP_0001642	778.52
HP_0004415	778.52
HP_0001249	892.6
HP_0000252	750.11
HP_0000175	757.1
HP_0002079	750.2
HP_0001362	758
HP_0001263	890
HP_0002092	406.11
HP_0007590	790
HP_0001636	780.44
HP_0000965	679
HP_0000822	401
HP_0000568	753.12
HP_0000565	381.3
HP_0001631	780.42
HP_0002126	750.13
HP_0000204	757.2
HP_0005733	715.4
HP_0008947	872.12
HP_0001355	750.3
HP_0008905	785
HP_0001377	713.4
HP_0002761	712.51
HP_0002781	486
HP_0001270	891.3
HP_0003093	713.4
HP_0100864	785
HP_0002938	714.2
HP_0002979	785.6
HP_0000238	344.1
HP_0008414	714.1
HP_0002512	346.5
HP_0002970	710.32
HP_0000403	391.1
HP_0000405	396.1
HP_0008921	890.3
HP_0007935	371.22
HP_0000365	396
HP_0002321	394.2
HP_0000360	397.1
HP_0001251	325.3
HP_0009590	148.5
HP_0009593	148.5
HP_0009592	109.3
HP_0009595	139.4
HP_0000957	674.21
HP_0009594	148.1
HP_0100019	371.1
HP_0002858	148.2
HP_0009830	337
HP_0009589	148.5
HP_0002315	331
HP_0002888	148.3
HP_0001331	750
HP_0001177	785.12
HP_0000486	381
HP_0000684	500.4
HP_0002021	516.1
HP_0004440	758.23
HP_0000316	758.5
HP_0004635	714.7
HP_0000453	758.61
HP_0000452	758.61
HP_0002032	762.1
HP_0010554	785.12
HP_0001061	682.4
HP_0000689	733.3
HP_0002623	778.4
HP_0004468	777.2
HP_0001274	750.2
HP_0100702	347.1
HP_0001162	785.12
HP_0000193	757.11
HP_0004397	765.6
HP_0007291	347.1
HP_0000389	391.12
HP_0000303	733.7
HP_0000148	770.5
HP_0002342	892.6
HP_0004322	890.3
HP_0004443	758.23
HP_0000557	753.9
HP_0002974	785
HP_0003002	105
HP_0000327	733.12
HP_0000324	758.1
HP_0000263	758
HP_0010104	785.1
HP_0008551	755.11
HP_0001822	709.21
HP_0002678	758
HP_0009968	785.12
HP_0000508	361.3
HP_0009951	785.11
HP_0001159	785.12
HP_0001357	758.22
HP_0002780	777.2
HP_0003070	712.4
HP_0000678	733.31
HP_0002676	758
HP_0005347	777.2
HP_0006101	785.12
HP_0001530	871.2
HP_0000122	773.11
HP_0011342	890
HP_0000995	138.2
HP_0003165	208
HP_0004490	727.4
HP_0002905	247.3
HP_0000648	380.3
HP_0005616	727
HP_0010743	785
HP_0000858	626.1
HP_0008873	890.3
HP_0008479	787
HP_0003528	200.5
HP_0000851	200.11
HP_0000135	215.1
HP_0002650	714.3
HP_0001518	850.1
HP_0000668	500
HP_0002925	200.9
HP_0001511	850.3
HP_0003416	715.4
HP_0200016	680
HP_0100792	663.6
HP_0000962	680
HP_0002893	149.4
HP_0000870	209.13
HP_0040278	149.4
HP_0011760	149.4
HP_0001712	425
HP_0100829	612.1
HP_0001638	414
HP_0000845	209.1
HP_0006767	149.4
HP_0001773	785
HP_0001072	676
HP_0001609	494
HP_0002857	710.31
HP_0001007	684.2
HP_0001842	726.6
HP_0002751	714.3
HP_0001388	712.51
HP_0001537	520.13
HP_0000047	771.21
HP_0001671	780.4
HP_0000023	520.11
HP_0000939	726.1
HP_0001508	890.1
HP_0000938	727
HP_0002953	T818
HP_0002756	726.2
HP_0006480	502.6
HP_0008462	712.63
HP_0000107	586.2
HP_0000664	684.2
HP_0000347	733.1
HP_0002566	765.4
HP_0005359	220
HP_0001890	161.21
HP_0002240	546.3
HP_0002718	089.1
HP_0001888	170.2
HP_0012191	122.2
HP_0001967	589
HP_0001744	174.2
HP_0002014	529.1
HP_0002850	179.5
HP_0001880	171.7
HP_0002099	475
HP_0004430	179.3
HP_0005365	170.2
HP_0002090	468
HP_0010976	170.2
HP_0000926	787
HP_0004429	089.2
HP_0000246	462
HP_0001973	169.1
HP_0008348	179.6
HP_0002841	089.3
HP_0002720	179.4
HP_0002540	325.24
HP_0001272	323
HP_0002066	325.2
HP_0000639	383.1
HP_0000718	308
HP_0000717	892.4
HP_0000752	893.1
HP_0001348	350.3
HP_0002179	719.1
HP_0003202	719.6
HP_0002059	328.3
HP_0000750	891.1
HP_0011344	890
HP_0000748	283
HP_0001257	719.1
HP_0001510	890
HP_0001336	324.5
HP_0001171	785.1
HP_0000958	680.3
HP_0000579	363.7
HP_0006357	502.6
HP_0000677	500
HP_0000992	672
HP_0004334	675
HP_0003187	612.3
HP_0001480	674.22
HP_0000691	500.2
HP_0002293	684.1
HP_0000968	790.2
HP_0000509	367.1
HP_0001839	785.1
HP_0000964	668
HP_0007455	790
HP_0000202	757
HP_0001100	753.5
HP_0008619	396.2
HP_0007894	374.71
HP_0007513	674.1
HP_0008527	396.2
HP_0002684	727.4
HP_0003472	247.51
HP_0100543	329.5
HP_0000518	371
HP_0006297	500.2
HP_0000852	208.1
HP_0002135	324.2
HP_0000821	200.1
HP_0006960	347
HP_0001513	236.1
HP_0000859	211.1
HP_0008221	211
HP_0000840	211.3
HP_0032152	680.2
HP_0000982	680.2
HP_0001820	683
HP_0000121	247.5
HP_0000099	580
HP_0003774	583.1
HP_0000123	580
HP_0000100	580.3
HP_0001134	371.2
HP_0000083	583
HP_0000790	593
HP_0001142	753.2
HP_0030034	589
HP_0000093	830
HP_0000407	396.2
HP_0000545	387.2
HP_0002148	247.3
HP_0004722	580.3
HP_0002069	330.11
HP_0200072	342
HP_0001266	324
HP_0001332	324.3
HP_0012194	341.2
HP_0001268	329
HP_0002445	342
HP_0001300	324.1
HP_0000726	328
HP_0002423	350
HP_0002511	328.1
HP_0000705	500.2
HP_0000679	500.2
HP_0006311	500.2
HP_0030843	249
HP_0001283	323.32
HP_0001271	337
HP_0012332	343
HP_0000973	679.8
HP_0001149	369.52
HP_0003216	249
HP_0001342	430
HP_0001297	431.1
HP_0002170	430
HP_0001396	552.2
HP_0000112	580.4
HP_0000969	812
HP_0000988	679.1
HP_0003477	337
HP_0000020	594.3
HP_0010550	342.1
HP_0001269	341.2
HP_0001324	807.2
HP_0002019	529.5
HP_0001265	350.3
HP_0001640	425
HP_0001260	356.1
HP_0011034	249
HP_0012185	336.1
HP_0004926	446.2
HP_0000505	388
HP_0000802	605.1
HP_0001337	324.4
HP_0002401	431
HP_0100725	668.5
HP_0040189	679.3
HP_0000989	679.4
HP_0001291	334
HP_0002015	512
HP_0002398	323.3
HP_0003394	719.11
HP_0002380	325.1
HP_0010535	333.1
HP_0007024	323.3
HP_0007354	323.31
HP_0001347	350.3
HP_0002366	323.3
HP_0003470	342
HP_0007308	324
HP_0002145	328.32
HP_0002186	894.2
HP_0002385	342.1
HP_0002273	342
HP_0000738	353.1
HP_0000716	296.2
HP_0000605	382.2
HP_0002529	328.3
HP_0000746	287.4
HP_0000741	308.4
HP_0010972	164
HP_0001972	164.2
HP_0000952	251
HP_0004810	162
HP_0001894	124.5
HP_0000089	773.12
HP_0010446	413.3
HP_0009944	785.11
HP_0000278	733.7
HP_0003003	101.41
HP_0002669	104.1
HP_0009777	785.1
HP_0008007	753.9
HP_0008447	787
