phecodeX_label	hpo_label	phecodeX_code	hpo_code
Nontraumatic Intracranial hemorrhage	Grade I preterm intraventricular hemorrhage	430	HP_0030748
Lack of expected normal physiological development in childhood	Mild short stature	890	HP_0003502
Benign neoplasm of meninges (Meningioma)	Meningioma	148.2	HP_0002858
Epilepsy	Status epilepticus without prominent motor symptoms	330.1	HP_0031475
Malignant neoplasm of the palate	Neoplasm	100.15	HP_0002664
Anomalies of great veins, congenital	Absent right superior vena cava	781.4	HP_0011666
Malignant neoplasm of the heart, mediastinum, thymus, and pleura	Middle mediastinal mass	102.5	HP_0033828
Other malignant immunoproliferative diseases	Myeloid leukemia	125.5	HP_0012324
Panic disorder [episodic paroxysmal anxiety]	Panic attack	288.2	HP_0025269
Sequela of infection	Non-medullary thyroid carcinoma	095	HP_0040198
Congenital anomalies of hair	Abnormality of the genital system	792	HP_0000078
Anemia	Exercise-induced hemolysis	164	HP_0005535
Benign neoplasm of the thymus	Optic nerve sheath meningioma	137.54	HP_0500089
Congenital hypohthyroidism	Non-medullary thyroid carcinoma	200.11	HP_0040198
Dyshormogenetic goiter	Thyroglossal cyst	200.25	HP_0010518
Extrapyramidal and movement disorders	Basal ganglia edema	324	HP_0025039
Neuralgic amyotrophy	Congenital peripheral neuropathy	335.3	HP_0006903
Visual field defects	Peripheral visual field loss	386.4	HP_0007994
Abnormal serum enzyme levels	Elevated circulating aspartate aminotransferase concentration	823	HP_0031956
Lesion of median, ulnar, radial nerve	Demyelinating motor neuropathy	336.2	HP_0007220
Congenital anomalies of lacrimal gland	Absent lacrimal punctum	754.2	HP_0001092
Epilepsy	Focal impaired awareness emotional seizure with paranoia	330.1	HP_0032749
Disorders of tooth develoment	Agenesis of mandibular incisor	500	HP_0200161
Adverse effect of other drug	Hurthle cell thyroid adenoma	973	HP_0006781
Benign neoplasm of urethra	Curvilinear pericallosal lipoma	146.51	HP_0034013
Other hearing abnormality	Unilateral deafness	397	HP_0009900
Age-related nuclear cataract	Cataract	371.31	HP_0000518
Primary sclerosing cholangitis*	Sclerosing cholangitis	552.11	HP_0030991
Congenital malformation of vitreous humor	Remnants of the hyaloid vascular system	753.81	HP_0007968
Peripheral retinal degeneration	Snowflake vitreoretinal degeneration	374.6	HP_0011533
Major histocompatibility complex class I deficiency (Bare lymphocyte syndrome, type I)*	Partial functional complement factor D deficiency	179.35	HP_0008338
Inflammation of the heart [Carditis]	Minicore myopathy	410	HP_0003789
Congenital malformation of the skin	Palmoplantar keratoderma	790	HP_0000982
Goiter	Accessory ectopic thyroid tissue	200.2	HP_0100030
Congenital malformation of the skin	Increased dermatoglyphic whorls	790	HP_0005875
Abnormal digit morphology	Mesoaxial foot polydactyly	785.1	HP_0010112
Iodine-deficiency related thyroid disorders*	Abnormal circulating free T4 level	200.7	HP_0033076
Disorders of pneumogastric [10th] nerve	Entrapment neuropathy	334.6	HP_0012181
Neuroendocrine tumors	Pericallosal lipoma	114	HP_0006931
Secondary thrombocytopenia	Abnormality of blood and blood-forming tissues	169.14	HP_0001871
Rheumatoid arthritis	Glycogen accumulation in pulmonary interstitial cells	705.1	HP_0033244
Myotonic muscular dystrophy	Polyneuropathy	339.21	HP_0001271
Platelet defects	Decreased platelet glycoprotein Ib	169	HP_0031156
Hemiplegia and hemiparesis	Vocal cord paresis	341.2	HP_0001604
Benign neoplasm of the mediastinum	Pericallosal lipoma	137.52	HP_0006931
Disorders of muscle	Calcification of muscles	719	HP_0100249
Cancer (solid tumor, excluding BCC)	Neoplasm of the breast	130	HP_0100013
Visual disturbances	Sudden loss of visual acuity	386	HP_0001117
Congenital malformations of great arteries	Pulmonary aterial intimal fibrosis	778	HP_0005312
Congenital malformations of trachea and bronchus*	Cartilaginous tracheobronchomalacia	777.2	HP_0033990
Other and unspecified nonspecific immunological findings	Increased circulating IgA level	826.4	HP_0003261
Malaise and fatigue	Fatigable weakness of respiratory muscles	807	HP_0030196
Malignant neoplasm of the eye, brain and other parts of central nervous system	Pineocytoma	109	HP_0030407
Rhabdomyolysis	Rhabdomyolysis	719.8	HP_0003201
Lyme disease	Chronic axonal neuropathy	020.1	HP_0007267
Congenital lens anomalies	Posterior subcapsular cataract	753.2	HP_0007787
Ischemic heart disease	Right ventricular noncompaction cardiomyopathy	404	HP_0012816
Hemorrhoids	Vulval varicose vein	439	HP_0100677
Erythroid	Pulmonary lymphoma	120.13	HP_0011953
Effect of trauma	Microphakia	T883	HP_0012376
Disorder of nervous system	EEG with temporal sharp slow waves	349	HP_0011289
Neutropenia	Chronic neutropenia	170.1	HP_0410252
Secondary malignancy of lymph nodes	Neoplasm	116.1	HP_0002664
Congenital anomalies of limbs	Abnormality of the lower limb	785	HP_0002814
Diseases of salivary glands	Drooling	506	HP_0002307
Abnormal involuntary movements	Phonic tics	325.1	HP_0100035
Renal tubulo-interstitial diseases	Decreased serum complement factor H	581	HP_0005369
Benign neoplasm of the mediastinum	Neoplasm	137.52	HP_0002664
Common variable immunodeficiency [CVID]	Decreased serum complement C5	179.7	HP_0033060
Strabismus	Cyclic esotropia	381	HP_0031763
Diffuse diseases of connective tissue	Skeletal myopathy	700	HP_0003756
Abnormal findings on diagnostic test of central nervous system	EEG with central focal spikes	349.1	HP_0012014
Follicular lymphoma	Lymphoid leukemia	122.21	HP_0005526
Follicular lymphoma	Hematological neoplasm	122.21	HP_0004377
Congenital anomalies of eye	Cerulean cataract	753	HP_0007976
Abnormal cardiac sounds	Fourth heart sound	423	HP_0031659
Polydactyly	Polydactyly affecting the 3rd finger	785.11	HP_0009958
Benign neoplasms of the vagina	Cerebellar hemangioblastoma	144.12	HP_0006880
Anaplastic large cell lymphoma	Multiple myeloma	122.25	HP_0006775
Blister	Oral mucosal blisters	T881	HP_0200097
Congenital anomalies of limbs	Proximal/middle symphalangism of 5th finger	785	HP_0009177
Major depressive disorder, recurrent	Psychotic mentation	286.21	HP_0001345
Acidosis	Bicarbonate-wasting renal tubular acidosis	256.31	HP_0004910
Inflammation of eyelids	Hordeolum externum	360	HP_0010607
Postinfectious hypothyroidism*	Hashimoto thyroiditis	200.15	HP_0000872
Primary adrenocortical insufficiency	Adrenocorticotropin receptor defect	211.21	HP_0008259
Cortical, lamellar, or zonular nonsenile cataract	Iridescent posterior subcapsular cataract	371.4	HP_0007889
Acute Pharyngitis	Pharyngalgia	465.1	HP_0033050
Chronic leukemia	Acute leukemia	121.2	HP_0002488
Polyneuropathies	Multiple mononeuropathy	337	HP_0032018
Chronic lymphoid leukemia	Hodgkin lymphoma	121.21	HP_0012189
Polycythemia vera	Increased red blood cell mass	124.3	HP_0001898
Contracture of tendon	Contracture of the distal interphalangeal joint of the 3rd finger	719.91	HP_0009469
Cataract	Posterior subcapsular cataract	371	HP_0007787
Postinfectious hypothyroidism*	Thyrotoxicosis from ectopic thyroid tissue	200.15	HP_0011783
