narrower,phecodeX_label,hpo_label,phecodeX_code,hpo_code
H,Nontraumatic Intracranial hemorrhage,Grade I preterm intraventricular hemorrhage,430,HP_0030748
H,Lack of expected normal physiological development in childhood,Mild short stature,890,HP_0003502
M,Benign neoplasm of meninges (Meningioma),Meningioma,148.2,HP_0002858
H,Epilepsy,Status epilepticus without prominent motor symptoms,330.1,HP_0031475
P,Malignant neoplasm of the palate,Neoplasm,100.15,HP_0002664
H,"Anomalies of great veins, congenital",Absent right superior vena cava,781.4,HP_0011666
P,"Malignant neoplasm of the heart, mediastinum, thymus, and pleura",Middle mediastinal mass,102.5,HP_0033828
H,Other malignant immunoproliferative diseases,Myeloid leukemia,125.5,HP_0012324
M,Panic disorder [episodic paroxysmal anxiety],Panic attack,288.2,HP_0025269
0,Sequela of infection,Non-medullary thyroid carcinoma,095,HP_0040198
H,Abnormal involuntary movements,Congenital horizontal nystagmus,325.1,HP_0007859
0,Congenital anomalies of hair,Abnormality of the genital system,792,HP_0000078
H,Anemia,Exercise-induced hemolysis,164,HP_0005535
0,Benign neoplasm of the thymus,Optic nerve sheath meningioma,137.54,HP_0500089
0,Congenital hypohthyroidism,Non-medullary thyroid carcinoma,200.11,HP_0040198
0,Dyshormogenetic goiter,Thyroglossal cyst,200.25,HP_0010518
0,Extrapyramidal and movement disorders,Basal ganglia edema,324,HP_0025039
P,Neuralgic amyotrophy,Congenital peripheral neuropathy,335.3,HP_0006903
M,Visual field defects,Peripheral visual field loss,386.4,HP_0007994
H,Abnormal serum enzyme levels,Elevated circulating aspartate aminotransferase concentration,823,HP_0031956
0,"Lesion of median, ulnar, radial nerve",Demyelinating motor neuropathy,336.2,HP_0007220
H,Congenital anomalies of lacrimal gland,Absent lacrimal punctum,754.2,HP_0001092
H,Epilepsy,Focal impaired awareness emotional seizure with paranoia,330.1,HP_0032749
H,Disorders of tooth develoment,Agenesis of mandibular incisor,500,HP_0200161
0,Adverse effect of other drug,Hurthle cell thyroid adenoma,973,HP_0006781
0,Benign neoplasm of urethra,Curvilinear pericallosal lipoma,146.51,HP_0034013
H,Other hearing abnormality,Unilateral deafness,397,HP_0009900
P,Age-related nuclear cataract,Cataract,371.31,HP_0000518
M,Primary sclerosing cholangitis*,Sclerosing cholangitis,552.11,HP_0030991
H,Congenital malformation of vitreous humor,Remnants of the hyaloid vascular system,753.81,HP_0007968
H,Peripheral retinal degeneration,Snowflake vitreoretinal degeneration,374.6,HP_0011533
0,"Major histocompatibility complex class I deficiency (Bare lymphocyte syndrome, type I)*",Partial functional complement factor D deficiency,179.35,HP_0008338
0,Inflammation of the heart [Carditis],Minicore myopathy,410,HP_0003789
H,Congenital malformation of the skin,Palmoplantar keratoderma,790,HP_0000982
0,Goiter,Accessory ectopic thyroid tissue,200.2,HP_0100030
H,Congenital malformation of the skin,Increased dermatoglyphic whorls,790,HP_0005875
H,Abnormal digit morphology,Mesoaxial foot polydactyly,785.1,HP_0010112
P,Iodine-deficiency related thyroid disorders*,Abnormal circulating free T4 level,200.7,HP_0033076
0,Disorders of pneumogastric [10th] nerve,Entrapment neuropathy,334.6,HP_0012181
0,Neuroendocrine tumors,Pericallosal lipoma,114,HP_0006931
P,Secondary thrombocytopenia,Abnormality of blood and blood-forming tissues,169.14,HP_0001871
0,Rheumatoid arthritis,Glycogen accumulation in pulmonary interstitial cells,705.1,HP_0033244
0,Myotonic muscular dystrophy,Polyneuropathy,339.21,HP_0001271
H,Platelet defects,Decreased platelet glycoprotein Ib,169,HP_0031156
0,Hemiplegia and hemiparesis,Vocal cord paresis,341.2,HP_0001604
0,Benign neoplasm of the mediastinum,Pericallosal lipoma,137.52,HP_0006931
H,Disorders of muscle,Calcification of muscles,719,HP_0100249
H,"Cancer (solid tumor, excluding BCC)",Neoplasm of the breast,130,HP_0100013
H,Visual disturbances,Sudden loss of visual acuity,386,HP_0001117
0,Congenital malformations of great arteries,Pulmonary aterial intimal fibrosis,778,HP_0005312
H,Congenital malformations of trachea and bronchus*,Cartilaginous tracheobronchomalacia,777.2,HP_0033990
H,Other and unspecified nonspecific immunological findings,Increased circulating IgA level,826.4,HP_0003261
H,Malaise and fatigue,Fatigable weakness of respiratory muscles,807,HP_0030196
0,"Malignant neoplasm of the eye, brain and other parts of central nervous system",Pineocytoma,109,HP_0030407
M,Rhabdomyolysis,Rhabdomyolysis,719.8,HP_0003201
0,Lyme disease,Chronic axonal neuropathy,020.1,HP_0007267
H,Congenital lens anomalies,Posterior subcapsular cataract,753.2,HP_0007787
0,Ischemic heart disease,Right ventricular noncompaction cardiomyopathy,404,HP_0012816
0,Hemorrhoids,Vulval varicose vein,439,HP_0100677
0,Erythroid,Pulmonary lymphoma,120.13,HP_0011953
0,Effect of trauma,Microphakia,T883,HP_0012376
H,Disorder of nervous system,EEG with temporal sharp slow waves,349,HP_0011289
M,Neutropenia,Chronic neutropenia,170.1,HP_0410252
P,Secondary malignancy of lymph nodes,Neoplasm,116.1,HP_0002664
M,Congenital anomalies of limbs,Abnormality of the lower limb,785,HP_0002814
H,Diseases of salivary glands,Drooling,506,HP_0002307
H,Abnormal involuntary movements,Phonic tics,325.1,HP_0100035
0,Renal tubulo-interstitial diseases,Decreased serum complement factor H,581,HP_0005369
P,Benign neoplasm of the mediastinum,Neoplasm,137.52,HP_0002664
0,Common variable immunodeficiency [CVID],Decreased serum complement C5,179.7,HP_0033060
H,Strabismus,Cyclic esotropia,381,HP_0031763
H,Diffuse diseases of connective tissue,Skeletal myopathy,700,HP_0003756
H,Abnormal findings on diagnostic test of central nervous system,EEG with central focal spikes,349.1,HP_0012014
P,Follicular lymphoma,Lymphoid leukemia,122.21,HP_0005526
P,Follicular lymphoma,Hematological neoplasm,122.21,HP_0004377
H,Congenital anomalies of eye,Cerulean cataract,753,HP_0007976
H,Abnormal cardiac sounds,Fourth heart sound,423,HP_0031659
M,Polydactyly,Polydactyly affecting the 3rd finger,785.11,HP_0009958
0,Benign neoplasms of the vagina,Cerebellar hemangioblastoma,144.12,HP_0006880
0,Anaplastic large cell lymphoma,Multiple myeloma,122.25,HP_0006775
H,Blister,Oral mucosal blisters,T881,HP_0200097
H,Congenital anomalies of limbs,Proximal/middle symphalangism of 5th finger,785,HP_0009177
0,"Major depressive disorder, recurrent",Psychotic mentation,286.21,HP_0001345
H,Acidosis,Bicarbonate-wasting renal tubular acidosis,256.31,HP_0004910
H,Inflammation of eyelids,Hordeolum externum,360,HP_0010607
0,Postinfectious hypothyroidism*,Hashimoto thyroiditis,200.15,HP_0000872
H,Primary adrenocortical insufficiency,Adrenocorticotropin receptor defect,211.21,HP_0008259
0,"Cortical, lamellar, or zonular nonsenile cataract",Iridescent posterior subcapsular cataract,371.4,HP_0007889
P,Acute Pharyngitis,Pharyngalgia,465.1,HP_0033050
0,Chronic leukemia,Acute leukemia,121.2,HP_0002488
0,Polyneuropathies,Multiple mononeuropathy,337,HP_0032018
0,Chronic lymphoid leukemia,Hodgkin lymphoma,121.21,HP_0012189
P,Polycythemia vera,Increased red blood cell mass,124.3,HP_0001898
H,Contracture of tendon,Contracture of the distal interphalangeal joint of the 3rd finger,719.91,HP_0009469
H,Cataract,Posterior subcapsular cataract,371,HP_0007787
0,Postinfectious hypothyroidism*,Thyrotoxicosis from ectopic thyroid tissue,200.15,HP_0011783
0,Dislocation of finger,Elbow dislocation,T830.5,HP_0003042
P,"Hypothyroidism, not specified as secondary",Abnormal circulating T4 level,200.14,HP_0031505
M,Benign neoplasm of the pituitary gland and craniopharyngeal duct,Neoplasm of the anterior pituitary,149.4,HP_0011750
0,Hemangioma and lymphangioma,Nevus sebaceus,139.6,HP_0025511
0,Malignant neoplasm of the lip,Astrocytoma,100.8,HP_0009592
H,Abnormal results of function studies of eye,Enlarged flash visual evoked potentials,385,HP_0008045
H,Hypepigmentation,Nevus flammeus,674.2,HP_0001052
M,Allergic rhinitis,Allergic rhinitis,463.2,HP_0003193
H,Other diseases of blood and blood-forming organs,IgM heavy chain paraproteinemia,176,HP_0020196
H,Ectopic anus*,Posteriorly placed anus,765.6,HP_0012890
0,Testicular hypofunction,Hypoplastic female external genitalia,215.1,HP_0012815
0,Infection of the skin,Blepharochalasis,660,HP_0010749
H,Neuroendocrine tumors,Macroprolactinoma,114,HP_0012342
H,Abnormalities of ear ossicles,Abnormality of the stapes,391.5,HP_0008628
M,Pulmonary insufficiency and acute respiratory distress syndrome,Respiratory failure,479,HP_0002878
P,Postoperative shock,Hypovolemia,C940,HP_0011106
0,Lesion of sciatic nerve,Progressive peripheral neuropathy,336.51,HP_0007133
H,Other congenital malformations of circulatory system,Single umbilical artery,781,HP_0001195
P,Secondary hypertension,Hypertension,401.6,HP_0000822
H,Interstitial pneumonitis,Lymphocytic interstitial pneumonia,481.43,HP_0006527
0,Pain,Abnormal peripheral nervous system morphology,809,HP_0000759
0,Juvenile rheumatoid arthritis [JRA/JIA],Abnormal joint morphology,705.2,HP_0001367
H,Neonatal disorders of coagulation,Acute disseminated intravascular coagulation,860.1,HP_0011880
H,Other abnormal findings in urine,Myoglobinuria,832,HP_0002913
0,Infections,Enanthema,089,HP_0030249
H,Arterial dissection,Coronary artery dissection,438.4,HP_0006702
M,Articular cartilage disorder,Polyarticular arthritis,712.3,HP_0005764
P,Chondrodystrophy,Severe short-limb dwarfism,788.1,HP_0008890
H,Qualitative platelet defects,Impaired thromboxane A2 agonist-induced platelet aggregation,169.2,HP_0011894
0,Sequelae of cancer,Entrapment neuropathy of suprascapular nerve,132,HP_0012216
M,Hypoesthesia of skin*,Distal sensory impairment,351.2,HP_0002936
0,Acute myeloid leukemia,Sideroblastic anemia,121.12,HP_0001924
H,Myeloid,Myeloproliferative disorder,120.1,HP_0005547
0,Allergic and dietetic gastroenteritis and colitis,Eosinophilic liver infiltration,522.5,HP_0032021
H,Fasciopathy,Camptodactyly,722,HP_0012385
H,Speech disturbance,Scanning speech,356,HP_0002168
M,Diverticulum of esophagus,Esophageal diverticulum,510.6,HP_0100628
H,Abnormal digit morphology,Complete duplication of the middle phalanx of the 2nd finger,785.1,HP_0009952
P,Allergic and dietetic gastroenteritis and colitis,Abnormality of the gastrointestinal tract,522.5,HP_0011024
H,Congenital anomalies of limbs,Complete duplication of the distal phalanx of the 4th finger,785,HP_0009978
0,Chronic leukemia,Carcinoma,121.2,HP_0030731
0,Acute lymphoid leukemia,Single lineage myelodysplasia,121.11,HP_0012150
H,Disorders of lens (excluding cataracts),Lentiglobus,372,HP_0011527
H,Behavioral and emotional disorders with onset usually occurring in childhood and adolescence,Eye poking,893,HP_0001483
H,Disorders of muscle,Frontalis muscle weakness,719,HP_0004661
0,Vesicoureteral reflux,Recurrent pyelonephritis,581.34,HP_0012787
P,Hemangioma,Neoplasm,139.61,HP_0002664
H,Other congenital malformations of circulatory system,Tetralogy of Fallot,781,HP_0001636
M,Aplasia/Hypoplasia of the external ear,Focal absence of the external ear,755.1,HP_0400003
H,Visual field defects,Arcuate scotoma,386.4,HP_0030530
0,Autoimmune disease,Decreased serum complement factor I,181,HP_0005356
0,Lipoma of intrathoracic organs,Retinal capillary hemangioma,139.52,HP_0009711
H,Abnormal involuntary movements,Chin myoclonus,325.1,HP_0012462
H,Heart failure,Abnormal left ventricular function,424,HP_0005162
P,Spinal osteochondrosis,Osteochondrosis,714.4,HP_0040188
H,Epilepsy,Focal aware autonomic seizure,330.1,HP_0032740
0,"Coagulation defects, purpura and other hemorrhagic conditions",Fetal intracranial hemorrhage,168,HP_0034208
0,Myxedema*,Thyroid C cell hyperplasia,200.16,HP_0011781
0,Mesenteric lymphadenitis,Abnormality of blood and blood-forming tissues,177.11,HP_0001871
0,Other and unspecified dorsopathies,Occipital neuralgia,717,HP_0012318
0,Esotropia,Alternating hypertropia,381.3,HP_0500076
H,Congenital malformation of the skin,Hair-nail ectodermal dysplasia,790,HP_0007436
0,Myotonic muscular dystrophy,Sensory ataxic neuropathy,339.21,HP_0003434
H,Hypopigmentation,Achromatic retinal patches,674.1,HP_0009727
0,Hemoglobin E disease,Increased red cell hemolysis by shear stress,165.24,HP_0008269
H,Congenital anomalies of aorta,Right aortic arch with left descending aorta and left ductus arteriosus,778.4,HP_0011597
H,Symptoms and signs related to movement disorders,Progressive gait ataxia,325,HP_0007240
0,Short stature due to endocrine disorder,Delayed adrenarche,217.4,HP_0025453
H,Spasm of muscle,Exercise-induced muscle cramps,719.11,HP_0003710
H,Hemangioma,Glabellar hemangioma,139.61,HP_0001076
0,Hypoesthesia of skin*,Positive Romberg sign,351.2,HP_0002403
0,Heavy chain disease*,Non-Hodgkin lymphoma,180.34,HP_0012539
H,Other specified cognitive deficit,Long term memory impairment,329.4,HP_0033688
H,Sudden or transient visual loss,Arcuate scotoma,386.8,HP_0030530
0,"Cancer (solid tumor, excluding BCC)",Pituitary prolactin cell adenoma,130,HP_0006767
H,Sudden or transient visual loss,Scotoma,386.8,HP_0000575
0,Hemo onc - by cell of origin,Monoclonal immunoglobulin M proteinemia,120,HP_0005508
H,Iodine-deficiency related thyroid disorders*,Nodular goiter,200.7,HP_0005994
H,Signs and symptoms involving emotional state,Aggressive behavior,308,HP_0000718
P,Merkel cell carcinoma,Neuroendocrine neoplasm,114.12,HP_0100634
H,Neuroendocrine tumors,Adrenal pheochromocytoma,114,HP_0006748
H,Congenital malformations of spine and bony thorax,Congenital kyphoscoliosis,787,HP_0008453
0,"Cortical, lamellar, or zonular nonsenile cataract",Pseudophakia,371.4,HP_0500081
H,Benign neoplasm of the colon,Colorectal polyposis,136.41,HP_0200063
P,Hereditary motor and sensory neuropathy,Chronic sensorineural polyneuropathy,337.11,HP_0001301
H,Disorders of other cranial nerves,Unilateral facial palsy,334,HP_0012799
P,Myasthenia gravis and other myoneural disorders,Peripheral neuropathy,338,HP_0009830
0,Retinal vascular changes and occlusions,Spider hemangioma,374.3,HP_0012522
0,Chronic myloid leukemia,B-cell lymphoma,121.22,HP_0012191
H,Hyperventilation,Intermittent hyperpnea at rest,488.2,HP_0005941
0,Short stature,Decreased serum complement factor H,890.3,HP_0005369
H,Epilepsy,Focal non-convulsive status epilepticus with impairment of consciousness,330.1,HP_0032861
0,Malignant neoplasm of the penis,Olfactory esthesioneuroblastoma,107.1,HP_0030068
H,Congenital anomaly of middle ear,Abnormality of the malleus,755.7,HP_0011454
0,Gynecological benign neoplasms,Spinal hemangioblastoma,144,HP_0009713
0,Hemangioma and lymphangioma,Connective tissue nevi,139.6,HP_0100898
H,Epilepsy,Focal aware cognitive seizure with neglect,330.1,HP_0032848
0,Viral infections,Enanthema,089.2,HP_0030249
P,Benign neoplasm of the colon,Abnormality of the gastrointestinal tract,136.41,HP_0011024
H,Autoimmune disease,Chronic hemolytic anemia,181,HP_0004870
H,Other congenital malformations of circulatory system,Bilateral superior vena cava with bridging vein,781,HP_0011667
0,Disorders of mineral metabolism and mineral deficiencies,Hypocalcemic seizures,247,HP_0002199
H,Primary disorders of muscles,Cold-sensitive myotonia,339,HP_0012904
H,Other congenital malformations of circulatory system,Double outlet right ventricle with subaortic ventricular septal defect and pulmonary stenosis,781,HP_0011655
0,Benign neoplasm of the heart,Tubulonodular pericallosal lipoma,137.51,HP_0034014
H,Infections,Cryptococcal meningitis,089,HP_0032160
0,"Cortical, lamellar, or zonular nonsenile cataract",Age-related nuclear cataract,371.4,HP_0011142
