phecode1.2_code	phecode1.2_label	phecode1.2_simpleLabel	phecode1.2_category
008	Intestinal infection	intestinal infection	infectious diseases
008.5	Bacterial enteritis	bacterial enteritis	infectious diseases
008.51	Intestinal e.coli	intestinal e.coli	infectious diseases
008.52	Intestinal infection due to C. difficile	intestinal infection due to c. difficile	infectious diseases
008.6	Viral Enteritis	viral enteritis	infectious diseases
008.7	Intestinal infection due to protozoa	intestinal infection due to protozoa	infectious diseases
010	Tuberculosis	tuberculosis	infectious diseases
031	Diseases due to other mycobacteria	diseases due to other mycobacteria	infectious diseases
031.1	Leprosy	leprosy	infectious diseases
038	Septicemia	septicemia	infectious diseases
038.1	Gram negative septicemia	gram negative septicemia	infectious diseases
038.2	Gram positive septicemia	gram positive septicemia	infectious diseases
038.3	Bacteremia	bacteremia	infectious diseases
041	Bacterial infection NOS	bacterial infection	infectious diseases
041.1	Staphylococcus infections	staphylococcus infections	infectious diseases
041.11	Methicillin sensitive Staphylococcus aureus	methicillin sensitive staphylococcus aureus	infectious diseases
041.12	Methicillin resistant Staphylococcus aureus	methicillin resistant staphylococcus aureus	infectious diseases
041.2	Streptococcus infection	streptococcus infection	infectious diseases
041.21	Rheumatic fever / chorea	rheumatic fever  chorea	infectious diseases
041.4	E. coli	e. coli	infectious diseases
041.8	H. pylori	h. pylori	infectious diseases
041.9	Infection with drug-resistant microorganisms	infection with drug-resistant microorganisms	infectious diseases
053	Herpes zoster	herpes zoster	infectious diseases
053.1	Herpes zoster with nervous system complications	herpes zoster with nervous system complications	infectious diseases
054	Herpes simplex	herpes simplex	infectious diseases
070	Viral hepatitis	viral hepatitis	infectious diseases
070.1	Viral hepatitis A	viral hepatitis a	infectious diseases
070.2	Viral hepatitis B	viral hepatitis b	infectious diseases
070.3	Viral hepatitis C	viral hepatitis c	infectious diseases
070.4	Chronic hepatitis	chronic hepatitis	infectious diseases
070.9	Hepatitis NOS	hepatitis	infectious diseases
071	Human immunodeficiency virus [HIV] disease	human immunodeficiency virus hiv disease	infectious diseases
071.1	HIV infection, symptomatic	hiv infection symptomatic	infectious diseases
078	Viral warts & HPV	viral warts  hpv	infectious diseases
079	Viral infection	viral infection	infectious diseases
079.1	Varicella infection	varicella infection	infectious diseases
079.2	Infectious mononucleosis	infectious mononucleosis	infectious diseases
079.9	Viremia, NOS	viremia	infectious diseases
080	Postoperative infection	postoperative infection	infectious diseases
081	Infection/inflammation of internal prosthetic device; implant; and graft	infectioninflammation of internal prosthetic device implant and graft	infectious diseases
081.1	Graft-versus-host disease	graft-versus-host disease	infectious diseases
081.11	Acute graft-versus-host disease	acute graft-versus-host disease	infectious diseases
081.12	Chronic graft-versus-host disease	chronic graft-versus-host disease	infectious diseases
090	Sexually transmitted infections (not HIV or hepatitis)	sexually transmitted infections not hiv or hepatitis	infectious diseases
090.2	Gonococcal infections	gonococcal infections	infectious diseases
090.3	Venereal diseases due to Chlamydia trachomatis	venereal diseases due to chlamydia trachomatis	infectious diseases
1000	Burns	burns	
1001	Foreign body injury	foreign body injury	
1002	Symptoms concerning nutrition, metabolism, and development	symptoms concerning nutrition metabolism and development	
1003	Sudden death	sudden death	
1004	Other signs and symptoms involving emotional state	other signs and symptoms involving emotional state	
1005	Other symptoms	other symptoms	
1006	Crushing injury	crushing injury	
1007	Injury to blood vessels	injury to blood vessels	
1008	Crushing or internal injury to organs	crushing or internal injury to organs	
1009	Injury, NOS	injury	
1010	Other tests	other tests	
1011	Complications of surgical and medical procedures	complications of surgical and medical procedures	
1012	Late effect	late effect	
1013	Asphyxia and hypoxemia	asphyxia and hypoxemia	
1014	Effects of heat, cold and air pressure	effects of heat cold and air pressure	
1015	Effects of other external causes	effects of other external causes	
1019	Other ill-defined and unknown causes of morbidity and mortality	other ill-defined and unknown causes of morbidity and mortality	
110	Dermatophytosis / Dermatomycosis	dermatophytosis  dermatomycosis	infectious diseases
110.1	Dermatophytosis	dermatophytosis	infectious diseases
110.11	Dermatophytosis of nail	dermatophytosis of nail	infectious diseases
110.12	Althete's foot	althetes foot	infectious diseases
110.13	Dermatophytosis of the body	dermatophytosis of the body	infectious diseases
110.2	Dermatomycoses	dermatomycoses	infectious diseases
1100	Family history	family history	
112	Candidiasis	candidiasis	infectious diseases
