phecodeX_code	phecodeX_label	phecodeX_simpleLabel	phecodeX_category
008	Helicobacter [H. pylori]	helicobacter h. pylori	ID
010	Corynebacterium	corynebacterium	ID
079	Other fungal infections	other fungal infections	ID
041	Coxiella	coxiella	ID
054	Hepatovirus	hepatovirus	ID
069	Other specified viral infections	other specified viral infections	ID
061	Influenza virus	influenza virus	ID
099	Lab findings related to infections	lab findings related to infections	ID
078	Zygomycosis	zygomycosis	ID
097.1	Methicillin resistant Staphylococcus aureus	methicillin resistant staphylococcus aureus	ID
097.2	Resistance to penicillins	resistance to penicillins	ID
164.62	Anemia in neoplastic disease	anemia in neoplastic disease	Blood
097.3	Resistance to beta lactam antibiotics	resistance to beta lactam antibiotics	ID
209.13	Hyperprolactinemia*	hyperprolactinemia	Endo
101	Malignant neoplasm of the digestive organs	malignant neoplasm of the digestive organs	Neoplasms
704.3	Thrombotic microangiopathy	thrombotic microangiopathy	Musc/Skel
581.34	Vesicoureteral reflux	vesicoureteral reflux	Genitourinary
102	Malignant neoplasm of the thoracic and respiratory organs	malignant neoplasm of the thoracic and respiratory organs	Neoplasms
146.3	Benign neoplasm of the testis	benign neoplasm of the testis	Neoplasms
103	Malignant neoplasm of the skin	malignant neoplasm of the skin	Neoplasms
105	Malignant neoplasm of the breast	malignant neoplasm of the breast	Neoplasms
107.31	Malignant neoplasm of epididymis and spermatic cord	malignant neoplasm of epididymis and spermatic cord	Neoplasms
202.4	Other specified diabetes*	other specified diabetes	Endo
106	Gynecological malignant neoplasms	gynecological malignant neoplasms	Neoplasms
108	Malignant neoplasm of the urinary tract	malignant neoplasm of the urinary tract	Neoplasms
109	Malignant neoplasm of the eye, brain and other parts of central nervous system	malignant neoplasm of the eye brain and other parts of central nervous system	Neoplasms
110	Malignant neoplasm of the endocrine glands	malignant neoplasm of the endocrine glands	Neoplasms
110.4	Malignant neoplasm of the pituitary gland and craniopharyngeal duct	malignant neoplasm of the pituitary gland and craniopharyngeal duct	Neoplasms
112	Malignant neoplasm of other and ill-defined sites	malignant neoplasm of other and ill-defined sites	Neoplasms
114	Neuroendocrine tumors	neuroendocrine tumors	Neoplasms
116	Secondary malignant neoplasm	secondary malignant neoplasm	Neoplasms
120	Hemo onc - by cell of origin	hemo onc - by cell of origin	Neoplasms
135.4	Benign neoplasm of the hypopharynx	benign neoplasm of the hypopharynx	Neoplasms
135.16	Benign neoplasm of the salivary glands	benign neoplasm of the salivary glands	Neoplasms
135.2	Benign neoplasm of the oropharynx	benign neoplasm of the oropharynx	Neoplasms
139.1	Benign neoplams of the bone and/or cartilage	benign neoplams of the bone andor cartilage	Neoplasms
144.4	Benign neoplasm of the fallopian tube and uterine adnexa	benign neoplasm of the fallopian tube and uterine adnexa	Neoplasms
256.5	Hypokalemia [Hypopotassemia]	hypokalemia hypopotassemia	Metab
256.4	Hyperkalemia [Hyperpotassemia]	hyperkalemia hyperpotassemia	Metab
144.2	Benign neoplasms of the uterus	benign neoplasms of the uterus	Neoplasms
146	Benign neoplasm of the genitourinary system	benign neoplasm of the genitourinary system	Neoplasms
229.2	Other hypersecretion of intestinal hormones*	other hypersecretion of intestinal hormones	Endo
218.22	Polyglandular hyperfunction*	polyglandular hyperfunction	Endo
256.3	Mixed disorder of acid-base balance	mixed disorder of acid-base balance	Metab
148.12	Benign neoplasm of lacrimal gland and duct	benign neoplasm of lacrimal gland and duct	Neoplasms
149	Benign neoplasm of the endocrine glands	benign neoplasm of the endocrine glands	Neoplasms
142.1	Lump or mass in breast	lump or mass in breast	Neoplasms
162.6	Sideroblastic anemia	sideroblastic anemia	Blood
153	Benign neoplasm of other or unspecified sites	benign neoplasm of other orsites	Neoplasms
229	Other endocrine disorders	other endocrine disorders	Endo
217.3	Androgen insensitivity syndrome	androgen insensitivity syndrome	Endo
202.3	Secondary diabetes	secondary diabetes	Endo
206	Disorders of pancreatic internal secretion (excl. DM)	disorders of pancreatic internal secretion excl. dm	Endo
211.23	Postprocedural adrenocortical (-medullary) hypofunction*	postprocedural adrenocortical -medullary hypofunction	Endo
208.22	Secondary hyperparathyroidism	secondary hyperparathyroidism	Endo
209	Disorders of the pituitary gland and its hypothalamic control	disorders of the pituitary gland and its hypothalamic control	Endo
