phecodeXupdated_code	phecodeXupdated_label	phecodeXupdated_simpleLabel	phecodeXupdated_category
ID_001	Salmonella	salmonella	Infections
ID_002	Staphylococcus	staphylococcus	Infections
ID_002.1	Staphylococcus aureus	staphylococcus aureus	Infections
ID_003	Escherichia coli	escherichia coli	Infections
ID_004	Streptococcus	streptococcus	Infections
ID_004.1	Streptococcus pneumoniae	streptococcus pneumoniae	Infections
ID_004.2	Group A Streptococcus	group a streptococcus	Infections
ID_004.3	Group B Streptococcus	group b streptococcus	Infections
ID_004.4	Scarlet fever	scarlet fever	Infections
ID_005	Mycobacteria	mycobacteria	Infections
ID_005.1	Mycobacterium tuberculosis	mycobacterium tuberculosis	Infections
ID_005.2	Disseminated mycobacterium avium-intracellulare complex (DMAC)*	disseminated mycobacterium avium-intracellulare complex dmac	Infections
ID_005.3	Mycobacterium leprae [Leprosy]	mycobacterium leprae leprosy	Infections
ID_006	Neisseria	neisseria	Infections
ID_006.1	Neisseria meningitidis	neisseria meningitidis	Infections
ID_006.2	Neisseria gonorrhea	neisseria gonorrhea	Infections
ID_007	Hemophilus infection	hemophilus infection	Infections
ID_007.1	Hemophilus influenzae	hemophilus influenzae	Infections
ID_007.2	Haemophilus ducreyi	haemophilus ducreyi	Infections
ID_008	Helicobacter [H. pylori]	helicobacter h. pylori	Infections
ID_009	Pseudomonas	pseudomonas	Infections
ID_010	Corynebacterium	corynebacterium	Infections
ID_010.1	Corynebacterium diphtheriae	corynebacterium diphtheriae	Infections
ID_011	Klebsiella	klebsiella	Infections
ID_012	Proteus	proteus	Infections
ID_013	Mycoplasma	mycoplasma	Infections
ID_014	Bacteroides fragilis	bacteroides fragilis	Infections
ID_015	Clostridium	clostridium	Infections
ID_015.1	Clostridium perfringens	clostridium perfringens	Infections
ID_015.2	Clostridium difficile	clostridium difficile	Infections
ID_015.3	Clostridium botulinum	clostridium botulinum	Infections
ID_016	Chlamydia	chlamydia	Infections
ID_016.1	Chlamydia trachomatis	chlamydia trachomatis	Infections
ID_016.2	Chlamydia psittaci	chlamydia psittaci	Infections
ID_017	Bartonellosis	bartonellosis	Infections
ID_018	Serratia	serratia	Infections
ID_019.1	Treponema pallidum [syphilis]	treponema pallidum syphilis	Infections
ID_019.2	Treponema carateum	treponema carateum	Infections
ID_020	Borrelia	borrelia	Infections
ID_020.1	Lyme disease	lyme disease	Infections
ID_021	Rickettsia	rickettsia	Infections
ID_021.2	Spotted fever	spotted fever	Infections
ID_022	Ehrlichiosis	ehrlichiosis	Infections
ID_023	Vibrio	vibrio	Infections
ID_024	Pertussis	pertussis	Infections
ID_025	Enterococcus	enterococcus	Infections
ID_026	Actinomyces and Nocardia	actinomyces and nocardia	Infections
ID_027	Shigella	shigella	Infections
ID_028	Bacillus	bacillus	Infections
ID_029	Leptospira	leptospira	Infections
ID_030	Campylobacter	campylobacter	Infections
ID_031	Listeria	listeria	Infections
ID_032	Yersinia	yersinia	Infections
ID_033	Francisella	francisella	Infections
ID_034	Brucella	brucella	Infections
ID_035	Burkholderia	burkholderia	Infections
ID_036	Spirillum	spirillum	Infections
ID_037	Streptobacillus	streptobacillus	Infections
ID_038	Erysipelothrix	erysipelothrix	Infections
ID_039	Pasteurella	pasteurella	Infections
ID_040	Legionella	legionella	Infections
ID_041	Coxiella	coxiella	Infections
ID_042	Tropheryma	tropheryma	Infections
ID_050	Enterovirus	enterovirus	Infections
ID_050.1	Poliovirus	poliovirus	Infections
ID_050.2	Coxsackie virus	coxsackie virus	Infections
ID_050.3	ECHO virus	echo virus	Infections
ID_050.4	Hand, foot, and mouth disease	hand foot and mouth disease	Infections
ID_050.5	Enteroviral vesicular pharyngitis	enteroviral vesicular pharyngitis	Infections
ID_050.6	Rhinovirus	rhinovirus	Infections
ID_052	Herpesvirus	herpesvirus	Infections
ID_052.1	Herpes simplex	herpes simplex	Infections
ID_052.31	Varicella [chickenpox]	varicella chickenpox	Infections
ID_052.32	Herpes zoster	herpes zoster	Infections
ID_052.4	Infectious mononucleosis	infectious mononucleosis	Infections
ID_052.5	Cytomegalovirus [CMV]	cytomegalovirus cmv	Infections
ID_052.6	Human herpesvirus 6	human herpesvirus 6	Infections
ID_052.7	Human herpesvirus 7	human herpesvirus 7	Infections
ID_053	Parvovirus	parvovirus	Infections
ID_054	Hepatovirus	hepatovirus	Infections
ID_054.1	Hepatitis A	hepatitis a	Infections
ID_054.2	Hepatitis B	hepatitis b	Infections
ID_054.21	Hepatitis B with delta	hepatitis b with delta	Infections
ID_054.3	Hepatitis C	hepatitis c	Infections
ID_054.31	Chronic hepatitis C	chronic hepatitis c	Infections
ID_054.32	Acute hepatitis C	acute hepatitis c	Infections
ID_054.5	Hepatitis E	hepatitis e	Infections
ID_055	Poxvirus	poxvirus	Infections
ID_055.1	Molluscum contagiosum	molluscum contagiosum	Infections
ID_056	Human papillomavirus	human papillomavirus	Infections
ID_056.1	Plantar wart	plantar wart	Infections
ID_056.2	Anogenital (venereal) warts	anogenital venereal warts	Infections
ID_057	Retrovirus	retrovirus	Infections
ID_057.1	Human immunodeficiency virus	human immunodeficiency virus	Infections
ID_057.2	Human T-cell lymphotropic virus type 1*	human t-cell lymphotropic virus type 1	Infections
ID_058.1	Respiratory syncytial virus	respiratory syncytial virus	Infections
ID_058.2	Human metapneumovirus*	human metapneumovirus	Infections
ID_059	Coronavirus	coronavirus	Infections
ID_059.1	Sars-CoV-2*	sars-cov-2	Infections
ID_060	Adenovirus	adenovirus	Infections
ID_061	Influenza virus	influenza virus	Infections
ID_061.1	Influenza A virus	influenza a virus	Infections
ID_062	Parainfluenza virus	parainfluenza virus	Infections
ID_063	Rotavirus	rotavirus	Infections
ID_064	Norovirus	norovirus	Infections
ID_065	Measles virus	measles virus	Infections
ID_066	Orthorubulavirus [Mumps]	orthorubulavirus mumps	Infections
ID_067	Rubella	rubella	Infections
ID_068	Dengue virus	dengue virus	Infections
ID_068.1	Dengue hemorrhagic fever*	dengue hemorrhagic fever	Infections
ID_069	Other specified viral infections	other specified viral infections	Infections
ID_070	Candidiasis	candidiasis	Infections
ID_070.4	Disseminated candidiasis	disseminated candidiasis	Infections
ID_071	Coccidioides	coccidioides	Infections
ID_072	Histoplasmosis	histoplasmosis	Infections
ID_073	Blastomyces	blastomyces	Infections
ID_074	Aspergillosis	aspergillosis	Infections
ID_075	Cryptococcosis	cryptococcosis	Infections
ID_076	Pneumocystosis	pneumocystosis	Infections
ID_078	Zygomycosis	zygomycosis	Infections
ID_079	Other specified fungal infections	other specified fungal infections	Infections
ID_084	Parasites	parasites	Infections
ID_084.1	Amebiasis	amebiasis	Infections
ID_084.2	Plasmodium [Malaria]	plasmodium malaria	Infections
ID_084.3	Leishmaniasis [Leishmania]	leishmaniasis leishmania	Infections
ID_084.31	Visceral leishmaniasis	visceral leishmaniasis	Infections
ID_084.32	Cutaneous leishmaniasis	cutaneous leishmaniasis	Infections
ID_084.4	Trichomoniasis	trichomoniasis	Infections
ID_084.5	Toxoplasmosis	toxoplasmosis	Infections
ID_084.6	Enterobiasis	enterobiasis	Infections
ID_084.7	Giardiasis	giardiasis	Infections
ID_084.8	Cryptosporidiosis	cryptosporidiosis	Infections
ID_086	Pediculosis, acariasis and other infestations	pediculosis acariasis and other infestations	Infections
ID_086.1	Pediculosis	pediculosis	Infections
ID_086.2	Scabies	scabies	Infections
ID_087	Infectious prions	infectious prions	Infections
ID_088	Sexually transmitted disease	sexually transmitted disease	Infections
ID_089	Infections	infections	Infections
ID_089.1	Bacterial infections	bacterial infections	Infections
ID_089.2	Viral infections	viral infections	Infections
ID_089.3	Fungal infections	fungal infections	Infections
ID_091	Gangrene	gangrene	Infections
ID_092.1	Systemic inflammatory response syndrome	systemic inflammatory response syndrome	Infections
ID_092.2	Sepsis	sepsis	Infections
ID_092.3	Meningococcemia	meningococcemia	Infections
ID_092.5	Toxic shock syndrome	toxic shock syndrome	Infections
ID_092.8	Bacteremia	bacteremia	Infections
ID_097	Drug resistant microorganisms	drug resistant microorganisms	Infections
ID_097.1	Methicillin resistant Staphylococcus aureus	methicillin resistant staphylococcus aureus	Infections
ID_097.2	Resistance to penicillins	resistance to penicillins	Infections
ID_097.3	Resistance to beta lactam antibiotics	resistance to beta lactam antibiotics	Infections
CA_100	Malignant neoplasm of the head and neck	malignant neoplasm of the head and neck	Neoplasms
CA_100.1	Malignant neoplasm of the oral cavity	malignant neoplasm of the oral cavity	Neoplasms
CA_100.12	Malignant neoplasm of the tongue	malignant neoplasm of the tongue	Neoplasms
CA_100.13	Malignant neoplasm of the gums	malignant neoplasm of the gums	Neoplasms
CA_100.14	Malignant neoplasm of the floor of mouth	malignant neoplasm of the floor of mouth	Neoplasms
CA_100.15	Malignant neoplasm of the palate	malignant neoplasm of the palate	Neoplasms
CA_100.2	Malignant neoplasm of the oropharynx	malignant neoplasm of the oropharynx	Neoplasms
CA_100.3	Malignant neoplasm of the nasopharynx	malignant neoplasm of the nasopharynx	Neoplasms
CA_100.4	Malignant neoplasm of the hypopharynx	malignant neoplasm of the hypopharynx	Neoplasms
CA_100.5	Malignant neoplasm of nasal cavities, middle ear, and accessory sinuses	malignant neoplasm of nasal cavities middle ear and accessory sinuses	Neoplasms
CA_100.6	Malignant neoplasm of the larynx	malignant neoplasm of the larynx	Neoplasms
CA_100.7	Malignant neoplasm of the pharynx	malignant neoplasm of the pharynx	Neoplasms
CA_100.8	Malignant neoplasm of the lip	malignant neoplasm of the lip	Neoplasms
CA_100.9	Malignant neoplasm of the salivary glands	malignant neoplasm of the salivary glands	Neoplasms
CA_101	Malignant neoplasm of the digestive organs	malignant neoplasm of the digestive organs	Neoplasms
CA_101.1	Malignant neoplasm of the esophagus	malignant neoplasm of the esophagus	Neoplasms
CA_101.2	Malignant neoplasm of stomach	malignant neoplasm of stomach	Neoplasms
CA_101.21	Malignant neoplasm of cardia	malignant neoplasm of cardia	Neoplasms
CA_101.3	Malignant neoplasm of the small intestine	malignant neoplasm of the small intestine	Neoplasms
CA_101.4	Malignant neoplasm of the lower GI tract	malignant neoplasm of the lower gi tract	Neoplasms
