"phecode","phecode_string","LB_cat"
"008","Helicobacter [H. pylori]","ID"
"010","Corynebacterium","ID"
"079","Other fungal infections","ID"
"041","Coxiella","ID"
"054","Hepatovirus","ID"
"069","Other specified viral infections","ID"
"061","Influenza virus","ID"
"099","Lab findings related to infections","ID"
"078","Zygomycosis","ID"
"097.1","Methicillin resistant Staphylococcus aureus","ID"
"097.2","Resistance to penicillins","ID"
164.62,"Anemia in neoplastic disease","Blood"
"097.3","Resistance to beta lactam antibiotics","ID"
209.13,"Hyperprolactinemia*","Endo"
101,"Malignant neoplasm of the digestive organs","Neoplasms"
704.3,"Thrombotic microangiopathy","Musc/Skel"
581.34,"Vesicoureteral reflux","Genitourinary"
102,"Malignant neoplasm of the thoracic and respiratory organs","Neoplasms"
146.3,"Benign neoplasm of the testis","Neoplasms"
103,"Malignant neoplasm of the skin","Neoplasms"
105,"Malignant neoplasm of the breast","Neoplasms"
107.31,"Malignant neoplasm of epididymis and spermatic cord","Neoplasms"
202.4,"Other specified diabetes*","Endo"
106,"Gynecological malignant neoplasms","Neoplasms"
108,"Malignant neoplasm of the urinary tract","Neoplasms"
109,"Malignant neoplasm of the eye, brain and other parts of central nervous system","Neoplasms"
110,"Malignant neoplasm of the endocrine glands","Neoplasms"
110.4,"Malignant neoplasm of the pituitary gland and craniopharyngeal duct","Neoplasms"
112,"Malignant neoplasm of other and ill-defined sites","Neoplasms"
114,"Neuroendocrine tumors","Neoplasms"
116,"Secondary malignant neoplasm","Neoplasms"
120,"Hemo onc - by cell of origin","Neoplasms"
135.4,"Benign neoplasm of the hypopharynx","Neoplasms"
135.16,"Benign neoplasm of the salivary glands","Neoplasms"
135.2,"Benign neoplasm of the oropharynx","Neoplasms"
139.1,"Benign neoplams of the bone and/or cartilage","Neoplasms"
144.4,"Benign neoplasm of the fallopian tube and uterine adnexa","Neoplasms"
256.5,"Hypokalemia [Hypopotassemia]","Metab"
256.4,"Hyperkalemia [Hyperpotassemia]","Metab"
144.2,"Benign neoplasms of the uterus","Neoplasms"
146,"Benign neoplasm of the genitourinary system","Neoplasms"
229.2,"Other hypersecretion of intestinal hormones*","Endo"
218.22,"Polyglandular hyperfunction*","Endo"
256.3,"Mixed disorder of acid-base balance","Metab"
148.12,"Benign neoplasm of lacrimal gland and duct","Neoplasms"
149,"Benign neoplasm of the endocrine glands","Neoplasms"
142.1,"Lump or mass in breast","Neoplasms"
162.6,"Sideroblastic anemia","Blood"
153,"Benign neoplasm of other or unspecified sites","Neoplasms"
229,"Other endocrine disorders","Endo"
217.3,"Androgen insensitivity syndrome","Endo"
202.3,"Secondary diabetes","Endo"
206,"Disorders of pancreatic internal secretion (excl. DM)","Endo"
211.23,"Postprocedural adrenocortical (-medullary) hypofunction*","Endo"
208.22,"Secondary hyperparathyroidism","Endo"
209,"Disorders of the pituitary gland and its hypothalamic control","Endo"
211,"Disorders of adrenal glands","Endo"
214,"Ovarian dysfunction","Endo"
215,"Testicular dysfunction","Endo"
218,"Polyglandular dysfunction","Endo"
230,"Malnutrition and underweight","Metab"
