ICD	flag	phecode
001	9	008
001.0	9	008
001.1	9	008
001.9	9	008
002	9	008
002.0	9	008
002.0	9	008.5
002.1	9	008
002.2	9	008
002.3	9	008
002.9	9	008
003	9	008
003	9	008.5
003.0	9	008
003.0	9	008.5
003.1	9	038
003.1	9	038.1
003.2	9	008
003.2	9	008.5
003.20	9	008
003.20	9	008.5
003.21	9	320
003.22	9	480
003.22	9	480.1
003.23	9	711
003.24	9	710
003.24	9	710.1
003.29	9	008
003.29	9	008.5
003.8	9	008
003.8	9	008.5
003.9	9	008
003.9	9	008.5
004	9	008
004	9	008.5
004.0	9	008
004.0	9	008.5
004.1	9	008
004.1	9	008.5
004.2	9	008
004.2	9	008.5
004.3	9	008
004.3	9	008.5
004.8	9	008
004.8	9	008.5
004.9	9	008
004.9	9	008.5
005	9	008
005	9	008.5
005.0	9	008
005.0	9	008.5
005.1	9	008
005.1	9	008.5
005.2	9	008
005.2	9	008.5
005.3	9	008
005.3	9	008.5
005.4	9	008
005.4	9	008.5
005.8	9	008
005.8	9	008.5
005.81	9	008
005.81	9	008.5
005.89	9	008
005.89	9	008.5
005.9	9	008
006	9	008
006.0	9	008
006.1	9	008
006.1	9	008.7
006.2	9	008
006.3	9	008
006.4	9	008
006.5	9	008
006.6	9	008
006.8	9	008
006.9	9	008
007	9	008
007.0	9	008
007.0	9	008.7
007.1	9	008
007.1	9	008.7
007.2	9	008
007.3	9	008
007.4	9	008
007.4	9	008.7
007.5	9	008
007.8	9	008
007.8	9	008.7
007.9	9	008
008	9	008
008.0	9	008
008.0	9	008.5
008.0	9	008.51
008.00	9	008
008.00	9	008.5
008.00	9	008.51
008.01	9	008
008.01	9	008.5
008.01	9	008.51
008.02	9	008
008.02	9	008.5
008.02	9	008.51
008.03	9	008
008.03	9	008.5
008.03	9	008.51
008.04	9	008
008.04	9	008.5
008.04	9	008.51
008.09	9	008
008.09	9	008.5
008.09	9	008.51
008.1	9	008
008.1	9	008.5
008.2	9	008
008.2	9	008.5
008.3	9	008
008.3	9	008.5
008.4	9	008
008.4	9	008.5
008.41	9	008
008.41	9	008.5
008.42	9	008
008.42	9	008.5
008.43	9	008
008.43	9	008.5
008.44	9	008
008.44	9	008.5
008.45	9	008
008.45	9	008.5
008.45	9	008.52
008.46	9	008
008.46	9	008.5
008.47	9	008
008.47	9	008.5
008.49	9	008
008.49	9	008.5
008.5	9	008
008.5	9	008.5
008.6	9	008
008.6	9	008.6
008.61	9	008
008.61	9	008.6
008.62	9	008
008.62	9	008.6
008.63	9	008
008.63	9	008.6
008.64	9	008
008.64	9	008.6
008.65	9	008
008.65	9	008.6
008.66	9	008
008.66	9	008.6
008.67	9	008
008.67	9	008.6
008.69	9	008
008.69	9	008.6
008.8	9	008
008.8	9	008.6
009	9	008
009.0	9	008
009.1	9	008
009.2	9	008
009.3	9	008
010	9	010
010.0	9	010
010.00	9	010
010.01	9	010
010.02	9	010
010.03	9	010
010.04	9	010
010.05	9	010
010.06	9	010
010.1	9	010
010.10	9	010
010.11	9	010
010.12	9	010
010.13	9	010
010.14	9	010
010.15	9	010
010.16	9	010
010.8	9	010
010.80	9	010
010.81	9	010
010.82	9	010
010.83	9	010
010.84	9	010
010.85	9	010
010.86	9	010
010.9	9	010
010.90	9	010
010.91	9	010
010.92	9	010
010.93	9	010
010.94	9	010
010.95	9	010
010.96	9	010
011	9	010
011.0	9	010
011.00	9	010
011.01	9	010
011.02	9	010
011.03	9	010
011.04	9	010
011.05	9	010
011.06	9	010
011.1	9	010
011.10	9	010
011.11	9	010
011.12	9	010
011.13	9	010
011.14	9	010
011.15	9	010
011.16	9	010
011.2	9	010
011.20	9	010
011.21	9	010
011.22	9	010
011.23	9	010
011.24	9	010
011.25	9	010
011.26	9	010
011.3	9	010
011.30	9	010
011.31	9	010
011.32	9	010
011.33	9	010
011.34	9	010
011.35	9	010
011.36	9	010
011.4	9	010
011.40	9	010
011.41	9	010
011.42	9	010
011.43	9	010
011.44	9	010
011.45	9	010
011.46	9	010
011.5	9	010
011.50	9	010
011.51	9	010
011.52	9	010
011.53	9	010
011.54	9	010
011.55	9	010
011.56	9	010
011.6	9	010
011.60	9	010
011.61	9	010
011.62	9	010
011.63	9	010
011.64	9	010
011.65	9	010
011.66	9	010
011.7	9	010
011.70	9	010
011.71	9	010
011.72	9	010
011.73	9	010
011.74	9	010
011.75	9	010
011.76	9	010
011.8	9	010
011.80	9	010
011.81	9	010
011.82	9	010
011.83	9	010
011.84	9	010
011.85	9	010
011.86	9	010
011.9	9	010
011.90	9	010
011.91	9	010
011.92	9	010
011.93	9	010
011.94	9	010
011.95	9	010
011.96	9	010
012	9	010
012.0	9	010
012.00	9	010
012.01	9	010
012.02	9	010
012.03	9	010
012.04	9	010
012.05	9	010
012.06	9	010
012.1	9	010
012.10	9	010
012.11	9	010
012.12	9	010
012.13	9	010
012.14	9	010
012.15	9	010
012.16	9	010
012.2	9	010
012.20	9	010
012.21	9	010
012.22	9	010
012.23	9	010
012.24	9	010
012.25	9	010
012.26	9	010
012.3	9	010
012.30	9	010
012.31	9	010
012.32	9	010
012.33	9	010
012.34	9	010
012.35	9	010
012.36	9	010
012.8	9	010
012.80	9	010
012.81	9	010
012.82	9	010
012.83	9	010
012.84	9	010
012.85	9	010
012.86	9	010
013	9	010
013.0	9	010
013.00	9	010
013.01	9	010
013.02	9	010
013.03	9	010
013.04	9	010
013.05	9	010
013.06	9	010
013.1	9	010
013.10	9	010
013.11	9	010
013.12	9	010
013.13	9	010
013.14	9	010
013.15	9	010
013.16	9	010
013.2	9	010
013.20	9	010
013.21	9	010
013.22	9	010
013.23	9	010
013.24	9	010
013.25	9	010
013.26	9	010
013.3	9	010
013.30	9	010
013.31	9	010
013.32	9	010
013.33	9	010
013.34	9	010
013.35	9	010
013.36	9	010
013.4	9	010
013.40	9	010
013.41	9	010
013.42	9	010
013.43	9	010
013.44	9	010
013.45	9	010
013.46	9	010
013.5	9	010
013.50	9	010
013.51	9	010
013.52	9	010
013.53	9	010
013.54	9	010
013.55	9	010
013.56	9	010
013.6	9	010
013.60	9	010
013.61	9	010
013.62	9	010
013.63	9	010
013.64	9	010
013.65	9	010
013.66	9	010
013.8	9	010
013.80	9	010
013.81	9	010
013.82	9	010
013.83	9	010
013.84	9	010
013.85	9	010
013.86	9	010
013.9	9	010
013.90	9	010
013.91	9	010
013.92	9	010
013.93	9	010
013.94	9	010
013.95	9	010
013.96	9	010
014	9	010
014.0	9	010
014.00	9	010
014.01	9	010
014.02	9	010
014.03	9	010
014.04	9	010
014.05	9	010
014.06	9	010
014.8	9	010
014.80	9	010
014.81	9	010
014.82	9	010
014.83	9	010
014.84	9	010
014.85	9	010
014.86	9	010
015	9	010
015.0	9	010
015.00	9	010
015.01	9	010
015.02	9	010
015.03	9	010
015.04	9	010
015.05	9	010
015.06	9	010
015.1	9	010
015.10	9	010
015.11	9	010
015.12	9	010
015.13	9	010
015.14	9	010
015.15	9	010
015.16	9	010
015.2	9	010
015.20	9	010
015.21	9	010
015.22	9	010
015.23	9	010
015.24	9	010
015.25	9	010
015.26	9	010
015.5	9	010
015.50	9	010
015.51	9	010
015.52	9	010
015.53	9	010
015.54	9	010
015.55	9	010
015.56	9	010
015.6	9	010
015.60	9	010
015.61	9	010
015.62	9	010
015.63	9	010
015.64	9	010
015.65	9	010
015.66	9	010
015.7	9	010
015.70	9	010
015.71	9	010
015.72	9	010
015.73	9	010
015.74	9	010
015.75	9	010
015.76	9	010
015.8	9	010
015.80	9	010
015.81	9	010
015.82	9	010
015.83	9	010
015.84	9	010
015.85	9	010
015.86	9	010
015.9	9	010
015.90	9	010
015.91	9	010
015.92	9	010
015.93	9	010
015.94	9	010
015.95	9	010
015.96	9	010
016	9	010
016.0	9	010
016.00	9	010
016.01	9	010
016.02	9	010
016.03	9	010
016.04	9	010
016.05	9	010
016.06	9	010
016.1	9	010
016.10	9	010
016.11	9	010
016.12	9	010
016.13	9	010
016.14	9	010
016.15	9	010
016.16	9	010
016.2	9	010
016.20	9	010
016.21	9	010
016.22	9	010
016.23	9	010
016.24	9	010
016.25	9	010
016.26	9	010
016.3	9	010
016.30	9	010
016.31	9	010
016.32	9	010
016.33	9	010
016.34	9	010
016.35	9	010
016.36	9	010
016.4	9	010
016.40	9	010
016.41	9	010
016.42	9	010
016.43	9	010
016.44	9	010
016.45	9	010
016.46	9	010
016.5	9	010
016.50	9	010
016.51	9	010
016.52	9	010
016.53	9	010
016.54	9	010
016.55	9	010
016.56	9	010
016.6	9	010
016.60	9	010
016.61	9	010
016.62	9	010
016.63	9	010
016.64	9	010
016.65	9	010
016.66	9	010
016.7	9	010
016.70	9	010
016.71	9	010
016.72	9	010
016.73	9	010
016.74	9	010
016.75	9	010
016.76	9	010
016.9	9	010
016.90	9	010
016.91	9	010
016.92	9	010
016.93	9	010
016.94	9	010
016.95	9	010
016.96	9	010
017	9	010
017.0	9	010
017.00	9	010
017.01	9	010
017.02	9	010
017.03	9	010
017.04	9	010
017.05	9	010
017.06	9	010
017.1	9	010
017.10	9	010
017.11	9	010
017.12	9	010
017.13	9	010
017.14	9	010
017.15	9	010
017.16	9	010
017.2	9	010
017.20	9	010
017.21	9	010
017.22	9	010
017.23	9	010
017.24	9	010
017.25	9	010
017.26	9	010
017.3	9	010
017.30	9	010
017.31	9	010
017.32	9	010
017.33	9	010
017.34	9	010
017.35	9	010
017.36	9	010
017.4	9	010
017.40	9	010
017.41	9	010
017.42	9	010
017.43	9	010
017.44	9	010
017.45	9	010
017.46	9	010
017.5	9	010
017.50	9	010
017.51	9	010
017.52	9	010
017.53	9	010
017.54	9	010
017.55	9	010
017.56	9	010
017.6	9	010
017.60	9	010
017.61	9	010
017.62	9	010
017.63	9	010
017.64	9	010
017.65	9	010
017.66	9	010
017.7	9	010
017.70	9	010
017.71	9	010
017.72	9	010
017.73	9	010
017.74	9	010
017.75	9	010
017.76	9	010
017.8	9	010
017.80	9	010
017.81	9	010
017.82	9	010
017.83	9	010
017.84	9	010
017.85	9	010
017.86	9	010
017.9	9	010
017.90	9	010
017.91	9	010
017.92	9	010
017.93	9	010
017.94	9	010
017.95	9	010
017.96	9	010
018	9	010
018.0	9	010
018.00	9	010
018.01	9	010
018.02	9	010
018.03	9	010
018.04	9	010
018.05	9	010
018.06	9	010
018.8	9	010
018.80	9	010
018.81	9	010
018.82	9	010
018.83	9	010
018.84	9	010
018.85	9	010
018.86	9	010
018.9	9	010
018.90	9	010
018.91	9	010
018.92	9	010
018.93	9	010
018.94	9	010
018.95	9	010
018.96	9	010
020	9	041
020.0	9	041
020.1	9	686
020.2	9	038
020.2	9	038.1
020.3	9	480
020.3	9	480.1
020.4	9	480
020.4	9	480.1
020.5	9	480
020.5	9	480.1
020.8	9	041
020.9	9	041
021	9	041
021.0	9	686
021.1	9	008
021.2	9	480
021.2	9	480.1
021.3	9	369
021.8	9	041
021.9	9	041
022	9	041
022.0	9	686
022.1	9	480
022.1	9	480.1
022.2	9	008
022.3	9	038
022.3	9	038.2
022.8	9	041
022.9	9	041
023	9	041
023.0	9	041
023.1	9	041
023.2	9	041
023.3	9	041
023.8	9	041
023.9	9	041
024	9	041
025	9	041
026	9	041
026.0	9	041
026.1	9	711
026.9	9	041
027	9	041
027.0	9	041
027.1	9	041
027.2	9	041
027.8	9	041
027.9	9	041
030	9	031
030	9	031.1
030.0	9	031
030.0	9	031.1
030.1	9	031
030.1	9	031.1
030.2	9	031
030.2	9	031.1
030.3	9	031
030.3	9	031.1
030.8	9	031
030.8	9	031.1
030.9	9	031
030.9	9	031.1
031	9	031
031.0	9	480
031.0	9	480.1
031.1	9	686
031.2	9	031
031.8	9	031
031.9	9	031
032	9	041
032.0	9	465
032.1	9	465
032.2	9	465
032.3	9	465
032.8	9	041
032.81	9	369
032.82	9	420
032.82	9	420.1
032.83	9	567
032.84	9	592
032.84	9	592.1
032.85	9	686
032.89	9	041
032.9	9	041
033	9	041
033.0	9	041
033.1	9	041
033.8	9	041
033.9	9	041
034	9	041
034	9	041.2
034.0	9	465
034.1	9	041
034.1	9	041.2
035	9	686
036	9	041
036.0	9	320
036.1	9	323
036.2	9	038
036.2	9	038.1
036.3	9	041
036.4	9	420
036.40	9	420
036.41	9	420
036.41	9	420.2
036.42	9	420
036.42	9	420.3
036.43	9	420
036.43	9	420.1
036.8	9	041
036.81	9	041
036.82	9	711
036.89	9	041
036.9	9	041
037	9	041
038	9	038
038.0	9	038
038.0	9	038.1
038.1	9	038
038.1	9	038.2
038.10	9	038
038.10	9	038.2
038.11	9	038
038.11	9	038.2
038.12	9	038
038.12	9	038.2
038.19	9	038
038.19	9	038.2
038.2	9	038
038.2	9	038.2
038.3	9	038
038.4	9	038
038.4	9	038.1
038.40	9	038
038.40	9	038.1
038.41	9	038
038.41	9	038.1
038.42	9	038
038.42	9	038.1
038.43	9	038
038.43	9	038.1
038.44	9	038
038.44	9	038.1
038.49	9	038
038.49	9	038.1
038.8	9	038
038.9	9	038
039	9	041
039.0	9	686
039.1	9	480
039.1	9	480.1
039.2	9	041
039.3	9	041
039.4	9	041
039.8	9	041
039.9	9	041
040	9	041
040.0	9	041
040.1	9	041
040.2	9	041
040.3	9	041
040.4	9	041
040.41	9	657
040.42	9	041
040.8	9	041
040.81	9	041
040.82	9	041
040.89	9	041
041	9	041
041.0	9	041
041.0	9	041.2
041.00	9	041
041.00	9	041.2
041.01	9	041
041.01	9	041.2
041.02	9	041
041.02	9	041.2
041.03	9	041
041.03	9	041.2
041.04	9	041
041.04	9	041.2
041.05	9	041
041.05	9	041.2
041.09	9	041
041.09	9	041.2
041.1	9	041
041.1	9	041.1
041.10	9	041
041.10	9	041.1
041.11	9	041
041.11	9	041.1
041.11	9	041.11
041.12	9	041
041.12	9	041.1
041.12	9	041.12
041.19	9	041
041.19	9	041.1
041.2	9	041
041.3	9	041
041.4	9	041
041.4	9	041.4
041.41	9	041
041.41	9	041.4
041.42	9	041
041.42	9	041.4
041.43	9	041
041.43	9	041.4
041.49	9	041
041.49	9	041.4
041.5	9	041
041.6	9	041
041.7	9	041
041.8	9	041
041.81	9	041
041.82	9	041
041.83	9	041
041.84	9	041
041.85	9	041
041.86	9	041
041.86	9	041.8
041.89	9	041
041.9	9	041
042	9	071
042	9	071.1
042.0	9	071
042.0	9	071.1
042.1	9	071
042.1	9	071.1
042.2	9	071
042.2	9	071.1
042.9	9	071
042.9	9	071.1
043	9	071
043.0	9	071
043.1	9	071
043.2	9	071
043.3	9	071
043.9	9	071
044	9	071
044.0	9	071
044.9	9	071
045	9	324
045.0	9	324
045.00	9	324
045.01	9	324
045.02	9	324
045.03	9	324
045.1	9	324
045.10	9	324
045.11	9	324
045.12	9	324
045.13	9	324
045.2	9	324
045.20	9	324
045.21	9	324
045.22	9	324
045.23	9	324
045.9	9	324
045.90	9	324
045.91	9	324
045.92	9	324
045.93	9	324
046	9	324
046.0	9	324
046.1	9	324
046.1	9	324.1
046.11	9	324
046.11	9	324.1
046.19	9	324
046.19	9	324.1
046.2	9	323
046.3	9	324
046.7	9	324
046.71	9	324
046.72	9	324
046.79	9	324
046.8	9	324
046.9	9	324
047	9	320
047.0	9	320
047.1	9	320
047.8	9	320
047.9	9	320
048	9	324
048.0	9	324
049	9	324
049.0	9	320
049.1	9	320
049.8	9	323
049.9	9	323
050	9	079
050.0	9	079
050.1	9	079
050.2	9	079
050.9	9	079
051	9	079
051.0	9	079
051.01	9	079
051.02	9	079
051.1	9	079
051.2	9	079
051.9	9	079
052	9	079
052	9	079.1
052.0	9	323
052.1	9	480
052.1	9	480.2
052.2	9	079
052.2	9	079.1
052.7	9	079
052.7	9	079.1
052.8	9	079
052.8	9	079.1
052.9	9	079
052.9	9	079.1
053	9	053
053.0	9	320
053.1	9	053
053.1	9	053.1
053.10	9	053
053.10	9	053.1
053.11	9	053
053.11	9	053.1
053.12	9	053
053.12	9	053.1
053.13	9	053
053.13	9	053.1
053.14	9	053
053.14	9	053.1
053.19	9	053
053.19	9	053.1
053.2	9	369
053.2	9	369.2
053.20	9	369
053.20	9	369.2
053.21	9	369
053.21	9	369.2
053.22	9	369
053.22	9	369.2
053.29	9	369
053.29	9	369.2
053.7	9	053
053.71	9	053
053.79	9	053
053.8	9	053
053.9	9	053
054	9	054
054.0	9	054
054.1	9	054
054.10	9	054
054.11	9	054
054.12	9	054
054.13	9	054
054.19	9	054
054.2	9	054
054.3	9	323
054.4	9	369
054.4	9	369.2
054.40	9	369
054.40	9	369.2
054.41	9	369
054.41	9	369.2
054.42	9	369
054.42	9	369.2
054.43	9	369
054.43	9	369.2
054.44	9	369
054.44	9	369.2
054.49	9	369
054.49	9	369.2
054.5	9	038
054.6	9	054
054.7	9	054
054.71	9	054
054.72	9	320
054.73	9	054
054.74	9	054
054.79	9	054
054.8	9	054
054.9	9	054
055	9	079
055.0	9	323
055.1	9	480
055.1	9	480.2
055.2	9	381
055.2	9	381.1
055.7	9	079
055.71	9	369
055.71	9	369.2
055.79	9	079
055.8	9	079
055.9	9	079
056	9	079
056.0	9	079
056.00	9	079
056.01	9	323
056.09	9	079
056.7	9	079
056.71	9	711
056.79	9	079
056.8	9	079
056.9	9	079
057	9	079
057.0	9	079
057.8	9	079
057.9	9	079
058	9	054
058.1	9	054
058.10	9	054
058.11	9	054
058.12	9	054
058.2	9	323
058.21	9	323
058.29	9	323
058.8	9	054
058.81	9	054
058.82	9	054
058.89	9	054
059	9	079
059.0	9	079
059.00	9	079
059.01	9	079
059.09	9	079
059.1	9	079
059.10	9	079
059.11	9	079
059.12	9	079
059.19	9	079
059.2	9	079
059.20	9	079
059.21	9	079
059.22	9	079
059.8	9	079
059.9	9	079
060	9	079
060.0	9	079
060.1	9	079
060.9	9	079
061	9	079
062	9	323
062.0	9	323
062.1	9	323
062.2	9	323
062.3	9	323
062.4	9	323
062.5	9	323
062.8	9	323
062.9	9	323
063	9	323
063.0	9	323
063.1	9	323
063.2	9	323
063.8	9	323
063.9	9	323
064	9	323
065	9	079
065.0	9	079
065.1	9	079
065.2	9	079
065.3	9	079
065.4	9	079
065.8	9	079
065.9	9	079
066	9	079
066.0	9	079
066.1	9	079
066.2	9	323
066.3	9	079
066.4	9	079
066.40	9	079
066.41	9	079
066.42	9	079
066.49	9	079
066.8	9	079
066.9	9	079
070	9	070
070.0	9	070
070.0	9	070.1
070.1	9	070
070.1	9	070.1
070.2	9	070
070.2	9	070.2
070.20	9	070
070.20	9	070.2
070.21	9	070
070.21	9	070.2
070.22	9	070
070.22	9	070.2
070.23	9	070
070.23	9	070.2
070.3	9	070
070.3	9	070.2
070.30	9	070
070.30	9	070.2
070.31	9	070
070.31	9	070.2
070.32	9	070
070.32	9	070.2
070.33	9	070
070.33	9	070.2
070.4	9	070
070.41	9	070
070.41	9	070.3
070.42	9	070
070.43	9	070
070.44	9	070
070.44	9	070.3
070.49	9	070
070.5	9	070
070.51	9	070
070.51	9	070.3
070.52	9	070
070.53	9	070
070.54	9	070
070.54	9	070.3
070.59	9	070
070.6	9	070
070.7	9	070
070.7	9	070.3
070.70	9	070
070.70	9	070.3
070.71	9	070
070.71	9	070.3
070.9	9	070
071	9	079
072	9	079
072.0	9	079
072.1	9	320
072.2	9	323
072.3	9	079
072.7	9	079
072.71	9	079
072.72	9	079
072.79	9	079
072.8	9	079
072.9	9	079
073	9	079
073.0	9	480
073.0	9	480.1
073.7	9	079
073.8	9	079
073.9	9	079
074	9	079
074.0	9	079
074.1	9	079
074.2	9	420
074.20	9	420
074.21	9	420
074.21	9	420.2
074.22	9	420
074.22	9	420.3
074.23	9	420
074.23	9	420.1
074.3	9	079
074.8	9	079
075	9	079
075	9	079.2
075.0	9	079
075.0	9	079.2
076	9	369
076.0	9	369
076.1	9	369
076.9	9	369
077	9	369
077	9	369.2
077.0	9	369
077.1	9	369
077.1	9	369.2
077.2	9	369
077.2	9	369.2
077.3	9	369
077.3	9	369.2
077.4	9	369
077.4	9	369.2
077.8	9	369
077.8	9	369.2
077.9	9	369
077.9	9	369.2
077.98	9	369
077.98	9	369.2
077.99	9	369
077.99	9	369.2
078	9	079
078.0	9	079
078.1	9	078
078.10	9	078
078.11	9	078
078.12	9	078
078.19	9	078
078.2	9	079
078.3	9	079
078.4	9	079
078.5	9	079
078.6	9	079
078.7	9	079
078.8	9	079
078.81	9	079
078.82	9	079
078.88	9	079
078.89	9	079
079	9	079
079.0	9	079
079.1	9	079
079.2	9	079
079.3	9	079
079.4	9	078
079.5	9	079
079.50	9	079
079.51	9	079
079.52	9	079
079.53	9	071
079.59	9	079
079.6	9	079
079.8	9	079
079.81	9	079
079.82	9	079
079.83	9	079
079.88	9	079
079.89	9	079
079.9	9	079
079.98	9	079
079.99	9	079
080	9	136
081	9	136
081.0	9	136
081.1	9	136
081.2	9	136
081.9	9	136
082	9	136
082.0	9	136
082.1	9	136
082.2	9	136
082.3	9	136
082.4	9	136
082.40	9	136
082.41	9	136
082.49	9	136
082.8	9	136
082.9	9	136
083	9	136
083.0	9	480
083.0	9	480.1
083.1	9	136
083.2	9	136
083.8	9	136
083.9	9	136
084	9	133
084.0	9	133
084.1	9	133
084.2	9	133
084.3	9	133
084.4	9	133
084.5	9	133
084.6	9	133
084.7	9	133
084.8	9	133
084.9	9	133
085	9	133
085.0	9	133
085.1	9	133
085.2	9	133
085.3	9	133
085.4	9	133
085.5	9	133
085.9	9	133
086	9	133
086.0	9	133
086.1	9	133
086.2	9	133
086.3	9	133
086.4	9	133
086.5	9	133
086.9	9	133
087	9	130
087.0	9	130
087.1	9	130
087.9	9	130
088	9	133
088.0	9	133
088.8	9	133
088.81	9	130
088.81	9	130.1
088.82	9	133
088.89	9	133
088.9	9	133
090	9	090
090.0	9	090
090.1	9	090
090.2	9	090
090.3	9	090
090.4	9	090
090.40	9	090
090.41	9	090
090.42	9	090
090.49	9	090
090.5	9	090
090.6	9	090
090.7	9	090
090.9	9	090
091	9	090
091.0	9	090
091.1	9	090
091.2	9	090
091.3	9	090
091.4	9	090
091.5	9	090
091.50	9	090
091.51	9	090
091.52	9	090
091.6	9	090
091.61	9	090
091.62	9	090
091.69	9	090
091.7	9	090
091.8	9	090
091.81	9	090
091.82	9	090
091.89	9	090
091.9	9	090
092	9	090
092.0	9	090
092.9	9	090
093	9	090
093.0	9	090
093.1	9	090
093.2	9	090
093.20	9	090
093.21	9	090
093.22	9	090
093.23	9	090
093.24	9	090
093.8	9	090
093.81	9	090
093.82	9	090
093.89	9	090
093.9	9	090
094	9	090
094.0	9	090
094.1	9	090
094.2	9	090
094.3	9	090
094.8	9	090
094.81	9	090
094.82	9	090
094.83	9	090
094.84	9	090
094.85	9	090
094.86	9	090
094.87	9	090
094.89	9	090
094.9	9	090
095	9	090
095.0	9	090
095.1	9	090
095.2	9	090
095.3	9	090
095.4	9	090
095.5	9	090
095.6	9	090
095.7	9	090
095.8	9	090
095.9	9	090
096	9	090
097	9	090
097.0	9	090
097.1	9	090
097.9	9	090
098	9	090
098	9	090.2
098.0	9	090
098.0	9	090.2
098.1	9	090
098.1	9	090.2
098.10	9	090
098.10	9	090.2
098.11	9	090
098.11	9	090.2
098.12	9	090
098.12	9	090.2
098.13	9	090
098.13	9	090.2
098.14	9	090
