"Name";"ontologyTermName";"ontologyTermIRI";"score";"validated";"review"
"torus fracture of lower end of left humerus subsequent encounter for fracture with delayed healing";"Fractured humerus";"http://purl.obolibrary.org/obo/HP_0041055";"54";"false";"false"
"puncture wound without foreign body of right elbow sequela";"Decreased body weight";"http://purl.obolibrary.org/obo/HP_0004325";"39.56";"false";"false"
"puncture wound without foreign body of left elbow";"Delayed elbow epiphyseal ossification";"http://purl.obolibrary.org/obo/HP_0003947";"41.03";"false";"false"
"puncture wound without foreign body of left elbow sequela";"Focal non-motor seizure";"http://purl.obolibrary.org/obo/HP_0032679";"39.08";"false";"false"
"puncture wound without foreign body of left elbow initial encounter";"Leukocytosis";"http://purl.obolibrary.org/obo/HP_0001974";"38.24";"false";"false"
"puncture wound without foreign body of left elbow subsequent encounter";"Elbow flexion contracture";"http://purl.obolibrary.org/obo/HP_0002987";"37.04";"false";"false"
"puncture wound without foreign body ofelbow";"Cubitus valgus";"http://purl.obolibrary.org/obo/HP_0002967";"38.71";"false";"false"
"puncture wound without foreign body ofelbow initial encounter";"External ophthalmoplegia";"http://purl.obolibrary.org/obo/HP_0000544";"37.38";"false";"false"
"puncture wound without foreign body ofelbow subsequent encounter";"External ophthalmoplegia";"http://purl.obolibrary.org/obo/HP_0000544";"38.53";"false";"false"
"puncture wound without foreign body ofelbow sequela";"Focal non-motor seizure";"http://purl.obolibrary.org/obo/HP_0032679";"40.48";"false";"false"
"puncture wound with foreign body of elbow";"Fractured elbow";"http://purl.obolibrary.org/obo/HP_0041219";"46.81";"false";"false"
"puncture wound with foreign body of right elbow";"Decreased body weight";"http://purl.obolibrary.org/obo/HP_0004325";"47.27";"false";"false"
"puncture wound with foreign body of right elbow initial encounter";"Irregular epiphyses of the elbow";"http://purl.obolibrary.org/obo/HP_0003948";"40.96";"false";"false"
"torus fracture of lower end of left humerus subsequent encounter for fracture with nonunion";"Fractured humerus";"http://purl.obolibrary.org/obo/HP_0041055";"53.06";"false";"false"
"puncture wound with foreign body of right elbow subsequent encounter";"Dextrocardia";"http://purl.obolibrary.org/obo/HP_0001651";"41.12";"false";"false"
"puncture wound with foreign body of right elbow sequela";"Decreased body weight";"http://purl.obolibrary.org/obo/HP_0004325";"41.27";"false";"false"
"puncture wound with foreign body of left elbow";"Delayed elbow epiphyseal ossification";"http://purl.obolibrary.org/obo/HP_0003947";"45.71";"false";"false"
"puncture wound with foreign body of left elbow initial encounter";"Increased anti-nut food product IgE antibody level";"http://purl.obolibrary.org/obo/HP_0410230";"44";"false";"false"
