"Name";"ontologyTermName";"ontologyTermIRI";"score";"validated";"review"
"malignant neoplasm of liver primary";"Malignant neoplasm of the central nervous system";"http://purl.obolibrary.org/obo/HP_0100836";"65.31";"false";"false"
"diverticulum of esophagus acquired";"Esophageal diverticulum";"http://purl.obolibrary.org/obo/HP_0100628";"80";"false";"false"
"gastroesophageal laceration-hemorrhage syndrome";"Gastroesophageal reflux";"http://purl.obolibrary.org/obo/HP_0002020";"47.46";"false";"false"
"heartburn";"Gastroesophageal reflux";"http://purl.obolibrary.org/obo/HP_0002020";"100";"false";"false"
"peptic ulcer excl. esophageal";"Peptic ulcer";"http://purl.obolibrary.org/obo/HP_0004398";"66.67";"false";"false"
"peptic ulcer site";"Peptic ulcer";"http://purl.obolibrary.org/obo/HP_0004398";"83.87";"false";"false"
"hemorrhage from gastrointestinal ulcer";"Gastrointestinal hemorrhage";"http://purl.obolibrary.org/obo/HP_0002239";"89.29";"false";"false"
"gastric ulcer";"Gastric ulcer";"http://purl.obolibrary.org/obo/HP_0002592";"100";"false";"false"
"duodenal ulcer";"Duodenal ulcer";"http://purl.obolibrary.org/obo/HP_0002588";"100";"false";"false"
"duodenitis";"Duodenitis";"http://purl.obolibrary.org/obo/HP_0033117";"100";"false";"false"
"pancreatic cancer";"Pancreatitis";"http://purl.obolibrary.org/obo/HP_0001733";"72";"false";"false"
"gastrojejunal ulcer";"Gastric ulcer";"http://purl.obolibrary.org/obo/HP_0002592";"68.75";"false";"false"
"dysphagia";"Dysphagia";"http://purl.obolibrary.org/obo/HP_0002015";"100";"false";"false"
"gastritis and duodenitis";"Gastritis";"http://purl.obolibrary.org/obo/HP_0005263";"72";"false";"false"
"acute gastritis";"Gastritis";"http://purl.obolibrary.org/obo/HP_0005263";"78.26";"false";"false"
"atrophic gastritis";"Chronic atrophic gastritis";"http://purl.obolibrary.org/obo/HP_0002582";"80";"false";"false"
"other specified gastritis";"Gastritis";"http://purl.obolibrary.org/obo/HP_0005263";"69.23";"false";"false"
"disorders of function of stomach";"Gastric diverticulum";"http://purl.obolibrary.org/obo/HP_0100808";"48.89";"false";"false"
"gastroparesis";"Gastroparesis";"http://purl.obolibrary.org/obo/HP_0002578";"100";"false";"false"
"complications of gastrostomy colostomy and enterostomy";"Gastrostomy tube feeding in infancy";"http://purl.obolibrary.org/obo/HP_0011471";"36.62";"false";"false"
"dyspepsia and other specified disorders of function of stomach";"Orofacial action-specific dystonia induced by speech";"http://purl.obolibrary.org/obo/HP_0031007";"60.47";"false";"false"
"other disorders of stomach and duodenum";"Abnormal duodenum morphology";"http://purl.obolibrary.org/obo/HP_0002246";"50";"false";"false"
"acute appendicitis";"Acute";"http://purl.obolibrary.org/obo/HP_0011009";"58.82";"false";"false"
"lesions of stomach and duodenum";"Duodenal stenosis";"http://purl.obolibrary.org/obo/HP_0100867";"51.28";"false";"false"
"bariatric surgery";"Bacteriuria";"http://purl.obolibrary.org/obo/HP_0012461";"50";"false";"false"
"appendiceal conditions";"Appendiceal mucinous neoplasm";"http://purl.obolibrary.org/obo/HP_0031499";"45";"false";"false"
"appendicitis";"Caudal appendage";"http://purl.obolibrary.org/obo/HP_0002825";"52.17";"false";"false"
"neoplasm ofnature of digestive system";"Abnormality of the digestive system";"http://purl.obolibrary.org/obo/HP_0025031";"57.69";"false";"false"
"disturbances in tooth eruption";"Delayed eruption of teeth";"http://purl.obolibrary.org/obo/HP_0000684";"68.42";"false";"false"
"intestinal infection";"Intestinal obstruction";"http://purl.obolibrary.org/obo/HP_0005214";"64.71";"false";"false"
"septicemia";"Septic embolism";"http://purl.obolibrary.org/obo/HP_0033553";"58.33";"false";"false"
"cancer of esophagus";"Esophageal ulceration";"http://purl.obolibrary.org/obo/HP_0004791";"77.42";"false";"false"
