"Name";"ontologyTermName";"ontologyTermIRI";"score";"validated";"review"
"hypermetropia";"Hypermetropia";"http://purl.obolibrary.org/obo/HP_0000540";"100";"false";"false"
"myopia";"Myopia";"http://purl.obolibrary.org/obo/HP_0000545";"100";"false";"false"
"presbyopia";"Myopia";"http://purl.obolibrary.org/obo/HP_0000545";"55.56";"false";"false"
"benign neoplasm of the genitourinary system";"Benign genitourinary tract neoplasm";"http://purl.obolibrary.org/obo/HP_0006778";"82.19";"false";"false"
"open wound of ear";"Round ear";"http://purl.obolibrary.org/obo/HP_0100830";"64";"false";"false"
"effects of heat and light";"Abnormal heart morphology";"http://purl.obolibrary.org/obo/HP_0001627";"58.06";"false";"false"
"effects of air pressure";"Marcus Gunn pupil";"http://purl.obolibrary.org/obo/HP_0200057";"47.62";"false";"false"
"effects of other external causes";"Abnormal location of ears";"http://purl.obolibrary.org/obo/HP_0000357";"60.47";"false";"false"
"malignant neoplasm of the breast female";"Neoplasm of the breast";"http://purl.obolibrary.org/obo/HP_0100013";"71.11";"false";"false"
"enlargement of lymph nodes lymphadenopathy";"Lymphadenopathy";"http://purl.obolibrary.org/obo/HP_0002716";"81.16";"false";"false"
"sicca syndrome sjogren syndrome";"Horner syndrome";"http://purl.obolibrary.org/obo/HP_0002277";"53.33";"false";"false"
"impacted cerumen";"Impacted cerumen";"http://purl.obolibrary.org/obo/HP_0030788";"100";"false";"false"
"other hypersecretion of intestinal hormones";"Chorioretinal hyperpigmentation";"http://purl.obolibrary.org/obo/HP_0040031";"52.83";"false";"false"
"osteomyelitis";"Osteomyelitis";"http://purl.obolibrary.org/obo/HP_0002754";"100";"false";"false"
"melanomas of skin";"Melanoma";"http://purl.obolibrary.org/obo/HP_0002861";"78.26";"false";"false"
"polyglandular hyperfunction";"Glandular hypospadias";"http://purl.obolibrary.org/obo/HP_0000807";"56.52";"false";"false"
"malignant neoplasm of external female genital organs and cervix";"Neoplasm of the male external genitalia";"http://purl.obolibrary.org/obo/HP_0100848";"65.82";"false";"false"
"malignant neoplasm of the penis";"Malignant neoplasm of the central nervous system";"http://purl.obolibrary.org/obo/HP_0100836";"80";"false";"false"
"hypoglycemia";"Hypoglycemia";"http://purl.obolibrary.org/obo/HP_0001943";"100";"false";"false"
"malignant neoplasm of cranial nerve";"Malignant neoplasm of the central nervous system";"http://purl.obolibrary.org/obo/HP_0100836";"71.64";"false";"false"
"hyperchylomicronemia";"Increased circulating chylomicron concentration";"http://purl.obolibrary.org/obo/HP_0012238";"100";"false";"false"
"myeloid";"Myeloid leukemia";"http://purl.obolibrary.org/obo/HP_0012324";"64";"false";"false"
"benign neoplasm of vocal cord or larynx";"Benign neoplasm of the central nervous system";"http://purl.obolibrary.org/obo/HP_0100835";"64.15";"false";"false"
"alcoholic hepatitis";"Alcoholism";"http://purl.obolibrary.org/obo/HP_0030955";"72.73";"false";"false"
"malignant neoplasm of the of bronchus and lung";"Malignant neoplasm of the central nervous system";"http://purl.obolibrary.org/obo/HP_0100836";"66.67";"false";"false"
"other specified congenital malformations of upper alimentary tract";"Abnormality of the genitourinary system";"http://purl.obolibrary.org/obo/HP_0000119";"60.22";"false";"false"
"cystitis";"Recurrent cystitis";"http://purl.obolibrary.org/obo/HP_0012786";"69.57";"false";"false"
"long qt syndrome";"Prolonged QT interval";"http://purl.obolibrary.org/obo/HP_0001657";"100";"false";"false"
"chronic liver disease and sequelae";"Cystic liver disease";"http://purl.obolibrary.org/obo/HP_0006706";"65.31";"false";"false"
"cardiac arrest";"Cardiac arrest";"http://purl.obolibrary.org/obo/HP_0001695";"100";"false";"false"
"biliary cirrhosis";"Biliary cirrhosis";"http://purl.obolibrary.org/obo/HP_0002613";"100";"false";"false"
"viral hepatitits";"Viral hepatitis";"http://purl.obolibrary.org/obo/HP_0006562";"85.71";"false";"false"
"alternating esotropia";"Alternating esotropia";"http://purl.obolibrary.org/obo/HP_0001137";"100";"false";"false"
"inflammatory polyps of colon pseudopolyposis of colon";"Colorectal polyposis";"http://purl.obolibrary.org/obo/HP_0200063";"60.76";"false";"false"
"mixed disorder of acid-base balance";"Gait imbalance";"http://purl.obolibrary.org/obo/HP_0002141";"42.86";"false";"false"
"septic embolism";"Septic embolism";"http://purl.obolibrary.org/obo/HP_0033553";"100";"false";"false"
"stricture of artery arterial stenosis";"Arterial stenosis";"http://purl.obolibrary.org/obo/HP_0100545";"73.33";"false";"false"
"bradycardia";"Bradycardia";"http://purl.obolibrary.org/obo/HP_0001662";"100";"false";"false"
"supraventricular tachycardia";"Supraventricular tachycardia";"http://purl.obolibrary.org/obo/HP_0004755";"100";"false";"false"
"atrial fibrillation and flutter";"Atrial flutter";"http://purl.obolibrary.org/obo/HP_0004749";"81.08";"false";"false"
"other stimulant related disorders";"Stimulant addiction";"http://purl.obolibrary.org/obo/HP_0033512";"52.94";"false";"false"
"otitis externa";"Otitis externa";"http://purl.obolibrary.org/obo/HP_0410017";"100";"false";"false"
"drug-induced hemolytic anemia";"Drug-sensitive hemolytic anemia";"http://purl.obolibrary.org/obo/HP_0004817";"75.47";"false";"false"
"postprocedural ovarian failure";"Premature ovarian insufficiency";"http://purl.obolibrary.org/obo/HP_0008209";"73.08";"false";"false"
"abnormalities of heart beat";"Cardiac arrest";"http://purl.obolibrary.org/obo/HP_0001695";"64.71";"false";"false"
"antiphospholipid syndrome";"Antiphospholipid antibody positivity";"http://purl.obolibrary.org/obo/HP_0003613";"66.67";"false";"false"
"adverse effects of agents primarily acting on the smooth and skeletal muscles and respiratory system";"Absent respiratory ciliary axoneme radial spokes";"http://purl.obolibrary.org/obo/HP_0012267";"46.67";"false";"false"
"trichotillomania";"Hair-pulling";"http://purl.obolibrary.org/obo/HP_0012167";"100";"false";"false"
"hereditary deficiency of other clotting factors";"Decreased level of heparin co-factor II";"http://purl.obolibrary.org/obo/HP_0040226";"68.97";"false";"false"
