"Name";"ontologyTermName";"ontologyTermIRI";"score";"validated";"review"
"repeated falls";"Falls";"http://purl.obolibrary.org/obo/HP_0002527";"58.82";"false";"false"
"abnormal posture";"Abnormal posturing";"http://purl.obolibrary.org/obo/HP_0002533";"100";"false";"false"
"hypoesthesia of skin";"Sensory impairment";"http://purl.obolibrary.org/obo/HP_0003474";"83.87";"false";"false"
"disturbances of skin sensation";"Gait disturbance";"http://purl.obolibrary.org/obo/HP_0001288";"54.55";"false";"false"
"anesthesia of skin";"Trigeminal anesthesia";"http://purl.obolibrary.org/obo/HP_0031912";"72.22";"false";"false"
"paresthesia of skin";"Paresthesia";"http://purl.obolibrary.org/obo/HP_0003401";"82.76";"false";"false"
"anosmia and parosmia";"Partial anosmia";"http://purl.obolibrary.org/obo/HP_0010633";"72.73";"false";"false"
"hyperesthesia";"Hyperesthesia";"http://purl.obolibrary.org/obo/HP_0100963";"100";"false";"false"
"disturbances of sensation of smell and taste";"Hyposmia";"http://purl.obolibrary.org/obo/HP_0004409";"63.83";"false";"false"
"rotavirus";"Post-vaccination rotavirus infection";"http://purl.obolibrary.org/obo/HP_0020091";"48.65";"false";"false"
"parageusia";"Parageusia";"http://purl.obolibrary.org/obo/HP_0031249";"100";"false";"false"
"dizziness and giddiness";"Vertigo";"http://purl.obolibrary.org/obo/HP_0002321";"50";"false";"false"
"coma and other alteration of consciousness";"Reduced consciousness/confusion";"http://purl.obolibrary.org/obo/HP_0004372";"64.86";"false";"false"
"coma";"Coma";"http://purl.obolibrary.org/obo/HP_0001259";"100";"false";"false"
"alteration of consciousness";"Reduced consciousness/confusion";"http://purl.obolibrary.org/obo/HP_0004372";"75";"false";"false"
"speech disturbance";"Sleep disturbance";"http://purl.obolibrary.org/obo/HP_0002360";"68.97";"false";"false"
"transient alteration of awareness";"Transient";"http://purl.obolibrary.org/obo/HP_0025153";"64.52";"false";"false"
"salmonella";"Salmonella osteomyelitis";"http://purl.obolibrary.org/obo/HP_0005661";"68.75";"false";"false"
"mycobacteria";"Bacteriuria";"http://purl.obolibrary.org/obo/HP_0012461";"64";"false";"false"
"adenovirus";"Severe adenovirus infection";"http://purl.obolibrary.org/obo/HP_0031694";"60.61";"false";"false"
"toxic encephalopathy";"Encephalopathy";"http://purl.obolibrary.org/obo/HP_0001298";"83.33";"false";"false"
"encephalopathy";"Encephalopathy";"http://purl.obolibrary.org/obo/HP_0001298";"100";"false";"false"
"metabolic encephalopathy";"Encephalopathy";"http://purl.obolibrary.org/obo/HP_0001298";"78.95";"false";"false"
"hypertensive encephalopathy";"Hypertensive retinopathy";"http://purl.obolibrary.org/obo/HP_0001095";"68.09";"false";"false"
"posterior reversible encephalopathy syndrome";"Posterior leukoencephalopathy";"http://purl.obolibrary.org/obo/HP_0006859";"68.57";"false";"false"
"brain damage and brain death";"Brain atrophy";"http://purl.obolibrary.org/obo/HP_0012444";"57.69";"false";"false"
"postconcussion syndrome";"Increased circulating cortisol level";"http://purl.obolibrary.org/obo/HP_0003118";"60.61";"false";"false"
"pseudobulbar affect";"Pseudobulbar signs";"http://purl.obolibrary.org/obo/HP_0002200";"68.42";"false";"false"
"anoxic brain damage";"Brain imaging abnormality";"http://purl.obolibrary.org/obo/HP_0410263";"62.86";"false";"false"
"influenza virus";"Recurrent Haemophilus influenzae infections";"http://purl.obolibrary.org/obo/HP_0005376";"48.78";"false";"false"
"compression of brain";"Brain stem compression";"http://purl.obolibrary.org/obo/HP_0002512";"85.71";"false";"false"
"cerebral edema";"Cerebral edema";"http://purl.obolibrary.org/obo/HP_0002181";"100";"false";"false"
"cerebral cysts";"Cerebellar cyst";"http://purl.obolibrary.org/obo/HP_0002350";"78.57";"false";"false"
"other disorders of the brain and cns";"Abnormality of neuronal migration";"http://purl.obolibrary.org/obo/HP_0002269";"72.22";"false";"false"
"disorders of meninges";"Meningitis";"http://purl.obolibrary.org/obo/HP_0001287";"66.67";"false";"false"
"temporal sclerosis";"Hippocampal sclerosis";"http://purl.obolibrary.org/obo/HP_0033715";"82.05";"false";"false"
"dural tear";"Tearfulness";"http://purl.obolibrary.org/obo/HP_0033705";"62.5";"false";"false"
"other diseases of spinal cord";"Coronary artery atherosclerosis";"http://purl.obolibrary.org/obo/HP_0001677";"62.86";"false";"false"
"syringomyelia and syringobulbia";"Syringomyelia";"http://purl.obolibrary.org/obo/HP_0003396";"77.55";"false";"false"
"myelopathies";"Myelopathy";"http://purl.obolibrary.org/obo/HP_0002196";"100";"false";"false"
"vascular myelopathies";"Myelopathy";"http://purl.obolibrary.org/obo/HP_0002196";"70.97";"false";"false"
"influenza a virus";"Recurrent Haemophilus influenzae infections";"http://purl.obolibrary.org/obo/HP_0005376";"48.78";"false";"false"
"spinal cord compression";"Spinal cord compression";"http://purl.obolibrary.org/obo/HP_0002176";"100";"false";"false"
"disorder of nervous system";"Neoplasm of the nervous system";"http://purl.obolibrary.org/obo/HP_0004375";"73.17";"false";"false"
"abnormal findings on diagnostic test of central nervous system";"Morphological central nervous system abnormality";"http://purl.obolibrary.org/obo/HP_0002011";"75.32";"false";"false"
"abnormal electroencephalogram eeg";"EEG abnormality";"http://purl.obolibrary.org/obo/HP_0002353";"93.33";"false";"false"
"abnormal findings on diagnostic imaging of skull and head";"Abnormal pulmonary thoracic imaging finding";"http://purl.obolibrary.org/obo/HP_0031983";"50.7";"false";"false"
"white matter disease";"Diffuse white matter abnormalities";"http://purl.obolibrary.org/obo/HP_0007204";"68.09";"false";"false"
"intracranial space-occupying lesion found on diagnostic imaging of central nervous system";"Intracranial cystic lesion";"http://purl.obolibrary.org/obo/HP_0010576";"46.67";"false";"false"
"abnormal results of function studies of peripheral nervous system";"Abnormal peripheral nervous system morphology";"http://purl.obolibrary.org/obo/HP_0000759";"74.73";"false";"false"
"nonspecific abnormal electromyogram emg";"EMG abnormality";"http://purl.obolibrary.org/obo/HP_0003457";"78.26";"false";"false"
"other symptoms involving nervous  system";"Abnormality of the somatic nervous system";"http://purl.obolibrary.org/obo/HP_0410009";"60.71";"false";"false"
"abnormal reflex";"Abnormal reflex";"http://purl.obolibrary.org/obo/HP_0031826";"100";"false";"false"
"parainfluenza virus";"Severe parainfluenza infection";"http://purl.obolibrary.org/obo/HP_0031695";"60.87";"false";"false"
"meningismus";"Vaginismus";"http://purl.obolibrary.org/obo/HP_0030017";"66.67";"false";"false"
"uveitis";"Uveitis";"http://purl.obolibrary.org/obo/HP_0000554";"100";"false";"false"
"panuveitis";"Panuveitis";"http://purl.obolibrary.org/obo/HP_0012121";"100";"false";"false"
"coccidioides";"Coccidioidal meningitis";"http://purl.obolibrary.org/obo/HP_0032161";"75.86";"false";"false"
"iridocyclitis";"Iridocyclitis";"http://purl.obolibrary.org/obo/HP_0001094";"100";"false";"false"
"chorioretinitis";"Chorioretinitis";"http://purl.obolibrary.org/obo/HP_0012424";"100";"false";"false"
"vogt-koyanagi-harada disease";"Anal margin Paget's disease";"http://purl.obolibrary.org/obo/HP_0030441";"49.06";"false";"false"
"scleral ectasia";"Dural ectasia";"http://purl.obolibrary.org/obo/HP_0100775";"73.33";"false";"false"
"episcleritis";"Episcleritis";"http://purl.obolibrary.org/obo/HP_0100534";"100";"false";"false"
"scleritis";"Scleritis";"http://purl.obolibrary.org/obo/HP_0100532";"100";"false";"false"
"hypopyon";"Hypopyon";"http://purl.obolibrary.org/obo/HP_0031615";"100";"false";"false"
"chorioretinal inflammation";"Chorioretinitis";"http://purl.obolibrary.org/obo/HP_0012424";"75";"false";"false"
"disorders of sclera";"Blue sclerae";"http://purl.obolibrary.org/obo/HP_0000592";"57.14";"false";"false"
"scleral staphyloma";"Scleral staphyloma";"http://purl.obolibrary.org/obo/HP_0030854";"100";"false";"false"
"central opacity of cornea";"Central opacification of the cornea";"http://purl.obolibrary.org/obo/HP_0011493";"90.48";"false";"false"
"histoplasmosis";"Histoplasmosis";"http://purl.obolibrary.org/obo/HP_0032256";"100";"false";"false"
"disorders of the cornea";"Opacification of the corneal stroma";"http://purl.obolibrary.org/obo/HP_0007759";"57.14";"false";"false"
"corneal scars and opacities";"Corneal opacity";"http://purl.obolibrary.org/obo/HP_0007957";"83.87";"false";"false"
"peripheral opacity of cornea";"Peripheral opacification of the cornea";"http://purl.obolibrary.org/obo/HP_0008011";"93.02";"false";"false"
"corneal pigmentations";"Corneal astigmatism";"http://purl.obolibrary.org/obo/HP_0025612";"66.67";"false";"false"
"corneal deposits";"Corneal crystals";"http://purl.obolibrary.org/obo/HP_0000531";"100";"false";"false"
"corneal edema";"Corneal stromal edema";"http://purl.obolibrary.org/obo/HP_0012040";"77.78";"false";"false"
"corneal neovascularization";"Corneal neovascularization";"http://purl.obolibrary.org/obo/HP_0011496";"100";"false";"false"
"band keratopathy";"Band keratopathy";"http://purl.obolibrary.org/obo/HP_0000585";"100";"false";"false"
"senile corneal changes including arcus senilis";"Corneal arcus";"http://purl.obolibrary.org/obo/HP_0001084";"62.5";"false";"false"
"corneal degenerations";"Corneal degeneration";"http://purl.obolibrary.org/obo/HP_0007705";"100";"false";"false"
"recurrent erosion of cornea";"Recurrent corneal erosions";"http://purl.obolibrary.org/obo/HP_0000495";"92.31";"false";"false"
"blastomyces";"Glioblastoma multiforme";"http://purl.obolibrary.org/obo/HP_0012174";"52.17";"false";"false"
"corneal ectasia";"Dural ectasia";"http://purl.obolibrary.org/obo/HP_0100775";"66.67";"false";"false"
"corneal deformities";"Abnormal cornea morphology";"http://purl.obolibrary.org/obo/HP_0000481";"73.33";"false";"false"
"norovirus";"Severe norovirus infection";"http://purl.obolibrary.org/obo/HP_0020099";"58.06";"false";"false"
"dysarthria";"Dysarthria";"http://purl.obolibrary.org/obo/HP_0001260";"100";"false";"false"
"aphasia and dysphasia";"Dysphasia";"http://purl.obolibrary.org/obo/HP_0002357";"71.43";"false";"false"
"slurred speech";"Slurred speech";"http://purl.obolibrary.org/obo/HP_0001350";"100";"false";"false"
"inflammation of eyelids";"Blepharitis";"http://purl.obolibrary.org/obo/HP_0000498";"100";"false";"false"
"noninfectious dermatoses of eyelid";"Recurrent bacterial skin infections";"http://purl.obolibrary.org/obo/HP_0005406";"53.57";"false";"false"
"hordeolum";"Hordeolum";"http://purl.obolibrary.org/obo/HP_0010606";"100";"false";"false"
"chalazion";"Chalazion";"http://purl.obolibrary.org/obo/HP_0010605";"100";"false";"false"
"blepharitis";"Blepharitis";"http://purl.obolibrary.org/obo/HP_0000498";"100";"false";"false"
"ulcerative blepharitis";"Blepharitis";"http://purl.obolibrary.org/obo/HP_0000498";"72.73";"false";"false"
"squamous blepharitis";"Blepharitis";"http://purl.obolibrary.org/obo/HP_0000498";"66.67";"false";"false"
"eczematous dermatitis of eyelid";"Eczematoid dermatitis";"http://purl.obolibrary.org/obo/HP_0000976";"80";"false";"false"
"xeroderma of eyelid";"Palpebral edema";"http://purl.obolibrary.org/obo/HP_0100540";"66.67";"false";"false"
"measles virus";"Post-vaccination measles";"http://purl.obolibrary.org/obo/HP_0020088";"48.28";"false";"false"
"allergic dermatitis of eyelid";"Dermatochalasis";"http://purl.obolibrary.org/obo/HP_0010750";"63.64";"false";"false"
"discoid lupus erythematosus of eyelid";"Discoid lupus rash";"http://purl.obolibrary.org/obo/HP_0007417";"88.14";"false";"false"
"mechanical entropion";"Mechanical entropion";"http://purl.obolibrary.org/obo/HP_0031738";"100";"false";"false"
"abscess of eyelid";"Abscess";"http://purl.obolibrary.org/obo/HP_0025615";"69.57";"false";"false"
"disorders of eyelid function";"Abnormality of thyroid physiology";"http://purl.obolibrary.org/obo/HP_0002926";"51.06";"false";"false"
"entropion and trichiasis of eyelid";"Entropion";"http://purl.obolibrary.org/obo/HP_0000621";"73.47";"false";"false"
"lagophthalmos";"Lagopthalmos";"http://purl.obolibrary.org/obo/HP_0030001";"88";"false";"false"
